Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys,ID,Longitude,Latitude,Match Score
Georgia Therapy Associates,Atlanta,,2797 Campbellton Road,Suite C-3,,Atlanta,GA,30311,(404)349-6655,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/PI/SP/,6208GA30311,-84.47994783729321,33.70077314027628,99.55
Grady Health System,Drug Dependency Unit,,48-50 Coca Cola Place SE,,,Atlanta,GA,30303,(404)616-3970,,Methadone Clients Only,SA/TX/DT/MM/OP/HV/WN/MN/SF/MD/,4034GA30303,-84.38001037779675,33.75301283010068,99.39
Plasmetics Inc,Apollo Addiction Recovery Center,,275 Carpenter Drive,Suite 101,,Atlanta,GA,30328,(404)252-4673 Intake: (404)252HOPE Hotline: (404)915-1585,www.apolloaddictionrecovery.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/PW/SF/MD/MC/SP/,2502GA30328,-84.3779789676787,33.915463562084014,100.0
Southside Medical Center,Substance Abuse Unit,,1039 Ridge Avenue SW,,,Atlanta,GA,30315,(404)564-6800 Intake: (404)627-1385,,,MH-SA/TX/DT/MM/DM/OP/DU/SF/MD/SI/PI/MI/SS/,9482GA30315,-84.39216089639451,33.72627654752052,100.0
Augusta Metro Treatment Center,,,525 Ellis Street,,,Augusta,GA,30901,(706)722-3855 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,7107GA30901,-81.9603754030356,33.47242537116282,100.0
Covenant Treatment Center,,,2536 Carrollton-Villa Rica Highway,,,Carrollton,GA,30117,(770)214-9788,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/GL/PW/WN/SF/,9944GA30117,-84.99789424312694,33.61596081180519,99.51
Cartersville Treatment Center,,,218 Stonewall Street,,,Cartersville,GA,30120,(770)386-1907 Hotline: (678)431-2698,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,7401GA30120,-84.79160677864748,34.16446999840646,100.0
Georgia Therapy Associates,Columbus,,1301 Wynnton Court,,,Columbus,GA,31906,(706)576-4033,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/WN/MN/SF/MD/,6916GA31906,-84.95351589515501,32.472119113650244,100.0
Alliance Recovery Center,,,209 Swanton Way,Suite B,,Decatur,GA,30030,(404)377-7669,www.alliancerecoverycenter.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/MN/SF/AH/,6507GA30030,-84.29985401420849,33.774587532400496,100.0
Veterans Affairs Medical Center,Substance Abuse Section,,1670 Clairmont Road,,,Decatur,GA,30033,(404)321-6111x6900 Intake: (404)321-6111x5398,,,MH-SA/TX/DT/MM/DM/HI/OP/PH/CO/HV/MN/SF/PI/MI/PA/,5516GA30033,-84.3103174792188,33.8024058536636,100.0
Metro Treatment of Georgia LP,Northwest Georgia Treatment Center,,65 White Street,,,Fort Oglethorpe,GA,30742,(706)861-9390 Intake: (407)351-7080,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,1733GA30742,-85.2603018391887,34.94942756951427,100.0
GPA of Macon Inc,,,6132 Hawkinsville Road,,,Macon,GA,31216,(478)788-0066,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/WN/SF/,2909GA31216,-83.6557284419064,32.73801856770019,100.0
Macon New Start,Substance Abuse Program,,175 Emery Highway,,,Macon,GA,31217,(478)751-4559 Intake: (478)751-4580 Hotline: (478)752-1025,,Methadone Clients Only,SA/TX/MM/OP/CO/WN/CJ/SF/MD/MC/PI/MI/SS/PA/AH/,7607GA31217,-83.62362490669993,32.84814183788749,100.0
Toxicology Associates of North Georgia,,,1700 Cumberland Point Drive SE,Suite 1,,Marietta,GA,30067,(770)612-8264 Intake: (770)612TANG,www.tangmethadone.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/SP/,9005GA30067,-84.49115963861865,33.91203247192854,100.0
Atlanta Metro Treatment Center,,,6500 McDonough Drive,Suite B-2,,Norcross,GA,30093,(770)242-7865 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,8754GA30093,-84.21783977384572,33.90545452195467,100.0
Lakeland Centres Atlanta,,,7001 Peachtree Industrial Boulevard,Suite 404,,Norcross,GA,30092,(770)840-9912,,Methadone Clients Only,MH-SA/TX/DT/MM/DM/OP/HV/PW/WN/SF/PI/,4023GA30092,-84.2602354401073,33.933245979218675,99.9
Private Clinic North,,,822 Chickamauga Avenue,,,Rossville,GA,30741,(706)861-6458 Intake: (706)375-6458,www.privateclinicnorth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/GL/SE/PW/WN/MN/SF/SI/PI/,9728GA30741,-85.2760210192184,34.97816261135899,100.0
North Fulton Treatment Center,The Renaissance Recovery Group Inc,,601 Bombay Lane,,,Roswell,GA,30076,(770)754-4674,www.geocities.com,Methadone Clients Only,SA/TX/MM/OP/WN/SF/PI/,9443GA30076,-84.33690998905195,34.05449750090705,100.0
Georgia Therapy Associates,Savannah,,109 Minus Avenue,,,Savannah,GA,31408,(912)965-0999 Intake: (912)965-0904,www.georgiatherapyassociatesinc.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/SE/PW/WN/MN/DU/SF/AH/,6553GA31408,-81.14709777810931,32.103197650100824,100.0
Drug Addiction Services of Hawaii Inc,East Hawaii Treatment Clinic,,900 Leilani Street,,,Hilo,HI,96720,(808)961-6822x15 Intake: (808)961-6822x16,www.dashhawaii.org,,SA/TX/DT/MM/DM/OP/HV/PW/WN/CJ/SF/MD/MC/PI/AH/,4176HI96720,-155.06083003946608,19.710009987330945,100.0
Comprehensive Health and Attitude,Management Program Inc (CHAMP),,173 South Kukui Street,,,Honolulu,HI,96813,(808)528-0550,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/MN/SF/MD/PI/,3611HI96813,-157.85733577695552,21.311066733352398,100.0
Drug Addiction Services of Hawaii Inc,(DASH)/Methadone Maintenance,,1130 North Nimitz Highway,Suite C-302,,Honolulu,HI,96817,(808)538-0704,www.geocities.com/dash_hawaii,,SA/TX/DT/MM/DM/OP/AD/CO/HV/PW/CJ/SF/MD/MC/SI/PI/PA/AH/,9236HI96817,-157.87584083987198,21.318469211141828,100.0
Community Counseling Center of,Northern Madison County Inc,,2615 Edwards Street,,,Alton,IL,62002,(618)462-2331,www.cccnmc.org,Methadone Clients Only,MH/TX/MM/OP/SF/MD/MC/SS/AH/,0823IL62002,-90.14734082396484,38.90113247507298,100.0
Family Guidance Centers Inc,,,751 Aurora Avenue,,,Aurora,IL,60505,(630)801-0017 Hotline: (630)801-0017,,Methadone Clients Only,SA/TX/MM/OP/WN/MN/SF/SS/,1380IL60505,-88.30592688559824,41.77279739723208,100.0
Center for Addictive Problems,,,609 North Wells Street,,,Chicago,IL,60610,(312)266-0404,www.capqualitycare.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/SF/PI/SP/F52/,9157IL60610,-87.63406420482039,41.892735348964464,99.52
Chicago Treatment and Counseling Centers Inc I (CTCCI),,,555 West Roosevelt Road,Suite C,,Chicago,IL,60607,(312)738-3200,www.chicagotreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/WN/DU/SF/SP/,4301IL60607,-87.64175007475625,41.86719246295603,100.0
Chicago Treatment and Counseling Centers Inc II (CTCCI),,,4453 North Broadway,,,Chicago,IL,60640,(773)506-2900,www.chicagotreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/DU/SF/SP/,4882IL60640,-87.65594298376507,41.963032736425816,98.84
Cornell Interventions,Northside Clinic,,2723 North Clark Street,1st and 2nd Floors,,Chicago,IL,60614,(773)525-3250 Hotline: (773)737-4600,www.cornellcompanies.com,Methadone Clients Only,SA/TX/MM/OP/WN/MN/DU/SF/MD/MC/SI/PI/MI/PA/,1039IL60614,-87.64461366815702,41.93196575712972,100.0
Cornell Interventions,Southwood,,5701 South Wood Street,,,Chicago,IL,60636,(773)737-4600x73205 Intakes: (773)737-4600x73264 (773)737- 4600x73212,,,SA/TX/DT/MM/DM/RS/RL/OP/PH/AD/WN/MN/CJ/SF/MD/SI/PI/SS/PA/SP/F52/,5643IL60636,-87.66932326726103,41.790068685910704,100.0
El Rincon Community Clinic,,,1874 North Milwaukee Avenue,,,Chicago,IL,60647,(773)276-0200 Intake: (773)276-0200x250,www.elrinconclinic.org,Methadone Clients Only,SA/TX/MM/DM/OP/PW/WN/SF/MD/SP/F38/,3772IL60647,-87.6855056879183,41.915508289489175,100.0
Family Guidance Center,,,2240 South Michigan Avenue,,,Chicago,IL,60616,(312)225-2555,,Methadone Clients Only,SA/TX/MM/OP/SF/,2327IL60616,-87.62379846890644,41.851707818848865,100.0
Family Guidance Centers Inc,,,2240 South Michigan Avenue,1st Floor South,,Chicago,IL,60616,(312)225-2555,,Methadone Clients Only,SA/TX/MM/OP/SF/,2327IL60616,-87.62379846890644,41.851707818848865,100.0
Family Guidance Centers Inc,,,310 West Chicago Avenue,,,Chicago,IL,60610,(312)943-6545 Intake: (312)943-6545x281,,,SA/TX/MM/OP/CO/PW/CJ/SF/SS/SP/,7868IL60610,-87.63635330257766,41.89659961587596,99.52
Fola Community Action Services Inc,,,1608-1610 West 81st Street,,,Chicago,IL,60620,(773)487-4310,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,0290IL60620,-87.66385766018827,41.746765832835905,98.89
Garfield Counseling Center Inc,,,4132 West Madison Street,,,Chicago,IL,60624,(773)533-0433,,Methadone Clients Only,SA/TX/MM/OP/AD/HV/PW/SF/MD/SS/PA/,4929IL60624,-87.72953810530228,41.88071117358325,100.0
Human Resources Development Institute,(HRDI)/Outpatient Program,,340 East 51st Street,,,Chicago,IL,60615,(773)869-0300 Intake: (773)660-4630,www.hrdi.org,Methadone Clients Only,SA/TX/DT/MM/OP/CO/HV/GL/WN/MD/PA/,3096IL60615,-87.61759016086235,41.80211750408739,100.0
Human Resources Development Institute,Brass II/DFFWF/(HRID),,8000 South Racine Avenue,,,Chicago,IL,60620,(773)994-2708 Intake: (773)660-4630,www.hrdi.org,Methadone Clients Only,SA/TX/MM/DM/OP/CO/SF/MD/,2845IL60620,-87.6537244616327,41.74854494712713,100.0
Human Resources Development Institute,SW Opioid Treatment Program/(HRDI),,33 East 114th Street,,,Chicago,IL,60628,(773)660-4630,www.hrdi.org,Methadone Clients Only,SA/TX/DT/MM/OP/HV/WN/MN/MD/SS/PA/,1119IL60628,-87.62177340339761,41.68698835311029,100.0
IJEGBA Community Inc,,,1950 East 75th Street,,,Chicago,IL,60649,(773)684-8422 Hotline: (773)454-4122,,Methadone Clients Only,SA/TX/MM/OP/PW/WN/MN/SF/,0868IL60649,-87.57655957135212,41.758894124887405,100.0
New Horizon Rehabilitation Servs Inc,,,4809 West Chicago Avenue,,,Chicago,IL,60651,(773)261-6663,,Methadone Clients Only,MH-SA/TX/DT/MM/OP/HV/WN/MN/DU/SF/,9561IL60651,-87.74634097132194,41.89496254636667,100.0
Nuway Community Services Inc,,,659 East 75th Street,,,Chicago,IL,60619,(773)723-2790,,Methadone Clients Only,SA/TX/DT/MM/OP/HV/SF/,9824IL60619,-87.60800176654385,41.75850822206514,100.0
Pathway Recovery Inc,,,503 North LaSalle Street,,,Chicago,IL,60610,(312)595-0575,,Methadone Clients Only,SA/TX/MM/OP/SF/,3602IL60610,-87.63253261617237,41.89090004744516,99.52
Pilsen Little Village,Community Mental Health Center,,3113 West Cermack Road,,,Chicago,IL,60623,(773)277-3413 Intake: (708)410-0856,www.pilsenmh.org,,MH-SA/TX/DT/MM/DM/OP/CO/HV/GL/DU/CJ/SF/MD/SI/SS/PA/SP/,6439IL60623,-87.62978681122301,41.85272310145898,94.92
Professional Diagnostic Services SC,,,821 West Van Buren Street,,,Chicago,IL,60607,(312)491-0404 Hotline: (312)749-7070,www.pdssc.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/SP/,6335IL60607,-87.64816088958092,41.87663450924518,100.0
Renewed Hope Community Services,,,626 East 71st Street,,,Chicago,IL,60619,(773)783-3579 Hotlines: (773)209-5720 (773)209-7372,,Methadone Clients Only,SA/TX/MM/DM/OP/PW/MN/SF/,1479IL60619,-87.60934898984121,41.76584410563387,100.0
Specialized Assistance Services NFP,Outpatient,,2101 South Indiana Avenue,,,Chicago,IL,60616,(312)808-3210x113 Intake: (312)808-3210x116,,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/SF/MD/,3500IL60616,-87.62218310852627,41.85415076643889,100.0
Veterans Affairs Medical Center,All Alc/Substance Abuse Progs on Site,,820 South Damen Avenue,Unit 116-A,,Chicago,IL,60612,(312)569-7450x56289 Intake: (312)569-8387,,Methadone Clients Only,SA/TX/DT/MM/DM/RS/OP/PH/CO/HV/MD/MC/PI/MI/,3203IL60612,-87.67642986386866,41.87078968243245,100.0
Womens Treatment Center,,,140 North Ashland Avenue,,,Chicago,IL,60607,(312)850-0050 Intake: (312)850-0050x4962,www.womenstreatmentcenter.org,,SA/TX/DT/MM/DM/HH/RS/RL/OP/CO/PW/BC/SF/MD/MC/PI/SS/,7440IL60607,-87.66693752616042,41.88470800029333,100.0
Chicago Treatment and Counseling Centers Inc (CTCC),,,5635 West Roosevelt Road,,,Cicero,IL,60804,(708)652-6500,www.chicagotreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/WN/MN/DU/CJ/SF/SP/AH/,7256IL60804,-87.76604556532665,41.865493125132254,100.0
Chicago Treatment and Counseling Centers Inc III (CTCCI),,,1849 South Cicero Avenue,,,Cicero,IL,60804,(708)656-9500,www.chicagotreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,7296IL60804,-87.74436041142056,41.855071853778846,100.0
Heritage Behavioral Health Center,,,151 North Main Street,,,Decatur,IL,62523,(217)362-6262 Hotline: (217)362-6262,www.heritagenet.org,,MH-SA/TX/DT/MM/RS/OP/AD/CO/WN/MN/CJ/SF/MD/MC/SI/PI/SS/AH/,3035IL62523,-88.9559123629656,39.842060466803716,100.0
Family Guidance Centers Inc,,,484 Lee Street,,,Des Plaines,IL,60016,(847)827-7517,,,SA/TX/MM/OP/SF/SS/PA/,1845IL60016,-87.88594718458418,42.04476421328484,100.0
CAP of Downers Grove,,,4954 Main Street,,,Downers Grove,IL,60515,(630)810-0186,www.capqualitycare.com,,SA/TX/DT/MM/OP/SF/PI/SP/F52/F56/,9164IL60515,-88.01056990772986,41.79663150654947,100.0
Cornell Interventions,East Saint Louis Ctr/Outpt Meth Maint,,302 North 5th Street,,,East Saint Louis,IL,62201,(618)271-4542,www.cornellcompanies.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/MN/SF/MD/PI/MI/,3099IL62201,-90.15492702846858,38.62824337935071,98.9
Bobby Buonauro Clinic Inc,,,1029 West Howard Street,Suite 303,,Evanston,IL,60202,(847)869-1808,,,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/DU/SF/SP/,3056IL60202,-87.68700170054676,42.01959922534654,100.0
PEER Services Inc,,,906 Davis Street,,,Evanston,IL,60201,(847)492-1778,www.peerservices.org,,SA/TX/MM/OP/AD/CO/SE/WN/DU/SF/MD/MC/SI/PI/MI/SS/SP/F56/,3908IL60201,-87.68374600805517,42.04703256583166,100.0
1877 Waukegan Road,,,,,,Glenview,IL,60025,(847)729-9017 Hotline: (312)749-7070,www.pdssc.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/SP/,6549IL60025,-87.80386999999996,42.073010000000075,100.0
Recovery Concepts,,,17065 Dixie Highway,,,Hazel Crest,IL,60429,(708)335-1155 Intake: (708)335-1789,,Methadone Clients Only,SA/TX/DT/MM/OP/HV/SF/,9394IL60429,-87.6655224932662,41.57920799757318,100.0
Vet Affairs/Edward Hines Jr Hospital,Substance Abuse Section,,Roosevelt Road and 5th Avenue,Chief SA Section Department 116-C,,Hines,IL,60141,(708)202-8387,,,MH-SA/TX/DT/MM/HI/OP/CO/HV/MN/CJ/,8293IL60141,-87.83830989517193,41.864390057448475,95.94
Cornell Interventions/Lifeworks,,,1611 West Jefferson Street,,,Joliet,IL,60435,(815)730-7521,www.cornellcompanies.com,,SA/TX/DT/MM/OP/AD/WN/CJ/SF/MD/MC/PI/SS/,7837IL60435,-88.12076402274927,41.5227775049969,100.0
Duane Dean Behavioral Health Center,,,700 East Court Street,,,Kankakee,IL,60901,(815)939-0125,www.duanedeanbhc.com,,SA/TX/MM/OP/WN/SF/MD/MC/PI/MI/SS/PA/,7785IL60901,-87.85661270276485,41.11950406856806,100.0
Specialized Assistance Services NFT,Branden House,,333 Evergreen Street,,,Manteno,IL,60950,(815)468-6556 Intake: (312)808-3210,sasichgo.com,,SA/TX/DT/MM/DM/RS/RL/CO/PW/WN/MN/SF/SS/PA/,8684IL60950,-87.80726760058089,41.22940506843355,99.55
Substance Abuse Operations,,,308 South 5th Avenue,,,Maywood,IL,60153,(708)343-1275,www.plcca.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/MN/CJ/SF/MD/MC/SS/PA/,6358IL60153,-87.83916348981663,41.885117187687065,100.0
Center for Alcohol and Drug Servs Inc,Rock Island Office,,4230 11th Street,,,Rock Island,IL,61201,(309)788-4571,www.cads-ia.com,,SA/TX/MM/DM/OP/DU/SF/MD/PI/SS/AH/,1118IL61201,-90.5839062997066,41.469214084311034,100.0
PHASE Inc,,,319 South Church Street,,,Rockford,IL,61101,(580)355-5246x104 Intake: (815)962-0871 Hotline: (815)962-6102,www.phasewave.micronpcweb.com,,SA/TX/DT/MM/DM/OP/AD/CO/PW/WN/DU/CJ/SF/MD/PI/SP/AH/,0368IL61101,-89.09744936465162,42.26950633910923,100.0
Therapeutic Interventions Inc,,,1645 Hicks Road,Suites C and D,,Rolling Meadows,IL,60008,(847)991-4800,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/WN/SF/PI/SP/,4212IL60008,-88.03416245059783,42.09291217014794,100.0
Schaumburg Interventions and Counseling Center LLC,,,1340 Remington Road,Suite K,,Schaumburg,IL,60173,(847)882-8908,,Methadone Clients Only,MH-SA/TX/DT/MM/DM/OP/SF/MC/PI/F64/,1312IL60173,-88.04723285513336,42.053445098946675,100.0
Triangle Center,,,120 North 11th Street,,,Springfield,IL,62703,(217)544-9858,,,SA/TX/DT/MM/DM/HH/RS/RL/OP/PH/AD/PW/WN/DU/SF/MD/SI/PI/SS/PA/AH/,8360IL62703,-89.64073247725163,39.80239305170364,100.0
Pilsen Little Village,Community Mental Health Center,,1546 North Mannheim Road,,,Stone Park,IL,60165,(708)410-0856 Intakes: (773)277-3413 (708)410-0356,www.pilsenmh.org,,MH-SA/TX/DT/MM/DM/OP/CO/HV/GL/DU/CJ/SF/MD/SI/SS/PA/SP/F52/,3496IL60165,-87.88373017119427,41.89970741602579,100.0
Lake County Substance Abuse Program,,,3004 Grand Avenue,,,Waukegan,IL,60085,(847)377-8120 Hotline: (847)377-8088,www.co.lake.il.us/health/bhs,,SA/TX/MM/OP/AD/CO/PW/WN/MN/CJ/SF/MD/PI/SS/PA/SP/AH/,8908IL60085,-87.87658359290873,42.37321684247499,100.0
Center for Behavioral Health IN Inc,,,1414 Wells Street,,,Fort Wayne,IN,46808,(260)420-6010,www.centerforbehavioralhealth.com,Methadone Clients Only,SA/TX/MM/DM/OP/HV/PW/WN/SF/SP/,0556IN46808,-85.14558896661987,41.08701237527981,99.55
Discovery House Inc,,,4195 South Cleveland Street,,,Gary,IN,46408,(219)985-8144 Hotline: (888)366-7929,www.lakeco.lib.in.us,Methadone Clients Only,SA/TX/MM/OP/CO/HV/PW/WN/MN/DU/CJ/SF/MD/,5149IN46408,-87.3605084601317,41.54276143497466,98.87
Edgewater Systems for,Balanced Living,,1110 West 5th Avenue,Turning Point Building,,Gary,IN,46402,(219)885-4264x4235 Intake: (219)885-4264x2450 Hotline: (219)885-4264,www.edgewatersystems.org,,MH/TX/MM/OP/CO/PW/WN/MN/DU/CJ/SF/MD/MC/SI/PI/SS/PA/,8321IN46402,-87.35163432220762,41.60203666663693,100.0
Holiday Healthcare PC,,,8410 Maple Avenue,,,Gary,IN,46403,(219)938-2266 Intake: (219)938-2222,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/,8462IN46403,-87.23685342284362,41.619126675051156,100.0
Metro Treatment of Gary LP,DBA Semoran Treatment Center,,8060 Melton Road,,,Gary,IN,46403,(219)938-4651 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/MM/OP/SF/,3122IN46403,-87.23946077775881,41.595216460972296,100.0
Indianapolis Treatment Center Inc,A Member of CRC Health Group,,2626 East 46th Street,Suite J,,Indianapolis,IN,46205,(317)475-9066 Hotline: (317)908-4269,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,7694IN46205,-86.11908499436409,39.840277493857094,100.0
Midtown Community Mental Health Center,Narcotics Treatment,,832 North Meridian Street,,,Indianapolis,IN,46204,(317)686-5634 Intake: (317)630-7791,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/WN/SF/AH/,0459IN46204,-86.15767725172145,39.7787250507524,100.0
Southern Indiana Treatment Center Inc,,,1713 East 10th Street,,,Jeffersonville,IN,47130,(315)474-5506 Intake: (812)283-4844 Hotline: (812)283-4844,,Methadone Clients Only,SA/TX/DT/MM/OP/PW/WN/SF/,8820IN47130,-85.72478476247055,38.301852046652705,100.0
East Indiana Treatment Center,,,816 Rudolph Way,,,Lawrenceburg,IN,47025,(812)537-1668,www.crchealth.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,9272IN47025,-84.8559806332253,39.107467438610136,100.0
Victory Clinic Services II,,,4005 Western Avenue,,,South Bend,IN,46619,(574)233-1524,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/MD/PI/SP/,4240IN46619,-86.303711666867,41.671921863067936,99.55
Murphys Rainbow Clinic LLC,,,2603 Rainbow Drive,,,Cedar Falls,IA,50613,(319)277-5808,www.MurphysRainbowClinic.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/MI/,5236IA50613,-92.41448696349495,42.51719300286707,100.0
United Community Services,,,401 SW 8th Street,,,Des Moines,IA,50309,(515)280-3860x12 Intakes: (515)280-3860x11 (515)280- 3860x10 Hotlines: (515)778-4337 (515)988-3950,,,SA/TX/DT/MM/DM/OP/GL/PW/WN/MN/CJ/SF/MD/PI/MI/SS/PA/,6266IA50309,-93.62477737182036,41.57922777886469,100.0
Kansas City Metro Methadone Program,,,3901 Rainbow Boulevard Mail Stop 4015,Psychiatry KUMC,,Kansas City,KS,66160,(913)588-6426 Intake: (913)588-6493,www.kumc.edu,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/MI/,0209KS66160,-94.61178251291236,39.05692401763841,99.18
Kansas City Treatment Center,,,1404 Minnesota Avenue,,,Kansas City,KS,66102,(913)342-0888 Hotline: (913)302-1009,www.crchealth.com,Methadone Clients Only,SA/TX/MM/OP/SF/,1633KS66102,-94.64502597909654,39.115537493077866,100.0
Bridge Way Recovery Inc,,,6331 West 110th Street,,,Leawood,KS,66211,(913)696-1911,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/PI/MI/,1808KS66211,-94.65963261884623,38.92908255985421,100.0
Metro Treatment Center Inc,,,1556 South Broadway,,,Wichita,KS,67211,(316)263-1623,,Methadone Clients Only,SA/TX/MM/DM/OP/PW/WN/SF/,5043KS67211,-97.33546262409527,37.66510049031852,98.84
Wichita Treatment Center,,,1044 North Waco Avenue,,,Wichita,KS,67202,(316)263-8807 Intake: (316)516-5787,www.crchealth.com/,facility_list.asp#otpcentral_ks,Methadone/Clients/Only/SA/TX/DT/MM/DM/OP/PW/SF/,2363KS67202,-97.34201254199344,37.70175299965858,99.52
Bowling Green Professional Associates,,,959 Lovers Lane,,,Bowling Green,KY,42103,(270)843-0385,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/,5499KY42103,-86.41875722744444,36.95407424445927,100.0
Corbin Professional Associates,,,967 U.S. Highway 25 West,,,Corbin,KY,40701,(606)526-9348,,Methadone Clients Only,SA/TX/MM/OP/SF/AH/,2735KY40701,-84.09446427789263,36.95595271277985,100.0
Hazard Professional Associates,,,48 Independence Way,,,Hazard,KY,41701,(606)487-1646 Hotline: (606)521-5646,,Methadone Clients Only,SA/TX/MM/OP/SF/,4575KY41701,-83.22752113715664,37.2835198734005,98.04
Bluegrass East Comprehensive Care Ctr,Narcotics Addiction Program,,201 Mechanic Street,,,Lexington,KY,40507,(859)233-0444 Intake: (859)233-0444x217 Hotline: (859)253-2737,www.bluegrass.org,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/PW/SF/MD/PI/AH/,7974KY40507,-84.49450259306211,38.049781437986454,100.0
Lexington Professional Associates,,,517 Southland Drive,Lower Level,,Lexington,KY,40503,(859)276-0533,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/,9345KY40503,-84.52856647992894,38.02110870742294,100.0
Center for Behavioral Health KY Inc,1406-B Browns Lane,,,,,Louisville,KY,40207,(502)894-0234,www.centerforbehavioralhealth.com,,SA/TX/DT/MM/DM/OP/HV/WN/MN/SF/PI/MI/SP/,6549KY40207,-85.65338139999993,38.25429790000004,100.0
MORE Center/Methadone/Opiate,Rehabilitation and Education,,1448 South 15th Street,,,Louisville,KY,40210,(502)574-6414 Intake: (502)574-6500,,Methadone Clients Only,SA/TX/MM/OP/WN/MN/SF/PI/SP/AH/,9372KY40210,-85.77997674503371,38.229075795146215,100.0
Morehead Professional Associates,,,538 Hecks Plaza,,,Morehead,KY,40351,(606)780-9333,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/AH/,7652KY40351,-83.47506639973972,38.19043885177665,98.82
Paducah Professional Associates,,,125 South 17th Street,,,Paducah,KY,42001,(270)443-0096,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/SI/PI/,5718KY42001,-88.61702675401095,37.0782126612394,100.0
Choices of Louisiana Inc,,,2003 McArthur Drive,Building 5,,Alexandria,LA,71301,(318)445-1250 Hotline: (318)445-1250,www.choicesoflouisiana.com/page2.html,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/CJ/SF/PI/,1367LA71301,-92.46981221831855,31.27641292348341,97.88
Baton Rouge Treatment Center,,,11445 Reiger Road,,,Baton Rouge,LA,70809,(225)932-9867,www.crchealth.com/,facility_list.asp#otpcentral_la,Methadone/Clients/Only/SA/TX/DT/MM/DM/OP/WN/SF/,9094LA70809,-91.05386684187138,30.375136385619445,100.0
Opiate Replacement Therapy Center,of America Inc,,2013 Rees Street,,,Breaux Bridge,LA,70517,(337)332-4878,,Methadone Clients Only,SA/TX/MM/OP/PW/SF/F20/,6253LA70517,-91.91390387070645,30.291912647620283,100.0
Choices of Louisiana Inc,,,141 Woodland Drive,,,La Place,LA,70068,(985)651-3777,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/GL/SE/PW/MN/CJ/SF/PI/SS/SP/,2180LA70068,-90.449992488348,30.08572057824842,100.0
Lake Charles Subst Abuse Clinic Inc,Substance Abuse Clinic Inc,,711 North Prater Street,,,Lake Charles,LA,70601,(337)433-8281,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/AH/F13/,2443LA70601,-93.19316182899908,30.24654000543363,100.0
