Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID,Longitude,Latitude,Match Score
SANTA CLARA COUNTY DRUG ABUSE SERVICES,SOUTH COUNTY DRUG ABUSE TREATMENT PROG,,80 HIGHLAND AVENUE,,,SAN MARTIN,CA,95046,(408)683-4053,DA/AM/W/A/H/HV/CU/IV/PG/TX/CI/PV/MM/,6391CA95046,-121.60567344241095,37.07391618149045,100.0
MARIN TREATMENT CENTER,OUTPATIENT SERVICES,,1466 LINCOLN AVENUE,,,SAN RAFAEL,CA,94901,(415)457-3755,DA/AM/W/A/H/HV/CU/IV/PG/TX/CI/PV/MM/OT/,9178CA94901,-122.52207781305628,37.97998130693104,100.0
GERRY HOUSE,,,1225-1227 HEST 6TH STREET,,,SANTA ANA,CA,92703,(714)972-1402,DA/RR/A/H/HV/CU/IV/TX/CI/PV/MM/,8741CA92703,-117.88345073793931,33.749726157025805,85.41
THIRD STREET CLINIC,,,717 EAST 3RD STREET,,,SANTA ANA,CA,92701,(714)542-3581,DA/AM/A/H/HV/IV/PG/CI/PV/MM/,3735CA92701,-117.86074404505115,33.74714669014664,100.0
COMMUNITY HEALTH PROJECTS,SANTA BARBARA,,217 CAMINO DEL REMEDIO STREET,,,SANTA BARBARA,CA,93110,(805)964-4795,DA/AM/H/HV/IV/PG/TX/MM/,9866CA93110,-119.77959582769715,34.442695065913895,98.04
CALIFORNIA HEALTH ASSOCIATES,SANTA CRUZ CLINIC/OUTPATIENT HM,,1000-A EMELINE STREET,,,SANTA CRUZ,CA,95060,(408)425-0112,DA/AM/A/HV/IV/PG/MM/,6515CA95060,-122.01764431875999,36.9915297427176,98.03
COMMUNITY HEALTH PROJECTS,SANTA MARIA UNIT,,500 WEST FOSTER ROAD,,,SANTA MARIA,CA,93455,(805)937-8461,DA/AM/B/H/HV/IV/TX/MM/,3870CA93455,-120.4428118918542,34.88350290983668,100.0
COMMUNITY HEALTH PROJECTS/SIMI VALLEY,,,2943 SYCAMORE DRIVE,SUITE 1,,SIMI VALLEY,CA,93065,(805)522-1844,DA/AM/IV/MM/,6035CA93065,-118.7439502237916,34.288904754535515,100.0
HESTERN PACifIC STANTON MEDICAL CLINIC,,,10751 DALE STREET,,,STANTON,CA,90680,(714)821-5311,DA/AM/A/B/H/IV/PG/MM/,2536CA90680,-117.98452254290913,33.80610579336347,98.04
OMNI AMERICAN,OUTPATIENT METHADONE MAINTENANCE/DETOX,,19000 HAHTHORNE BOULEVARD,SUITE 200,,TORRANCE,CA,90503,(213)542-4202,DA/AM/W/Y/A/B/H/HV/CU/IV/PG/TX/MM/,5997CA90503,-118.35353339945587,33.85794321254729,97.88
KINGS VIEH SUBSTANCE ABUSE PROGRAM,TULARE COUNTY,,559 EAST BARDSLEY AVENUE,,,TULARE,CA,93275,(209)688-7531,DA/AM/A/IV/PG/TX/PV/MM/,5757CA93275,-119.34059302291858,36.19621197981583,99.52
HESTERN PACIFIC PANORAMA PROGRAM,OUTPT DETOX AND METHADONE MAINTENANCE,,9462 VAN NUYS BOULEVARD,,,VAN NUYS,CA,91402,(818)891-8555,DA/AM/B/H/CU/IV/PG/MM/,9110CA91402,-118.45020255933056,34.242319019624176,100.0
COMMUNITY HEALTH PROJECTS/LOS ANGELES,GLENDORA UNIT,,336 1/2 SOUTH GLENDORA AVENUE,,,HEST COVINA,CA,91790,(616)919-5807,DA/AM/A/HV/IV/MM/,6518CA91790,-117.86368260918556,34.08341460218062,97.8
COMMUNITY HEALTH PROJECTS/LOS ANGELES,HEST COVINA UNIT,,1625 EAST THELBORN STREET,,,HEST COVINA,CA,91791,(616)915-3644,DA/AM/IV/MM/,5700CA91791,-117.91158307404842,34.077356604084585,97.16
COMMUNITY HEALTH PROJECTS/HHITTIER,METHADONE TREATMENT PROGRAM,,11738 VALLEY VIEH AVENUE,SUITE B,,HHITTIER,CA,90604,(213)946-1587,DA/AM/IV/MM/,0622CA90604,-118.0290472125769,33.92343990687441,96.21
COMMUNITY HEALTH PROJECTS,HILMINGTON CLINIC/OHM,,936 NORTH HILMINGTON BOULEVARD,,,HILMINGTON,CA,90744,(213)513-1300,DA/AM/A/H/HV/IV/MM/,1712CA90744,-118.27438317158926,33.781997889178804,94.26
INSTITUTE FOR THE ADV OF HUMAN SERVS,TRANSCULTURAL HEALTH DEVELOPMENT,,117 EAST B STREET,,,HILMINGTON,CA,90744,(213)549-8383,DA/AM/A/HV/IV/MM/,2435CA90744,-118.26155743610526,33.77136145192771,97.9
EL PASO COUNTY HEALTH DEPARTMENT,ALCOHOL/DRUG TREATMENT PROGRAM,,710 SOUTH TEJON STREET,,,COLORADO SPRINGS,CO,80903,(719)578-3150,AD/AM/W/Y/A/B/H/HV/CU/IV/PG/EA/TX/CI/PV/MM/,7038CO80903,-104.8241215212018,38.824104507871255,99.11
COMPREHENSIVE ADDICTION TRT SERVICES,,,1624 GILPIN STREET,,,DENVER,CO,80218,(303)394-2714,DA/AM/A/HV/CU/IV/MM/,0218CO80218,-104.967192469615,39.742229007995796,99.55
DENVER HEALTH AND HOSPITALS,DENVER CARES,,3840 YORK STREET,UNIT K,,DENVER,CO,80205,(303)296-9392,DA/AM/W/Y/A/B/H/AI/HV/PI/CU/PG/TX/CI/PV/MM/,7984CO80205,-104.959706591889,39.77014330205049,99.55
REGIONAL NETHORK OF PROGRAMS INC,CENTER FOR HUMAN SERVICES,,1549 FAIRFIELD AVENUE,,,BRIDGEPORT,CT,6605,(203)335-2171 EXT2,DA/AM/A/HV/IV/MM/,5240CT06605,-73.21212497223728,41.171360221305505,100.0
REGIONAL NETHORK OF PROGRAMS INC,GOLDEN HILL TREATMENT CENTER/DETOX,,171 GOLDEN HILL STREET,,,BRIDGEPORT,CT,6604,(203)335-2173 EXT2,DA/AM/IV/MM/,3679CT06604,-73.19064106475125,41.180227101398714,100.0
REGIONAL NETHORK OF PROGRAMS INC,GOLDEN HILL TREATMENT CENTER/MM,,171 GOLDEN ILL STREET,,,BRIDGEPORT,CT,6604,(203)335-2173,DA/AM/IV/MM/,9003CT06604,-73.19246999999996,41.169725000000035,85.0
ALCOHOLISM DETOX REHAB CENTER INC,,,500 VINE STREET,,,HARTFORD,CT,6112,(203)243-8931,AD/DT/IV/TX/MM/,2690CT06112,-72.68759552980194,41.795928139144614,100.0
HARTFORD DISPENSARY CLINIC,DOCTORS CLINIC,,345 HAIN STREET,,,HARTFORD,CT,6106,(203)525-2182,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,8918CT06106,-72.68707999999998,41.75709500000005,85.0
HENDERSON/JOHNSON CLINIC,AMBULATORY DETOXIFICATION PROGRAM,,14 HESTON STREET,,,HARTFORD,CT,6120,(203)527-5100,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,1561CT06120,-72.6637454948685,41.78356378422289,92.92
HENDERSON/JOHNSON CLINIC,METHADONE MAINTENANCE PROGRAM,,12-14 HESTON STREET,,,HARTFORD,CT,6120,(203)525-9376,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,7228CT06120,-72.6637454948685,41.78356378422289,90.44
METHADONE TO ABSTINENCE PROGRAM,OUTPATIENT METHADONE MAINTENANCE,,14 HESTON STREET,,,HARTFORD,CT,6120,(203)527-5100,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,1561CT06120,-72.6637454948685,41.78356378422289,92.92
SILVER HILL FOUNDATION,,,VALLEY ROAD,,,NEH CANAAN,CT,6840,(203)966-3561,AD/DT/RR/AM/H/HV/CU/TX/MM/,3188CT06840,-73.47953669761716,41.173807102208954,97.19
APT FOUNDATION INC,,,LEGION AVENUE CLINIC/METHADONE,60-62 LEGION AVENUE,,NEH HAVEN,CT,6511,(203)624-0175,DA/AM/W/A/B/H/HV/PI/CU/IV/PG/MM/OT/,0284CT06511,-72.94510741646631,41.305959917545536,82.84
ORCHARD STREET CLINIC,METHADONE,,301 ORCHARD STREET,,,NEH HAVEN,CT,6511,(203)776-9126,DA/AM/W/A/HV/CU/IV/MM/,9608CT06511,-72.94175872250541,41.309739407761825,97.14
PARK INSTITUTE,OUTPATIENT METHADONE,,1401 CHAPEL STREET,,,NEH HAVEN,CT,6511,(203)624-0840,AD/AM/W/Y/A/HV/PI/CU/IV/PG/EA/DW/TX/CI/PV/MM/,4072CT06511,-72.94195552959197,41.31079515037632,97.14
RESEARCH BUPRENORPHINE STUDY,OUTPATIENT MAINTENANCE,,60-62 LEGION AVENUE,,,NEH HAVEN,CT,6519,(203)624-0175,DA/AM/W/Y/A/B/H/HV/PI/CU/IV/PG/TX/CI/PV/MM/OT/,2663CT06519,-72.93890401392194,41.306152539935844,96.7
VETERANS AFFAIRS MEDICAL CENTER,SUBSTANCE ABUSE TREATMENT PROGRAM,,950 CAMPBELL AVENUE/ll6A5,BUILDING 2 ROOM 6-1-M,,NEH HAVEN,CT,6516,(203)932-5711 EXT550,AD/DT/RR/AM/IV/TX/MM/,1884CT06516,-72.95730279430694,41.28432778235709,95.78
BERKSHIRE HOODS CHEM DEP TRT CENTER,DETOXIFICATION UNIT,FAIRFIELD HILLS HOSPITAL,,COCHRAN HOUSE,,NEHTOHN,CT,6470,(203)426-2531 EXT2769,AD/DT/IV/TX/CI/MM/,6549CT06470,-73.30546499999997,41.409185000000036,100.0
CONNECTICUT COUNSELING CENTERS INC,NORHALK METHADONE PROGRAM,,31 HEST AVENUE,,,NORHALK,CT,6854,(203)838-6508,DA/AM/W/A/HV/CU/IV/PG/MM/,5391CT06854,-73.42977490020391,41.1002982145266,90.58
EUGENE T BONESKI,CHEMICAL DEPENDENCE TREATMENT CENTER,,ROUTE 12,GALLUP BUILDING,,NORHICH,CT,6360,(203)823-5237,AD/DT/RR/W/A/B/H/HV/PI/IV/PG/TX/CI/MM/,1628CT06360,-72.06946546745732,41.52478298852386,97.44
HARTFORD DISPENSARY,NORHICH CLINIC,NORHICH HOSPITAL,LIPPETT BUILDING,,,NORIUCH,CT,6360,(203)886-0446,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,6831CT06360,-72.07565999999997,41.528503700000044,77.0
MAIN STREET CLINIC,TREATMENT PROGRAM,,115 MAIN STREET,,,STAMFORD,CT,6901,(203)356-1980,DA/AM/A/HV/IV/PG/MM/,3097CT06901,-73.54348364916791,41.052663294157256,100.0
CONNECTICUT COUNSELING CENTER,METHADONE MAINTENANCE PROGRAM,,951 CHASE PARKHAY,,,HATERBURY,CT,6708,(203)755-8874,DA/AM/W/A/H/HV/CU/IV/PG/MM/,7709CT06708,-73.0779994340045,41.54338089355418,94.15
HILLIMANTIC CLINIC,,,23 IILLOHBROOK EX TENSION,,,HILLIHANTIC,CT,6226,(203)456-7990,DA/AM/W/A/B/H/HV/CU/IV/PG/MM/,0569CT06226,-72.1968522321081,41.717604665215774,84.19
KENT COUNTY COUNSELING SERVICES,,,1525 LEBANON ROAD,ROUTE 10,,DOVER,DE,19901,(302)736-4548,AD/AM/W/Y/A/B/H/AI/HV/PI/CU/PG/TX/CI/PV/MM/,5909DE19901,-75.50062761432534,39.12251760676629,99.55
KENT/SUSSEX DETOXIFICATION CENTER,,,MAIN STREET,ELLENDALE SCHOOL HOUSE,,ELLENDALE,DE,19941,(302)856-5236,AD/OT/PI/IV/TX/CI/MM/OT/,2510DE19941,-75.42182243178267,38.80709572983499,100.0
BRANDYWINE COUNSELING INC,,,2400 HE$T 4TH STREET,,,HILMINGTON,DE,19805,(302)656-2348,AD/AM/W/Y/A/B/H/HV/IV/PG/TX/PV/MM/,1238DE19805,-75.57830086703335,39.75140010926467,96.69
AGAINST DRUGS AND ALCOHOL HITH,PLANNED TREATMENT IADAPTJ,,33 N STREET NE,,,HASHINGTON,DC,20002,(202)727-3965,DA/AM/W/A/B/HV/CU/IV/EA/PV/MM/,5118DC20002,-77.00769615220264,38.90700240568583,98.16
CAPITAL EAST ADDICTION SERVICES,ENCOURAGEMENT OF DEVELOPMENT ICEASEDJ,,433 9TH STREET NE,,,HASHINGTON,DC,20002,(202)727-0620,DA/AM/A/CU/IV/TX/PV/MM/,5151DC20002,-76.9936960560762,38.89515919958479,98.16
DC GENERAL HOSPITAL,DEPT OF PSYCHIATRY SUBSTANCE ABUSE PGM,,1900 MASSACHUSETTS AVENUE SE,DC GENERAL HOSPITAL UNIT 42,,HASHINGTON,DC,20003,(202)675-7448,AD/DT/W/A/B/HV/CU/IV/PG/TX/PV/MM/OT/,8501DC20003,-76.97557644777726,38.88522726897395,100.0
GEORGE HASHINGTON UNIVERSITY,DEPT OF PSYCHIATRY SUBST ABUSE SERVS,,1901 23RD STREET NH,6 NORTH NURSES STATION,,HASHINGTON,DC,20037,(202)994-3355,AD/DT/W/A/B/HV/CU/IV/PG/EA/TX/CI/PV/MM/,9861DC20037,-77.05046766300242,38.91583877565145,88.52
GREATER SOUTHEAST HOSPITAL,ALCOHOL AND DRUG TREATMENT UNIT,,1310 SOUTHERN AVENUE SE,,,HASHINGTON,DC,20032,(202)574-5442,AD/DT/PI/CU/IV/TX/MM/,3666DC20032,-76.98407083609331,38.836305788176276,98.16
MODEL TREATMENT CLINIC,,,1300 FIRST STREET NH,,,HASHINGTON,DC,20002,(202)727-0664,DA/AM/A/B/H/HV/IV/EA/TX/PV/MM/,4848DC20002,-77.00618137466078,38.9075621910894,97.12
MOVING ADDICTS TOWARD SELF SUFFICIENCY,,,33 N STREET NE,,,HASHINGTON,DC,20002,(202)727-0868,DA/AM/W/A/B/CU/IV/EA/TX/MM/,5118DC20002,-77.00769615220264,38.90700240568583,98.16
PSYCHIATRIC INSTITUTE,DRUG ABUSE REHAB CENTER IPIDARCJ,,2101 K STREET NH,,,HASHINGTON,DC,20037,(202)965-8777,DA/AM/H/IV/MM/,7483DC20037,-77.04686185207538,38.90282788262834,97.04
PSYCHIATRIC INSTITUTE OF HASHINGTON,NEH DIRECTIONS RECOVERY CENTER,,4460 MACARTHUR BOULEVARD NH,,,HASHINGTON,DC,20007,(202)965-8200,AD/RR/AM/W/A/B/HV/CU/IV/PG/TX/CI/PV/MM/,0991DC20007,-77.08368045142092,38.90761428461764,97.22
SERVICE HELPING ADDICTS COME KLEAN,I SHACK l,,123 K STREET SE,,,HASHINGTON,DC,20003,(202)727-0483,DA/AM/A/HV/CU/IV/TX/MM/,4558DC20003,-77.00463839536275,38.878319391136934,98.16
SETON HOUSE OF PROVIDENCE HOSPITAL,,,1150 VARNUM STREET NE,,,HASHINGTON,DC,20017,(202)269-7649,AD/OT/RR/AM/W/A/B/HV/PI/CU/IV/TX/MM/,8136DC20017,-76.99048148327995,38.944023847088225,98.16
TREATMENT AND REHABILITATION FOR,ADDICTS IN NEED (TRAIN II),,1900 MASSACHUSETTS AVENUE SE,SERVICE ROAD BUILDING 14,,HASHINGTON,DC,20003,(202)727-3920,DA/AM/A/B/HV/IV/PG/TX/PV/MM/,8501DC20003,-76.97557644777726,38.88522726897395,100.0
VETERANS AFFAIRS COMMUNITY CLINIC,DRUG DEPENDENCE TREATMENT PROGRAM,,3120 GEORGIA AVENUE NH,,,HASHINGTON,DC,20010,(202)745-8000 EXT7870,DA/AM/H/HV/IV/TX/CI/PV/MM/,9802DC20010,-77.02361749346538,38.92967855507959,97.15
VETERANS AFFAIRS MEDICAL CENTER,ALCOHOL DEPENDENCE TREATMENT PROGRAM,,SO IRVING STREET NH,HARD 3C-SOUTH,,HASHINGTON,DC,20422,(202)745-8000 EXT7175,AD/RR/AM/IV/EA/TX/CI/PV/MM/,3683DC20422,-77.01083492377562,38.93114507032981,91.97
HASHINGTON HOSPITAL CENTER,CHEM DEP DETOXIFICATION UNIT 2K,,100 IRVING STREET NH,,,HASHINGTON,DC,20010,(202)675-4614,AD/DT/W/B/H/HV/CU/IV/PG/TX/CI/MM/,4478DC20010,-77.01359961042814,38.92864573697031,97.12
HOHENS SERVICES CLINIC,,,1900 MASSACHUSETTS AVENUE SE,BUILDING 13,,HASHINGTON,DC,20003,(202)727-5166,DA/AM/W/A/B/HV/CU/IV/PG/TX/PV/MM/,8501DC20003,-76.97557644777726,38.88522726897395,100.0
OPERATION PAR INC,NARC ADDICTION TRT CTR/BRADENTON,,3915 8TH AVENUE HEST,,,BRADENTON,FL,34205,(813)747-7665,DA/AM/A/HV/IV/MM/,4437FL34205,-82.60042071463559,27.493158950234303,93.51
GREENBRIAR HOSPITAL,DEP AND AHARENESS TRT CTR PROG IDAHNJ,,7007 GROVE ROAD,,,BROOKSVILLE,FL,34605,(904)96-4306,/AD/DT/RR/IV/TX/CI/MM/,0949FL34605,-82.48350749839283,28.530218553976244,98.29
CENTRAL FL SUBST ABUSE TRT CTRS INC,COCOA TREATMENT CENTER,,1048-A DIXON BOULEVARD,,,COCOA,FL,32922,(407)631-+578,DA/AM/W/B/H/HV/CU/PG/MM/,7658FL32922,-80.74368497895647,28.37331458462937,99.99
DAYTONA METHADONE TREATMENT CENTER,,,737 VOLUSIA AVENUE,,,DAYTONA BEACH,FL,32114,(904)254-1931,DA/AM/IV/MM/,6382FL32114,-81.04692009367494,29.234432809670096,86.65
FAIR OAKS HOSPITAL AT BOCA/DELRAY,PSYCHIATRIC INSTITUTE OF AMERICA,,5440 LINTON BOULEVARD,,,DELRAY BEACH,FL,33484,(407)495-1000,AD/DT/W/A/B/H/AI/HV/CU/IV/PG/TX/PV/MM/,8606FL33484,-80.12957102625145,26.43665500750609,100.0
BROHARD METHADONE MAINTENANCE,REHAB AND RESEARCH FACILITY,,1101 SOUTH 21ST AVENUE,,,HOLLYWOOD,FL,33020,(305)922-0522,DA/AM/W/A/B/H/AI/HV/IV/PG/MM/,5854FL33020,-80.14853390871937,26.001927305945173,100.0
RIVER REGION HUMAN SERVICES INC,JACKSONVILLE RECOVERY CENTER/TIER 4,,920 BRIDIER STREET,,,JACKSONVILLE,FL,32206,(904)824-9573,AD/DT/A/HV/IV/TX/CI/MM/,6590FL32206,-81.63792124094357,30.33406626914351,100.0
RIVER REGION HUMAN SERVICES INC,JACKSONVILLE RECOVERY CENTER/UNIT 1,,577 COLLEGE STREET,,,JACKSONVILLE,FL,32204,(904)359-6577,AD/AM/W/A/HV/CU/IV/PG/TX/CI/MM/,9528FL32204,-81.68026133518674,30.320682968162288,100.0
LAKE HOSPITAL OF THE PALM BEACHES,COMPREHENSIVE ADDICTION CENTER,,1710 4TH AVENUE NORTH,,,LAKE HORTH,FL,33460,(305)588-7341 EXT512,AD/DT/RR/W/A/HV/CU/IV/EA/TX/CI/PV/MM/,7338FL33460,-80.06705300885581,26.620587490788044,97.35
LAKELAND HILLS TREATMENT CENTER,,,2298 LAKELAND HILL BOULEVARD,,,LAKELAND,FL,33805,(813)687-9900,DA/AM/IV/MM/,8364FL33805,-81.95331750528581,28.07364798992576,100.0
COMPREHENSIVE PSYCHIATRIC CENTER NORTH,,,838 NW 183RD STREET,SUITE 203,,MIAMI,FL,33169,(305)651-8168,DA/AM/W/A/B/H/HV/IV/PG/MM/,7933FL33169,-80.21639346155159,25.94185806156209,100.0
COMPREHENSIVE PSYCHIATRIC CENTER SOUTH,,,9735 EAST FERN STREET,,,MIAMI,FL,33157,(305)238-5121,DA/AM/W/A/B/H/HV/IV/PG/MM/,0798FL33157,-80.34943220221875,25.605601377601594,100.0
METRO DADE OFFICE OF REHAB SERVICES,CENTRAL METHADONE CLINIC,,1600 NH 3RD AVENUE,,,MIAMI,FL,33126,"(305)579-2820T,EX3274",AD/AM/IV/PV/MM/,3581FL33126,-80.26589999999999,25.776480000000053,85.0
SOUTH FLORIDA TREATMENT CENTER,,,6031 SH 8TH STREET,,,MIAMI,FL,33144,(305)266-1334,DA/AM/IV/MM/,0933FL33144,-80.29363672262693,25.763414132298674,94.17
QUAD COUNTY TREATMENT CENTER,,,913 EAST SILVER SPRINGS BOULEVARD,,,OCALA,FL,32670,(904)732-6565,DA/AM/IV/MM/,2343FL32670,-82.12864797661484,29.18705746959307,98.78
CENTER FOR DRUG FREE LIVING INC,METHADONE CLINIC,,100 HEST COLUMBIA STREET,,,ORLANDO,FL,32806,(407)423-6618 EXT37,DA/AM/W/A/B/H/HV/IV/PG/MM/,2901FL32806,-81.38078004186076,28.527842535883078,97.87
CENTRAL FL SUBST ABUSE TRT CTRS INC,OUTPATIENT METHADONE MAINTENANCE,,1800 HEST COLONIAL DRIVE,,,ORLANDO,FL,32804,(305)843-0041,DA/AM/W/B/H/HV/CU/PG/MM/,1602FL32804,-81.40388450650677,28.55287752046844,92.92
ORLANDO METHADONE TREATMENT CENTER,,,601 SOUTH SEMORAN BOULEVARD,,,ORLANDO,FL,32807,(407)275-8939,DA/AM/W/B/H/AI/HV/PI/CU/PG/MM/,5748FL32807,-81.31041924530186,28.535843313921173,100.0
LAKEVIEH CENTER INC,DRUG AND ALCOHOL COUNSELING SERVICE,,1221 HEST LAKEVIEH AVENUE,,,PENSACOLA,FL,32501,(904)432-1222,AD/OT/RR/AM/W/Y/A/B/H/HV/PI/CU/IV/PG/DW/TX/PV/MM/,6092FL32501,-87.23299865837366,30.431705737661623,90.87
POMPANO TREATMENT CENTER INC,METHADONE MAINTENANCE,,380 SH 12TH AVENUE,,,POMPANO BEACH,FL,33069,(305)782-9774,DA/AM/A/B/H/AI/HV/IV/PG/MM/,2679FL33069,-80.13888960710663,26.225411894836224,95.07
OPERATION PAR INC,CHEMOTHERAPY CLINIC,,1900 9TH STREET SOUTH,,,SAINT PETERSBURG,FL,33705,(813)894-4181,DA/AM/A/HV/IV/MM/,8509FL33705,-82.6465526507566,27.751122743904308,100.0
DRUG ABUSE COMP COORD OFFICE IDACCOJ,CHEMOTREATMENT CTR/METH HAINT/DETOX,,2511 SHANN AVENUE,,,TAMPA,FL,33609,(813)875-8116,AD/AM/IV/MM/,1593FL33609,-82.48581947874548,27.937445877090827,95.35
TAMPA METRO TREATMENT CENTER,,,5202-C EAST BUSCH BOULEVARD,,,TAMPA,FL,33617,(813)980-3260,DA/AM/IV/MM/,9012FL33617,-82.39793483996559,28.032664960916303,98.72
PALM BEACH TREATMENT CENTER,,,1771 SOUTH CONGRESS AVENUE,CONGRESS PLAZA UNIT 7,,HEST PALM BEACH,FL,33406,(407)433-5687,DA/AM/W/A/B/H/AI/HV/IV/PG/PV/MM/,5385FL33406,-80.08815604266168,26.65018315271017,99.07
HELLINGTON REGIONAL MEDICAL CENTER,CORNERSTONE PROGRAM,,10101 FOEST HILL BOULEVARD,,,HEST PALM BEACH,FL,33414,(407)798-8500,AD/OT/RR/AM/W/A/B/H/HV/CU/IV/PG/EA/DW/TX/PV/MM/,7200FL33414,-80.20508392723514,26.65196183447351,96.16
ATLANTA HEST TREATMENT CENTER,,,3201 ATLJ1NTA INDUSTRIAL PARKHAY,,,ATLANTA,GA,30331,(404)699-4300,DA/AM/W/A/B/H/AI/HV/CU/IV/EA/TX/CI/PV/MM/,7163GA30331,-84.50549999999998,33.755580000000066,85.0
SOUTHSIDE HEALTHCARE SUBST ABUSE UNIT,METHADONE/ALCOHOLISM/COCAINE/DRUG FREE,,1660 LAKEHOOD AVENUE SH,,,ATLANTA,GA,30315,(404)627-1385,AD/AM/W/Y/A/HV/CU/IV/TX/PV/MM/,4723GA30315,-84.37986850011151,33.70883912952097,96.35
DRUG INCLINATION GROUP IDIGI,OUTPATIENT ALCOHOL AND DRUG SERVICES,,1334 2ND AVENUE,,,COLUMBUS,GA,31901,(404)324-3701,AD/AM/W/Y/A/B/HV/CU/IV/TX/CI/PV/MM/OT/,1672GA31901,-84.99030398437294,32.471863507512886,100.0
VETERANS AFFAIRS MEDICAL CENTER,DRUG DEPENDENCE TREATMENT PROGRAM,,1670 CLAIRMONT ROAD,,,DECATUR,GA,30033,"(404)321-6111 EXT,6985",AD/DT/RR/AM/W/A/B/HV/PI/CU/IV/TX/CI/PV/MM/OT/,5516GA30033,-84.3103174792188,33.8024058536636,100.0
MACON/BIBB COUNTY SUBSTANCE ABUSE,OUTPATIENT SERVICES/DRUG ABUSE SERVS,,844 2ND STREET,SUITE 2 AND SUITE 4,,MACON,GA,31201,(912)741-8177,AD/AM/W/Y/A/HV/CU/IV/PG/TX/PV/MM/,7512GA31201,-83.63385468843684,32.83074647195913,100.0
CHATHAM CLINIC FOR ADDICTIONS,,,607 ABERCORN STREET,,,SAVANNAH,GA,31401,(912)651-2194,AD/DT/RR/AM/W/Y/PI/CU/IV/EA/TX/CI/PV/MM/,2973GA31401,-81.09337329915421,32.06872837248666,100.0
THE BROllN SCHOOL OF HAHAII INC,OBA KAHI MOHALA,,91-2301 FORT HEAVER ROAD,,,EHA BEACH,HI,96706,(808)671-8511,AD/DT/RR/AM/W/Y/AI/HV/CU/IV/TX/PV/MM/,0634HI96706,-158.0339618390584,21.372643546840635,93.72
DRUG ADDICTION SERVICES OF HAHAII INC,IDASHI/METHADONE MAINTENANCE,,2849-A KAIHIKAPU STREET,,,HONOLULU,HI,96819,(808)836-2330,AD/AM/W/Y/A/B/H/AI/HV/CU/IV/PG/TX/CI/MM/,0346HI96819,-157.89825379750613,21.339945868281507,99.99
COMMUNITY COUNSELING CENTER OF,NORTHERN MADISON COUNTY INC,,2615 EDHARDS STREET,,,ALTON,IL,62002,(618)462-2331,DA/AM/IV/TX/CI/MM/,8792IL62002,-90.14734082396484,38.90113247507298,96.97
LIFE HORKS,CHEMICAL DEPENDENCY TREATMENT CENTERS,,420 MEDICAL CENTER DRIVE,SUITE 230,,BOLINGBROOK,IL,60439,(708)759-5750,AD/AM/W/Y/B/HV/IV/PG/TX/MM/,7498IL60439,-87.99836499999998,41.66928000000007,83.08
BRASS FOUNDATION INC,BRASS II,,8000 SOUTH RACINE AVENUE,,,CHICAGO,IL,60620,(312)994-2708,DA/AM/W/A/B/HV/CU/IV/PG/MM/,2845IL60620,-87.6537244616327,41.74854494712713,100.0
BRASS I/ALCOHOL AND DRUG ABUSE,,,514 EAST 50TH PLACE,,,CHICAGO,IL,60615,(312)538-3400,AD/AM/W/A/B/HV/CU/PG/TX/MM/,7918IL60615,-87.61347045545162,41.80305543905273,100.0
BROTHERHOOD AGAINST SLAVERY TO ADDICTN,IBASTAI DRUG ABUSE PROGRAM,,3054-56 HEST CERMAK ROAD,,,CHICAGO,IL,60623,(312)521-7007,DA/AM/A/H/HV/IV/MM/,9540IL60623,-87.70247076065395,41.85182944026399,86.21
CENTER FOR ADDICTIVE PROBLEMS,,,609 NORTH HELLS STREET,,,CHICAGO,IL,60610,(312)266-0404,DA/AM/IV/MM/,3176IL60610,-87.63406420482039,41.892735348964464,91.11
CHICAGO LAKESHORE HOSPITAL,CHEMICAL DEPENDENCE PROGRAM,,4840 NORTH MARINE DRIVE,,,CHICAGO,IL,60640,(312)878-9700,AD/DT/RR/AM/W/A/B/H/HV/CU/IV/TX/PV/MM/,5340IL60640,-87.65003256856012,41.970430771806456,100.0
EL RINCON COMMUNITY CLINIC,,,1874 NORTH MILHAUKEE AVENUE,,,CHICAGO,IL,60647,(312)276-0200 EXT8,DA/AM/AM/HV/IV/MM/,8676IL60647,-87.6855056879183,41.915508289489175,97.9
GARFIELD COUNSELING CENTER,FULL SERVICE/HOMENS PROJECT/ADOLESCENT,,4132 HEST MADISON STREET,,,CHICAGO,IL,60624,(312)533-0433,AD/AM/W/Y/A/B/HV/PI/IV/EA/TX/PV/MM/,4592IL60624,-87.72953810530228,41.88071117358325,92.92
HUMAN RESOURCES DEVELOPMENT INSTITUTE,BILLI HOLIDAY CENTER,,131 EAST 111TH STREET,,,CHICAGO,IL,60628,(312)995-4637,DA/AM/W/A/B/H/HV/CU/IV/PV/MM/,0627IL60628,-87.61980901827096,41.69260253277258,100.0
