Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,loc_ID,Longitude,Latitude,Match Score
Mela Counseling Services Center Inc,,,5723 Whittier Boulevard,,,Los Angeles,CA,90022,(323)728-0100 Intake: (323)721-6855,,SAF/SA/OP/OIT/ORT/SF/MD/SS/SP/SE/AD/PW/WN/MN/CHLD/ADLT/FEM/MALE/,3747CA90022,-118.14745902928871,34.018556989738045,100.0
Narcotics Prevention Project/Methadone,Maintenance Treatment Program,,942 South Atlantic Boulevard,,,Los Angeles,CA,90022,(323)263-9700 Intakes: (323)610-1690 (323)263-9700x1010 (323)263-9700x1001,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/NXN/OTPA/OP/OD/OMB/ORT/SF/MD/MC/SI/SS/SP/CO/GL/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,1178CA90022,-118.15762066196535,34.01924967021644,100.0
Ness Counseling Center Inc,,,8512 Whitworth Drive,Suite 100,,Los Angeles,CA,90035,(310)360-8512x104 Intake: (310)360-8512,,MHSAF/SA/OP/ODT/OIT/ORT/SF/SS/SP/CO/GL/VET/ADM/MF/CJ/SE/AD/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/,5699CA90035,-118.37670265621351,34.05710008184288,100.0
New Hope Drug and Alcohol Trt Prog Inc,,,1841 West Imperial Highway,,,Los Angeles,CA,90047,(323)750-2850,,SAF/SA/OP/ORT/SF/SI/PA/SP/AD/MN/CHLD/ADLT/FEM/MALE/,0831CA90047,-118.31053096722373,33.931047531744056,100.0
New You Center Inc,,,1030 West Florence Avenue,,,Los Angeles,CA,90044,(323)750-7580,,SAF/SA/OP/OIT/ORT/SF/MD/MC/SI/PI/MI/ATR/SS/PA/SP/FX/CO/DU/GL/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/F4/F28/F30/F42/F81/F104/,5401CA90044,-118.29301924365248,33.97458749542685,100.0
People Coord Servs of Southern CA,Castle Subst Abuse Prog/Residential,,1319 South Manhattan Place,,,Los Angeles,CA,90019,(323)734-1143 Intake: (323)732-9124,,SAF/SA/RES/RS/RL/SF/SS/PA/WN/MN/YAD/ADLT/FEM/MALE/,8073CA90019,-118.31018747683169,34.04656499347024,100.0
People Coord Servs of Southern CA,Castle Substance Abuse Prog/Outpt,,3021 South Vermont Avenue,,,Los Angeles,CA,90007,(323)732-9124,,SAF/SA/OP/OIT/ORT/SF/SS/PA/SP/WN/MN/YAD/ADLT/FEM/MALE/,5380CA90007,-118.29156749802252,34.027164994751644,100.0
Plaza Community Center,Esperanza Program,,5255 Pomona Boulevard,Suite 5,,Los Angeles,CA,90022,(323)888-2530,,SAF/SA/OP/ODT/OIT/ORT/CT/SF/MD/PA/SP/PW/WN/MN/YAD/ADLT/FEM/MALE/,8482CA90022,-118.14989279869472,34.03337451817165,100.0
Safety Consultant Services,,,2904 South Main Street,,,Los Angeles,CA,90007,(213)748-9444,DWI/DUI Clients Only,SAF/SA/OP/ORT/SF/AH/SP/DU/WN/MN/YAD/ADLT/FEM/MALE/,8942CA90007,-118.27024737292442,34.022348292182336,100.0
Salvation Army,Haven,,11301 Wilshire Boulevard,Bldg 212 Haven 2 Transitional House,,Los Angeles,CA,90073,(310)478-3711x44360 Intake: (310)478-3711x44353,,MHSAF/SA/DT/MM/DM/HH/RES/RS/RL/RD/NP/PA/SP/CO/VET/MF/SE/WN/MN/TRMA/YAD/ADLT/FEM/MALE/,2494CA90073,-118.45846195691887,34.052430748721186,99.51
Seeking Peaceful Solutions Inc,,,8724 South Vermont Avenue,,,Los Angeles,CA,90044,(323)753-1314,,MHSAF/SA/OP/ORT/SF/MC/ATR/SS/PA/SP/CO/GL/VET/CJ/SE/AD/PW/WN/MN/XA/DV/CHLD/ADLT/FEM/MALE/,5135CA90044,-118.29149700621677,33.95851117277448,100.0
Shields for Families,Genesis Family Day Treatment Program,,12021 South Wilmington Avenue,Lot C,,Los Angeles,CA,90059,(310)668-8260 Intake: (323)242-5000x1200,,MHF/SA/OP/ODT/OIT/SF/MC/SS/PA/SP/CO/PW/WN/TRMA/DV/YAD/ADLT/FEM/,5452CA90059,-118.23920722110891,33.922096341646245,99.0
Special Service for Groups Inc,,,5849 South Crocker Street,,,Los Angeles,CA,90003,(323)234-4445x105 Intake: (323)234-4445,,MHSAF/SA/OP/ORT/SP/CJ/AD/PW/WN/MN/CHLD/ADLT/FEM/MALE/,7396CA90003,-118.2685675557091,33.98825200925965,98.87
Special Services for Groups Inc,HOP/ICS,,5715 South Broadway,,,Los Angeles,CA,90037,(323)948-0444 Intakes: (323)948-0444x102 (323)948- 0444x101,,MHSAF/SA/OP/OIT/ORT/SF/MC/SI/ATR/SS/SP/CO/GL/VET/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,0127CA90037,-118.2783274437666,33.99024300463043,100.0
Special Services for Groups Inc,Pacific Asian Alcohol and Drug Program,,2001 Beverly Boulevard,Suite 201,,Los Angeles,CA,90057,(213)413-1622,,SAF/SA/OP/ORT/SF/SI/PI/ATR/SS/PA/FX/VET/MF/CJ/SE/AD/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/F81/F92/,2938CA90057,-118.2689599125967,34.066090175912784,100.0
Special Services for Groups Inc,Weber Community Center,,5849 Crocker Street,,,Los Angeles,CA,90003,(323)234-4445,,MHSAF/SA/DT/OP/OD/ORT/NP/PA/SP/CO/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/,7165CA90003,-118.2685675557091,33.98825200925965,100.0
Sunrise Community Counseling Center,,,537 South Alvarado Street,,,Los Angeles,CA,90057,(213)207-2770x209 Intake: (213)207-2770x0,,MHSAF/SA/OP/OIT/ORT/CT/SF/PA/AH/SP/FX/CO/GL/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/F67/,9509CA90057,-118.27458626510334,34.06003253257841,100.0
Transitional Ministry of Christ,Helping Hands Recovery Center,,9118 South Broadway Boulevard,,,Los Angeles,CA,90003,(323)757-1819 Intake: (323)757-1800,,SAF/SA/OP/ORT/SF/MD/MC/SI/PI/SP/YAD/ADLT/FEM/MALE/,3602CA90003,-118.27818369412705,33.953160123877765,98.06
Tri City Institute,Pajo Corporation,,2080 Century Park East,Suite 1210,,Los Angeles,CA,90067,(310)553-9500,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/NXN/VTRL/OTPA/OP/OD/OMB/OIT/ORT/CT/SF/MD/MC/PI/MI/SP/FX/DU/YAD/ADLT/FEM/MALE/F25/F81/,5332CA90067,-118.41206691153894,34.0586280608824,100.0
Tri City Institute,South,,11900 Avalon Boulevard,Suite 200,,Los Angeles,CA,90061,(323)242-0500,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/NXN/VTRL/OTPA/OP/OD/OMB/OIT/ORT/CT/SF/MC/SP/FX/YAD/ADLT/FEM/MALE/F25/,5808CA90061,-118.26520808891628,33.924511156009736,100.0
Vine Street Clinic,,,910 Vine Street,,,Los Angeles,CA,90038,(323)461-3106 Intake: (866)449-8252,,SAF/SA/OP/ORT/CT/SF/MD/MC/SI/PI/SS/PA/GL/YAD/ADLT/FEM/MALE/,5323CA90038,-118.3265824794427,34.087469016242515,100.0
United American Indian Involvement,,,1125 West 6th Street,Suite 103,,Los Angeles,CA,90017,(213)202-3970,,MHSAF/SA/BU/OP/OMB/ORT/MD/MC/SI/PI/IHS/PA/CO/AD/WN/MN/CHLD/ADLT/FEM/MALE/,5823CA90017,-118.26280675747559,34.0543850995854,100.0
VA Greater LA Healthcare System,,,11301 Wilshire Boulevard,Building 257 Basement,,Los Angeles,CA,90073,(310)478-3711x49743 Intakes: (310)478-3711x83904 (310)478- 3711x83173,,SAF/SA/DT/MM/DM/BU/NXN/VTRL/OP/OD/OMB/OIT/ORT/CT/VAMC/SF/MC/PI/SP/CO/VET/SE/WN/MN/TRMA/YAD/ADLT/FEM/MALE/,2494CA90073,-118.45846195691887,34.052430748721186,99.51
Van Ness Recovery House,,,1919 North Beachwood Drive,,,Los Angeles,CA,90068,(323)463-4266,,MHSAF/SA/BU/NXN/VTRL/HH/RES/RL/CT/SF/IHS/SS/AH/SP/CO/GL/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,9218CA90068,-118.32149659205305,34.10621531033241,100.0
Veterans Affairs Outpatient Clinic,Opiate Treatment Program,,351 East Temple Street,Unit 11-C,,Los Angeles,CA,90012,(213)253-2677x4260 Intake: (213)253-2677x4274,Methadone and Buprenorphine Clients Only,SAF/SA/MM/BU/NXN/VTRL/OTPA/OP/OMB/ORT/VAMC/SF/MC/PI/MI/PA/SP/VET/TRMA/CHLD/YAD/ADLT/FEM/MALE/,6088CA90012,-118.23847778059469,34.05149229525194,100.0
Volunteers of America of Los Angeles,Outpatient Treatment,,544 South San Pedro,,,Los Angeles,CA,90013,(213)799-1842 Intake: (213)689-2129,,SAF/SA/OP/OIT/ORT/SF/PA/SP/YAD/ADLT/FEM/MALE/,1873CA90013,-118.24461844668005,34.04309853168347,98.84
Volunteers of America of Los Angeles,Veterans Transitional Housing,,5448 Franklin Avenue,,,Los Angeles,CA,90027,(213)623-8580,,HH/,8832CA90027,-118.30866699959554,34.10534250275475,100.0
Watts Healthcare Corp Inc,House of Uhuru,,8005 South Figueroa Street,,,Los Angeles,CA,90003,(323)568-5400x5419 Intakes: (323)568-5400x5438 (323)568- 5400x5401,,SAF/SA/OP/RES/RL/OIT/ORT/CT/SF/SS/PA/SP/WN/MN/BC/YAD/ADLT/FEM/MALE/,0007CA90003,-118.28274747276812,33.96645801326561,100.0
Westside Sober Living Centers Inc,Promises Residential Treatment Center,,3743 South Barrington Avenue,,,Los Angeles,CA,90066,(310)390-2340,,SAF/SA/DT/RES/RS/RL/RD/HID/HIT/CT/SF/PI/AH/CO/WN/MN/TRMA/XA/YAD/ADLT/FEM/MALE/,3565CA90066,-118.42752473355623,34.00825437344992,100.0
Wilshire Treatment Center Inc,,,11901 Santa Monica Boulevard,Suite 204,,Los Angeles,CA,90025,(310)268-2446 Intake: (310)268-2456,,SAF/SA/DT/MM/DM/BU/NXN/OP/OD/OMB/ORT/SF/MD/SP/FX/GL/VET/ADM/MF/SE/PW/WN/MN/YAD/ADLT/FEM/MALE/F4/F25/,9099CA90025,-118.46079728494438,34.04205322453848,100.0
You Can Health Services,You Can Alcohol and Drug Counseling,,600 West Manchester Boulevard,Suite 5,,Los Angeles,CA,90044,(323)750-9247 Intake: (310)349-9778,,SAF/SA/OP/ODT/OIT/ORT/SF/MD/SS/PA/SP/CO/GL/VET/ADM/MF/CJ/SE/AD/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/,1738CA90044,-118.28409402551321,33.960032530110304,98.06
Merced County Dept of Mental Health,Los Banos Alcohol and Drug Services,,40 G Street,"Building 2, Suites A-E",,Los Banos,CA,93635,(209)710-6100,,MHSAF/SA/OP/ORT/SF/MD/MC/SS/AH/AD/WN/MN/CHLD/ADLT/FEM/MALE/,0827CA93635,-120.85449800866392,37.06660192323243,99.55
Merced County Mental Health Department,Division of Alcohol and Drug Services,,40 G Street,Suite C,,Los Banos,CA,93635,(209)710-6100 Intake: (209)381-6800,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/SP/AD/CHLD/ADLT/FEM/MALE/,0827CA93635,-120.85449800866392,37.06660192323243,99.55
Summit Estate,Recovery Center,,399 Old Mill Pond Road,,,Los Gatos,CA,95033,(800)701-6997 Intake: (408)217-0201,,SAF/SA/DT/BU/NXN/VTRL/OP/RES/RS/RL/RD/OD/ODT/OIT/ORT/HID/HIT/SF/PI/CO/YAD/ADLT/FEM/MALE/,3220CA95033,-121.99744703341156,37.1159559940528,100.0
Sierra County Health and Human Service,Alcohol and Drug Department,,704 Mill Street,,,Loyalton,CA,96118,(530)993-6746,,MHSAF/SA/OP/ORT/CT/SF/CJ/PW/CHLD/YAD/ADLT/FEM/MALE/,7401CA96118,-120.24160536856456,39.67390559193214,100.0
Lake County Alc and Other Drug Servs,,,6302 13th Avenue,,,Lucerne,CA,95458,(707)274-9101,,MHSAF/SA/OP/OIT/ORT/SF/MD/MC/SS/AH/CO/DU/CJ/AD/PW/WN/MN/TRMA/CHLD/ADLT/FEM/MALE/,5709CA95458,-122.79259460176931,39.087773570366146,100.0
Pine Ridge Treatment Center,,,9401 Crystal Creek Road,,,Lucerne Valley,CA,92356,(760)248-9199,,SAF/SA/DT/NXN/VTRL/OP/RES/RS/RL/RD/ODT/OIT/SF/PI/YAD/ADLT/FEM/MALE/,8251CA92356,-116.94596987075424,34.42481890992485,100.0
Addiction Research and Treatment Inc,Bay Area Addiction Research and Trt,,11315 South Atlantic Avenue,,,Lynwood,CA,90262,(310)537-5883,Methadone Clients Only,SAF/SA/MM/OTPA/OP/OMB/SF/MD/AH/SP/YAD/ADLT/FEM/MALE/,7968CA90262,-118.1869090433172,33.92273394107947,98.87
BAART Behavioral Health Services Inc,,,11315 South Atlantic Avenue,,,Lynwood,CA,90262,(310)537-5883,Methadone Clients Only,SAF/DT/DM/OTPA/OP/OD/SF/MD/AH/SP/YAD/ADLT/FEM/MALE/,7968CA90262,-118.1869090433172,33.92273394107947,98.87
Shields for Families,Ark,,11705 Deputy Yamamoto Place,,,Lynwood,CA,90262,(323)357-6930 Intake: (323)242-5000x1200,,SAF/SA/OP/ODT/OIT/SF/SS/PA/SP/CO/WN/MN/YAD/ADLT/FEM/MALE/,1116CA90262,-118.22844355284636,33.926866554621064,100.0
Shields for Families,Eden Dual Diagnosis,,2620 Industry Way,Suite A,,Lynwood,CA,90262,(310)603-1098x3201 Intake: (323)242-5000x1200,,MHSAF/SA/OP/ODT/OIT/SF/SS/PA/CO/PW/TRMA/XA/DV/YAD/ADLT/FEM/,1473CA90262,-118.22513622149131,33.92364178501233,100.0
Madera County Behavioral Hlth Services,,,209 East 7th Street,,,Madera,CA,93638,(559)673-3508,,MHF/SA/OP/ORT/SF/MD/MC/SS/AH/SP/CO/CJ/SE/AD/PW/WN/MN/TRMA/DV/CHLD/ADLT/FEM/MALE/,1499CA93638,-120.05599625411264,36.96069427158721,100.0
Canyon at Peace Park,,,2890 South Kanan Dume Road,,,Malibu,CA,90265,(310)457-3209 Intakes: (310)457-1000 (310)526-8770,,MHSAF/SA/DT/BU/NXN/VTRL/HH/OP/RES/RS/RL/RD/OMB/ODT/OIT/ORT/CT/SF/PI/AH/SP/CO/YAD/ADLT/FEM/MALE/,4717CA90265,-118.80519268132065,34.06304665926107,100.0
Canyon at Peace Park,,,2900 South Kanan Dume Road,,,Malibu,CA,90265,(310)457-3209 Intakes: (310)457-1000 (310)526-8770,,MHSAF/SA/DT/BU/NXN/VTRL/HH/OP/RES/RS/RL/RD/OMB/ODT/OIT/ORT/CT/SF/PI/AH/SP/CO/YAD/ADLT/FEM/MALE/,2463CA90265,-118.80431299042158,34.06615400410544,100.0
Creative Care Inc,,,5941 Trancas Canyon Road,,,Malibu,CA,90265,(310)589-9834 Intake: (800)832-3280,,MHSAF/SA/DT/BU/NXN/OP/RES/RS/RL/RD/ODT/OIT/ORT/CT/SF/PI/SP/NX/FX/CO/WN/MN/TRMA/XA/YAD/ADLT/FEM/MALE/F25/F42/N18/,1908CA90265,-118.84842895849094,34.04121168145946,100.0
Journey Malibu,,,22516 Carbon Mesa Road,,,Malibu,CA,90265,(310)456-2551 Intake: (877)673-4225,,SAF/SA/DT/BU/NXN/VTRL/RES/RS/RL/RD/CT/SF/PI/CO/DU/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,6178CA90265,-118.65716574651054,34.04192267639657,100.0
Malibu Horizon,Residential Treatment,,265 South Westlake Boulevard,,,Malibu,CA,90265,(818)889-4444 Intake: (877)338-6964,,SAF/SA/DT/BU/NXN/RES/RS/RL/RD/SF/PI/WN/MN/YAD/ADLT/FEM/MALE/,1368CA90265,-118.85799698478449,34.106970980813244,98.87
Paradigm Malibu,,,6323 Via Escondido Drive,,,Malibu,CA,90265,(310)457-6300,,MHSAF/SA/DT/BU/RES/RS/RL/RD/CT/SF/PI/SP/CO/GL/AD/TRMA/XA/DV/CHLD/FEM/MALE/,8175CA90265,-118.76364542113792,34.029820423587154,100.0
Passages,,,6428 Meadows Court,,,Malibu,CA,90265,(888)777-8525 Intake: (310)589-2880,,SAF/SA/DT/BU/NXN/RES/RS/RL/RD/CT/SF/PI/MI/YAD/ADLT/FEM/MALE/,6677CA90265,-118.76808280067888,34.02705267724906,100.0
Soba Recovery Center,,,22669 Pacific Coast Highway,,,Malibu,CA,90265,(866)435-0504 Intake: (866)547-6451,,SAF/SA/DT/BU/NXN/VTRL/HH/OP/RES/RS/RL/RD/ODT/OIT/CT/SF/PI/CO/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,5138CA90265,-118.66912621942775,34.039494564775254,100.0
Sunset Malibu,,,30042 Andromeda Lane,,,Malibu,CA,90265,(800)332-9202,,SAF/SA/DT/BU/NXN/VTRL/RES/RS/RL/RD/CT/SF/PI/AH/SP/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/,7477CA90265,-118.82943531443821,34.035099430026,100.0
Westside Sober Living Centers Inc,Promises Residential Trt Ctr Malibu,,20725 Rockcrost Drive,,,Malibu,CA,90265,(310)390-2340,,SAF/SA/DT/BU/NXN/RES/RL/RD/CT/SF/PI/AH/TRMA/YAD/ADLT/FEM/MALE/,7482CA90265,-118.6206194751992,34.04447161315231,97.88
Mono County Alcohol and Drug Program,,,452 Old Mammoth Road,3rd Floor,,Mammoth Lakes,CA,93546,(760)924-1740 Intake: (800)687-1101,,SAF/SA/DT/OP/OD/OIT/ORT/CT/SF/PI/SS/SP/DU/CJ/CHLD/YAD/ADLT/FEM/MALE/,9232CA93546,-118.96667716045263,37.63972930500275,100.0
Native Directions Inc,Three Rivers Lodge,,13505 Union Road,,,Manteca,CA,95336,(209)858-2421 Intake: (209)858-2421x15,,SAF/SA/HH/OP/RES/RL/ODT/OIT/ORT/CT/SF/PI/MI/IHS/ATR/SS/AH/CO/GL/VET/ADM/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/,7698CA95336,-121.23654565831508,37.84066523324728,99.55
Valley Community Counseling Services,,,129 East Center Street,Suite 4,,Manteca,CA,95336,(209)823-1911,,SAF/SA/OP/ORT/SF/AH/SP/DU/CJ/DV/YAD/ADLT/FEM/MALE/,5462CA95336,-121.21543197949205,37.799157461989324,100.0
Mariposa County Behavioral Health,Recovery Services,,5362 Lemee Lame,,,Mariposa,CA,95338,(209)966-2000,,MHF/SA/OP/ORT/SF/MD/MC/SS/PA/AH/CO/CJ/CHLD/YAD/ADLT/FEM/MALE/,7191CA95338,-119.96770999999997,37.488950000000045,85.0
Alpine County,Behavioral Health Services,,75 Diamond Valley Road,Suite C,,Markleeville,CA,96120,(530)694-1816 Intake: (800)318-8212,,MHF/SA/OP/ORT/CT/SF/MC/SI/PI/SS/PA/CHLD/YAD/ADLT/FEM/MALE/,5093CA96120,-119.81645705169844,38.76947586833009,100.0
Discovery House,,,4645 Pacheco Boulevard,,,Martinez,CA,94553,(925)646-9270 Intakes: (925)646-9270x13 (925)646- 9270x12,,SAF/SA/RES/RL/SF/PI/IHS/ATR/SS/AH/MN/YAD/ADLT/MALE/,3915CA94553,-122.08479903735443,38.00367715675562,100.0
Martinez Outpatient Clinic,,,150 Muir Road,,,Martinez,CA,94553,(925)372-2000 Intake: (925)372-2105,,MHSAF/SA/DT/BU/NXN/OP/OD/OMB/ORT/VAMC/MI/VET/YAD/ADLT/FEM/MALE/,8215CA94553,-122.11529332311615,37.99524642899381,100.0
Ujima Family Recovery Services,La Casa Ujima,,904 Mellus Street,,,Martinez,CA,94553,(925)229-0230,,SAF/SA/RES/RL/SF/MD/CO/PW/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/,4644CA94553,-122.13285734976307,38.01588179451218,100.0
Addiction Treatment Services Inc,,,1496 North Beale Road,,,Marysville,CA,95901,(530)749-8640,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/SF/MD/PI/SP/PW/YAD/ADLT/FEM/MALE/,5127CA95901,-121.56161874951916,39.127420560372975,100.0
For Our Recovering (FOR) Families,,,8 7th Street,,,Marysville,CA,95901,(530)749-5124,,SAF/SA/OP/OIT/ORT/SF/CJ/YAD/ADLT/FEM/MALE/,1314CA95901,-121.5834821613871,39.14295754697776,100.0
Pathways House I,,,2 9th Street,,,Marysville,CA,95901,(530)742-6670,,SAF/SA/DT/BU/HH/OP/RES/RS/RL/RD/OMB/ODT/OIT/ORT/SF/PI/SP/FX/CJ/YAD/ADLT/FEM/MALE/F65/,3892CA95901,-121.58393782637265,39.14523256437161,100.0
Salvation Army,Depot/Family Crisis Center,,408 J Street,,,Marysville,CA,95901,(530)216-4530 Intake: (530)216-4553x4553,,SAF/SA/HH/RES/RS/RL/SF/PA/CO/DU/CJ/SE/PW/WN/MN/TRMA/BC/DV/YAD/ADLT/FEM/MALE/,5293CA95901,-121.59808480255238,39.13909491577142,100.0
Northern California VAHCS,,,10535 Hospital Way,,,Mather,CA,95655,(800)382-8387,,MHSAF/SA/DT/BU/NXN/VTRL/OP/OD/OMB/OIT/ORT/VAMC/PI/VET/YAD/ADLT/FEM/MALE/,6368CA95655,-121.2965244619625,38.5724393690808,100.0
Addiction Research and Treatment Inc,,,795 Willow Road,Building 332,,Menlo Park,CA,94025,(650)324-1470,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/SF/MD/SI/PI/SS/SP/FX/PW/WN/MN/YAD/ADLT/FEM/MALE/F2/F4/F70/F81/,6092CA94025,-122.1575348767263,37.46499402906239,100.0
Addiction Research and Treatment Inc,(ART),,795 Willow Road,Building 332,,Menlo Park,CA,94025,(650)324-1470,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/SF/MD/PI/SS/AH/SP/FX/YAD/ADLT/FEM/MALE/F4/F70/F81/,6092CA94025,-122.1575348767263,37.46499402906239,100.0
BAART Behavioral Health Services Inc,(BBHS),,795 Willow Road,Building 332,,Menlo Park,CA,94025,(650)324-1470,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/SF/MD/SI/SS/AH/SP/FX/CO/VET/PW/WN/MN/YAD/ADLT/FEM/MALE/F2/F4/F70/,6092CA94025,-122.1575348767263,37.46499402906239,100.0
Community Social Model Advocates Inc,Hobie House,,1299 and 1301 Yosemite Parkway,1931 and 1941 Highland Avenue,,Merced,CA,95340,(209)722-6335,,SAF/SA/RES/RL/CT/SF/SP/CJ/MN/YAD/ADLT/MALE/,6346CA95340,-120.45927199556459,37.295480015359566,97.71
Merced County Dept of Mental Health,Center at El Portal,,3305 G Street,,,Merced,CA,95340,(209)381-6880,,SAF/SA/OP/ORT/SF/MD/AH/SP/YAD/ADLT/FEM/MALE/,9047CA95340,-120.46933748781193,37.323947012109656,100.0
Merced County Mental Health Department,Alcohol and Drug Services Division,,3090 M Street,,,Merced,CA,95340,(209)381-6850,,SAF/SA/OP/OIT/ORT/SF/MD/SS/SP/CO/CJ/PW/WN/MN/TRMA/YAD/ADLT/FEM/MALE/,8810CA95340,-120.47843453496608,37.31888300148719,99.51
Hilltop Recovery Services,Residential Treatment,,10155 Socrates Mine Road,,,Middletown,CA,95461,(707)987-9972 Intake: (707)274-8171,,SAF/SA/BU/NXN/RES/RS/RL/SF/PI/ATR/CO/GL/VET/ADM/MF/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/,9566CA95461,-122.71792054917431,38.78337132878557,100.0
Mary Ann Barr PhD,,,591 Redwood Highway Frontage Road,Suite 2320,,Mill Valley,CA,94941,(415)389-9936,,MHSAF/SA/OP/OIT/ORT/SF/PI/CO/GL/VET/MF/CJ/AD/WN/MN/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/,1619CA94941,-122.51753700083022,37.88941450784418,100.0
Teen Solutions,,,311 Miller Avenue,Suite E,,Mill Valley,CA,94941,(415)360-5445 Intake: (415)302-1700,,MHF/SA/OP/ORT/SF/AD/WN/MN/ADLT/FEM/MALE/,5107CA94941,-122.53875008902443,37.899118991521796,100.0
Center for Human Services,,,1700 Mc Henry Village Way,Suite 11-B,,Modesto,CA,95350,(209)526-1440,,MHSAF/SA/OP/OIT/ORT/CT/SF/PI/AH/CJ/YAD/ADLT/FEM/MALE/,3546CA95350,-120.99000253760704,37.66813000089867,100.0
Center for Human Services,Center for Human Services/AOD IOP We,,401 Paradise Road,,,Modesto,CA,95351,(209)526-1476 Intake: (209)526-1440,,SA/OP/OIT/SF/PI/AH/CJ/YAD/ADLT/FEM/MALE/,6630CA95351,-121.01331931586095,37.62682959792553,100.0
First Step Perinatal Program,,,1700 McHenry Village Way,Suite 16,,Modesto,CA,95350,(209)527-3270,,SAF/SA/OP/OIT/ORT/NP/PA/AH/SP/FX/PW/YAD/ADLT/FEM/F67/,3546CA95350,-120.99000253760704,37.66813000089867,100.0
Last Resort,Adolescences Last Resort,,3125 East Orangeburg Avenue,Suite D,,Modesto,CA,95352,(209)523-6910 Intake: (209)523-6900,,SAF/SA/OP/ODT/OIT/ORT/SF/MC/PI/SS/AD/CHLD/ADLT/FEM/MALE/,4254CA95352,-120.93721523331688,37.66364241451767,98.68
Last Resort,Adolescents Last Resort,,218 East Orangeburg Avenue,,,Modesto,CA,95350,(209)523-6900 Intake: (209)523-6910,,SAF/SA/DT/RES/RS/RL/RD/SF/SI/PI/SS/PA/CO/AD/CHLD/FEM/MALE/,3843CA95350,-120.99018962168607,37.66362456030378,100.0
Living Center Modesto,,,1009 McHenry Avenue,Suite E,,Modesto,CA,95350,(209)575-1580 Intake: (800)368-6865,,SAF/SA/OP/ODT/OIT/ORT/CT/SF/PI/DU/YAD/ADLT/FEM/MALE/,2931CA95350,-120.99386751698057,37.65768698773239,100.0
New Hope Recovery,,,823 East Orangeburg Avenue,,,Modesto,CA,95350,(209)527-9797x111 Intakes: (209)527-9797 (209)527-2047,,MHSAF/SA/DT/HH/OP/RES/RS/RL/RD/ODT/OIT/ORT/CT/SF/PI/MI/AH/SP/NX/FX/CO/GL/VET/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F67/N18/N23/,4514CA95350,-120.98267097071869,37.663637468434786,100.0
Nirvana Drug and Alcohol Institute,,,1028 Reno Street,,,Modesto,CA,95351,(209)579-1151 Intake: (209)579-1103,,SAF/SA/DT/RES/RS/RL/RD/SF/PI/PA/SP/CJ/MN/YAD/ADLT/MALE/,3501CA95351,-121.02794246795948,37.64897001797751,98.04
Nirvana Drug and Alcohol Institute,Outpatient,,1100 Kansas Avenue,Suite B,,Modesto,CA,95351,(209)579-1151,,SAF/SA/OP/OIT/ORT/SF/PI/PA/CJ/WN/MN/YAD/ADLT/FEM/MALE/,3227CA95351,-121.02343099239442,37.64597252367338,100.0
Nirvana Drug and Alcohol Institute,Women of Hope,,1116 Alice Street,,,Modesto,CA,95350,(209)578-3132,,SAF/SA/DT/RES/RS/RL/RD/HID/HIT/SF/PI/WN/TRMA/XA/DV/YAD/ADLT/FEM/,6822CA95350,-121.00748810964052,37.647268784999454,100.0
