Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys
Progressive Medical Specialists Inc,,,4974 El Cajon Boulevard,,,San Diego,CA,92115,(619)286-4600 Intake: (877)938-4600,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/ORT/CT/SF/SI/SS/YAD/ADLT/FEM/MALE/
Rejuvenations Outpatient Facility,,,4101 University Avenue,,,San Diego,CA,92105,(619)602-9405 Intake: (619)846-1477,,MHSAF/SA/OP/ODT/OIT/ORT/CT/SF/SS/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
San Diego American Indian Health Ctr,,,2602 1st Avenue,Suite 100,,San Diego,CA,92103,(619)234-2158 Intake: (619)234-2158x138,,MHF/SA/DT/BU/NXN/OP/OD/OMB/ORT/CT/IHS/CO/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
San Diego Health Alliance,Fashion Valley,,7020 Friars Road,,,San Diego,CA,92108,(619)718-9890 Intake: (877)637-6237,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/VTRL/OTPA/OP/OD/OMB/ORT/SF/MD/PI/SS/AH/SP/FX/YAD/ADLT/FEM/MALE/F4/F28/
San Diego Rescue Mission Inc,Mens Recovery Program,,120 Elm Street,,,San Diego,CA,92101,(619)687-3720 Intake: (619)687-3720x11451,,SAF/SA/HH/RES/RL/NP/PA/SP/DU/MN/YAD/ADLT/MALE/
San Diego Youth Services,Teen Options,,3660 Fairmount Avenue,,,San Diego,CA,92105,(619)521-2250x300 Intake: (619)521-2250x301,,MHSAF/SA/OP/OIT/ORT/PA/CO/GL/CJ/AD/TRMA/XA/DV/CHLD/FEM/
Scripps Drug and Alcohol,Treatment Center,,9609 Waples Street,,,San Diego,CA,92121,(858)404-8700,,SAF/SA/DT/BU/OP/OD/ODT/OIT/ORT/SF/PI/MI/SP/SE/WN/MN/YAD/ADLT/FEM/MALE/
Sharp Mesa Vista Hospital,Chemical Dependency Programs,,7850 Vista Hill Avenue,,,San Diego,CA,92123,(858)278-4110 Intake: (858)836-8434,,MHSAF/SA/DT/BU/NXN/VTRL/OP/OD/OMB/ODT/OIT/HID/HIT/CT/SF/MD/MC/SI/PI/MI/AH/CO/VET/SE/AD/WN/MN/TRMA/CHLD/ADLT/FEM/MALE/
Stepping Stone of San Diego Inc,Residential,,3767 Central Avenue,,,San Diego,CA,92105,(619)278-0777x114 Intake: (619)584-4010x132,,SAF/SA/RES/RL/SF/SP/FX/GL/WN/MN/YAD/ADLT/FEM/MALE/F81/
Substance Abuse Counseling Center,Behavioral Health Branch M and FP,"MCCS, MCAS Miramar",,P.O. Box 452008,,San Diego,CA,92145,(858)577-1129,,SAF/SA/OP/ODT/OIT/ORT/YAD/ADLT/FEM/MALE/
Substance Abuse Evaluation,Resource Center,,3505 Camino Del Rio South,Suite 208,,San Diego,CA,92108,(619)280-3059 Intake: (619)280-3025,,SAF/SA/OP/OIT/ORT/CT/SF/ATR/PA/AH/SP/FX/CO/DU/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F4/F67/F92/
Teen Challenge,,,5450 Lea Street,,,San Diego,CA,92105,(619)265-0337 Intake: (619)849-4988,,SAF/SA/OP/RES/RL/ORT/NP/PA/SP/MN/YAD/ADLT/MALE/
Turning Point Home of San Diego,,,1315 25th Street,,,San Diego,CA,92102,(619)233-0067,,SAF/SA/HH/RES/RL/SF/WN/YAD/ADLT/FEM/
Twelfth Step House of San Diego Inc,DBA Heartland House,,5855 and 5860 Streamview Drive,,,San Diego,CA,92105,(619)287-5460,,SAF/SA/RES/RL/SF/MN/YAD/ADLT/MALE/
UC San Diego Co Occurring Disorders,Treatment and Research Program,,140 Arbor Drive,,,San Diego,CA,92103,(619)543-7625 Intake: (619)543-7396,,MHSAF/SA/NXN/OP/ORT/SF/MD/MC/SI/SS/PA/AH/CO/YAD/ADLT/FEM/MALE/
Veterans Affairs Medical Center,Alcohol and Drug Treatment Program,,3350 La Jolla Village Drive,Unit 116-A,,San Diego,CA,92161,(858)552-8585 Intake: (858)552-8585x7560,,GHF/SA/DT/BU/NXN/VTRL/OP/RES/RS/OD/OMB/OIT/ORT/CT/VAMC/SF/PI/PA/AH/CO/VET/WN/TRMA/YAD/ADLT/FEM/MALE/
Veterans Village of San Diego,Veterans Treatment Center,,4141 Pacific Highway,,,San Diego,CA,92110,(619)497-0142 Intake: (619)393-2041,,SAF/SA/RES/RL/SP/CO/GL/VET/CJ/SE/PW/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Vista Hill Foundation,Parent Care Central,,4125 Alpha Street,Suite G,,San Diego,CA,92113,(619)266-0166,,SAF/SA/OP/OIT/ORT/CT/SF/SI/SS/SP/CO/WN/TRMA/DV/YAD/ADLT/FEM/
Way Back Inc,,,2516 A Street,,,San Diego,CA,92102,(619)235-0592,,SAF/SA/RES/RL/SF/PA/CO/VET/CJ/SE/MN/TRMA/YAD/ADLT/MALE/
Asian American Recovery Services Inc,Project RECONNECT,,2166 Hayes Street,Suite 302,,San Francisco,CA,94117,(415)776-1001 Intake: (415)213-8051,,SAF/SA/OP/ORT/NP/PA/CJ/AD/CHLD/ADLT/FEM/MALE/
Asian American Recovery Services Inc,Residential,,2024 Hayes Street,,,San Francisco,CA,94117,(415)750-5111 Intake: (415)541-9404,,SAF/SA/RES/RL/SF/WN/MN/YAD/ADLT/FEM/MALE/
BAART Behavioral Health Services Inc,Market Street Clinic,,1111 Market Street,,,San Francisco,CA,94103,(415)863-3883 Intake: (415)863-3883x153,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/NXN/OTPA/OP/OD/OMB/SF/MD/PI/MI/SS/AH/SP/CO/WN/MN/YAD/ADLT/FEM/MALE/
BAART Turk Street Clinic,,,433 Turk Street,,,San Francisco,CA,94102,(415)928-7800,Methadone and Buprenorphine Clients Only,SA/DT/MM/DM/BU/OTPA/OP/OD/OMB/ORT/CT/SF/MD/SS/AH/SP/FX/PW/YAD/ADLT/FEM/MALE/F47/F70/F81/
120 Page Street,,,First Floor,,,San Francisco,CA,94102,(415)255-6544x258,,MHSAF/SA/OP/ORT/SF/MD/MC/SI/PI/MI/AH/CO/GL/SE/WN/MN/YAD/ADLT/FEM/MALE/
Baker Places Inc,Acceptance Place,,1326 4th Avenue,,,San Francisco,CA,94122,(415)682-2080 Intake: (415)864-1515x202,,SAF/SA/RES/RL/SF/SS/PA/AH/GL/MN/YAD/ADLT/MALE/
Baker Places Inc,Ferguson Place,,1249 Scott Street,,,San Francisco,CA,94115,(415)922-9104 Intake: (415)864-1515x203,,SA/RES/RL/SF/AH/SP/FX/CO/YAD/ADLT/FEM/MALE/F81/
Bayview Hunters Point Foundation,Substance Abuse Programs,,1625 Carroll Avenue,,,San Francisco,CA,94124,(415)822-8200x12 Intake: (415)822-8200x36,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/ORT/SF/MD/AH/YAD/ADLT/FEM/MALE/
Bayview Hunters Point Foundation,Youth Services,,5015 3rd Street,,,San Francisco,CA,94124,(415)822-1585,,SAF/SA/OP/OIT/ORT/PA/AD/CHLD/ADLT/FEM/MALE/
Curry Senior Center,Senior Alcohol and Drug Programs,,315 Turk Street,,,San Francisco,CA,94102,(415)885-2274,,SAF/SA/OP/ORT/SF/PA/SP/SE/ADLT/FEM/MALE/
Epiphany House,,,1615 Broderick Street,,,San Francisco,CA,94115,(415)409-6003 Intake: (415)351-4052,,MHSAF/SA/HH/RES/RL/SF/MC/SS/PA/CO/PW/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Epiphany House,Adult Residential,,100 Masonic Avenue,,,San Francisco,CA,94118,(415)567-8370x4213 Intake: (415)567-8370,,MHSAF/SA/HH/RES/RL/SF/MC/SS/PA/CO/PW/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Father Alfred Center,Saint Anthony Foundation,,291 10th Street,,,San Francisco,CA,94103,(415)592-2880 Intake: (415)592-2831,,MHSAF/SA/RES/RL/NP/PA/MN/YAD/ADLT/MALE/
Fort Help LLC,,,915 Bryant Street,,,San Francisco,CA,94103,(415)777-9953,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/NXN/OTPA/OP/OD/OMB/ORT/SF/SI/SP/FX/YAD/ADLT/FEM/MALE/F81/
Fort Help Mission Inc,,,1101 Capp Street,,,San Francisco,CA,94110,(415)821-1427,Methadone Clients Only,SAF/SA/DT/MM/DM/NXN/OTPA/OP/OD/OMB/ORT/SF/MD/MC/SI/SP/FX/YAD/ADLT/FEM/MALE/F70/F81/
Friendship House,Association of American Indians,,56 Julian Avenue,,,San Francisco,CA,94103,(415)865-0964,,SAF/SA/RES/RL/CT/SF/IHS/ATR/NX/YAD/ADLT/FEM/MALE/N23/
Golden Gate for Seniors,,,637 South Van Ness Avenue,,,San Francisco,CA,94110,(415)626-7553 Intake: (415)626-7779,,SAF/SA/RES/RS/RL/SF/SS/PA/SP/CO/SE/TRMA/ADLT/FEM/MALE/
Good Shepherd Gracenter,,,1310 Bacon Street,,,San Francisco,CA,94134,(415)337-1938 Intake: (415)337-1937,,SAF/SA/HH/RES/RS/SF/SI/PI/SS/GL/WN/TRMA/XA/DV/YAD/ADLT/FEM/
Harbor House ReEntry Program,,,407 9th Street,,,San Francisco,CA,94103,(415)503-3029,,GHF/SA/HH/RES/RL/SF/BC/YAD/ADLT/FEM/MALE/
Harm Reduction Therapy Center,,,45 Franklin Street,Suite 320,,San Francisco,CA,94102,(415)863-4282 Intake: (415)863-4282x2,,MHSAF/SA/BU/NXN/OP/OMB/ORT/SF/PI/SP/CO/CHLD/ADLT/FEM/MALE/
Health Right 360,,,1318 Gateview Street,,,San Francisco,CA,94130,(415)217-8440,,SAF/SA/RES/RS/RL/NP/PA/CO/CJ/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Horizons Unlimited of,San Francisco Inc,,440 Potrero Avenue,,,San Francisco,CA,94110,(415)487-6700 Intakes: (415)487-6702 (415)487-6713,,SAF/SA/OP/ORT/NP/PA/SP/CO/GL/CJ/AD/TRMA/XA/DV/CHLD/ADLT/FEM/MALE/
Jelani Inc,,,1601 Quesada Avenue,,,San Francisco,CA,94124,(415)822-5977 Intake: (415)822-5945,,MHSAF/SA/RES/RL/SF/SS/PA/CO/GL/VET/CJ/PW/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Jelani Inc,The Family Program,,1638 and 1640 Kirkwood Avenue,,,San Francisco,CA,94124,(415)671-1165 Intake: (415)822-5945,,MHSAF/SA/RES/RL/SF/SS/PA/CO/GL/VET/CJ/WN/MN/TRMA/BC/XA/DV/YAD/ADLT/FEM/MALE/
Joe Healy Detox Project,,,101 Gough Street,,,San Francisco,CA,94102,(415)864-4965 Intake: (415)336-8672,,SAF/DT/BU/NXN/RES/RD/NP/PA/AH/CO/WN/MN/YAD/ADLT/FEM/MALE/
Kaiser Permanente Hospital,Chemical Dependency Recovery Program,,1201 Fillmore Street,,,San Francisco,CA,94115,(415)833-9400,,SAF/SA/DT/BU/NXN/VTRL/OP/OD/OMB/ODT/OIT/ORT/CT/MC/SI/PI/AH/SP/FX/CO/GL/SE/AD/WN/MN/TRMA/CHLD/ADLT/FEM/MALE/F17/
Laguna Honda Hospital and,Rehabilitation Center SATS,,375 Laguna Honda Boulevard,,,San Francisco,CA,94116,(415)759-2300 Intake: (415)759-2327,,GHF/SA/BU/OP/RES/RS/RL/OMB/ORT/HIT/MD/MC/SI/PI/SP/FX/CO/GL/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F17/
Latino Commission on Alc/DA Services,Casa Quetzal,,635 Brunswick Street,,,San Francisco,CA,94112,(415)337-4065 Intake: (650)244-1444,,SAF/SA/HH/RES/RL/CT/SF/SP/CO/GL/VET/ADM/MF/CJ/SE/AD/MN/XA/DV/YAD/ADLT/MALE/
Latino Commission on Alc/DA Services,Latina Perinatal Women,,1724 -1726 Bryant Street,,,San Francisco,CA,94110,(415)558-9125 Intakes: (650)244-0305 (650)244-1444,,SAF/SA/RES/RL/SF/SP/GL/PW/WN/TRMA/BC/XA/DV/YAD/ADLT/FEM/
Lee Woodward Counseling Center for,Women/AARS,,2166 Hayes Street,Suite 303,,San Francisco,CA,94117,(415)776-1001 Intakes: (415)541-9404x12 (415)541-9404x13,,SAF/SA/OP/ORT/SF/PA/FX/CO/GL/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/F17/F47/F81/
Mission Council Family Day Treatment,,,474 Valencia Street,Suite 135,,San Francisco,CA,94103,(415)864-0554,,SAF/SA/OP/ODT/OIT/ORT/NP/PA/SP/CO/CJ/SE/PW/WN/MN/TRMA/DV/YAD/ADLT/FEM/MALE/
Mission Council on Alcohol Abuse for,The Spanish Speaking,,154 Capp Street,Suite A,,San Francisco,CA,94110,(415)826-6767 Intake: (415)826-6768,,SAF/SA/OP/ORT/SF/SI/PA/SP/FX/DU/CJ/YAD/ADLT/FEM/MALE/F17/
National Council on Alcoholism,NCADA/BA Outpatient Treatment Prog,,944 Market Street,3rd Floor,,San Francisco,CA,94102,(415)296-0500 Intake: (415)296-9900,,SAF/SA/OP/ORT/SF/PI/SS/FX/DU/SE/PW/WN/MN/TRMA/YAD/ADLT/FEM/MALE/F47/F66/F70/F92/
Native American Health Center,Community Wellness Department,,333 Valencia Street,Suite 240,,San Francisco,CA,94103,(415)621-4371 Intake: (415)503-1046,,MHSAF/SA/OP/ORT/NP/PA/SP/CO/AD/TRMA/CHLD/YAD/ADLT/FEM/MALE/
Ohlhoff Recovery Programs,Henry Ohlhoff House,,601 Steiner Street,,,San Francisco,CA,94117,(415)621-4388x227 Intakes: (415)621-4388x210 (877)677-4543,,SAF/SA/BU/NXN/HH/RES/RL/SF/PI/MI/MN/YAD/ADLT/MALE/
Ohlhoff Recovery Programs,San Francisco Outpatient Program,,2191 Market Street,Suite A,,San Francisco,CA,94114,(415)575-1100x302 Intakes: (415)575-1100 (888)677-4543,,SAF/SA/OP/OIT/ORT/SF/PI/CHLD/ADLT/FEM/MALE/
Ohlhoff Recovery Programs,Skip Byron Primary,,601 Steiner Street,,,San Francisco,CA,94117,(415)621-4388x210 Intake: (877)677-4543,,SAF/SA/DT/BU/NXN/VTRL/HH/OP/RES/RS/RL/RD/OD/OMB/ODT/OIT/SF/PI/MI/WN/MN/YAD/ADLT/FEM/MALE/
Project Adapt,,,2020 Hayes Street,,,San Francisco,CA,94117,(415)750-5125 Intake: (415)541-9404,,MHSAF/SA/OP/ORT/SF/SI/SS/PA/FX/CO/GL/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F17/F47/F81/F92/
SAGE Project Inc,,,68 12th Street,Floor 2,,San Francisco,CA,94103,(415)905-5050x2739 Intake: (415)905-5050,,MHSAF/SA/OP/OIT/ORT/SF/PA/SP/FX/CO/AD/WN/TRMA/YAD/ADLT/FEM/F70/
Saint James Infirmary,,,1372 Mission Street,,,San Francisco,CA,94103,(415)554-8494,,SA/OP/OIT/ORT/NP/PA/TRMA/CHLD/ADLT/FEM/MALE/
Salvation Army,Harbor Light Center Recovery Home,,1275 Harrison Street,,,San Francisco,CA,94103,(415)503-3000 Intake: (415)503-3054,,SAF/SA/DT/RES/RL/RD/SF/PI/MI/CO/GL/VET/MF/CJ/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
San Francisco AIDS Foundation,The Stonewall Project,,1035 Market Street,Suite 400,,San Francisco,CA,94103,(415)487-3100,,SAF/SA/NXN/OP/ORT/MD/MC/SI/PI/PA/AH/SP/CO/GL/CJ/SE/YAD/ADLT/MALE/
San Francisco Bay Counseling/Education,,,1700 Irving Street,,,San Francisco,CA,94122,(415)759-9500 Intake: (415)759-9600,,MHSAF/SA/OP/ORT/CT/SF/SS/CO/VET/ADM/MF/CJ/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
San Francisco General Hospital (SFGH),Opiate Treatment Outpatient Program,,1001 Potrero Avenue,Building 93,,San Francisco,CA,94110,(415)206-8412 Intake: (415)206-4288,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/MD/SS/PA/AH/SP/PW/WN/YAD/ADLT/FEM/MALE/
San Francisco General Hospital (SFGH),Substance Abuse Servs/Meth Maintenance,,1001 Potrero Avenue,Building 90 Ward 93,,San Francisco,CA,94110,(415)206-8412,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/SF/MD/AH/SP/FX/GL/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F17/F70/F81/
San Francisco Womens Rehab Foundation,Stepping Stone,,255 10th Avenue,,,San Francisco,CA,94118,(415)751-5921,,SAF/SA/RES/RL/CT/SF/CO/VET/ADM/MF/WN/TRMA/XA/DV/YAD/ADLT/FEM/
Swords to Plowshares,Residential Program,,1433 Halibut Court,Suite F,,San Francisco,CA,94130,(415)834-0341 Intake: (415)834-0341x307,,MHSAF/SA/HH/RES/RS/RL/CO/VET/SE/YAD/ADLT/FEM/MALE/
Tom Waddell Health Clinic,,,230 Golden Gate Avenue,,,San Francisco,CA,94102,(415)355-7500,,GHF/SA/MM/BU/OP/OMB/ORT/SF/MD/MC/SI/WN/MN/YAD/ADLT/FEM/MALE/
Veterans Affairs Medical Center,Addiction Recovery Treatment Services,,4150 Clement Street,Unit 116-E,,San Francisco,CA,94121,(415)221-4810x2818 Intake: (415)221-4810x3878,,MHSAF/SA/DT/MM/BU/NXN/VTRL/OP/OD/OMB/ODT/OIT/ORT/VAMC/MD/MC/PI/MI/AH/SP/CO/GL/VET/ADM/SE/WN/MN/TRMA/XA/YAD/ADLT/FEM/MALE/
Westside Methadone Treatment Program,,,1301 Pierce Street,,,San Francisco,CA,94115,(415)563-8200 Intake: (415)563-8200x1307,Methadone Clients Only,SAF/SA/DT/MM/DM/OTPA/OP/OD/OMB/SF/MD/SS/PA/SP/WN/MN/YAD/ADLT/FEM/MALE/
Santa Anita Family Service,,,206 East Las Tunas Drive,Suite 12,,San Gabriel,CA,91776,(626)359-9358 Intake: (626)308-1414,,SAF/SA/OP/OIT/ORT/SF/AD/WN/CHLD/YAD/ADLT/FEM/MALE/
607 Donna Way,,,,,,San Jacinto,CA,92583,(951)654-0803x3220 Intake: (800)851-5816x3220,,MHSAF/SA/OP/OIT/ORT/MD/MC/SI/PI/IHS/ATR/PA/CO/WN/MN/TRMA/DV/CHLD/YAD/ADLT/FEM/MALE/
Valley Wide Counseling,A Program of MFI Recovery Center,,1604 South Santa Fe Street,Suite 403,,San Jacinto,CA,92583,(951)654-2026 Intakes: (800)923-5634 (951)683-6596,,MHSAF/SA/DT/BU/OP/OD/OIT/ORT/CT/SF/PI/SS/PA/AH/CO/GL/VET/ADM/MF/CJ/SE/AD/PW/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Advent Group Ministries,Outpatient Services,,90 Great Oaks Boulevard,Sutie 108,,San Jose,CA,95119,(408)281-0708 Intake: (408)281-0708x133,,SAF/SA/OP/OIT/ORT/CT/SF/PA/CO/CJ/AD/CHLD/FEM/MALE/
Amicus House,,,466 South Buena Vista Avenue,,,San Jose,CA,95126,(408)294-2277,,SAF/SA/OP/RES/RS/RL/OIT/ORT/SF/CJ/SE/WN/MN/TRMA/YAD/ADLT/FEM/MALE/
Family and Children Services,,,2218 North First Street,,,San Jose,CA,95131,(408)538-0880 Intake: (800)488-9919,,SAF/SA/OP/OIT/ORT/SF/SI/SS/AH/SP/FX/CO/GL/CJ/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F30/F36/
Family and Children Services,Substance Abuse Treatment Program,,2226 North First Street,,,San Jose,CA,95131,(408)292-9353 Intakes: (800)488-9919 (408)538-0880,,SAF/SA/OP/OIT/ORT/SF/SI/SS/SP/CO/CJ/WN/MN/YAD/ADLT/FEM/MALE/
Family and Children Services,Substance Abuse Treatment Program,,950 West Julian Street,,,San Jose,CA,95126,(408)292-9353 Intakes: (800)488-9919 (408)538-0880,,SAF/SA/OP/ORT/SF/MD/SI/SS/AH/SP/FX/CO/GL/CJ/AD/WN/MN/YAD/ADLT/FEM/MALE/F36/
Gardner Family Care Corporation,Calworks Dual Diagnosis Program,,160 East Virginia Street,Suite 280,,San Jose,CA,95112,(408)287-6200,,MHSAF/SA/OP/OIT/ORT/MD/MC/CO/DU/CJ/AD/WN/MN/XA/CHLD/YAD/ADLT/FEM/MALE/
Horizon Services,Horizon South,,650 South Bascom Avenue,,,San Jose,CA,95128,(408)283-8555,,SAF/SA/DT/RES/RS/RD/SF/SI/PI/MI/SS/PA/CO/VET/CJ/SE/MN/TRMA/XA/DV/YAD/ADLT/MALE/
Kaiser San Jose,Alcohol and Drug Abuse Programs,,275 Hospital Parkway,Suite 370,,San Jose,CA,95119,(408)972-3366,,SAF/SA/DT/BU/NXN/VTRL/OP/OD/OMB/ORT/HID/MC/SI/PI/SP/AD/WN/MN/CHLD/ADLT/FEM/MALE/
Life Choices Treatment Services Inc,,,1157 East Taylor Street,,,San Jose,CA,95112,(408)971-7811,,HH/
New Life Recovery Centers Inc,,,782 Park Avenue,Suite 1,,San Jose,CA,95126,(408)297-1182 Intake: (866)894-6572,,SAF/SA/DT/BU/NXN/VTRL/HH/OP/RES/RS/RL/RD/ODT/OIT/SF/PI/YAD/ADLT/FEM/MALE/
PSAP Perinatal Services,,,2425 Enborg Lane,,,San Jose,CA,95128,(408)885-5400 Intakes: (408)885-5000 (800)488-9919,,SAF/SA/MM/BU/NXN/OP/OMB/OIT/ORT/SF/MD/MC/SI/PI/MI/IHS/SS/PA/CO/GL/PW/WN/TRMA/XA/DV/YAD/ADLT/FEM/
Pathway Society Inc,Mariposa Lodge,,9500 Malech Road,,,San Jose,CA,95138,(408)281-6555,,SAF/SA/DT/RES/RS/RL/RD/CT/SI/SP/FX/CO/GL/CJ/WN/TRMA/XA/DV/YAD/ADLT/FEM/F92/
Pathway Society Inc,Residential,,102 South 11th Street,,,San Jose,CA,95112,(408)998-5191x11 Intake: (408)998-5191,,MHSAF/SA/RES/RS/RL/SF/SP/FX/CO/VET/CJ/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/F81/F92/
Positive Progression Inc,,,1721 Lollie Court,,,San Jose,CA,95124,(888)333-3963,,SAF/SA/DT/BU/NXN/VTRL/OP/RES/RS/RL/RD/OD/OMB/ODT/OIT/ORT/CT/SF/PI/MI/AH/SP/CO/DU/GL/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/CHLD/YAD/ADLT/FEM/MALE/
Project Ninety Inc,,,3rd Street House,792 South 3rd Street,,San Jose,CA,95112,(408)295-3799 Intake: (650)295-3799,,SAF/SA/RES/RS/RL/SF/MD/SI/PI/ATR/SS/TRMA/YAD/ADLT/FEM/
Project Ninety Inc,,,9th Street House,561 South 9th Street,,San Jose,CA,95112,(408)885-1265 Intake: (408)885-1291,,SAF/SA/RES/RS/RL/SF/MD/SI/PI/ATR/SS/TRMA/YAD/ADLT/MALE/
Proyecto Primavera,Garner Family Care Corporation,,614 Tully Road,,,San Jose,CA,95111,(408)977-1591 Intake: (800)488-9919,,SAF/SA/OP/ORT/SF/MD/SS/SP/FX/CO/WN/MN/YAD/ADLT/FEM/MALE/F92/
San Jose Conservation Corps and,Charter,,1560 Berger Drive,,,San Jose,CA,95112,(408)459-6502 Intake: (408)272-6518,,SAF/SA/OP/ORT/MD/SI/PI/FX/AD/CHLD/ADLT/FEM/MALE/F92/
Santa Clara Cnty Dept of Alc/Drug Serv,Alexian Health Clinic,,2101 Alexian Drive,Suites A and B,,San Jose,CA,95116,(408)272-6577,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/VTRL/OTPA/OP/OD/OMB/ORT/SF/MD/SI/PI/MI/SS/SP/CO/VET/PW/WN/MN/YAD/ADLT/FEM/MALE/
Santa Clara Cnty Dept of Alc/Drug Serv,Central Treatment and Recovery Center,,976 Lenzen Avenue,1st Floor Suite 1900,,San Jose,CA,95126,(408)792-5656 Intake: (800)488-9919,,SAF/SA/OP/OIT/ORT/SF/MC/SI/SS/PA/SP/CO/GL/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Santa Clara Cnty Dept of Alc/Drug Serv,Central Valley Methadone Clinic,,2425 Enborg Lane,,,San Jose,CA,95128,(408)885-5400,Methadone and Buprenorphine Clients Only,SAF/SA/DT/MM/DM/BU/VTRL/OTPA/OP/OD/OMB/ORT/SF/MD/SI/PI/MI/SS/SP/CO/GL/VET/ADM/MF/CJ/SE/PW/WN/MN/XA/DV/YAD/ADLT/FEM/MALE/
Support Systems Homes Inc,Alcohol and Drug Treatment Center,,264 North Morrison Avenue,,,San Jose,CA,95126,(408)370-9688 Intake: (800)811-1800,,SAF/SA/DT/BU/NXN/OP/RES/RS/RL/RD/ODT/SF/PI/SP/FX/CO/CJ/YAD/ADLT/FEM/MALE/F92/
Support Systems Homes Inc,CADS Inc,,1281 Fleming Avenue,,,San Jose,CA,95127,(408)370-9688,,SAF/SA/RES/RS/RL/SF/PI/CJ/MN/YAD/ADLT/MALE/
VA Palo Alto Healthcare System,San Jose CBOC,,80 Great Oaks Boulevard,,,San Jose,CA,95119,(408)363-3000,,GHF/SA/NXN/VTRL/OP/OMB/ODT/ORT/CT/VAMC/PI/MI/PA/CO/VET/CJ/TRMA/YAD/ADLT/FEM/MALE/
Able to Change Recovery Inc,,,28522 Avenida Placida,,,San Juan Capistrano,CA,92675,(949)493-6800 Intake: (866)225-3260,,SAF/SA/NXN/RES/RS/RL/SF/PI/ADLT/FEM/
Able to Change Recovery Inc,,,31461 Rancho Viejo Road,Suite 105,,San Juan Capistrano,CA,92675,(866)225-3260 Intake: (949)493-6800,,SAF/SA/NXN/OP/RES/RS/RL/ODT/OIT/ORT/CT/SF/PI/YAD/ADLT/FEM/MALE/
Encompass Treatment Services LLC,Encompass Recovery,27122A Paseo Espada,Suite 924,,,San Juan Capistrano,CA,92675,(949)218-2228 Intakes: (888)690-0900 (949)218-4102,,SAF/SA/DT/OP/RES/RS/RL/RD/ODT/OIT/SF/PI/SS/YAD/ADLT/FEM/MALE/
Hope By The Sea,,,27432 Calle Arroyo Road,,,San Juan Capistrano,CA,92675,(949)218-2690 Intake: (866)930-4673,,MHSAF/SA/BU/NXN/VTRL/OP/ODT/OIT/ORT/SF/PI/YAD/ADLT/FEM/MALE/
Solutions for Recovery,,,31931 Paseo Terraza,,,San Juan Capistrano,CA,92675,(800)784-4791 Intake: (949)874-1332,,SAF/SA/DT/BU/NXN/VTRL/RES/RS/RL/RD/CT/SF/SI/PI/MI/ATR/SS/PA/AH/CO/GL/VET/ADM/MF/CJ/SE/WN/MN/TRMA/XA/DV/YAD/ADLT/FEM/MALE/
Women on the Way Recovery Center,,,1417 Thrush Avenue,Units B-D,,San Leandro,CA,94578,(510)698-6688,,HH/
Cottage Outpatient Center,San Luis Obispo,,1035 Peach Street,Suite 203,,San Luis Obispo,CA,93401,(805)541-9113,,MHSAF/SA/OP/OIT/SF/PI/CO/WN/MN/YAD/ADLT/FEM/MALE/
County of San Luis Obispo,San Luis Obispo County Drug/Alch Servs,,277 South Street,Suite T,,San Luis Obispo,CA,93401,(805)781-4275,,MHSAF/SA/DT/BU/NXN/OP/OD/OMB/OIT/ORT/SF/MD/MC/SS/AH/SP/CO/CJ/TRMA/YAD/ADLT/FEM/MALE/
