"","Name","Hospital.Type","Address","Address_2","City","State","Zipcode","County","Latitude","Longitude","Staffed.All.Beds","Staffed.ICU.Beds","Licensed.All.Beds","All.Bed.Occupancy.Rate","ICU.Bed.Occupancy.Rate","Staffed.All.Beds...SOURCE","Staffed.ICU.Beds...SOURCE","Licensed.All.Beds...SOURCE","All.Bed.Occupancy.Rate...SOURCE","ICU.Bed.Occupancy.Rate...SOURCE","CCM_ID","DH.ID","HCRIS.ID","HIFLD.ID"
"392","SPARTANBURG REHABILITATION INSTITUTE","REHABILITATION","160 HAROLD FLEMING CT","","SPARTANBURG","SC",29303,"SPARTANBURG",34.9896574310001,-81.942460234,40,0,40,0.809246575342466,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11029303,6041,423031,11029303
"393","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","GENERAL ACUTE CARE","ONE CAPITAL WAY","","PENNINGTON","NJ",8534,"MERCER",40.291986837,-74.802923279,145,16,221,1.12,0.73,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",110308534,2501,310044,110308534
"394","SOUTHEAST ALABAMA MEDICAL CENTER","GENERAL ACUTE CARE","1108 ROSS CLARK CIRCLE","","DOTHAN","AL",36301,"HOUSTON",31.216303648,-85.3636311239999,327,40,420,0.8,0.82,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11036301,56,10001,11036301
"395","TENNOVA HEALTHCARE - VOLUNTEER MARTIN","GENERAL ACUTE CARE","161 MOUNT PELIA ROAD","","MARTIN","TN",38237,"WEAKLEY",36.3347483760001,-88.8684962729999,38,6,100,0.23,0.32,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11038237,3552,440061,11038237
"396","EXETER HOSPITAL","GENERAL ACUTE CARE","5 ALUMNI DRIVE","","EXETER","NH",3833,"ROCKINGHAM",42.9826630900001,-70.935558339,97,19,100,0.64,0.65,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1103833,2462,300023,1103833
"397","WAYNE GENERAL HOSPITAL","GENERAL ACUTE CARE","950 MATTHEW DRIVE","","WAYNESBORO","MS",39367,"WAYNE",31.673117628,-88.6339130309999,49,6,80,0.56,0.44,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11039367,2172,250077,11039367
"398","SHORE MEDICAL CENTER","GENERAL ACUTE CARE","100 MEDICAL CENTER WAY","","SOMERS POINT","NJ",8244,"ATLANTIC",39.313967485,-74.592513018,199,16,203,0.47,0.55,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",110408244,2468,310047,110408244
"399","THE MEDICAL CENTER AT FRANKLIN","GENERAL ACUTE CARE","1100 BROOKHAVEN ROAD","","FRANKLIN","KY",42134,"SIMPSON",36.7000175790001,-86.576828386,25,NA,25,0.75,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11042134,1609,181318,11042134
"400","EAST LIVERPOOL CITY HOSPITAL","GENERAL ACUTE CARE","425 WEST 5TH STREET","","EAST LIVERPOOL","OH",43920,"COLUMBIANA",40.621855515,-80.585970467,132,10,132,0.36,0.49,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11043920,2892,360096,11043920
"401","PHYSICIANS' MEDICAL CENTER LLC","SPECIAL","4023 REAS LN","","NEW ALBANY","IN",47150,"FLOYD",38.339954129,-85.827989949,10,NA,10,0.34,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11047150,1219,150172,11047150
"402","ST JOHN MACOMB-OAKLAND HOSPITAL-OAKLAND CENTER","GENERAL ACUTE CARE","27351 DEQUINDRE","","MADISON HEIGHTS","MI",48071,"OAKLAND",42.493916022,-83.086793724,NA,NA,133,NA,NA,"None","None","HIFLD-BEDS","None","None",11048071,NA,NA,11048071
"403","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","GENERAL ACUTE CARE","ONE PLAINSBORO ROAD","","PLAINSBORO","NJ",8536,"MIDDLESEX",40.3403616350001,-74.6241641669999,206,24,429,0.8,0.25,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",110508536,2499,310010,110508536
"404","CHI HEALTH MERCY HOSPITAL","GENERAL ACUTE CARE","800 MERCY DRIVE","","COUNCIL BLUFFS","IA",51502,"POTTAWATTAMIE",41.2687867320001,-95.838794319,145,16,278,0.42,0.38,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11051502,1395,160028,11051502
"405","RICHLAND HSPTL","GENERAL ACUTE CARE","333 E SECOND ST","","RICHLAND CENTER","WI",53581,"RICHLAND",43.338702283,-90.382274339,25,4,25,0.44,0.26,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11053581,4204,521341,11053581
"406","MINNESOTA VALLEY HLTH CTR INC","CRITICAL ACCESS","621 SOUTH FOURTH STREET","","LESUEUR","MN",56058,"LE SUEUR",44.4540851260001,-93.915253194,9,NA,15,0.2,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11056058,2024,241375,11056058
"407","PORTER MEDICAL CENTER, INC.","CRITICAL ACCESS","116 PORTER DRIVE","","MIDDLEBURY","VT",5753,"ADDISON",44.0004308210001,-73.168242442,NA,NA,25,NA,NA,"None","None","HIFLD-BEDS","None","None",1105753,NA,NA,1105753
"408","EDWARD HOSPITAL","GENERAL ACUTE CARE","801 SOUTH WASHINGTON","","NAPERVILLE","IL",60540,"DUPAGE",41.7609656440001,-88.1499847329999,298,47,354,0.86,0.65,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11060540,1089,140231,11060540
"409","ROCKVILLE GENERAL HOSPITAL","GENERAL ACUTE CARE","31 UNION ST","","VERNON","CT",6066,"TOLLAND",41.8666005470001,-72.451211292,102,9,102,0.41,0.56,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1106066,679,70012,1106066
"410","FITZGIBBON HOSPITAL","GENERAL ACUTE CARE","2305 SOUTH 65 HIGHWAY","","MARSHALL","MO",65340,"SALINE",39.0914981720001,-93.2131591329999,42,7,60,0.3,0.37,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11065340,2265,260142,11065340
"411","SAINT LUKE'S SOUTH HOSPITAL","GENERAL ACUTE CARE","12300 METCALF AVENUE","","OVERLAND PARK","KS",66213,"JOHNSON",38.90396961,-94.66903502,83,8,181,0.62,0.73,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11066213,1465,170185,11066213
"412","VETERANS AFFAIRS NEW JERSEY HEALTH CARE SYSTEM EAST - ORANGE CAMPUS","MILITARY","385 TREMONT AVENUE","","EAST ORANGE","NJ",7018,"ESSEX",40.752533687,-74.236140181,NA,NA,439,NA,NA,"None","None","HIFLD-BEDS","None","None",1107018,2483,NA,1107018
"413","DRUMRIGHT REGIONAL HOSPITAL","CRITICAL ACCESS","610 W BYPASS","","DRUMRIGHT","OK",74030,"CREEK",35.998106787,-96.605966608,15,NA,15,0.545753,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","DH-BED_UTILIZ","None",11074030,3044,NA,11074030
"414","CLEVELAND EMERGENCY HOSPITAL","GENERAL ACUTE CARE","1017 SOUTH TRAVIS STREET","","CLEVELAND","TX",77327,"LIBERTY",30.3283583790001,-95.093755693,16,NA,16,0.04,NA,"HCRIS-Total Staffed Beds","None","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","None",11077327,6330,670115,11077327
"415","EARL AND LORRAINE MILLER CHILDRENS HOSPITAL","CHILDREN","2801 ATLANTIC AVENUE","","LONG BEACH","CA",90806,"LOS ANGELES",33.80817455,-118.185457576,357,30,357,0.56,0.46,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11090806,320,53309,11090806
"416","GROUP HEALTH COOPERATIVE/CENTRAL HOSPITAL","GENERAL ACUTE CARE","201 16TH AVENUE EAST","","SEATTLE","WA",98112,"KING",47.6199818800001,-122.31205809,24,NA,50,0.13,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11098112,4031,500052,11098112
"417","UNM CHILDREN'S PSYCHIATRIC CENTER","CHILDREN","1001 YALE BLVD NE","","ALBUQUERQUE","NM",87106,"BERNALILLO",35.092710482,-106.6215342,NA,NA,35,NA,NA,"None","None","HIFLD-BEDS","None","None",110987106,NA,NA,110987106
"418","PAPPAS REHABILITATION HOSPITAL FOR CHILDREN","CHILDREN","3 RANDOLPH STREET","","CANTON","MA",2021,"NORFOLK",42.175990535,-71.125256259,NA,NA,NA,NA,NA,"None","None","","None","None",11102021,5548,NA,11102021
"419","SAINT FRANCIS MEDICAL CENTER","GENERAL ACUTE CARE","601 HAMILTON AVENUE","","TRENTON","NJ",8629,"MERCER",40.216522184,-74.74165161,134,24,231,0.46,0.64,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11108629,2500,310021,11108629
"420","SUNNYVIEW REHABILITATION HOSPITAL","REHABILITATION","1270 BELMONT AVE","","SCHENECTADY","NY",12308,"SCHENECTADY",42.820171418,-73.9163125009999,17,NA,115,0.62,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11112308,2702,330406,11112308
"421","PENNSYLVANIA HOSPITAL","GENERAL ACUTE CARE","800 SPRUCE STREET","","PHILADELPHIA","PA",19107,"PHILADELPHIA",39.9452090550001,-75.1557320969999,403,29,475,0.59,NA,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11119107,3311,390226,11119107
"422","HENRICO DOCTORS' HOSPITAL - RETREAT","GENERAL ACUTE CARE","2621 GROVE AVENUE","","RICHMOND","VA",23220,"RICHMOND CITY",37.553912977,-77.473118539,NA,NA,227,NA,NA,"None","None","HIFLD-BEDS","None","None",11123220,NA,NA,11123220
"423","UNIVERSITY OF NORTH CAROLINA HOSPITALS","GENERAL ACUTE CARE","101 MANNING DR","","CHAPEL HILL","NC",27514,"ORANGE",35.904542703,-79.049689229,803,13,923,0.87,0.82,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11127514,2812,340061,11127514
"424","CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","455 ST MICHAELS DRIVE","","SANTA FE","NM",87505,"SANTA FE",35.659440986,-105.945780485,185,18,200,0.64,0.6,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",111287505,2565,320002,111287505
"425","FLORIDA HOSPITAL CARROLLWOOD","GENERAL ACUTE CARE","7171 N DALE MABRY HWY","","TAMPA","FL",33614,"HILLSBOROUGH",28.013237731,-82.504007245,103,8,103,0.51,0.58,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11133614,752,100069,11133614
"426","SPRINGHILL MEMORIAL HOSPITAL","GENERAL ACUTE CARE","3719 DAUPHIN STREET","","MOBILE","AL",36608,"MOBILE",30.684517488,-88.131336291,198,20,263,0.82,0.92,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11136608,81,10144,11136608
"427","SAINT THOMAS HIGHLANDS HOSPITAL, LLC","GENERAL ACUTE CARE","401 SEWELL ROAD","","SPARTA","TN",38583,"WHITE",35.949161291,-85.477237147,32,4,60,0.11,0.01,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11138583,3553,440192,11138583
"428","WEBSTER HEALTH SERVICES, INC","GENERAL ACUTE CARE","70 MEDICAL PLAZA","","EUPORA","MS",39744,"WEBSTER",33.5338297220001,-89.266252943,38,NA,38,0.53,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11139744,2173,250020,11139744
"429","THE MEDICAL CENTER AT SCOTTSVILLE","CRITICAL ACCESS","456 BURNLEY ROAD","","SCOTTSVILLE","KY",42164,"ALLEN",36.761475029,-86.2149691609999,25,NA,25,0.75,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11142164,1527,181324,11142164
"430","COMMUNITY HOSPITALS AND WELLNESS CENTERS BRYAN","GENERAL ACUTE CARE","433 WEST HIGH STREET","","BRYAN","OH",43506,"WILLIAMS",41.474096909,-84.5566941559999,75,7,98,0.22,0.27,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11143506,3016,360121,11143506
"431","PINNACLE HOSPITAL","GENERAL ACUTE CARE","9301 CONNECTICUT DR","","CROWN POINT","IN",46307,"LAKE",41.4480816980001,-87.3285665449999,18,2,18,0.5,0.05,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11146307,1246,150166,11146307
"432","WCA HOSPITAL","GENERAL ACUTE CARE","207 FOOTE AVE","","JAMESTOWN","NY",14701,"CHAUTAUQUA",42.0912722410001,-79.232120311,159,23,287,0.47,0.52,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1114701,2583,330239,1114701
"433","SELECT SPECIALTY HOSPITAL - PONTIAC","LONG TERM CARE","44405 WOODWARD AVENUE, 8TH FLOOR","","PONTIAC","MI",48341,"OAKLAND",42.614037764,-83.276815802,NA,NA,30,NA,NA,"None","None","HIFLD-BEDS","None","None",11148341,NA,NA,11148341
"434","UNM PSYCHIATRIC CENTER","PSYCHIATRIC","2600 MARBLE AVE NE","","ALBUQUERQUE","NM",87106,"BERNALILLO",35.090257732,-106.616245793,NA,NA,47,NA,NA,"None","None","HIFLD-BEDS","None","None",111487106,NA,NA,111487106
"435","BELOIT HEALTH SYSTEM","GENERAL ACUTE CARE","1969 W HART RD","","BELOIT","WI",53511,"ROCK",42.5482977120001,-89.008431523,103,12,256,0.45,0.48,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11153511,4207,520100,11153511
"436","UNM SANDOVAL REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","3001 BROADMOOR BLVD NE","","RIO RANCHO","NM",87144,"SANDOVAL",35.3087657990001,-106.680232941,60,NA,60,0.54,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",111587144,5885,320089,111587144
"437","SAINT ANTHONY MEDICAL CENTER","GENERAL ACUTE CARE","5666 EAST STATE STREET","","ROCKFORD","IL",61107,"WINNEBAGO",42.2698860130001,-89.007721583,248,38,254,0.57,0.6,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11161108,1193,140233,11161108
"438","SELECT SPECIALTY HOSPITAL-ST. LOUIS","LONG TERM CARE","300 1ST CAPITOL DRIVE","1st Floor/Unit 1A&B","ST. CHARLES","MO",63301,"ST. CHARLES",38.7804756080001,-90.483497438,63,0,63,0.618708472662527,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11163301,4725,262013,11163301
"439","MIAMI COUNTY MEDICAL CENTER","GENERAL ACUTE CARE","2100 BAPTISTE DRIVE","","PAOLA","KS",66071,"MIAMI",38.5693179310001,-94.8490647019999,18,NA,39,0.14,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11166071,1481,170109,11166071
"440","MONROE SURGICAL HOSPITAL","GENERAL ACUTE CARE","2408 BROADMOOR BLVD","","MONROE","LA",71201,"OUACHITA",32.5359085150001,-92.1023483159999,10,NA,10,0.12,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11171201,1677,190245,11171201
"441","HOLDENVILLE GENERAL HOSPITAL","CRITICAL ACCESS","100 MCDOUGAL DRIVE","","HOLDENVILLE","OK",74848,"HUGHES",35.089059174,-96.3785960389999,25,NA,25,0.29,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11174848,3057,371321,11174848
"442","GOODALL-WITCHER HOSPITAL","CRITICAL ACCESS","101 POSEY AVENUE","","CLIFTON","TX",76634,"BOSQUE",31.776852626,-97.588925563,25,NA,25,0.33,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11176634,3577,451385,11176634
"443","SELECT SPECIALTY HOSPITAL DANVILLE","LONG TERM CARE","100 ACADEMY AVENUE, MC42-10","","DANVILLE","PA",17822,"MONTOUR",40.9680273290001,-76.604083126,30,0,30,0.774794520547945,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1117822,4375,392047,1117822
"444","DESERT PARKWAY BEHAVIORAL HEALTHCARE HOSPITAL, LLC","PSYCHIATRIC","3247 S MARYLAND PARKWAY","","LAS VEGAS","NV",89109,"CLARK",36.1305926630001,-115.138230134,152,0,152,0.529884643114636,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",111889109,6202,294013,111889109
"445","EAST LOS ANGELES DOCTORS HOSPITAL","GENERAL ACUTE CARE","4060 WHITTIER BOULEVARD","","LOS ANGELES","CA",90023,"LOS ANGELES",34.023647302,-118.184164805,102,10,102,0.36,0.44,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11190023,387,50641,11190023
"446","HIGHLINE MEDICAL CENTER","GENERAL ACUTE CARE","16251 SYLVESTER RD SW","","BURIEN","WA",98166,"KING",47.4574355870001,-122.343212219,129,10,171,0.6,0.61,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11198166,4028,500011,11198166
"447","HEALTHSOUTH REHABILITATION HOSPITAL OF LAS VEGAS","REHABILITATION","1250 S VALLEY VIEW BLVD","","LAS VEGAS","NV",89102,"CLARK",36.1567317720001,-115.194223439,79,0,79,0.820010404022889,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",111989102,4805,293026,111989102
"448","SOUTHCOAST BEHAVIORAL HEALTH","PSYCHIATRIC","581 FAUNCE CORNER ROAD","","DARTMOUTH","MA",2747,"BRISTOL",41.672747141,-70.984713829,120,0,120,0.916803652968037,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11202747,6299,224041,11202747
"449","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT HAMILTON","GENERAL ACUTE CARE","1 HAMILTON HEALTH PLACE","","HAMILTON SQUARE","NJ",8690,"MERCER",40.216352988,-74.672064388,152,20,248,0.63,0.44,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11208690,2502,310110,11208690
"450","ST. ALBANS COMMUNITY LIVING CENTER","MILITARY","179-00 LINDEN BLVD","","JAMAICA","NY",11425,"QUEENS",40.6906466670001,-73.768675768,386,NA,386,NA,NA,"DH-NUM_STAFFE","None","DH-NUM_LICENS","None","None",11211425,5661,NA,11211425
"451","COBLESKILL REGIONAL HOSPITAL","GENERAL ACUTE CARE","178 GRANDVIEW DR","","COBLESKILL","NY",12043,"SCHOHARIE",42.6869295010001,-74.4817986619999,40,0,40,0.270993031358885,0,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11212043,2703,330268,11212043
"452","KINDRED HOSPITAL AT ST ROSE DE LIMA CAMPUS","LONG TERM CARE","102 E LAKE MEAD PARKWAY, THIRD FLOOR","","HENDERSON","NV",89015,"CLARK",36.038976843,-114.984406593,NA,NA,NA,NA,NA,"None","None","","None","None",112189015,NA,NA,112189015
"453","POTTSTOWN MEMORIAL MEDICAL CENTER","GENERAL ACUTE CARE","1600 EAST HIGH STREET","","POTTSTOWN","PA",19464,"MONTGOMERY",40.242617001,-75.612217001,183,18,232,0.42,0.34,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11219464,3302,390123,11219464
"454","ST. PETER'S HOSPITAL","GENERAL ACUTE CARE","315 S MANNING BLVD","","ALBANY","NY",12208,"ALBANY",42.655967723,-73.803655974,482,22,482,0.79,NA,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","None",112208,2573,330057,112208
"455","FAIRVIEW PARK HOSPITAL","GENERAL ACUTE CARE","200 INDUSTRIAL BOULEVARD","","DUBLIN","GA",31021,"LAURENS",32.5321545950001,-82.9504093149999,145,16,190,0.57,0.79,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11231021,946,110125,11231021
"456","ST. VINCENT'S BLOUNT","CRITICAL ACCESS","150 GILBREATH DRIVE","","ONEONTA","AL",35121,"BLOUNT",33.9296507290001,-86.494118629,25,6,25,0.5,0.34,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11235121,23,11305,11235121
"457","RIVERVIEW REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","158 HOSPITAL DRIVE","","CARTHAGE","TN",37030,"SMITH",36.264253457,-85.949745369,25,2,25,0.350466,NA,"DH-NUM_STAFFE","DH-NUM_ICU_BE","DH-NUM_LICENS","DH-BED_UTILIZ","None",11237030,3538,NA,11237030
"458","THREE RIVERS MEDICAL CENTER","GENERAL ACUTE CARE","2485 HWY 644","","LOUISA","KY",41230,"LAWRENCE",38.092486637,-82.604408295,65,6,90,0.2,0.35,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11241230,1579,180128,11241230
"459","UHHS BEDFORD MEDICAL CENTER","GENERAL ACUTE CARE","44 BLAINE AVENUE","","BEDFORD","OH",44146,"CUYAHOGA",41.3951438660001,-81.534072205,NA,NA,88,NA,NA,"None","None","HIFLD-BEDS","None","None",11244146,NA,NA,11244146
"460","PORTER REGIONAL HOSPITAL","GENERAL ACUTE CARE","85 EAST US HWY 6","","VALPARAISO","IN",46383,"PORTER",41.553276759,-87.049681709,238,32,276,0.65,0.52,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",11246383,1279,150035,11246383
"461","MERCY HEALTH PARTNERS, LAKESHORE CAMPUS","CRITICAL ACCESS","72 SOUTH STATE STREET","","SHELBY","MI",49455,"OCEANA",43.6066040380001,-86.364686191,24,NA,24,0.1,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11249455,4567,231320,11249455
"462","MAHASKA HEALTH PARTNERSHIP","CRITICAL ACCESS","1229 C AVENUE EAST","","OSKALOOSA","IA",52577,"MAHASKA",41.2992892890001,-92.629563587,25,NA,33,0.45,NA,"HCRIS-Total Staffed Beds","None","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","None",11252577,1374,161379,11252577
"463","EDGERTON HOSPITAL AND HEALTH SERVICES","GENERAL ACUTE CARE","11101 N SHERMAN ROAD","","EDGERTON","WI",53534,"ROCK",42.8347133400001,-89.044267249,18,NA,18,0.41,NA,"HCRIS-Total Staffed Beds","None","HCRIS-Total Staffed Beds","HCRIS-Total Bed Occupancy Rate","None",11253534,4205,521319,11253534
"464","BECKLEY ARH HOSPITAL","GENERAL ACUTE CARE","306 STANAFORD ROAD","","BECKLEY","WV",25801,"RALEIGH",37.798832695,-81.168183745,113,11,173,0.51,0.68,"HCRIS-Total Staffed Beds","HCRIS-ICU Total Staffed Beds","DH-NUM_LICENS","HCRIS-Total Bed Occupancy Rate","HCRIS-ICU Occupancy Rate",1125801,4106,510062,1125801
