Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID
PREVENTION CENTER,DRINKING DRIVER PREVENTION PROJECT,,250 ARAPAHOE STREET,SUITE 301,,BOULDER,CO,80302,(303)443-5696,AD/DW/PV/,0011CO80302
SERENITY CTR FOR PERSONAL GROHTH INC,,,2305 CANYON BOULEVARD,SUITE 101,,BOULDER,CO,80302,(303)449-8255,AL/AM/W/B/H/AI/TX/,2691CO80302
STORAGE TECHNOLOGY CORPORATION,CORPORATE PSYCHOLOGICAL SERVICES/EAP,,2885 EAST AURORA STREET,SUITE 18,,BOULDER,CO,80303,(303)673-5433,AD/AM/EA/TX/PV/,5720CO80303
HHOLE PERSON HEALTH CENTER,DUI/ALCOHOL OUTPATIENT,,353 HAX HELL AVENUE,,,BOULDER,CO,80304,(303)449-4121,AL/AM/IV/DW/TX/CI/PV/,4216CO80304
COMMUNITY COUNSELING SERVICES,,,260 HEST JESSUP STREET,,,BRIGHTON,CO,80601,(303)654-0576,AL/AM/H/DW/TX/CI/PV/,5277CO80601
EDUCATIONAL CENTER FOR ADDICTIONS,,,39-B SOUTH 4TH AVENUE,,,BRIGHTON,CO,80601,(303)654-1636,AL/AM/W/Y/B/H/PG/TX/,1480CO80601
DRUG AND ALCOHOL ABUSE INC,,,107 NORTH FIRST STREET,,,CANON CITY,CO,81212,(719)275-7650,AD/AM/W/Y/B/H/AI/PI/CU/PG/EA/DW/TX/CI/PV/,2176CO81212
PERSONAL AHARENESS COUNSELING,EDUCATION PROGRAMS IPACEJ,,107 B 5TH STREET,,,CASTLE ROCK,CO,80104,(303)688-2002,AD/AM/W/Y/H/HV/CU/DW/TX/PV/,5808CO80104
ALTERNATIVES,"ALCOHOL MANAGEME,IT PROGRAM",,103 SOUTH HAHSATCH STREET,SUITE 104,,COLORADO SPRINGS,CO,80903,(719)578-9947,AL/AM/TX/PV/,4427CO80903
CATE ALCOHOL EDUCATION PROGRAM,,,4740 fLINTRIDGE DRIVE,SUITE 201-8,,COLORADO SPRINGS,CO,80918,(719)593-8070,AL/AM/DW/TX/CI/PV/,4540CO80918
CONFIDENTIAL HEALTH CONSULTANTS,,,931 NORTH HEBER STREET,,,COLORADO SPRINGS,CO,80903,(719)578-9888,AL/AM/EA/DW/TX/CI/PV/,2486CO80903
EL PASO COUNTY HEALTH DEPARTMENT,ALCOHOL/DRUG TREATMENT PROGRAM,,710 SOUTH TEJON STREET,,,COLORADO SPRINGS,CO,80903,(719)578-3150,AD/AM/W/Y/A/B/H/HV/CU/IV/PG/EA/TX/CI/PV/MM/,9343CO80903
EMERGING REALITY,,,2910 NORTH ACADEMY BOULEVARD,SUITE 103,,COLORADO SPRINGS,CO,80917,(719)528-2819,AL/AM/TX/PV/,1166CO80917
GORDON S RIEGEL,CHEMICAL DEPENDENCY CENTER,,825 EAST PIKES PEAK AVENUE,,,COLORADO SPRINGS,CO,80903,(719)636-8741,AD/OT/RR/AM/W/A/HV/CU/IV/EA/TX/CI/,2725CO80903
HEALTH CHALLENGE COUNSELING CENTER INC,,,1715 MONTEREY ROAD,SUITE 198,,COLORADO SPRINGS,CO,80910,(719)578-9991,AD/AM/B/H/DW/TX/,4035CO80910
INTROSPECT COUNSELING CENTER,,,1205 SHASTA DRIVE,SUITE K,,COLORDO SPRINGS,CO,80910,(719)473-2388,AL/AM/W/B/DW/TX/PV/,6787CO80910
PATHWAYS CONFIDENTIAL COUNSELING INC,,,304 SOUTH 8TH STREET,SUITE lOlC,,COLORADO SPRINGS,CO,80905,(71q)520-9220,AD/AM/W/Y/HV/CU/DW/TX/CI/PV/,4183CO80905
PIKES PEAK CARE COALITION,,,;510 AUSTIN BLUFFS PARKWAY,ROOM 2,,COLORADO SPRINGS,CO,80918,(719)548-8877,AD/PV/OT/,0679CO80918
PIKES PEAK MENTAL HEALTH CENTER,SUBSTANCE ABUSE SERVICES,,2741 EAST LAS VEGAS STREET,,,COLORADO SPRINGS,CO,80906,(719)390-2400,AL/DT/W/Y/B/H/AI/HV/PI/PG/TX/,9777CO80906
POSITIVE CHANGE,,,1425 NORTH UNION STREET,SUITE 201,,COLORADO SPRINGS,CO,80909,(719)578-9730,AL/AM/H/TX/PV/,3964CO80909
TURNING POINT INSTITUTE,,,2862 SOUTH CIRCLE DRIVE,SPRINGS OFFICE PARK SUITE 215,,COLORADO SPRINGS,CO,80906,(719)579-0919,AL/AM/DW/TX/PV/,1577CO80906
UPLIFT AHARENESS CENTER,ALCOHOL ABUSE PROGRAM,,432 HEST BIJOU STREET,,,COLORADO SPRINGS,CO,80905,(719)471-2514,AL/AM/DW/TX/,9232CO80905
YOUTH RECOGNITION LTD,SOMEPLACE ELSE,,179 PARKSIDE DRIVE,2ND FLOOR,,COLORADO SPRINGS,CO,80910,(719)632-3362,AL/AM/DW/TX/CI/PV/,7519CO80910
HASHINGTON HOUSE INC,,,7373 BIRCH STREET,,,COMMERCE CITY,CO,80037,(303)289-3391,AL/AM/W/B/H/AI/PI/PG/DW/TX/CI/PV/,6615CO80037
CORTEZ COUNSELING SERVICES INC,,,16 NORTH MARKET STREET,,,CORTEZ,CO,81321,(303)565-8531,AD/AM/W/Y/AI/PG/TX/CI/PV/,9268CO81321
GARY GURNEY PSYCHOTHERAPIST,AND ASSOCIATES/SUBST ABUSE SERVICES,,439 BREEZE STREET,SUITE 101,,CRAIG,CO,81625,(303)824-2556,AD/AM/W/Y/A/PI/CU/IV/PG/EA/DW/H/TX/CI/PV/,3299CO81625
HILLTOP NUR3ING HOME,,,A AND HETTIG STREETS,,,CRIPPLE CREEK,CO,80813,(303)689-2931,AL/RR/TX/PV/,9109CO80813
CREATIVE COUNSELING PLACE,,,550 PALMER STREET,SUITE 103,,DELTA,CO,81416,(303)874-5110,AL/AM/W/Y/A/B/H/AI/HV/PI/CU/PG/DW/TX/CI/PV/,1463CO81416
ADAMS COUNTY DISTRICT ATTORNEYS,JUVENILE DIVERSION PROJECT,,7401 NORTH BROADWAY,SUTTE 250,,DENVER,CO,80221,(303)427-6001,AD/PV/,1240CO80221
ALCOHOL AWARENESS INFORMATION CTR INC,,,10248 EAST JEHELL AVENUE,SUITE 30,,DENVER,CO,80222,(303)337-0459,AL/DW/PV/,2637CO80222
ALCOHOL COUNSELING SERVICES OF CO INC,,,1300 SOUTH LAFAYETTE STREET,,,DENVER,CO,80210,(303)777-8648,AL/AM/A/DW/TX/CI/PV/,3554CO80210
BETHESDA ALCOHOL AND DRUG PROGRAM,,,4400 EAST ILIFF AVENUE,,,DENVER,CO,80222,(303)759-6310,AD/OT/RR/AM/H/DW/TX/,9212CO80222
BRIDGE COUNSELING CENTER,,,4120 HEST 38TH AVENUE,,,DENVER,CO,80212,(303)480-9042,AD/AM/W/Y/A/B/H/AI/HV/PI/CU/IV/PG/DW/TX/PV/,3965CO80212
COLORADO DEPARTMENT OF INSTITUTIONS,DIV OF YOUTH/SUBSTANCE ABUSE SERVICES,,4255 SOUTH KNOX COURT,,,DENVER,CO,80236,(303)762-4493,AD/OT/,1984CO80236
COMNUNITY ALCOHOL/DRUG RE HAB AND EDUCATION CENTER ICADRECJ,,,3315 GILPIN STREET,,,DENVER,CO,80205,(303)295-2521,AD/AM/W/Y/A/B/H/HV/CU/PG/EA/TX/PV/,3794CO80205
COMPREHENSIVE ADDICTION TRT SERVICES,,,1624 GILPIN STREET,,,DENVER,CO,80218,(303)394-2714,DA/AM/A/HV/CU/IV/MM/,1074CO80218
COUNSELING DIMENSIONS INC,,,11658 HURON STREET,,,DENVER,CO,80234,(303)450-0700,AD/AM/W/Y/HV/CU/DW/TX/PV/,2458CO80234
DENVER ALTERNATIVE YOUTH SERVICES,ADOLESCENT SUBSTANCE ABUSE TREATMENT,,1240 HEST BAYAUD AVENUE,,,DENVER,CO,80223,(303)698-2300,AD/AM/W/Y/H/AI/PI/DW/TX/CI/PV/,9101CO80223
DENVER DEPT OF HEALTH AND HOSPITALS,DENVER CARES OUTPATIENT SERVICES,,3840 YORK STREET,UNIT K,,DENVER,CO,80205,(303)296-9392,AD/OT/AM/W/A/B/H/AI/HV/PI/CU/PG/DW/TX/CI/PV/,0915CO80205
DENVER HEALTH AND HOSPITALS,DENVER CARES,,3840 YORK STREET,UNIT K,,DENVER,CO,80205,(303)296-9392,DA/AM/W/Y/A/B/H/AI/HV/PI/CU/PG/TX/CI/PV/MM/,2813CO80205
DENVER TREATMENT SERVICES,,,2231 fEDERAL BOULEVARD,,,DENVER,CO,80211,(303)477-7601,AD/AM/AM/AI/CU/DW/TX/CI/PV/,1126CO80211
DIVISION OF YOUTH SERVICES,,,4255 SOUTH KNOX COURT,,,DENVER,CO,80236,(303)762-4494,AD/OT/,3441CO80236
DRIVER DEVELOPMENT CENTER,,,120 HEST 5TH AVENUE,,,DENVER,CO,80204,(303)744-0128,AL/PV/,0819CO80204
GATEHAY TREATMENT CENTER,,,1191 SOUTH PARKER ROAD,SUITE 100,,DENVER,CO,80231,(303)696-8407,AD/AM/A/CU/IV/EA/TX/PV/,7333CO80231
INSIGHTS COUNSELING SERVICES INC,,,2200 AST 104TH AVENUE,SUITE 213,,DENVER,CO,80233,(303)457-9576,AD/AM/W/Y/A/AI/HV/IV/DW/TX/CI/PV/,1091CO80233
MERCY t!EDICAL CENTER,BEHAVIORAL MEDICINE DEPARTMENT,,1650 FILLMORE STREET,,,DENVER,CO,80206,(303)393-3503,AD/DT/RR/AM/W/Y/A/H/HV/CU/IV/PG/EA/DW/TX/CI/PV/,2113CO80206
METROPOLITAN CLINICS COUNSELING,,,1720 SOUTH BELLAIRE STREET,SUITE 807,,DENVER,CO,80222,(303)759-5292,AD/IV/EA/CI/PV/,9782CO80222
METROPOLITAN COUNSELING SERVICES,,,2700 HEST EVANS AVENUE,SUITE 20,,DENVER,CO,80210,(303)934-3045,AL/AM/DW/TX/,1974CO80210
MIDTOHN CENTER FOR COUNSELING,,,6000 EAST EVANS STREET,SUITE 1-401,,DENVER,CO,80222,(303)756-2870,AL/AM/DW/TX/PV/,7009CO80222
MILESTONE COUNSELING SERVICES INC,,,1210 EAST COLFAX STREET,SUITE 308,,DENVER,CO,80218,(303)894-8424,AD/AM/DW/TX/CI/,2190CO80218
MULTI SERVICES CLINIC INC,,,2715 CLAY STREET,,,DENVER,CO,80211,(303)455-4854,AD/AM/W/B/H/AI/TX/,7611CO80211
NEH LIFE MANAGEMENT INC,,,770 GRANT STREET,SUITE 228,,DENVER,CO,80203,(303)832-9894,AL/AM/W/Y/A/B/H/AI/HV/PI/CU/PG/DW/TX/,1313CO80203
NURSES OF COLORADO CORPORATION,,,5453 EAST EVANS PLACE,,,DENVER,CO,80222,(303)758-0596,AD/EA/PV/,0990CO80222
PARKSIDE LODGE OF COLORADO INC,COMMUNITY INTENSIVE RESID TRT UNIT,,8801 LIPAN STREET,,,DENVER,CO,80221,(303)430-0800,AD/OT/RR/AM/W/Y/AI/CU/EA/TX/CI/PV/,9783CO80221
PORTER HOSPITAL,THE CENTRE,,2525 SOUTH DOWNING STREET,,,DENVER,CO,80210,(303)778-5774,AD/OT/RR/AM/W/Y/A/B/H/HV/PI/CU/IV/PG/EA/DW/TX/CI/PV/,0148CO80210
ROCKY MOUNTAIN DRUG CONSULTATION CTR,,,645 BANNOCK STREET,,,DENVER,CO,80204,(303)893-3784,AD/PV/,3302CO80204
SALVATION ARMY ADULT REHAB CENTER,ALCOHOL ABUSE HALFHAY HOUSE CARE,,4751 BROADWAY,,,DENVER,CO,80216,(303)294-0827,AD/RR/B/H/AI/HV/PI/CU/TX/PV/,6720CO80216
SERVICIOS DE LA RAZA,ALCOHOL ABUSE PROGRAM,,4055 TEJON STREET,,,DENVER,CO,80211,(303)458-5851,AL/AM/W/H/DW/TX/PV/,9414CO80211
SOBRIETY HOUSE INC,STEPPING STONE,,107 ACOMA STREET,,,DENVER,CO,80223,(303)722-5746,AL/RR/TX/,7025CO80223
SPECIAL SERVICES CLINIC INC,,,3456 HEST FIRST STREET,,,DENVER,CO,80219,(303)937-1333,AL/AM/W/Y/H/PI/DW/TX/CI/PV/OT/,8140CO80219
USH COMMUNICATIONS,EMPLOYEE ASSISTANCE PROGRAM,,1005 17TH STREET,ROOM 470,,DENVER,CO,80202,(303)896-4387,AD/EA/CI/PV/,7990CO80202
VETERANS AFFAIRS MEDICAL CENTER,SUBSTANCE ABUSE SERVICES/? HEST,,1055 CLERMONT STREET,,,DENVER,CO,80220,(303)393-2882,AD/RR/AM/W/A/B/H/AI/HV/CU/IV/PG/EA/DW/TX/CI/PV/,5323CO80220
VETERANS AFFAIRS MEDICAL CENTER,SUBSTANCE ABUSE SERVICES/8 HEST,,1055 CLERMONT STREET,,,DENVER,CO,80220,(303)393-2882,AD/RR/AM/W/A/B/H/AI/HV/CU/IV/PG/EA/DW/TX/CI/PV/,5323CO80220
SH COLORADO COMMUNITY CORRECTIONS CTR,HILLTOP TREATMENT SERVICES,,1045 1/2 EAST 2ND AVENUE,,,DURANGO,CO,81302,(303)259-6226,AD/AM/W/Y/H/AI/DW/TX/PV/,6002CO81302
RUNNING CREEK COUNSELING SERVICE,,,,,,ELIZABETH,CO,80107,(303)646-3817,AD/RR/W/Y/A/HV/CU/IV/TX/CI/PV/,8385CO80107
ARAPAHOE MENTAL HEALTH CENTER,AQUARIUS CENTER,,4857 SOUTH BROADHAY,,,ENGLBIOOD,CO,80110,(303)761-0620,AD/AM/W/Y/A/B/H/HV/CU/IV/PG/TX/CI/OT/,9853CO80110
ENGLEHOOD COUNSELING CENT ER,396q SOUTH BROADHAY,,,,,ENGLEWOOD,CO,80110,(303)781-8075,AD/AM/H/PI/CU/IV/DW/TX/PV/,1484CO80110
FEDERAL CORRECTIONAL INSTITUTION,SUBSTANCE ABUSE SERVICES,,,,,ENGLHIOOD,CO,80123,(303)q85-1566,AD/EA/CI/PV/,6163CO80123
MILE HI COUNSELING INC,,,300 EAST HAMPDEN AVENUE,SUITE 230,,ENGLEWOOD,CO,80110,(303)762-8503,AD/AM/DW/TX/PV/,6465CO80110
PARKSIDE LODGE OF COLORADO INC,OUTPATIENT SERVICES AT OTC,,8000 EAST PRENTICE STREET,SUITE D-5,,ENGLEWOOD,CO,80222,(303)779-1301,AD/AM/TX/CI/PV/,0206CO80222
HARMONY FOUNDATION INC,ALCOHOL/DRUG ABUSE PROGRAM,,1600 FISH HATCHERY ROAD,,,ESTES PARK,CO,80517,(303)586-4491,AD/OT/RR/W/A/HV/CU/IV/PG/TX/CI/,4115CO80517
BELLWOOD RESOURCES CENTER INC,,,7592 SOUTH GARTNER ROAD,,,EVERGREEN,CO,80439,(303)674-4548,AL/AM/B/H/AI/DW/TX/CI/PV/,8085CO80439
CLEAR VIEH CENTER,,,521 HEST 5TH STREET,,,FLORENCE,CO,81226,(303)784-6337,AD/RR/H/IV/TX/,4848CO81226
CENTER FOR LIFE SKILLS EDUCATION,,,400 HEST MAGNOLIA STREET,,,FORT COLLINS,CO,80521,(303)484-7263,AL/AM/Y/HV/TX/PV/,2246CO80521
HOPE COUNSELING CENTER,,,1640 SOUTH COLLEGE AVENUE,,,FORT COLLINS,CO,80525,(303)493-1157,AD/AM/W/Y/A/H/CU/EA/DW/TX/PV/,9049CO80525
LARICO CENTER FOR YOUTH ADDICTION,,,614 MATTHEHS STREET,,,FORT COLLINS,CO,80524,(303)221-4040,AD/RR/Y/TX/PV/,8850CO80524
LARIMER COUNTY INSTITUTE FOR,ALCOHOL AHARENESS/FORT COLLINS,,253 LINDEN STREET,,,FORT COLLINS,CO,80524,(303)221-4057,AD/AM/H/HV/DW/TX/PV/,8282CO80524
SEVEN LAKES RECOVERY PROGRAM,,,2362 EAST PROSPECT AVENUE,,,FORT COLLINS,CO,80525,(303)484-0121,AD/AM/W/Y/A/HV/CU/IV/PG/TX/CI/,8522CO80525
COLORADO HEST REGIONAL MENTAL HEALTH,SUBSTANCE ABUSE SERVICES,,711 GRAND AVENUE,,,GLENWOOD SPRINGS,CO,81601,(303)945-8439,AD/DW/PV/,1718CO81601
S AND L COUNSELING,ALCOHOLISM SERVICES,,601 21ST STREET,SUITE 20A,,GLENHOOO SPRINGS,CO,81601,(303)945-8178,AL/PV/,8315CO81601
VALLEY VIEH YOUTH RECOVERY CENTER,,,1906 BLAKE AVENUE,,,GLENWOOD SPRINGS,CO,81601,(303)945-6535,AD/RR/IV/TX/,3372CO81601
JEFFERSON COUNTY SCHOOLS,EMPLOYEE ASSISTANCE PROGRAM,,1829 DENVER HEST DRIVE,BUILDING 27,,GOLDEN,CO,80401,(303)273-6543,AD/EA/CI/,0244CO80401
RED ROCKS COMM COLLEGE/SUBSTANCE PREV,TRAINING FOR CHILD CARE PROVIDERS,,12600 HEST 6TH AVENUE,,,GOLDEN,CO,80401,(303)988-6160TEX276,AD/PV/,3333CO80401
ADULT ADOLESCENT ALCOHOL TREATMENT,IAAATJ,,2600 NORTH 12TH STREET,,,GRAND JUNCTION,CO,81506,(303)245-6624,AL/AM/Y/HV/EA/DW/TX/CI/PV/,0169CO81506
ARU/GRAND JUNCTION,ALCOHOL AND DRUG ABUSE PROGRAM,,436 SOUTH 7TH STREET,,,GRAND JUNCTION,CO,81501,(303)245-4213,AD/DT/RR/AM/W/Y/PI/EA/TX/CI/PV/,4586CO81501
ASET CLINIC INC,OBA ADDICTION SERVS EDUC/TRT CLINIC,,1131 NORTH 21ST STREET,SUITE 2,,GRAND JUNCTION,CO,81501,(303)242-5792,AD/AM/W/Y/H/PG/DW/TX/CI/PV/,0996CO81501
GRAND MESA ADOLESCENT CENTER,NEH HORIZONS,,101 SOUTH 3RD STREET,SUITE 272,,GRAND JUNCTION,CO,81501,(303)241-9690,AD/AM/Y/A/B/H/HV/TX/PV/,6824CO81501
IN ROADS COUNSELING,,,1141 NORTH 25TH STREET,SUITE F,,GRAND JUNCTION,CO,81501,(303)245-2332,AD/AM/W/Y/A/HV/PI/IV/EA/DW/TX/,0599CO81501
MESA COUNTY PARTNERS,,,735 SOUTH AVENUE,,,GRAND JUNCTION,CO,81501,(303)245-5555,AD/PV/,1649CO81501
NATIONAL COUNCIL ON ALC AND DRUG ABUSE,MESA COUNTY INC,,101 SOUTH 3RD STREET,SUITE 270,,GRAND JUNCTION,CO,81501,(303)243-3140,AD/EA/DW/PV/OT/,0735CO81501
VETERANS AFFAIRS MEDICAL CENTER,SUBSTANCE ABUSE TREATMENT PROG ISATPl,,2121 NORTH AVENUE,BUILDING 6,,GRAND JUNCTION,CO,81501,(303)242-0731TEX2023,AL/OT/RR/AM/HV/IV/TX/PV/,3191CO81501
CENTENNIAL AREA HEALTH EDUCATION CTR,SUBSTANCE ABUSE EDUCATION AND TRAINING,,918 13TH STREET,SUITE 2,,GREELEY,CO,80631,(303)351-0755,AD/PV/,6975CO80631
FAMILY RECOVERY CENTER,,,1910 15TH STREET,,,GREELEY,CO,80631,(303)352-4673,AD/OT/RR/AM/A/IV/TX/CI/PV/,7543CO80631
INSTITUTE FOR ALCOHOL AH ARE NE SS,OF GREELEY,,920 11TH STREET,,,GREELEY,CO,80631,(303)351-0273,AL/AM/DW/TX/PV/,0746CO80631
ISLAND GROVE REGIONAL TRT CENTER INC,,,421 NORTH 15TH AVENUE,,,GREELEY,CO,80631,(303)356-6664,AD/DT/W/Y/A/H/HV/PI/CU/IV/PG/EA/TX/,3006CO80631
RESIDENTIAL TREATMENT CENTER,,,1750 6TH AVENUE,,,GREELEY,CO,80631,(303)351-7223,AD/RR/TX/PV/,2524CO80631
UNIV OF NORTHERN CO STUDENT HEALTH CTR,DRUG PREVENTION/EDUCATION PROGRAM,UNIVERSITY CENTER,ROOM 221B,,,GREELEY,CO,80639,(303)351-2573,AD/PV/,7312CO80639
HELD COUNTY PARTNERS,,,1212 8TH STREET,,,GREELEY,CO,80631,(303)351-0700,AD/CI/PV/,1800CO80631
THE ARK INC,CHEMICAL DEPENDENCY TREATMENT,,10930 HONDO AVENUE,,,GREEN MOUNTAIN FALLS,CO,80819,(719)684-9483,AD/RR/HV/IV/DW/TX/PV/,2578CO80819
PEACEFUL SPIRIT CENTER PRIMARY TRT,SOUTHERN UTE ALCOHOLISM PROGRAM,,296 MOUACHE ROAD,,,IGNACIO,CO,81137,(303)563-4555,AL/RR/AM/Y/AI/TX/,3506CO81137
PATHFINDERS,,,207 1/2 COLORADO AVENUE,,,LA JUNTA,CO,81050,(303)384-8503,AD/AM/W/Y/H/HV/CU/PG/EA/DW/TX/CI/PV/,4540CO81050
LAFAYETTE TRI COUNTY ALCOHOL AHARENESS,,,400 EAST SIMPSON STREET,SUITE 110,,LAFAYETTE,CO,80026,(303)666-6995,AL/AM/Y/B/H/HV/DW/TX/CI/PV/,2422CO80026
ALTERNATIVES HOMES FOR YOUTH,,,3000 YOUNGFIELD STREET,SUITE 157,,LAKEHOOD,CO,80215,(303)233-0041,AD/AM/Y/TX/CI/PV/,4813CO80215
BEHAVIORAL MANAGEMENT,COUNSELING OF COLORADO INC,,390 UNION BOULEVARD,SUITE 120,,LAKEHOOD,CO,80228,(303)985-1714,AD/AM/CU/IV/DW/TX/,4185CO80228
CENIKOR FOUNDATION INC,ALCOHOL AND DRUG ABUSE PROGRAM,,1533 GLEN AYR DRIVE,,,LAKEHOOD,CO,80215,(303)234-1288,AD/RR/W/B/H/AI/HV/PI/CU/IV/TX/PV/,9199CO80215
CHARTER HOSPITAL OF DENVER,ADULT ADDICTIVE DISEASE UNIT,,421 ZANG STREET,,,LAKEHOOD,CO,80228,(303)989-4357,AD/OT/RR/IV/TX/CI/PV/,4633CO80228
CROSSROADS COUNSELING LTD,,,8000 HEST 14TH AVENUE,SUITE 3,,LAKEHOOD,CO,80215,(303)232-8709,AD/AM/W/Y/A/HV/CU/IV/EA/DW/TX/CI/PV/OT/,9443CO80215
JEFFERSON COUNTY HEALTH DEPARTMENT,CHEMICAL DEPENDENCY DIVISION,,260 SOUTH KIPLING STREET,,,LAKEHOOD,CO,80226,(303)239-7162,AD/AM/Y/CU/DW/TX/CI/PV/,3509CO80226
SERENITY,,,1880 SOUTH PIERCE STREET,SUITE 11,,LAKEHOOD,CO,80226,(303)922-9484,AL/AM/H/TX/,4086CO80226
TOUCHSTONE COUNSELING CENTER,,,777 SOUTH HADSHORTH BOULEVARD,IRONGATE 2 SUITE 205,,LAKEHOOD,CO,80226,(303)989-9577,AL/AM/H/CU/DW/TX/CI/PV/,6828CO80226
SE COLORADO FOR DRUG FREE COMMUNITIES,,,2401 SOUTH MAIN STREET,,,LAMAR,CO,81052,(719)336-2248TEX29,AL/AM/TX/CI/PV/,9392CO81052
RESADA ALCOHOL AND DRUG ABUSE PROGRAM,,,11000 RD GG 5,,,LAS ANIMAS,CO,81054,(719)456-2600,AL/RR/W/B/H/AI/PI/CU/PG/TX/PV/,5177CO81054
LEADVILLE COUNSELING CENTER,,,130 HEST 5TH STREET,SUITE 122,,LEADVILLE,CO,80461,(719)486-1178,AD/AM/W/Y/H/AI/HV/PI/CU/EA/DW/TX/CI/PV/,3049CO80461
DRY CREEK TREATMENT CENTER,,,1562 EAST MINERAL PLACE,,,LITTLETON,CO,80122,(303)794-1419,AL/AM/DW/TX/,1869CO80122
DYNAMIC DIRECTIONS INC,,,5984 SOUTH PRINCE STREET,SUITE 101,,LITTLETON,CO,80120,(303)797-1440,AD/AM/W/Y/A/B/H/EA/DW/TX/CI/PV/,0674CO80120
ARVADA/LONGMONr COUNSELING CENTER,ALCOHOLISM PROGRAM,,2919 IEST 17TH AVENUE,SUITE 207,,LONGMONT,CO,80501,(303)776-8522,AD/AM/W/Y/A/B/H/AI/CU/PG/DW/TX/PV/,3028CO80501
HH CEMTER OF BOULDER COUNTY INC,LONGMONT BRANCH/SUBST ABUSE TRT TEAM,,529 COFFMAN STREET,,,LONGMONT,CO,80501,(303)670-6200,DA/AM/W/Y/H/CU/IV/TX/PV/,8433CO80501
PATTERNS FOR POSITIVE LIVING,,,1017 SOUTH BOULDER ROAD,ROOM F,,LOUISVILLE,CO,80027,(303)666-8866,AL/AM/IV/DW/TX/CI/PV/,3753CO80027
CREATIVE RESOURCE CENTER INC,,,4979 NORTH COUNTY ROAD 3 HEST,CORPORATE OFFICE,,MONlE VI5TA,CO,81144,(719)852-2453,AD/AM/W/Y/B/H/AI/HV/CU/IV/PG/EA/DW/TX/CI/PV/,0935CO81144
MIDIESTERN COLORADO MENTAL HEALTH CTR,THE CTR FOR MH/SUBST ABUSE SERVICES,,605 EAST MIAMI ROAD,,,MONTROSE,CO,81401,(303)249-9694,AD/AM/W/Y/H/PG/EA/TX/CI/PV/,9511CO81401
MONTROSE MEMORIAL HOSPITAL,CARE CENTER,,945 SOUTH 4TH STREET,,,MONTROSE,CO,81401,(303)240-7292,AD/AM/W/Y/A/HV/PI/CU/IV/EA/TX/CI/PV/,3537CO81401
THE GATE COUNSELING CENTER,,,42 PAGOSA STREET,2ND FLOOR,,PAGOSA SPRINGS,CO,81147,(303)264-4746,AD/DT/TX/PV/,9521CO81147
MAINSTREAM COUNSELING SERVICES INC,,,10521 SOUTH PARKER ROAD,SUITE F,,PARKER,CO,80134,(303)841-7295,AD/AM/W/Y/CU/DW/TX/PV/,1757CO80134
PARKER VALLEY HOPE,,,22422 EAST MAIN STREET,,,PARKER,CO,80134,(303)841-7857,AD/DT/RR/AM/IV/DW/TX/,6868CO80134
ADAPCP COUNSELING CENTER,PUEBLO DEPOT ACTIVITY,SDSTE-PU-ADCO,,,,PUEBLO,CO,81008,(719)549-4402,AD/AM/A/H/EA/DW/TX/CI/PV/,1643CO81008
AHARENESS INSTITUTE INC,,,635 HEST CORONA AVENUE,SUITE 115,,PUEBLO,CO,81004,(719)546-0904,AL/AM/W/A/B/H/AI/PG/DW/TX/PV/,1397CO81004
PARKVIEH MEDICAL CENTER,CHEMICAL DEPENDENCY PROGRAM,,58 CLUB MANOR DRIVE,,,PUEBLO,CO,81008,(719)545-5408,AD/DT/RR/W/A/H/HV/CU/IV/EA/DW/TX/CI/PV/,7908CO81008
PUEBLO TREATMENT SERVICES INC,,,509 EAST 13TH STREET,,,PUEBLO,CO,81001,(719)546-6666,AD/RR/W/A/HV/CU/IV/PG/EA/TX/PV/,5914CO81001
GARFIELD YOUTH SERVICES,,,902 TAUGHENBAUGH STREET,ROOM 302,,RIFLE,CO,81650,(303)625-3141,AD/CI/PV/,6629CO81650
HHITE RIVER COUNSELING,,,400 SOUTH 7TH STREET,SUITE 3200,,RIFLE,CO,81650,(303)625-3416,AD/AM/W/Y/A/HV/CU/IV/EA/DW/TX/PV/,1226CO81650
ROUTT COUNTY ALCOHOL COUNCIL,,,810 LINCOLN AVENUE,,,STEAMBOAT SPRINGS,CO,80477,(303)879-7708,AD/DW/PV/,1755CO80477
AJAX INC,,,217 NORTH FRONT STREET,,,STERLING,CO,80751,(303)522-7878,AD/AM/Y/PI/CU/TX/CI/PV/,5878CO80751
CENTENNIAL MENTAL HEALTH,STERLING OFFICE SUBSTANCE ABUSE SERVS,,211 HEST MAIN STREET,,,STERLING,CO,80751,(303)522-4392,AD/AM/W/Y/A/HV/PI/CU/IV/DW/TX/CI/PV/,7776CO80751
TRINIDAD FOR YOUTH,,,160 EAST FIRST STREET,,,TRINIDAD,CO,81082,(303)846-2208,AD/AM/W/Y/A/B/H/AI/HV/PI/CU/IV/PG/EA/TX/CI/PV/,5804CO81082
AHARENESS CENTER,,,5005 HEST 81ST PLACE,SUITE 300,,HESTMINSTER,CO,80030,(303)427-4197,AL/AM/W/Y/A/B/H/AI/HV/PG/DW/TX/PV/,7882CO80030
