GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GKT001,GKT002,GKT003,GKT004,GKT005,GKT006,GKT007,GKT008,GKT009,GKT010,GKT011,GKT012,GKT013,GKT014,GKT015,GKT016,GKT017,GKT018,GKT019,GKT020,GKT021,GKT022,GKT023,GKT024,GKT025,GKT026,GKT027,GKT028,GKT029,GKT030,GKT031,GKT032,GLD001
"G1600290","2000","US","4","8","Idaho","16","Caribou","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4573948205","84466498","Caribou County","A","+42726467","-111662032","06",,,13,11,6,58,48,36,60,38,657,237,414,162,312,67,19,11,0,3,4,67,19,74,73,79,843,258,374,157,233,51,7,0,2153
"G1600310","2000","US","4","8","Idaho","16","Cassia","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6647063674","35897093","Cassia County","A","+42357856","-113638731","06",,,172,63,149,291,202,130,211,202,1749,472,1096,294,553,224,143,48,130,21,219,197,146,245,232,204,1889,649,1129,418,558,148,22,0,6451
"G1600330","2000","US","4","8","Idaho","16","Clark","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4570381864","1503265","Clark County","A","+44240975","-112291097","06",,,20,14,29,13,5,6,15,13,70,29,24,7,34,12,3,0,10,15,19,7,12,10,8,13,72,26,61,9,21,3,0,0,282
"G1600350","2000","US","4","8","Idaho","16","Clearwater","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6375003321","69148734","Clearwater County","A","+46653353","-115858748","06",,,13,6,26,160,76,156,125,125,1291,231,490,214,299,102,28,31,2,4,1,118,108,159,71,112,1079,215,488,234,279,74,33,2,3490
"G1600370","2000","US","4","8","Idaho","16","Custer","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"12756844014","29383068","Custer County","A","+44211630","-114139033","06",,,8,12,20,71,24,44,40,57,540,121,226,76,226,45,17,4,0,2,20,23,31,35,50,31,589,144,248,76,162,46,11,13,1443
"G1600390","2000","US","4","8","Idaho","16","Elmore","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"7970880683","59391627","Elmore County","A","+43139342","-115537769","06",,,91,45,193,126,145,101,106,211,2066,1149,2422,1181,1053,430,163,41,65,58,139,139,146,248,157,213,2185,925,1400,570,909,291,53,13,5638
"G1600410","2000","US","4","8","Idaho","16","Franklin","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1723465364","7570284","Franklin County","A","+42153211","-111855585","06",,,12,33,37,55,30,32,83,71,1121,279,579,143,335,101,20,9,27,10,40,8,41,81,71,83,1308,368,527,207,291,49,7,11,2553
"G1600430","2000","US","4","8","Idaho","16","Fremont","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4834879096","74685583","Fremont County","A","+44175903","-111510212","06",,,58,42,46,142,79,111,79,113,1220,300,527,253,330,60,39,12,77,26,69,111,91,104,103,80,1132,288,646,279,300,59,14,0,3169
"G1600450","2000","US","4","8","Idaho","16","Gem","045",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1457066871","8209994","Gem County","A","+43969570","-116451291","06",,,17,9,107,207,154,171,186,172,1580,399,793,333,442,85,72,17,29,6,27,193,132,199,205,179,1801,504,825,336,391,65,19,8,5474
"G1600470","2000","US","4","8","Idaho","16","Gooding","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1892714019","7932216","Gooding County","A","+42873169","-114781459","06",,,46,88,166,276,156,203,167,183,1404,236,664,218,351,120,29,26,55,35,82,162,95,238,232,218,1633,342,587,222,392,108,21,6,4521
"G1600490","2000","US","4","8","Idaho","16","Idaho","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"21975746856","45562903","Idaho County","A","+45893268","-115888594","06",,,36,19,27,326,114,163,151,139,1997,359,922,292,583,155,57,28,24,0,14,225,72,217,128,164,2075,454,902,282,550,92,65,6,5962
"G1600510","2000","US","4","8","Idaho","16","Jefferson","051",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2836252504","27116238","Jefferson County","A","+43761293","-112106831","06",,,78,72,89,190,115,108,77,168,1283,518,941,505,687,215,40,40,43,27,87,112,72,112,142,122,1751,512,954,682,507,49,23,14,4918
"G1600530","2000","US","4","8","Idaho","16","Jerome","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1553568425","5263172","Jerome County","A","+42679123","-114304518","06",,,133,96,243,237,213,237,187,243,1429,460,859,429,556,162,71,25,54,37,146,155,145,229,215,159,1506,538,955,506,527,125,62,7,4936
"G1600550","2000","US","4","8","Idaho","16","Kootenai","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3224845525","182773264","Kootenai County","A","+47704372","-116770986","06",,,116,58,176,839,482,756,772,1277,9930,3061,6259,2748,4703,1500,770,211,83,91,103,694,444,854,976,1156,11217,3980,7385,3084,4414,1225,400,108,32778
"G1600570","2000","US","4","8","Idaho","16","Latah","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2788518961","616071","Latah County","A","+46786040","-116802597","06",,,70,22,79,227,127,158,124,121,2002,407,1640,675,2132,1015,219,860,42,12,11,146,158,133,152,176,2398,601,1423,603,2300,1040,163,257,6928
"G1600590","2000","US","4","8","Idaho","16","Lemhi","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11821116983","13843742","Lemhi County","A","+44948818","-113778243","06",,,8,10,33,87,87,59,49,121,825,210,454,153,373,106,48,7,10,6,12,88,62,71,106,129,859,312,507,155,287,64,73,2,3095
"G1600610","2000","US","4","8","Idaho","16","Lewis","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1240715453","1983845","Lewis County","A","+46233719","-116379388","06",,,11,7,4,68,33,12,27,24,420,71,299,88,142,26,19,6,0,0,9,70,44,24,33,44,482,84,284,73,147,31,10,4,1493
"G1600630","2000","US","4","8","Idaho","16","Lincoln","063",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3122302013","848289","Lincoln County","A","+42965518","-114212667","06",,,26,25,58,48,33,27,27,59,396,126,157,84,122,30,23,3,11,5,25,55,35,44,39,39,411,123,207,78,112,22,8,0,1093
"G1600650","2000","US","4","8","Idaho","16","Madison","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1221243194","4766279","Madison County","A","+43818344","-111741490","06",,,20,26,80,73,43,96,35,91,1017,367,687,556,671,440,93,194,24,19,53,124,91,91,91,118,1061,462,1020,798,674,175,20,10,4245
"G1600670","2000","US","4","8","Idaho","16","Minidoka","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1967414867","8698549","Minidoka County","A","+42670666","-113696748","06",,,115,124,334,298,232,188,240,181,1802,533,911,235,440,109,74,6,132,129,158,266,192,205,160,189,2108,640,979,388,401,113,47,11,6336
"G1600690","2000","US","4","8","Idaho","16","Nez Perce","069",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2199106991","18851831","Nez Perce County","A","+46410602","-116862484","06",,,27,5,78,338,194,343,278,416,3787,986,2039,929,1718,368,279,147,74,19,56,371,300,412,350,337,4089,1276,2180,1194,1675,360,109,25,12499
"G1600710","2000","US","4","8","Idaho","16","Oneida","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3108851426","3304581","Oneida County","A","+42174344","-112410452","06",,,13,0,7,20,26,64,35,17,314,137,321,95,157,27,9,0,0,0,0,28,47,23,15,43,478,191,185,60,145,29,7,0,1220
"G1600730","2000","US","4","8","Idaho","16","Owyhee","073",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"19885888661","48493695","Owyhee County","A","+42806872","-116190499","06",,,68,119,202,184,156,167,126,125,1088,148,445,112,245,52,29,3,44,57,103,180,114,168,149,104,1115,204,413,129,240,66,17,0,3651
"G1600750","2000","US","4","8","Idaho","16","Payette","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1055465027","6913011","Payette County","A","+43999903","-116867958","06",,,68,77,120,434,241,238,236,314,1893,500,968,374,515,157,48,30,33,44,137,300,203,242,263,306,2187,719,1078,432,473,111,20,0,6606
"G1600770","2000","US","4","8","Idaho","16","Power","077",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3640397464","95907049","Power County","A","+42770307","-112814105","06",,,31,21,181,120,63,48,54,53,716,157,278,141,234,71,16,12,33,40,75,145,78,69,67,19,711,176,332,113,235,47,8,0,2501
"G1600790","2000","US","4","8","Idaho","16","Shoshone","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6821807921","4117464","Shoshone County","A","+47417879","-116040486","06",,,20,15,38,299,175,187,204,161,1942,257,711,212,324,87,53,35,27,7,12,237,207,220,178,152,1956,466,760,236,363,76,44,9,5965
"G1600810","2000","US","4","8","Idaho","16","Teton","081",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1166436540","539274","Teton County","A","+43720419","-111144179","06",,,5,18,39,42,59,22,42,17,455,154,410,104,380,99,36,51,4,13,35,27,43,30,23,41,362,111,373,170,341,66,35,7,907
"G1600830","2000","US","4","8","Idaho","16","Twin Falls","083",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4985793354","8917541","Twin Falls County","A","+42489080","-114611547","06",,,182,200,264,835,397,600,502,703,5721,1485,3218,1446,2118,549,506,205,204,89,313,663,489,608,683,671,6285,2228,3722,1699,2139,554,213,53,20793
"G1600850","2000","US","4","8","Idaho","16","Valley","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"9525514622","144625558","Valley County","A","+44655511","-115920089","06",,,4,0,6,98,34,51,54,88,678,200,566,169,586,183,70,8,3,2,12,13,24,65,77,82,930,206,601,107,435,148,23,2,2107
"G1600870","2000","US","4","8","Idaho","16","Washington","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3771847470","44613238","Washington County","A","+44392256","-116851251","06",,,48,24,54,159,65,99,139,178,1060,246,447,122,357,113,5,9,34,47,96,127,72,110,189,89,1262,357,512,176,282,44,17,3,3257
"G1700010","2000","US","2","3","Illinois","17","Adams","001",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2218672126","37924714","Adams County","A","+39965452","-091268051","06",,,133,46,138,963,549,603,562,614,8025,1696,2781,1174,2515,924,324,209,99,31,96,1165,591,709,628,418,8893,2445,3272,1522,2760,960,205,51,18831
"G1700030","2000","US","2","3","Illinois","17","Alexander","003",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"612225870","41845883","Alexander County","A","+37146816","-089289480","06",,,41,45,29,168,168,267,232,238,993,245,335,119,143,52,34,0,43,21,46,268,162,98,140,146,1226,251,387,288,133,44,27,6,4827
"G1700050","2000","US","2","3","Illinois","17","Bond","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"984720341","6380583","Bond County","A","+38882098","-089434850","06",,,29,12,41,318,249,656,517,314,1991,327,767,258,623,151,90,59,17,4,27,313,99,220,204,173,2020,521,588,312,538,226,49,18,4842
"G1700070","2000","US","2","3","Illinois","17","Boone","007",,,,,"0",,,,,,,,,,,,,"6880","99","N","9999","9999","9",,,,,,,,,"728473464","1751854","Boone County","A","+42298948","-088834228","06",,,50,108,327,478,304,524,307,379,4642,1151,1771,733,1323,355,266,35,112,71,170,492,293,503,462,433,5326,1239,1581,834,1165,487,124,16,9687
"G1700090","2000","US","2","3","Illinois","17","Brown","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"791627134","4120069","Brown County","A","+39950254","-090740237","06",,,6,18,28,288,111,242,423,359,768,141,369,109,163,41,19,6,0,7,7,154,20,38,41,38,628,203,283,116,150,38,30,0,1587
"G1700110","2000","US","2","3","Illinois","17","Bureau","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2249570413","12264509","Bureau County","A","+41386420","-089477767","06",,,94,40,93,441,221,320,250,329,4557,966,1469,734,1269,440,136,49,49,46,111,583,248,404,322,276,4837,1265,1666,992,1304,419,141,14,10509
"G1700130","2000","US","2","3","Illinois","17","Calhoun","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"657379178","77365087","Calhoun County","A","+39168969","-090653186","06",,,9,2,44,158,35,40,36,43,864,133,138,109,82,37,23,4,0,2,11,178,29,66,28,29,708,234,186,114,133,46,7,0,1849
"G1700150","2000","US","2","3","Illinois","17","Carroll","015",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1150503971","55830292","Carroll County","A","+42076584","-089953145","06",,,12,10,47,246,161,171,111,133,2539,471,671,262,493,163,57,23,29,12,23,311,192,208,160,99,2527,562,709,336,590,129,42,17,4967
"G1700170","2000","US","2","3","Illinois","17","Cass","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"973578443","20281035","Cass County","A","+39975926","-090269918","06",,,46,36,130,297,113,117,92,119,1948,282,516,156,366,81,23,45,5,0,70,279,128,122,149,105,2064,403,541,193,483,95,52,0,4249
"G1700190","2000","US","2","3","Illinois","17","Champaign","019",,,,,"0",,,,,,,,,,,,,"1400","99","N","9999","9999","9",,,,,,,,,"2581715418","1881148","Champaign County","A","+40136824","-088216752","06",,,142,106,226,921,460,467,587,1089,11380,3299,6980,3130,8711,5709,1383,3815,236,152,233,1133,585,736,976,1023,12996,4304,7115,4081,10020,6301,920,1343,38415
"G1700210","2000","US","2","3","Illinois","17","Christian","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1836459714","17232565","Christian County","A","+39528077","-089262544","06",,,114,57,93,565,291,461,478,308,5144,1065,1493,554,767,247,158,31,27,53,72,774,228,461,295,315,5419,1297,1492,593,964,279,85,22,11354
"G1700230","2000","US","2","3","Illinois","17","Clark","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1298887932","8752855","Clark County","A","+39345598","-087802973","06",,,11,0,20,364,90,186,200,176,2228,358,648,374,545,166,50,27,12,0,31,505,164,262,173,119,2324,611,685,453,530,203,43,11,6211
"G1700250","2000","US","2","3","Illinois","17","Clay","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1215348986","1525520","Clay County","A","+38737029","-088470910","06",,,64,21,31,412,110,203,118,112,1909,341,431,387,302,113,60,17,38,33,20,496,185,245,126,169,1877,564,626,422,322,115,29,0,5402
"G1700270","2000","US","2","3","Illinois","17","Clinton","027",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"1228257056","75748972","Clinton County","A","+38598095","-089436849","06",,,228,28,55,1053,270,349,424,268,4315,825,1482,1021,1123,348,74,20,153,14,92,1413,204,300,236,216,3899,1170,1411,991,1161,224,75,21,9048
"G1700290","2000","US","2","3","Illinois","17","Coles","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1316453530","4615587","Coles County","A","+39507634","-088259377","06",,,118,34,100,801,277,414,321,368,4556,1142,1943,1048,1695,864,263,358,101,17,70,879,318,514,493,350,5335,1281,2097,1444,1706,1100,186,133,15538
"G1700310","2000","US","2","3","Illinois","17","Cook","031",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"2449300798","1785436307","Cook County","A","+41837649","-087767817","06",,,31791,16427,51188,57838,38121,47964,46376,77233,375017,96363,224814,77394,287120,117811,55110,21064,34221,17653,49646,73864,39705,56425,52982,78907,459658,127443,251445,103621,308557,132031,34512,12437,1730073
"G1700330","2000","US","2","3","Illinois","17","Crawford","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1148749411","5708708","Crawford County","A","+39009225","-087757873","06",,,9,23,28,330,164,350,391,330,2653,624,839,655,482,131,81,25,39,5,10,391,157,253,255,159,2520,720,862,790,451,206,51,11,6401
"G1700350","2000","US","2","3","Illinois","17","Cumberland","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"896179057","2537976","Cumberland County","A","+39272064","-088263215","06",,,7,7,21,263,61,108,99,95,1688,281,310,270,196,51,30,10,7,6,14,312,73,171,136,77,1472,406,425,302,319,102,26,7,3221
"G1700370","2000","US","2","3","Illinois","17","DeKalb","037",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1642457595","2106707","DeKalb County","A","+41897263","-088739318","06",,,181,96,259,497,402,537,483,602,6945,1956,3619,1661,3980,1586,292,820,204,65,182,552,360,601,464,625,7698,2435,3376,2010,3855,1909,300,360,19040
"G1700390","2000","US","2","3","Illinois","17","De Witt","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1029716440","19628562","De Witt County","A","+40178001","-088914787","06",,,24,31,18,277,159,169,173,157,2311,466,661,236,581,134,56,21,13,8,13,229,115,216,132,137,2645,672,656,309,589,99,43,4,4635
"G1700410","2000","US","2","3","Illinois","17","Douglas","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1079667857","1442988","Douglas County","A","+39769979","-088236661","06",,,47,27,71,654,92,143,98,113,2482,515,659,325,610,208,47,36,31,10,54,684,103,204,146,197,2634,488,858,502,610,195,74,6,5321
"G1700430","2000","US","2","3","Illinois","17","Dupage","043",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"864034248","7636291","DuPage County","A","+41856029","-088063587","06",,,2127,987,3444,3794,3014,4124,3318,6941,50132,16997,41380,16313,79369,32753,11454,5963,2349,1099,3367,5826,2721,5105,3405,7070,71243,24800,43371,20741,78782,29153,5849,2129,171735
"G1700450","2000","US","2","3","Illinois","17","Edgar","045",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1614999349","1632124","Edgar County","A","+39668118","-087746849","06",,,57,32,32,270,138,190,297,263,2667,444,685,395,646,120,109,22,33,5,23,257,225,284,197,195,2933,664,863,467,586,255,22,19,7187
"G1700470","2000","US","2","3","Illinois","17","Edwards","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"575879274","797996","Edwards County","A","+38398083","-088048393","06",,,2,9,28,110,66,87,59,32,851,189,353,246,160,42,19,12,17,8,11,149,68,106,40,60,1024,324,287,217,171,59,9,0,2549
"G1700490","2000","US","2","3","Illinois","17","Effingham","049",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1239826162","3115242","Effingham County","A","+39069653","-088592280","06",,,71,37,40,516,175,291,265,276,4116,844,1298,819,1163,308,178,36,31,9,24,870,209,226,299,248,4121,1098,1555,921,1118,369,95,9,8208
"G1700510","2000","US","2","3","Illinois","17","Fayette","051",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1855693082","22975523","Fayette County","A","+39000305","-088990889","06",,,35,36,46,553,280,468,593,491,2946,521,664,296,448,106,47,15,25,14,27,641,196,264,194,204,3025,570,738,463,463,182,53,7,7185
"G1700530","2000","US","2","3","Illinois","17","Ford","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1258473076","1339862","Ford County","A","+40552455","-088223413","06",,,15,6,18,164,91,104,122,98,1879,348,549,317,468,135,75,36,6,8,24,197,94,159,132,96,2137,546,627,492,422,100,86,6,3940
"G1700550","2000","US","2","3","Illinois","17","Franklin","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1067269330","50043890","Franklin County","A","+37974494","-088955152","06",,,118,30,100,785,357,509,454,442,4263,1195,1672,1034,1069,347,140,59,69,45,122,1170,363,655,485,580,5022,1456,1969,1012,984,338,91,30,17295
"G1700570","2000","US","2","3","Illinois","17","Fulton","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2241955768","43952645","Fulton County","A","+40499297","-090177649","06",,,120,22,74,699,479,678,658,674,4970,1248,1510,765,940,284,112,67,77,22,71,631,295,497,406,345,5112,1313,1836,1002,1119,307,184,12,11834
"G1700590","2000","US","2","3","Illinois","17","Gallatin","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"838450715","12120660","Gallatin County","A","+37782056","-088233803","06",,,30,3,43,191,92,124,63,54,796,170,244,133,103,39,18,0,22,8,26,255,82,64,69,57,858,276,270,206,117,48,17,3,3240
"G1700610","2000","US","2","3","Illinois","17","Greene","061",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1406599772","8424874","Greene County","A","+39369540","-090383013","06",,,41,20,32,304,124,153,165,81,2198,266,585,174,285,84,52,5,30,7,41,353,160,257,177,103,2046,532,608,252,349,135,66,3,5297
"G1700630","2000","US","2","3","Illinois","17","Grundy","063",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1087542889","27240335","Grundy County","A","+41309747","-088366716","06",,,48,4,147,331,209,273,279,293,4604,1281,1744,768,1323,362,146,32,51,13,34,368,240,345,279,280,4847,1605,1751,804,1334,372,96,34,8222
"G1700650","2000","US","2","3","Illinois","17","Hamilton","065",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1127069640","1746467","Hamilton County","A","+38096779","-088536242","06",,,34,0,34,241,62,97,67,87,965,280,382,240,194,81,22,6,85,20,36,368,60,148,105,64,906,288,423,256,199,109,7,0,3152
"G1700670","2000","US","2","3","Illinois","17","Hancock","067",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2058061147","51585223","Hancock County","A","+40424406","-091187696","06",,,9,21,27,302,129,135,179,138,2768,551,744,387,789,208,82,16,31,21,12,284,156,153,208,162,2918,700,1007,537,745,237,66,2,5546
"G1700690","2000","US","2","3","Illinois","17","Hardin","069",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"461881212","8287483","Hardin County","A","+37470687","-088281762","06",,,21,9,36,179,44,89,90,111,481,168,218,101,101,36,6,10,17,21,27,203,55,67,84,44,519,194,210,123,127,33,17,1,2545
"G1700710","2000","US","2","3","Illinois","17","Henderson","071",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"981118459","42248329","Henderson County","A","+40833378","-090946340","06",,,8,13,16,125,73,156,58,77,1329,244,323,147,159,53,19,2,5,0,8,115,65,113,76,89,1302,229,361,179,234,85,15,2,2403
"G1700730","2000","US","2","3","Illinois","17","Henry","073",,,,,"0",,,,,,,,,,,,,"1960","99","N","9999","9999","9",,,,,,,,,"2132110339","6176134","Henry County","A","+41351751","-090120495","06",,,30,70,131,652,371,543,534,377,5955,1425,2223,1107,1919,613,211,65,35,17,57,762,317,561,500,349,6751,1977,2487,1594,1797,557,185,11,12252
"G1700750","2000","US","2","3","Illinois","17","Iroquois","075",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2891534000","4151211","Iroquois County","A","+40749055","-087833796","06",,,133,36,98,518,239,354,316,308,4146,917,1167,581,663,278,145,91,85,47,57,739,232,419,346,226,4430,1090,1399,729,860,329,84,49,9785
"G1700770","2000","US","2","3","Illinois","17","Jackson","077",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1523235581","37301738","Jackson County","A","+37769401","-089314721","06",,,105,48,100,636,243,391,260,443,3917,1022,2324,1074,2764,1456,440,801,65,25,90,1055,224,508,301,327,4213,1158,2396,1287,2845,1494,247,400,16344
"G1700790","2000","US","2","3","Illinois","17","Jasper","079",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1280499931","9364378","Jasper County","A","+39009625","-088140296","06",,,3,9,15,206,70,102,75,42,1358,336,332,231,262,78,23,10,0,10,31,271,74,97,81,61,1313,369,403,351,270,86,10,0,2958
"G1700810","2000","US","2","3","Illinois","17","Jefferson","081",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1478768461","33040991","Jefferson County","A","+38310378","-088915252","06",,,91,67,87,887,332,566,705,738,4189,1137,1756,947,1199,392,230,123,100,13,97,1057,395,392,381,274,4649,1443,1801,1069,1178,432,99,15,14057
"G1700830","2000","US","2","3","Illinois","17","Jersey","083",,,,,"0",,,,,,,,,,,,,"7040","99","N","9999","9999","9",,,,,,,,,"956113325","20361792","Jersey County","A","+39083608","-090342138","06",,,15,33,40,387,81,206,215,235,2731,490,925,449,498,221,72,34,24,0,48,415,167,246,209,127,2758,897,936,589,647,221,49,17,5571
"G1700850","2000","US","2","3","Illinois","17","Jo Daviess","085",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1556790300","45674718","Jo Daviess County","A","+42393139","-090235822","06",,,37,20,26,552,125,193,136,249,3270,555,840,346,861,295,74,36,12,1,31,414,162,154,187,257,3235,791,1154,500,812,197,74,29,6383
"G1700870","2000","US","2","3","Illinois","17","Johnson","087",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"892580171","11004603","Johnson County","A","+37466033","-088894637","06",,,34,7,54,336,220,309,630,591,1388,336,619,307,331,148,46,39,18,5,22,300,96,146,98,113,1134,381,514,339,335,129,29,3,4087
"G1700890","2000","US","2","3","Illinois","17","Kane","089",,,,,"0",,,,,,,,,,,,,"1602","14","N","1600","9999","9",,,,,,,,,"1347922501","9439462","Kane County","A","+41918229","-088338441","06",,,2142,1286,5263,3821,3047,3071,2723,4300,27521,8204,16098,7075,23340,8590,2457,1471,1881,1331,4209,3793,2784,2817,2684,3536,33810,10631,16896,8513,22482,7852,1331,527,91628
"G1700910","2000","US","2","3","Illinois","17","Kankakee","091",,,,,"0",,,,,,,,,,,,,"1602","14","N","3740","9999","9",,,,,,,,,"1752772109","12162047","Kankakee County","A","+41137091","-087842340","06",,,707,261,503,1257,796,938,988,1344,11186,2419,4488,1763,2994,1170,394,230,384,163,247,1418,906,1239,1053,1095,12363,3267,4847,2362,3167,1546,264,85,33375
