GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E33001,E33002,E33003,E33004,E33005,E33006,E33007
"G1801830","1990","IN",,,,,,,,,,,"99","Whitley","183",,,"3","2760",,,,"9999","2","Indiana","18",,,,,"0000869026","0000006165","Whitley County","A","+41135419","-085503942","06",1293,2376,7822,3132,1225,788,733
"G1900010","1990","IA",,,,,,,,,,,"99","Adair","001",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001474561","0000002596","Adair County","A","+41327177","-094466243","06",663,635,2622,857,426,442,124
"G1900030","1990","IA",,,,,,,,,,,"99","Adams","003",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001097012","0000004834","Adams County","A","+41033055","-094702444","06",435,353,1542,576,210,207,115
"G1900050","1990","IA",,,,,,,,,,,"99","Allamakee","005",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001656587","0000049588","Allamakee County","A","+43279771","-091373077","06",1337,879,4380,1120,649,541,279
"G1900070","1990","IA",,,,,,,,,,,"99","Appanoose","007",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001285380","0000052072","Appanoose County","A","+40741209","-092868827","06",1312,1266,3603,1371,632,784,276
"G1900090","1990","IA",,,,,,,,,,,"99","Audubon","009",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001147768","0000001150","Audubon County","A","+41684710","-094905244","06",853,578,2163,702,268,359,135
"G1900110","1990","IA",,,,,,,,,,,"99","Benton","011",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001855618","0000005337","Benton County","A","+42079571","-092066456","06",1338,1838,6551,2297,1121,1054,348
"G1900130","1990","IA",,,,,,,,,,,"99","Black Hawk","013",,,"4","8920",,,,"9999","2","Iowa","19",,,,,"0001469497","0000011876","Black Hawk County","A","+42472700","-092306913","06",5718,9093,29945,11988,5596,8785,4276
"G1900150","1990","IA",,,,,,,,,,,"99","Boone","015",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001480152","0000005319","Boone County","A","+42036005","-093932980","06",1683,1596,6953,3026,1472,1762,583
"G1900170","1990","IA",,,,,,,,,,,"99","Bremer","017",,,"4","8920",,,,"9999","2","Iowa","19",,,,,"0001134250","0000004409","Bremer County","A","+42776080","-092307767","06",1888,1201,5939,2081,1107,1541,633
"G1900190","1990","IA",,,,,,,,,,,"99","Buchanan","019",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001479638","0000005424","Buchanan County","A","+42469076","-091839412","06",1373,1418,6088,1688,917,1070,373
"G1900210","1990","IA",,,,,,,,,,,"99","Buena Vista","021",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001488786","0000013678","Buena Vista County","A","+42741556","-095160763","06",1177,1069,5042,2195,1140,1457,448
"G1900230","1990","IA",,,,,,,,,,,"99","Butler","023",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001503287","0000003058","Butler County","A","+42728461","-092794795","06",1918,1062,4403,1450,740,730,264
"G1900250","1990","IA",,,,,,,,,,,"99","Calhoun","025",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001476819","0000005504","Calhoun County","A","+42387708","-094637196","06",930,764,3459,1261,691,684,248
"G1900270","1990","IA",,,,,,,,,,,"99","Carroll","027",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001474612","0000002378","Carroll County","A","+42035044","-094859098","06",2312,1130,5587,1885,1096,1123,404
"G1900290","1990","IA",,,,,,,,,,,"99","Cass","029",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001461665","0000001761","Cass County","A","+41329986","-094932888","06",1003,1000,4577,1793,709,934,367
"G1900310","1990","IA",,,,,,,,,,,"99","Cedar","031",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001501092","0000006308","Cedar County","A","+41772603","-091131895","06",1220,1167,4922,1814,960,1084,390
"G1900330","1990","IA",,,,,,,,,,,"99","Cerro Gordo","033",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001472224","0000017490","Cerro Gordo County","A","+43083076","-093260936","06",2262,3535,10799,5797,3792,3371,1432
"G1900350","1990","IA",,,,,,,,,,,"99","Cherokee","035",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001494950","0000000471","Cherokee County","A","+42735462","-095623017","06",912,849,4351,1561,737,769,246
"G1900370","1990","IA",,,,,,,,,,,"99","Chickasaw","037",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001307182","0000002144","Chickasaw County","A","+43059704","-092317007","06",1284,873,4045,1097,546,636,223
"G1900390","1990","IA",,,,,,,,,,,"99","Clarke","039",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001116687","0000001555","Clarke County","A","+41029073","-093783863","06",514,729,2629,898,300,367,124
"G1900410","1990","IA",,,,,,,,,,,"99","Clay","041",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001473541","0000009392","Clay County","A","+43084999","-095154581","06",651,1092,4727,2216,1123,1382,279
"G1900430","1990","IA",,,,,,,,,,,"99","Clayton","043",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0002017221","0000036271","Clayton County","A","+42853626","-091340623","06",1916,1257,5878,1562,727,812,311
"G1900450","1990","IA",,,,,,,,,,,"99","Clinton","045",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001800161","0000039401","Clinton County","A","+41897142","-090534271","06",3343,4204,13411,5336,2762,3148,1159
"G1900470","1990","IA",,,,,,,,,,,"99","Crawford","047",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001850324","0000001632","Crawford County","A","+42039142","-095383703","06",1776,1212,4908,1281,631,782,288
"G1900490","1990","IA",,,,,,,,,,,"99","Dallas","049",,,"4","2120",,,,"9999","2","Iowa","19",,,,,"0001519048","0000013635","Dallas County","A","+41688064","-094037986","06",1205,1979,7906,3633,1509,2363,793
"G1900510","1990","IA",,,,,,,,,,,"99","Davis","051",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001303508","0000004270","Davis County","A","+40748059","-092410181","06",942,589,2228,770,346,415,154
"G1900530","1990","IA",,,,,,,,,,,"99","Decatur","053",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001378529","0000002873","Decatur County","A","+40737907","-093783594","06",696,779,2148,707,258,381,261
"G1900550","1990","IA",,,,,,,,,,,"99","Delaware","055",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001496721","0000003096","Delaware County","A","+42469648","-091366843","06",1483,939,5298,1424,778,914,318
"G1900570","1990","IA",,,,,,,,,,,"99","Des Moines","057",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001077896","0000035352","Des Moines County","A","+40920863","-091174917","06",2448,3486,11226,5058,2308,2482,1098
"G1900590","1990","IA",,,,,,,,,,,"99","Dickinson","059",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0000986969","0000058633","Dickinson County","A","+43377193","-095151784","06",675,995,4103,1836,1061,1323,520
"G1900610","1990","IA",,,,,,,,,,,"99","Dubuque","061",,,"4","2200",,,,"9999","2","Iowa","19",,,,,"0001575286","0000021776","Dubuque County","A","+42472788","-090885767","06",5922,6028,22405,7291,3039,6261,2743
"G1900630","1990","IA",,,,,,,,,,,"99","Emmet","063",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001025043","0000017183","Emmet County","A","+43378084","-094669178","06",728,888,2952,1184,872,636,182
"G1900650","1990","IA",,,,,,,,,,,"99","Fayette","065",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001893240","0000001276","Fayette County","A","+42858180","-091845342","06",1851,1507,6308,2010,979,1198,498
"G1900670","1990","IA",,,,,,,,,,,"99","Floyd","067",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001296545","0000001909","Floyd County","A","+43058144","-092789780","06",1121,1264,4899,1751,948,966,422
"G1900690","1990","IA",,,,,,,,,,,"99","Franklin","069",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001508646","0000001485","Franklin County","A","+42730529","-093260473","06",904,697,3042,1427,757,696,260
"G1900710","1990","IA",,,,,,,,,,,"99","Fremont","071",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001324314","0000014161","Fremont County","A","+40743126","-095599944","06",522,723,2334,985,394,484,147
"G1900730","1990","IA",,,,,,,,,,,"99","Greene","073",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001472261","0000007048","Greene County","A","+42038345","-094391450","06",529,786,3096,1078,545,715,241
"G1900750","1990","IA",,,,,,,,,,,"99","Grundy","075",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001301612","0000000083","Grundy County","A","+42401201","-092790958","06",1057,634,3561,1282,711,773,241
"G1900770","1990","IA",,,,,,,,,,,"99","Guthrie","077",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001529736","0000006364","Guthrie County","A","+41683568","-094501129","06",789,873,3474,1150,518,525,220
"G1900790","1990","IA",,,,,,,,,,,"99","Hamilton","079",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001493679","0000001979","Hamilton County","A","+42381060","-093709227","06",948,1293,4402,1877,1015,1080,315
"G1900810","1990","IA",,,,,,,,,,,"99","Hancock","081",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001479266","0000005269","Hancock County","A","+43086340","-093742557","06",948,832,3237,1323,1062,623,227
"G1900830","1990","IA",,,,,,,,,,,"99","Hardin","083",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001474516","0000001752","Hardin County","A","+42379717","-093241515","06",1465,1292,4947,2266,1245,1174,419
"G1900850","1990","IA",,,,,,,,,,,"99","Harrison","085",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001804853","0000010705","Harrison County","A","+41687151","-095809926","06",1078,1247,4330,1699,511,650,240
"G1900870","1990","IA",,,,,,,,,,,"99","Henry","087",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001125282","0000005809","Henry County","A","+40988540","-091543838","06",1244,1364,4941,2045,1054,1326,479
"G1900890","1990","IA",,,,,,,,,,,"99","Howard","089",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001226202","0000000928","Howard County","A","+43352475","-092315493","06",1291,505,2932,825,531,405,138
"G1900910","1990","IA",,,,,,,,,,,"99","Humboldt","091",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001125181","0000003409","Humboldt County","A","+42782088","-094202591","06",661,814,3219,1185,650,626,227
"G1900930","1990","IA",,,,,,,,,,,"99","Ida","093",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001118201","0000001342","Ida County","A","+42381458","-095513075","06",810,526,2449,789,362,516,94
"G1900950","1990","IA",,,,,,,,,,,"99","Iowa","095",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001519044","0000002303","Iowa County","A","+41687503","-092065664","06",1502,839,4375,1425,662,792,309
"G1900970","1990","IA",,,,,,,,,,,"99","Jackson","097",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001647628","0000035386","Jackson County","A","+42164952","-090576042","06",2211,1356,5639,1588,758,904,385
"G1900990","1990","IA",,,,,,,,,,,"99","Jasper","099",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001890791","0000007610","Jasper County","A","+41685998","-093052619","06",2384,2818,10261,3309,1495,2232,727
"G1901010","1990","IA",,,,,,,,,,,"99","Jefferson","101",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001127646","0000003563","Jefferson County","A","+41033282","-091948011","06",894,1094,3788,1819,649,1712,1253
"G1901030","1990","IA",,,,,,,,,,,"99","Johnson","103",,,"4","3500",,,,"9999","2","Iowa","19",,,,,"0001591651","0000022972","Johnson County","A","+41665667","-091589563","06",2309,2681,11314,9254,4159,12745,10591
"G1901050","1990","IA",,,,,,,,,,,"99","Jones","105",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001490167","0000003585","Jones County","A","+42120175","-091131197","06",1385,1358,5663,2223,858,1003,361
"G1901070","1990","IA",,,,,,,,,,,"99","Keokuk","107",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001500224","0000001943","Keokuk County","A","+41336959","-092180601","06",943,879,3675,1085,528,545,190
"G1901090","1990","IA",,,,,,,,,,,"99","Kossuth","109",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0002520257","0000003586","Kossuth County","A","+43204989","-094196696","06",1490,1090,4988,2067,1275,1108,354
"G1901110","1990","IA",,,,,,,,,,,"99","Lee","111",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001340114","0000055381","Lee County","A","+40644531","-091478060","06",2718,3076,11319,4301,1612,1886,880
"G1901130","1990","IA",,,,,,,,,,,"99","Linn","113",,,"4","1360",,,,"9999","2","Iowa","19",,,,,"0001858359","0000018401","Linn County","A","+42079317","-091594893","06",5907,10405,37537,20853,9951,17091,6142
"G1901150","1990","IA",,,,,,,,,,,"99","Louisa","115",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001041026","0000040751","Louisa County","A","+41217415","-091261528","06",665,1095,3336,1164,482,506,179
"G1901170","1990","IA",,,,,,,,,,,"99","Lucas","117",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001115238","0000009372","Lucas County","A","+41027345","-093326667","06",645,774,3001,853,333,467,120
"G1901190","1990","IA",,,,,,,,,,,"99","Lyon","119",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001521757","0000000347","Lyon County","A","+43373076","-096209069","06",1691,538,2964,1032,527,594,174
"G1901210","1990","IA",,,,,,,,,,,"99","Madison","121",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001453427","0000003005","Madison County","A","+41330604","-094014932","06",660,846,3734,1404,548,693,289
"G1901230","1990","IA",,,,,,,,,,,"99","Mahaska","123",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001478752","0000006478","Mahaska County","A","+41333869","-092644966","06",1984,1509,5784,1936,831,1271,543
"G1901250","1990","IA",,,,,,,,,,,"99","Marion","125",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001435531","0000042271","Marion County","A","+41334627","-093101356","06",2776,2170,7511,2851,1056,1774,651
"G1901270","1990","IA",,,,,,,,,,,"99","Marshall","127",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001482433","0000001811","Marshall County","A","+42033473","-093001746","06",1851,2806,10031,4729,2178,2860,1180
"G1901290","1990","IA",,,,,,,,,,,"99","Mills","129",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001130705","0000008116","Mills County","A","+41033605","-095618292","06",955,1102,3374,1547,542,834,254
"G1901310","1990","IA",,,,,,,,,,,"99","Mitchell","131",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001214585","0000001225","Mitchell County","A","+43358923","-092786385","06",1089,681,3167,1107,507,637,177
"G1901330","1990","IA",,,,,,,,,,,"99","Monona","133",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001795280","0000014846","Monona County","A","+42050438","-095953364","06",900,1002,3139,890,388,561,166
"G1901350","1990","IA",,,,,,,,,,,"99","Monroe","135",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001122611","0000001812","Monroe County","A","+41028619","-092869761","06",596,736,2406,963,329,273,164
"G1901370","1990","IA",,,,,,,,,,,"99","Montgomery","137",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001097914","0000002411","Montgomery County","A","+41031473","-095156377","06",755,908,3583,1459,536,825,234
"G1901390","1990","IA",,,,,,,,,,,"99","Muscatine","139",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001136210","0000026939","Muscatine County","A","+41487343","-091113265","06",2773,3548,9591,4176,1873,2390,889
"G1901410","1990","IA",,,,,,,,,,,"99","O Brien","141",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001484414","0000000444","O'Brien County","A","+43084046","-095625507","06",1723,999,3793,1669,807,920,379
"G1901430","1990","IA",,,,,,,,,,,"99","Osceola","143",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001032887","0000001870","Osceola County","A","+43377347","-095619348","06",850,486,1941,663,379,298,180
"G1901450","1990","IA",,,,,,,,,,,"99","Page","145",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001385285","0000001358","Page County","A","+40738139","-095149618","06",1273,1229,4810,1727,864,1101,450
"G1901470","1990","IA",,,,,,,,,,,"99","Palo Alto","147",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001460440","0000014428","Palo Alto County","A","+43090980","-094679762","06",868,757,2654,1221,624,706,194
"G1901490","1990","IA",,,,,,,,,,,"99","Plymouth","149",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0002236805","0000000997","Plymouth County","A","+42736720","-096216082","06",1928,1283,5885,2288,1013,1584,612
"G1901510","1990","IA",,,,,,,,,,,"99","Pocahontas","151",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001496356","0000003691","Pocahontas County","A","+42733449","-094678171","06",701,612,2675,1048,710,638,206
"G1901530","1990","IA",,,,,,,,,,,"99","Polk","153",,,"4","2120",,,,"9999","2","Iowa","19",,,,,"0001474960","0000058163","Polk County","A","+41680800","-093568953","06",8674,21805,68537,43457,16762,34741,15189
"G1901550","1990","IA",,,,,,,,,,,"99","Pottawattamie","155",,,"4","5920",,,,"9999","2","Iowa","19",,,,,"0002471710","0000014704","Pottawattamie County","A","+41339650","-095545890","06",4649,7460,21779,9611,3633,4085,1747
"G1901570","1990","IA",,,,,,,,,,,"99","Poweshiek","157",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001515351","0000002967","Poweshiek County","A","+41694480","-092531890","06",967,1237,5472,1742,631,1187,756
"G1901590","1990","IA",,,,,,,,,,,"99","Ringgold","159",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001392666","0000003235","Ringgold County","A","+40735000","-094244289","06",402,442,1717,571,314,254,140
"G1901610","1990","IA",,,,,,,,,,,"99","Sac","161",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001491417","0000006697","Sac County","A","+42386706","-095103827","06",881,1010,3497,1223,668,827,233
"G1901630","1990","IA",,,,,,,,,,,"99","Scott","163",,,"4","1960",,,,"9999","2","Iowa","19",,,,,"0001185996","0000026650","Scott County","A","+41641600","-090622189","06",6002,11458,30497,18441,7133,14588,5995
"G1901650","1990","IA",,,,,,,,,,,"99","Shelby","165",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001530473","0000001258","Shelby County","A","+41679068","-095308893","06",1074,782,3970,1252,637,857,274
"G1901670","1990","IA",,,,,,,,,,,"99","Sioux","167",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001988986","0000001811","Sioux County","A","+43082979","-096177420","06",3482,1372,5965,2583,1292,1626,855
"G1901690","1990","IA",,,,,,,,,,,"99","Story","169",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001483779","0000002169","Story County","A","+42036923","-093466437","06",1361,2073,9595,7403,3193,8068,6635
"G1901710","1990","IA",,,,,,,,,,,"99","Tama","171",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001868308","0000002772","Tama County","A","+42081370","-092532090","06",1535,1273,5005,1817,672,972,332
"G1901730","1990","IA",,,,,,,,,,,"99","Taylor","173",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001383005","0000002260","Taylor County","A","+40733980","-094692003","06",620,597,2292,600,341,288,134
"G1901750","1990","IA",,,,,,,,,,,"99","Union","175",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001099226","0000004058","Union County","A","+41027669","-094242081","06",681,1082,3557,1444,545,748,321
"G1901770","1990","IA",,,,,,,,,,,"99","Van Buren","177",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001256803","0000013818","Van Buren County","A","+40754570","-091953155","06",723,576,2428,670,249,364,130
"G1901790","1990","IA",,,,,,,,,,,"99","Wapello","179",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001118480","0000010806","Wapello County","A","+41029909","-092409287","06",2815,3382,9652,3785,1759,1779,854
"G1901810","1990","IA",,,,,,,,,,,"99","Warren","181",,,"4","2120",,,,"9999","2","Iowa","19",,,,,"0001480652","0000004047","Warren County","A","+41333408","-093560432","06",1091,1785,9710,4249,1744,2605,979
"G1901830","1990","IA",,,,,,,,,,,"99","Washington","183",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001473258","0000005137","Washington County","A","+41337091","-091716737","06",1752,1233,5605,2040,808,1127,384
"G1901850","1990","IA",,,,,,,,,,,"99","Wayne","185",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001361412","0000003824","Wayne County","A","+40738437","-093326465","06",702,714,2239,622,306,282,137
"G1901870","1990","IA",,,,,,,,,,,"99","Webster","187",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001852559","0000007310","Webster County","A","+42434148","-094178790","06",2390,3339,9986,4736,2405,2618,1019
"G1901890","1990","IA",,,,,,,,,,,"99","Winnebago","189",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001037251","0000002862","Winnebago County","A","+43378350","-093725049","06",1008,683,2729,1502,866,902,205
"G1901910","1990","IA",,,,,,,,,,,"99","Winneshiek","191",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001786219","0000000699","Winneshiek County","A","+43290968","-091843213","06",1960,958,5106,1485,758,1494,624
"G1901930","1990","IA",,,,,,,,,,,"99","Woodbury","193",,,"4","7720",,,,"9999","2","Iowa","19",,,,,"0002260177","0000012376","Woodbury County","A","+42388101","-096036639","06",5308,7962,23182,10458,4179,7249,2971
"G1901950","1990","IA",,,,,,,,,,,"99","Worth","195",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001036040","0000004444","Worth County","A","+43376176","-093265570","06",621,587,2131,953,581,460,138
"G1901970","1990","IA",,,,,,,,,,,"99","Wright","197",,,"4","9999",,,,"9999","2","Iowa","19",,,,,"0001504172","0000004705","Wright County","A","+42732980","-093734605","06",1076,1138,3818,1858,883,842,276
"G2000010","1990","KS",,,,,,,,,,,"99","Allen","001",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001302932","0000005633","Allen County","A","+37888433","-095300019","06",1136,1298,3289,1855,697,768,402
"G2000030","1990","KS",,,,,,,,,,,"99","Anderson","003",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001509908","0000003561","Anderson County","A","+38215679","-095292028","06",955,592,2099,847,282,260,161
"G2000050","1990","KS",,,,,,,,,,,"99","Atchison","005",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001119807","0000007004","Atchison County","A","+39530584","-095314265","06",1112,1238,4762,1476,465,763,626
"G2000070","1990","KS",,,,,,,,,,,"99","Barber","007",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002937501","0000005435","Barber County","A","+37224394","-098684494","06",376,449,1557,821,277,400,116
"G2000090","1990","KS",,,,,,,,,,,"99","Barton","009",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002315573","0000016724","Barton County","A","+38479997","-098755422","06",1948,2264,6186,4800,1321,1863,739
"G2000110","1990","KS",,,,,,,,,,,"99","Bourbon","011",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001650194","0000004496","Bourbon County","A","+37856089","-094850608","06",1348,1223,3330,1919,646,839,542
"G2000130","1990","KS",,,,,,,,,,,"99","Brown","013",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001478125","0000003940","Brown County","A","+39822919","-095562123","06",699,891,3077,1322,441,651,266
"G2000150","1990","KS",,,,,,,,,,,"99","Butler","015",,,"4","9040",,,,"9999","2","Kansas","20",,,,,"0003698917","0000047485","Butler County","A","+37773619","-096833952","06",2162,3932,10967,7657,1940,3775,1692
"G2000170","1990","KS",,,,,,,,,,,"99","Chase","017",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002009683","0000005497","Chase County","A","+38301526","-096593025","06",173,287,859,408,73,193,91
"G2000190","1990","KS",,,,,,,,,,,"99","Chautauqua","019",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001662083","0000008137","Chautauqua County","A","+37154658","-096245394","06",487,447,1131,610,152,254,81
"G2000210","1990","KS",,,,,,,,,,,"99","Cherokee","021",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001520771","0000009970","Cherokee County","A","+37169417","-094845511","06",1664,2468,5305,2344,633,879,554
"G2000230","1990","KS",,,,,,,,,,,"99","Cheyenne","023",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002641646","0000002462","Cheyenne County","A","+39780842","-101729512","06",388,208,836,444,125,245,61
"G2000250","1990","KS",,,,,,,,,,,"99","Clark","025",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002524601","0000006529","Clark County","A","+37235596","-099817804","06",151,133,544,468,121,205,95
"G2000270","1990","KS",,,,,,,,,,,"99","Clay","027",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001667641","0000030010","Clay County","A","+39351049","-097164368","06",697,706,2602,1150,318,573,263
"G2000290","1990","KS",,,,,,,,,,,"99","Cloud","029",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001853583","0000007351","Cloud County","A","+39482838","-097655909","06",860,941,2739,1302,615,612,425
"G2000310","1990","KS",,,,,,,,,,,"99","Coffey","031",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001632381","0000063105","Coffey County","A","+38237467","-095734573","06",739,550,2298,1073,177,576,176
"G2000330","1990","KS",,,,,,,,,,,"99","Comanche","033",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002041855","0000003595","Comanche County","A","+37186195","-099281595","06",189,169,579,364,83,159,83
"G2000350","1990","KS",,,,,,,,,,,"99","Cowley","035",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002917232","0000016395","Cowley County","A","+37230648","-096836897","06",2431,3073,7565,5616,1591,2359,1202
"G2000370","1990","KS",,,,,,,,,,,"99","Crawford","037",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001535816","0000005514","Crawford County","A","+37507735","-094851121","06",2698,3025,6914,4633,1131,2542,1698
"G2000390","1990","KS",,,,,,,,,,,"99","Decatur","039",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002314410","0000001642","Decatur County","A","+39784953","-100460052","06",347,261,1057,614,158,281,104
"G2000410","1990","KS",,,,,,,,,,,"99","Dickinson","041",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002197463","0000010922","Dickinson County","A","+38864092","-097157586","06",1036,1549,5552,2493,584,936,581
"G2000430","1990","KS",,,,,,,,,,,"99","Doniphan","043",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001015813","0000012665","Doniphan County","A","+39788908","-095147708","06",651,742,2060,880,331,338,165
"G2000450","1990","KS",,,,,,,,,,,"99","Douglas","045",,,"4","4150",,,,"9999","2","Kansas","20",,,,,"0001183540","0000045422","Douglas County","A","+38884404","-095286933","06",1627,3095,10669,8958,1695,9192,7072
"G2000470","1990","KS",,,,,,,,,,,"99","Edwards","047",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001611113","0000000209","Edwards County","A","+37883476","-099304068","06",362,266,975,567,131,266,82
"G2000490","1990","KS",,,,,,,,,,,"99","Elk","049",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001677947","0000006607","Elk County","A","+37456649","-096244716","06",425,367,873,425,78,175,78
