ID,ADDRESS,CITY,STATE,ZIP
Its About Change/Sober Living,394 Madison Avenue,Calumet City,IL,60409
Alcohol and Drug Professionals of,1110 East Linn Street,Canton,IL,61520
North Central Behavioral Health System,229 Martin Avenue,Canton,IL,61520
United in Jesus Outreach Ministries,700 East Oak Street,Canton,IL,61520
Carbondale DUI and Counseling Program,2015 West Main Street,Carbondale,IL,62901
Gateway Foundation,1080 East Park Street,Carbondale,IL,62901
Southern IL Regional Social Services,604 East College Street,Carbondale,IL,62901
Accurate Evaluations,951 Fairfax Street,Carlyle,IL,62231
Community Resource Center,580 8th Street,Carlyle,IL,62231
Egyptian Public and Mental Health Dept,1705 College Avenue,Carmi,IL,62821
Amanecer Inc,25 West 560 Geneva Road,Carol Stream,IL,60188
Tricon Counseling Centers,380 South Schmale Road,Carol Stream,IL,60188
Inroads Counseling and DUI Center,150 South Kennedy Drive,Carpentersville,IL,60110
Mental Health Centers of Western IL,607 Buchanan Street,Carthage,IL,62321
New Way of Life Inc,720 Industrial Drive,Cary,IL,60013
Gateway Foundation Alcohol and Drug Treatment/Caseyville,600 West Lincoln Street,Caseyville,IL,62232
Community Resource Center,101 South Locust Street,Centralia,IL,62801
A and L Counseling Services PC,2917 Crossing Court,Champaign,IL,61822
Community Elements Inc,70 East Washington Street,Champaign,IL,61820
Kathi Cullop,1207 South Mattis Avenue,Champaign,IL,61821
Prairie Center Health Systems Inc,Hill Street Unit,Champaign,IL,61820
ABBCON Counseling,603 Monroe Street,Charleston,IL,61920
Central East Alcohol and Drug Council,720 4th Street,Charleston,IL,61920
Central East Alcohol and Drug Council,635 Division Street,Charleston,IL,61920
Central East Alcohol and Drug Council,845 18th Street,Charleston,IL,61920
Central East Alcohol and Drug Council,726 4th Street,Charleston,IL,61920
Central East Alcohol and Drug Council,1501 1/2 18th Street,Charleston,IL,61920
Walter DUI and Counseling Services,1550 Douglas Drive,Charleston,IL,61920
Human Service Center of,115 East Stacey Street,Chester,IL,62233
ABRAXAS Youth and Family Services,5701 South Wood Street,Chicago,IL,60636
Access Behavioral Services Inc,3948 West 26th Street,Chicago,IL,60623
Advance Counseling Services Inc,4125 South Archer Avenue,Chicago,IL,60632
Advocate Healthcare,938 West Nelson Street,Chicago,IL,60657
Alexian Brothers,825 West Wellington Street,Chicago,IL,60657
Alliance Behavioral Services Inc,3229 North Cicero Avenue,Chicago,IL,60629
Alternative Behavior Consultations Inc,216 South Jefferson Street,Chicago,IL,60661
Alternatives Inc,4730 North Sheridan Road,Chicago,IL,60640
American Indian Health Service Chicago,4081 North Broadway Street,Chicago,IL,60613
Anixter Center,2001 North Clybourn Avenue,Chicago,IL,60614
Anixter Center,1401 South California Avenue,Chicago,IL,60608
Annie B Jones Community Services Inc,1818 East 71st Street,Chicago,IL,60649
Association House of Chicago,1116 North Kedzie Avenue,Chicago,IL,60651
Avance Inc,4765 North Lincoln Avenue,Chicago,IL,60625
Bilingual DUI Counseling and Clinical Services Inc,4001 West Devon Avenue,Chicago,IL,60646
Bobby E Wright CBHC,9 South Kedzie Avenue,Chicago,IL,60612
Bridging the Tys to Jordan Inc,7122 South Vincennes Avenue,Chicago,IL,60621
CCHC,2813 West 5th Avenue,Chicago,IL,60612
Cathedral Shelter of Chicago,1668 West Ogden Street,Chicago,IL,60612
Center for Addictive Problems,609 North Wells Street,Chicago,IL,60654
Chicago Center for Recovery and Empowerment NFP,700 North Green Street,Chicago,IL,60642
Chicago Girls Program,2311 East 98th Street,Chicago,IL,60617
Chicago Lakeshore Hospital,4840 North Marine Drive,Chicago,IL,60640
Chicago Treatment and Counseling Centers Inc I (CTCC),1225 South Ashland Avenue,Chicago,IL,60608
Chicago Treatment and Counseling Centers Inc II (CTCC),4453 North Broadway Avenue,Chicago,IL,60640
Christian Community Health Center,9718 South Halsted Street,Chicago,IL,60628
Community Mental Health Council Inc,8704 South Constance Avenue,Chicago,IL,60617
Concerned Citizens Inc/Mothers House,321 North Mason Avenue,Chicago,IL,60644
Cook County Bureau of Health Services,2020 West Harrison Street,Chicago,IL,60612
Cornerstone Recovering Community,103 West 112th Street,Chicago,IL,60628
Cornerstone Recovering Community,11001 South Wentworth Avenue,Chicago,IL,60628
Cornerstone Recovering Community,44 West 112th Place,Chicago,IL,60628
Counseling Center of Illinois Inc,4515 North Milwaukee Street,Chicago,IL,60630
Counseling Center of Lake View,3225 North Sheffield Avenue,Chicago,IL,60657
DUI Alternatives Treatment Center Inc,2656 West Montrose Avenue,Chicago,IL,60618
DUI Alternatives Treatment Center Inc,2656 West Montrose Avenue,Chicago,IL,60618
DUI Community Counseling Inc,6950 West Archer Avenue,Chicago,IL,60638
DUI Counseling Center,2334 West Lawrence Street,Chicago,IL,60625
DUI Counseling Center,4059 West 47th Street,Chicago,IL,60632
DUI Metropolitan Services Inc,6254 West Addison Street,Chicago,IL,60634
DUI Metropolitan Services Inc,7506 North Harlem Avenue,Chicago,IL,60631
DUI Professional Providers,111 North Wabash Avenue,Chicago,IL,60602
Deer Rehabilitation Services Inc,1455 South Michigan Avenue,Chicago,IL,60605
Deer Rehabilitation Services Inc,3936 West Roosevelt Road,Chicago,IL,60624
Diversified Behavioral Comp Care,1140 East 87th Street,Chicago,IL,60619
Drexel Counseling Services Inc,936 East 93rd Street,Chicago,IL,60619
EL Rincon Community Clinic,3809 West Grand Avenue,Chicago,IL,60651
Emages Inc,110 East 79th Street,Chicago,IL,60619
Enhanced Clinical Solutions Inc,200 East 75th Street,Chicago,IL,60619
Family Guidance Centers Inc,310 West Chicago Avenue,Chicago,IL,60654
Fola Community Action Services Inc,8014-8018 South Ashland Avenue,Chicago,IL,60620
GW and Associates,6924 North Glenwood Avenue,Chicago,IL,60626
GW and Associates,6926 North Glenwood Avenue,Chicago,IL,60626
Garfield Counseling Center Inc,4132 West Madison Street,Chicago,IL,60624
Gateway Foundation Alcohol and Drug Treatment/Chicago Northwest,4301 West Grand Avenue,Chicago,IL,60651
Gateway Foundation Alcohol and Drug Treatment/Chicago West,3828 West Taylor Street,Chicago,IL,60624
Gateway Foundation Alcohol and Drug Treatment/Kedzie,1706 North Kedzie Avenue,Chicago,IL,60647
Gutierrez and Associates,505 North Lasalle Street,Chicago,IL,60654
Habilitative Systems Inc,415 South Kilpatrick Street,Chicago,IL,60644
Harriet Tubman Women and Children,11352 South State Street,Chicago,IL,60628
Hazelden Foundation,867 North Dearborn Street,Chicago,IL,60610
Healthcare Alternative Systems Inc,210 North Ashland Avenue,Chicago,IL,60607
Healthcare Alternative Systems Inc,2755 West Armitage Avenue,Chicago,IL,60647
Healthcare Alternative Systems Inc,4534 South Western Avenue,Chicago,IL,60609
Healthcare Alternative Systems Inc,1949 North Humboldt Boulevard,Chicago,IL,60647
Healthcare Alternative Systems Inc,1866 North Milwaukee Avenue,Chicago,IL,60647
Healthcare Alternative Systems Inc,1942 North California Avenue,Chicago,IL,60647
Heartland Health Outreach,4750 North Sheridan Road,Chicago,IL,60640
Heartland Human Care Services Inc,4411 North Ravenswood Avenue,Chicago,IL,60640
Henry Booth House,2907 South Wabash Avenue,Chicago,IL,60616
Henrys Sober Living House,8032-8034 South Ingleside Street,Chicago,IL,60619
Human Resources Development Institute,340 East 51st Street,Chicago,IL,60615
Human Resources Development Institute,33 East 114th Street,Chicago,IL,60628
Human Resources Development Institute,1223 West Marquette Road,Chicago,IL,60636
Human Resources Development Institute,8000 South Racine Avenue,Chicago,IL,60620
IDS Group Inc/Chicago,111 West Washington Street,Chicago,IL,60602
IJEGBA Community Inc,1950 East 75th Street,Chicago,IL,60649
Indiana Avenue DUI Service,1525 East 53rd Street,Chicago,IL,60615
Inner Voice Inc,4458 West Jackson Boulevard,Chicago,IL,60624
Jack Clarks Family,2915 West Armitage Street,Chicago,IL,60647
Jack Clarks Family,3200 West Fulton Street,Chicago,IL,60624
Jesse Brown Addiction Programs,820 South Damen Avenue,Chicago,IL,60612
Jesse Brown VA Medical Center,820 South Damen Avenue,Chicago,IL,60612
Jesse Brown VA Medical Center,820 South Damen Avenue,Chicago,IL,60612
Keep the Faith Foundation,37 South Ashland Avenue,Chicago,IL,60607
King Drive Counseling Assessment and Referral Services Inc,370 East 63rd Street,Chicago,IL,60637
Komed/Holman Health Center,4259 South Berkeley Street,Chicago,IL,60653
Latino Treatment Center,2608 West Peterson Avenue,Chicago,IL,60659
Le Penseur Youth and Family Servs Inc,8036 South Western Avenue,Chicago,IL,60620
Living Trees Center Inc,3801 West 63rd Street,Chicago,IL,60629
Loretto Hospital,645 South Central Avenue,Chicago,IL,60644
Louis Landau Health Center,800 North Kedzie Avenue,Chicago,IL,60651
Lutheran Social Services of Illinois,5825 West Belmont Avenue,Chicago,IL,60634
Lutheran Social Services of Illinois,1758 West Devon Avenue,Chicago,IL,60660
Lutheran Social Services of Illinois,1640 West Morse Avenue,Chicago,IL,60626
Lutheran Social Services of Illinois,7843 South Essex Avenue,Chicago,IL,60649
Lutheran Social Services of Illinois,5517 North Kenmore Street,Chicago,IL,60640
Magnolia House Counseling Center,3717 North Ravenswood Avenue,Chicago,IL,60613
McDermott Center/Haymarket Center,106 East 51st Street,Chicago,IL,60615
McDermott Center/Haymarket Center,108 North Sangamon Street,Chicago,IL,60607
McDermott Center/Haymarket Center,4910 South Martin Luther King Drive,Chicago,IL,60615
McDermott Center/Haymarket Center,108 North Sangamon Street,Chicago,IL,60607
McDermott Center/Haymarket Center,124 North Sangamon Street,Chicago,IL,60607
McDermott Center/Haymarket Center,120 North Sangamon Street,Chicago,IL,60607
McDermott/Haymarket Center,124 North Sangamon Street,Chicago,IL,60607
Mercy Hospital and Medical Center,2525 South Michigan Avenue,Chicago,IL,60616
Mercy Housing Lakefront,1521 South Wabash Avenue,Chicago,IL,60605
Near North Health Service Corporation,1276 North Clybourn Street,Chicago,IL,60610
New Age Services Corporation,1330 South Kostner Avenue,Chicago,IL,60623
New Hope Community Service Center,2559 West 79th Street,Chicago,IL,60652
New Hope Recovery Center,2835 North Sheffield Avenue,Chicago,IL,60657
NuWay Community Services Inc,110 East 79th Street,Chicago,IL,60619
Nuway Community Services Inc,659 East 75th Street,Chicago,IL,60619
PDSSC/Chicago Inc,2260 North Elston Avenue,Chicago,IL,60614
Pilsen Little Village CMHC,2319 South Damen Street,Chicago,IL,60608
Pilsen Wellness Center Inc,3113 West Cermak Road,Chicago,IL,60623
Polish American Association,3834 North Cicero Avenue,Chicago,IL,60641
Prevention Classes Inc,10435 South Kedzie Avenue,Chicago,IL,60655
Recovery Point,5691 North Ridge Avenue,Chicago,IL,60660
Renewed Hope Community Services,626 East 71st Street,Chicago,IL,60619
Resurrection Addiction Services,8 South Michigan Avenue,Chicago,IL,60603
Resurrection Addiction Services,2913 North Commonwealth Avenue,Chicago,IL,60657
Resurrection Behavioral Health at,1431 North Claremont Avenue,Chicago,IL,60622
Rosemoor Assessment,439 East 103rd Street,Chicago,IL,60628
Rowan Trees,500 West Englewood Avenue,Chicago,IL,60621
Safe Haven,2750 West Roosevelt Road,Chicago,IL,60608
Safe Haven,7346 South Kingston Avenue,Chicago,IL,60649
Salvation Army,1515 West Monroe Street,Chicago,IL,60607
Shekinah Glory House Inc,2341 South Sacramento Avenue,Chicago,IL,60623
Sky Is The Limit,2615 West 63rd Street,Chicago,IL,60629
Sky Is The Limit,6614 South Halsted Street,Chicago,IL,60621
South East Alcohol and Drug Abuse Center (SEADAC),8640 South Chicago Avenue,Chicago,IL,60617
South Shore Hospital,8012 South Crandon Avenue,Chicago,IL,60617
South Shore Hospital,8012 South Crandon Avenue,Chicago,IL,60617
Specialized Assistance Services NFP,2101 South Indiana Avenue,Chicago,IL,60616
State of Mind Mental Health and Consultations Services PC,400 East 41st Street,Chicago,IL,60653
Sundance Methadone Treatment Center,4545 North Broadway Street,Chicago,IL,60640
Trilogy Inc,1400 West Greenleaf Avenue,Chicago,IL,60626
Way Back Inn Inc,3821 North Harlem Avenue,Chicago,IL,60634
Windows of Opportunity,4619 West Harrison Street,Chicago,IL,60644
Womens Treatment Center,140 North Ashland Avenue,Chicago,IL,60607
Woodlawn Organization Substance Abuse,1447 East 65th Street,Chicago,IL,60637
Yana House,7120 South Normal Boulevard,Chicago,IL,60621
Youth Outreach Services,1325 North Menard Street,Chicago,IL,60651
Youth Outreach Services,6417 West Irving Park Road,Chicago,IL,60634
Youth Service Project Inc,3942 West North Avenue,Chicago,IL,60647
Elite House of Sober Living Inc,395 West Lincoln Highway,Chicago Heights,IL,60411
Chicago Treatment and Counseling Centers Inc (CTCC),5635 West Roosevelt Road,Cicero,IL,60804
Chicago Treatment and Counseling Centers Inc III (CTCCI),1849 South Cicero Avenue,Cicero,IL,60804
Confidential DUI Services,5101 West Roosevelt Road,Cicero,IL,60804
Pro Health Advocates Inc,5929 West Roosevelt Road,Cicero,IL,60804
Dewitt County Human Resource Center,1150 Route 54 West,Clinton,IL,61727
Hill Alcohol and Substance Abuse Prog,1040 East Steger Road,Crete,IL,60417
Advantage Group Foundation Ltd,422 Tag Way,Crystal Lake,IL,60014
Counseling Center Inc,735 East McArdle Drive,Crystal Lake,IL,60014
Counseling Center Inc,735 McArdle Drive,Crystal Lake,IL,60014
"Mathers Clinic, LLC",5 Virginia Road,Crystal Lake,IL,60014
Northwest Community Counseling Servs,101 North Virginia Street,Crystal Lake,IL,60014
PRISM Center of Crystal Lake,3305 South IL Route 31,Crystal Lake,IL,60012
Professional Consultations Inc,610 Crystal Point Drive,Crystal Lake,IL,60014
Alcohol/Chemical Evaluation Services,119 North Vermillion Street,Danville,IL,61832
East Central Illinois Humanistics Inc,1009 Kimber Street,Danville,IL,61832
New Directions Treatment Center,153 North Vermilion Street,Danville,IL,61832
Pathways at Seifert Counseling Center,120 North Vermillion Street,Danville,IL,61832
Prairie Center Health Systems Inc,128 North Vermilion Street,Danville,IL,61832
VA Illiana Healthcare System,1900 East Main Street,Danville,IL,61832
A and E Behavioral Healthcare,2570 East Federal Drive,Decatur,IL,62526
DUI Services at Saint Marys Hospital,1800 East Lake Shore Drive,Decatur,IL,62521
Heritage Behavioral Health Center,151 North Main Street,Decatur,IL,62523
Pleasant Counseling,303 East Wood Street,Decatur,IL,62523
Saint Marys Treatment Center,1800 East Lake Shore Drive,Decatur,IL,62521
Treatment Centers of Illinois,1020 Milwaukee Avenue,Deerfield,IL,60015
Ben Gordon Center,12 Health Services Drive,Dekalb,IL,60115
Advocate Addiction Treatment Program,701 Lee Street,Des Plaines,IL,60016
Family Guidance Centers Inc,484 Lee Street,Des Plaines,IL,60016
Holy Family Medical Center,100 North River Road,Des Plaines,IL,60016
Relapse Prevention Counseling Center,1330 Webford Street,Des Plaines,IL,60016
Adult Education Associates,748 Timbercreek Road,Dixon,IL,61021
Lutheran Social Services of Illinois,1247 North Galena Avenue,Dixon,IL,61021
Sinnissippi Centers Inc,325 Illinois Route 2,Dixon,IL,61021
CAP of Downers Grove,4954 Main Street,Downers Grove,IL,60515
Good Samaritan Hospital/North Pavilion,3815 Highland Avenue,Downers Grove,IL,60515
New Visions Counseling Services Inc,6912 Main Street,Downers Grove,IL,60516
Resurrection Addiction Services,2001 Butterfield Road,Downers Grove,IL,60515
Perry County Counseling Center Inc,1016 South Madison Street,Du Quoin,IL,62832
Perry County Counseling Center Inc,1016 South Madison Street,Du Quoin,IL,62832
Associates in Behavioral Healthcare,783 South Route 31,Dundee,IL,60118
Professional Consultations Inc,745 South 8th Street,Dundee,IL,60118
Center for Alcohol and Drug Services,621 17th Avenue,East Moline,IL,61244
Rock Island Cnty Council on Addictions,1607 John Deere Expressway,East Moline,IL,61244
Tri County Alcohol and Drug Servs LLC,926 15th Avenue,East Moline,IL,61244
Larry E Hoyle BS CADC,422 East Washington Street,East Peoria,IL,61611
Tazwood Mental Health Center Inc,111 West Washington Street,East Peoria,IL,61611
Tazwood Mental Health Center Inc,111 West Washington Street,East Peoria,IL,61611
Comprehensive Behavior Health Center,505 South 8th Street,East Saint Louis,IL,62201
Comprehensive Behavioral Health Center,505 South 8th Street,East Saint Louis,IL,62201
Wellspring Resources,501 Saint Louis Avenue,East Saint Louis,IL,62201
Addiction Treatment Strategies,2 Sunset Hills Executive Park Drive,Edwardsville,IL,62025
DeRousse Counseling and DUI Services,3 Sunset Hills Executive Drive,Edwardsville,IL,62025
Intensive Outpatient Care Inc,2 Club Centre Court,Edwardsville,IL,62025
Diel Counseling Inc,444 South Willow Street,Effingham,IL,62401
Heartland Human Services,1200 North 4th Street,Effingham,IL,62401
Egyptian Public and Mental Health Dept,1412 U.S. Highway 45 North,Eldorado,IL,62930
Abacus Program,555 Tollgate Road,Elgin,IL,60123
About Change Counseling,1532 Weathrstone Lane,Elgin,IL,60123
Arlington Center for Recovery LLC,320 North McLean Boulevard,Elgin,IL,60123
Its About Change/Sober Living Inc,995 Bode Road,Elgin,IL,60120
Lutheran Social Services of Illinois,675 Varsity Drive,Elgin,IL,60120
Renz Addiction Counseling Center,2 American Way,Elgin,IL,60120
Elmhurst Memorial Hospital,183 North York Road,Elmhurst,IL,60126
Kevin and Associates Inc,257 North West Avenue,Elmhurst,IL,60126
MCM Substance Abuse Center,135 Robert Palmer Drive,Elmhurst,IL,60126
Bobby Buonauro Clinic Inc,1029 West Howard Street,Evanston,IL,60202
North Shore University Health System,2650 Ridge Court,Evanston,IL,60201
PEER Services Inc,906 Davis Street,Evanston,IL,60201
Center for Outpatient,9730 South Western Avenue,Evergreen Park,IL,60805
Little Company of Mary Hospital,2800 West 95th Street,Evergreen Park,IL,60805
Solleys Place,3830 West 95th Street,Evergreen Park,IL,60805
Southeastern IL Counseling Centers Inc,407 North Basin Drive,Fairfield,IL,62837
Southeastern IL Counseling Centers Inc,901 West 3rd Street,Flora,IL,62839
Path Recovery Living for Women,7530 Lexington Street,Forest Park,IL,60130
Northwestern Lake Counseling,17 West Grand Avenue,Fox Lake,IL,60020
Western Lake Counseling and DUI Programs LLC,21 West Grand Avenue,Fox Lake,IL,60020
All Types Counseling Services LLC,7210 West Benton Drive,Frankfort,IL,60423
DUI Court Services by Comgraph,20500 South LaGrange Road,Frankfort,IL,60423
Partners in Treatment Counseling Servs,21016 South 80th Avenue,Frankfort,IL,60423
Rosecrance Inc,20365 Abbey Woods Court North,Frankfort,IL,60423
Leyden Family Service,10001 West Grand Avenue,Franklin Park,IL,60131
Changes Place,773 West Lincoln Boulevard,Freeport,IL,61032
Sojourn House Inc,565 North Turner Avenue,Freeport,IL,61032
FHN Family Counseling Center,300 Summit Street,Galena,IL,61036
Galena Clinic Inc,9567 West U.S. Highway 20,Galena,IL,61036
Sojourn House Inc,706 South West Street,Galena,IL,61036
Bridgeway Inc,2323 Windish Drive,Galesburg,IL,61401
Good Shepherd Foundation Inc,796 Boone Drive,Geneseo,IL,61254
New Hope Recovery Center LLC,309 Hamilton Street,Geneva,IL,60134
Professional Consultations Inc,322 West State Street,Geneva,IL,60134
Healthcare Alternative Systems Inc,799 Roosevelt Road,Glen Ellyn,IL,60137
Lifeline Counseling Center Inc,333 Waukegan Road,Glenview,IL,60025
PDSSC Inc,1640 Pleasant Lane,Glenview,IL,60025
PEER Services Inc,3633 West Lake Avenue,Glenview,IL,60026
Renacer Latino Inc,4225 Commercial Way,Glenview,IL,60025
Alcoholic Rehab Community Home,1313 21st Street,Granite City,IL,62040
Chestnut Health Systems Inc,50 Northgate Industrial Drive,Granite City,IL,62040
DUI Associates,1826 East Belvedere Road,Grayslake,IL,60030
Bond County Health Department,1520 South 4th Street,Greenville,IL,62246
Weckler and Associates Ltd,68 Ambrogio Drive,Gurnee,IL,60031
Egyptian Public and Mental Health Dept,540 North Commercial Street,Harrisburg,IL,62946
Counseling Center Inc,28 North Ayer Street,Harvard,IL,60033
Counseling Center Inc,28 North Ayer Street,Harvard,IL,60033
Family Guidance Centers Inc,15400 Page Avenue,Harvey,IL,60426
IL Institute for Addiction Recovery,1 Ingalls Drive,Harvey,IL,60426
DUI Counseling Center,4701 North Cumberland Avenue,Harwood Heights,IL,60706
Wells Center,220 West Main Street,Havana,IL,62644
Recovery Concepts,17065 Dixie Highway,Hazel Crest,IL,60429
South Suburban Council on,1909 Cheker Square,Hazel Crest,IL,60429
State of Mind Mental Health and Consultation Services PC,17508 East Carriageway Drive,Hazel Crest,IL,60429
Pillars Community Services,8020 West 87th Street,Hickory Hills,IL,60457
NICASA NFP,1724 1st Street,Highland Park,IL,60035
Renacer Latino Inc,1910 1st Street,Highland Park,IL,60035
Accurate Evaluations,421 South Main Street,Hillsboro,IL,62049
Montgomery County Health Department,11191 Illinois Route 185,Hillsboro,IL,62049
Vet Affairs/Edward Hines Jr Hospital,Roosevelt Road and 5th Avenue,Hines,IL,60141
Challenge Behavioral Healthcare,15 Spinning Wheel Road,Hinsdale,IL,60521
Continuing Recovery Center,202 West Central Street,Irving,IL,62051
Liberty Counseling Center,1429 South Main Street,Jacksonville,IL,62650
Wells Center,1300 Lincoln Avenue,Jacksonville,IL,62650
Adult Counseling and Educational Servs,16 West Van Buren Street,Joliet,IL,60432
Associates in Alcohol and Drug Counseling Inc,3021 Theodore Street,Joliet,IL,60435
Aztec Counseling Agency Inc,231 Ruby Street,Joliet,IL,60435
Compass Development Inc,3077 West Jefferson Street,Joliet,IL,60435
Counseling Associates,3033 West Jefferson Street,Joliet,IL,60435
Family Guidance Center,1611 West Jefferson Street,Joliet,IL,60435
Paramos Counseling Center,815 North Larkin Avenue,Joliet,IL,60435
Partners in Treatment Counseling Servs,103 North Ottawa Street,Joliet,IL,60432
Silver Cross Hospital,1200 Maple Road,Joliet,IL,60432
Stepping Stones Inc,1621 Theodore Street,Joliet,IL,60435
Stepping Stones Inc,1620 Plainfield Road,Joliet,IL,60435
Stepping Stones Inc,501 North Broadway Street,Joliet,IL,60435
Stepping Stones Inc,205 Bridge Street,Joliet,IL,60435
Traffic School of Behavior Change,54 North Ottawa Street,Joliet,IL,60432
Forest Counseling Center,9050 West 81st Street,Justice,IL,60458
Aunt Marthas Outpt Adult/Adolescent,1777 East Court Street,Kankakee,IL,60901
Duane Dean Behavioral Health Center,700 East Court Street,Kankakee,IL,60901
Bridgeway Inc,137 East College Street,Kewanee,IL,61443
Pillars,333 North LaGrange Road,La Grange Park,IL,60526
James R Gage and Associates,601 2nd Street,La Salle,IL,61301
LaSalle Outpatient,118 Sterling Street,La Salle,IL,61301
North Central Behavioral Health System,2960 Chartres Street,La Salle,IL,61301
Child Adolescent and Family,900 North Shore Drive,Lake Bluff,IL,60044
Resurrection Behavioral Health,71 Waukegan Road,Lake Bluff,IL,60044
Counseling Center Inc,95 West Grand Avenue,Lake Villa,IL,60046
Gateway Foundation Alcohol and Drug Treatment/Lake Villa,25480 West Cedarcrest Lane,Lake Villa,IL,60046
Omni Youth Services,1025 Old McHenry Road,Lake Zurich,IL,60047
Christian Community Health Center,2320 Thornton Lansing Road,Lansing,IL,60438
Midwest Treatment Center,17821 Chappel Avenue,Lansing,IL,60438
Lawrence County Health Department,Rural Route 1 Box 277,Lawrenceville,IL,62439
Southeastern IL Counseling Centers Inc,1501 Olive Street,Lawrenceville,IL,62439
Timberline Knolls,40 Timberline Drive,Lemont,IL,60439
Central East Alcohol and Drug Council,8500 East County Road 150 North,Lerna,IL,62440
Addictions Associates Therapy Inc,322 Peterson Road,Libertyville,IL,60048
Alliance Institute for the,501 West Peterson Road,Libertyville,IL,60048
Behavioral Services Center,708 Florsheim Drive,Libertyville,IL,60048
Tazwood Mental Health Center Inc,124 South Chicago Street,Lincoln,IL,62656
Alexander Zubenko and Associates,4699 Auvergne Street,Lisle,IL,60532
Central Park of Lisle/Sanya Syrstad,3333 Warrenville Road,Lisle,IL,60532
Robert A Moylan LCPC,3333 Warrenville Road,Lisle,IL,60532
Treatment Centers of Illinois LLC,5 East Ash Street,Lombard,IL,60148
Clay County Counseling Services,125 Broadway Street,Louisville,IL,62858
North Central Behavioral Health System,301 East Jefferson Street,Macomb,IL,61455
Western Illinois University,1 University Circle,Macomb,IL,61455
Riverside Resolve Center,411 West Division Street,Manteno,IL,60950
Specialized Assistance Services NFP,333 Evergreen Street,Manteno,IL,60950
H Group BBT Inc,1305 1/2 West Main Street,Marion,IL,62959
H Group BBT Inc,3111 Williamson County Parkway,Marion,IL,62959
H Group BBT Inc,1302 1/2 West Cherry Street,Marion,IL,62959
H Group BBT Inc,1307 West Main Street,Marion,IL,62959
H Group BBT Inc,1305 West Main Street,Marion,IL,62959
Human Resources Center of,1006 South 6th Street,Marshall,IL,62441
Chestnut Health Systems Inc,2148 Vadalabene Drive,Maryville,IL,62062
Central East Alcohol and Drug Council,513 North 13th Street,Mattoon,IL,61938
Central East Alcohol and Drug Council,416 North 19th Street,Mattoon,IL,61938
Changes Behavioral Services Inc,1701 South 1st Avenue,Maywood,IL,60153
Enhanced Clinical Solutions Inc,1701 South 1st Avenue,Maywood,IL,60153
Substance Abuse Operations,308 South 5th Avenue,Maywood,IL,60153
Way Back Inn Inc,104 Fred Hampton Way,Maywood,IL,60153
Weckler and Associates Ltd,5400 West Elm Street,McHenry,IL,60050
Healthcare Alternative Systems Inc,1115 North 23rd Avenue,Melrose Park,IL,60160
Pilsen Wellness Center Inc,1633 North 37th Avenue,Melrose Park,IL,60160
Resurrection Behavioral Health,1414 West Main Street,Melrose Park,IL,60160
Way Back Inn Inc,141 North 12th Avenue,Melrose Park,IL,60160
Youth Outreach Services,4419 West North Avenue,Melrose Park,IL,60160
MASSAC County Mental Health,206 West 5th Street,Metropolis,IL,62960
Crossroads Counseling Services LLC,649 West Mondamin Street,Minooka,IL,60447
Psychological Services Inc,4324 7th Street,Moline,IL,61265
River Bend Christian Counseling Inc,111 19th Avenue,Moline,IL,61265
Bridgeway Inc,301 Industrial Park Drive,Monmouth,IL,61462
Piatt County Mental Health Center,1921 North Market Street,Monticello,IL,61856
Grundy County Health Department,1320 Union Street,Morris,IL,60450
Institute for Personal Development,1401 Lakewood Drive,Morris,IL,60450
Psychological Services,230 East Main Street,Morrison,IL,61270
Serenity Bridges LLC,8700 Waukegan Road,Morton Grove,IL,60053
Southeastern IL Counseling Centers Inc,602 East 5th Street,Mount Carmel,IL,62863
Sinnissippi Centers Inc,1122 Healthcare Drive,Mount Carroll,IL,61053
Ruth B Duda and Associates,401 East Prospect Street,Mount Prospect,IL,60056
Victory Vision Counseling,500 West Central Road,Mount Prospect,IL,60056
Mental Health Centers of Western IL,700 SE Cross Street,Mount Sterling,IL,62353
ABC DUI Services,730 East Illinois Highway 15,Mount Vernon,IL,62864
Jefferson County Comp Services Inc,Route 37 North,Mount Vernon,IL,62864
Thompson Counseling Services,4230 Lincolnshire Drive,Mount Vernon,IL,62864
DUI and Addiction Counseling Center,333 East Route 83,Mundelein,IL,60060
Renacer Latino Inc,900 North Lake Street,Mundelein,IL,60060
Lutheran Social Services of Illinois,1261 Illinois Route 38,Nachusa,IL,61057
Alpha Counseling Center Inc,1112 South Washington Street,Naperville,IL,60540
Associates in Professional Counseling,1804 North Naper Boulevard,Naperville,IL,60563
Care Clinics of Naperville Inc,121 North Washington Street,Naperville,IL,60540
Conventions Psychiatry and Counseling,4 South 100 North State Route 59,Naperville,IL,60563
Linden Oaks Hospital at Edward,852 South West Street,Naperville,IL,60540
Naperville Psychiatric Ventures,1250 North Mill Street,Naperville,IL,60563
Serenity House Counseling Services Inc,1045 Alder Lane,Naperville,IL,60540
Tools for Life Ltd,2132 Deep Water Lane,Naperville,IL,60564
AVP Counseling and DUI Services Inc,336 West Maple Street,New Lenox,IL,60451
Jasper County Health Department,106 East Edwards Street,Newton,IL,62448
IL Institute for Addiction Recovery,Virginia at Franklin Street,Normal,IL,61761
Captain James A Lovell Federal Health,3001 Green Bay Road,North Chicago,IL,60064
