Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Note,Keys,ID
Genesis House Inc,Genesis House II,,133 Renida Street,,,Vallejo,CA,94590,(707)552-5295 Intake: (707)557-3165,,SA/TX/HH/RL/HV/WN/MN/SF/SS/PA/,8453CA94590
House of Acts,Substance Abuse Prog/House of Acts II,,627 Grant Street,,,Vallejo,CA,94590,(707)553-1042,,SA/TX/RL/MN/SF/,0425CA94590
House of Acts,Substance Abuse Program,,115 Teri Court,,,Vallejo,CA,94590,(707)553-1042,,SA/TX/RL/CO/MN/SF/,6072CA94590
Kaiser Permanente,Chemical Dependency Services,,800 Sereno Drive,,,Vallejo,CA,94589,(707)651-1050,,SA/TX/DT/BU/OP/PH/AD/CO/GL/SE/WN/MN/SF/MD/MC/PI/AH/SP/,4306CA94589
Phoenix Programs Inc,,,301 Georgia Street,Suite 355,,Vallejo,CA,94590,(707)558-8195,,MH-SA/TX/OP/CO/CJ/SF/MD/,7990CA94590
Successful Alternatives for,Addiction Counseling Servs Inc (SAACS),,1628 Broadway Street,,,Vallejo,CA,94590,(707)649-8300,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/SI/SS/PA/SP/F37/,2669CA94590
Telecare Corporation,Solano STRIDES,,1027 Alabama Street,,,Vallejo,CA,94590,(707)558-1600 Intake: (707)558-1600x207,,MH/TX/OP/CO/MD/AH/,1958CA94590
Youth and Family Services,Substance Abuse Programs,,408 Tennessee Street,,,Vallejo,CA,94590,(707)554-2397,,MH-SA/TX/OP/AD/CO/MN/SF/MD/PI/SP/,2944CA94590
Youth and Family Services,Substance Abuse Services,,1017 Tennessee Street,,,Vallejo,CA,94590,(707)647-1520x203 Intake: (707)647-1520,,SA/TX/OP/PH/PW/WN/SF/MD/PI/,2950CA94590
Studio 12 Private Alcohol and Drug,Treatment Program,,12406 Magnolia Boulevard,,,Valley Village,CA,91607,(818)761-7374,,SA/TX/DT/HH/BU/RS/RL/SF/PI/,1948CA91607
2nd Chance for Recovery Inc,,,17620 Sherman Way,Suite 103,,Van Nuys,CA,91406,(818)705-4545,,MH-SA/TX/OP/AD/CO/WN/MN/CJ/SF/MD/SS/AH/SP/F70/,9809CA91406
American Health Services,Van Nuys,,6265 Sepulveda Boulevard,Suite 9,,Van Nuys,CA,91411,(818)779-0555,Methadone and Buprenorphine Clients Only,MH-SA/TX/DT/MM/BU/OP/SF/SS/SP/,1297CA91411
Choice and Change,,,6308 Woodman Avenue,Suite 209,,Van Nuys,CA,91401,(818)786-6632 Hotline: (818)786-6632,,MH-SA/TX/OP/AD/HV/GL/SE/WN/MN/DU/CJ/SF/PI/MI/SS/,0499CA91401
Community Alc and Drug Trt Foundation,Van Nuys Alc and Drug Treatment Ctr,,15015 Oxnard Street,,,Van Nuys,CA,91411,(818)787-4151 Intake: (866)51SOBER,,MH-SA/TX/OP/AD/SE/WN/SF/MD/SS/AH/SP/F70/,8047CA91411
Equilibrium Health Services Inc,,,14435 Hamlin Street,Suite 102,,Van Nuys,CA,91401,(818)997-1930,,SA/TX/OP/AD/SE/PW/MN/SF/MD/SS/,6555CA91401
High Road Program,,,14430 Sherman Way,,,Van Nuys,CA,91405,(818)785-9119,,SA/TX/OP/DU/CJ/SF/SP/,5923CA91405
I-ADARP,,,6740 Kester Avenue,Suite 200,,Van Nuys,CA,91405,(818)994-7454 Intakes: (818)994-7454x27 (800)540-4673,,SA/TX/OP/AD/WN/MN/CJ/SF/PI/AR/SS/,6573CA91405
National Council on Alc and Drug Dep,San Fernando Valley,,6640 Van Nuys Boulevard,Suite C,,Van Nuys,CA,91405,(818)997-0414,,SA/TX/OP/AD/CO/HV/GL/SE/PW/WN/MN/CJ/SF/AH/SP/,8551CA91405
San Fernando Valley Community Mental,Health Center For Family Living,,14545 Sherman Circle,,,Van Nuys,CA,91405,(818)901-4854,,MH/TX/OP/CO/MD/PA/,6308CA91405
Western Pacifi c Med Corp,Western Pacifi c Van Nuys Medical,,14332 Victory Boulevard,,,Van Nuys,CA,91401,(818)989-1996 Hotline: (818)989-1996,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F4/,3291CA91401
American Health Services LLC,Venice Medical and Mental Health Servs,,717 Lincoln Boulevard,,,Venice,CA,90291,(310)399-9883 Hotline: (310)671-0555,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/SF/MC/MI/SS/SP/F81/,6782CA90291
Phoenix House/Venice,,,503 Ocean Front Walk,,,Venice,CA,90291,(310)392-3070 Intake: (310)392-3070x4915,,MH-SA/TX/HH/RS/OP/SF/AR/,3306CA90291
Action Family Counseling Inc,Intensive Outpatient Program,,5850 Th ille Street,,,Ventura,CA,93003,(805)650-0084 Intakes: (800)367-8336 (661)297-8691 (800) Hotlines: (800)367-8336 (800)FORTEEN,,SA/TX/OP/SF/SI/PI/AR/,9372CA93003
Genesis Programs Inc Ventura,,,1650 Palma Drive,Suite 208,,Ventura,CA,93003,(805)650-3094,,SA/TX/OP/PH/SF/PI/,2706CA93003
Khepera House,,,125 West Harrison Avenue,Suite A,,Ventura,CA,93001,(805)653-2596,,SA/TX/RS/RL/MN/SF/,7916CA93001
Khepera House,,,125 West Harrison Avenue,Suite B,,Ventura,CA,93001,(805)653-2596,,SA/TX/RS/RL/MN/SF/,7916CA93001
Khepera House,,,125 West Harrison Avenue,Suite C,,Ventura,CA,93001,(805)653-2596,,SA/TX/RS/RL/MN/SF/,7916CA93001
Khepera House,,,125 West Harrison Avenue,Suite D,,Ventura,CA,93001,(805)653-2596,,SA/TX/RS/RL/MN/SF/,7916CA93001
Khepera House,,,277 West Harrison Avenue,Suite B,,Ventura,CA,93001,(805)653-2596,,SA/TX/RS/RL/MN/SF/,4920CA93001
Miracle House Inc,,,92 South Anacapa Street,,,Ventura,CA,93001,(805)678-1353 Intakes: (805)648-4783 (805)648-7857,,SA/TX/RS/RL/PW/WN/SF/AR/,2638CA93001
Miracle House Inc,,,94 South Anacapa Street,,,Ventura,CA,93001,(805)676-1353 Intakes: (805)648-4783 (805)648-7857,,SA/TX/RS/RL/WN/SF/AR/,7002CA93001
Miracles for Moms,,,1056 Meta Street,Suite 102,,Ventura,CA,93001,(805)653-6859 Intake: (805)648-7857,,SA/TX/OP/PH/PW/WN/,4384CA93001
Paul Booth MFT CADC NCACII,,,2580 East Main Street,Suite 201,,Ventura,CA,93003,(805)642-6779,,MH-SA/TX/OP/SF/PI/MI/,9715CA93003
Ventura County Dept of Alc/Drug Progs,Ventura Center,,24 East Main Street,,,Ventura,CA,93001,(805)652-6919 Intake: (805)652-6918,,SA/TX/OP/AD/CO/SF/MD/SI/SS/PA/AH/SP/,2590CA93001
Western Pacifi c Med Corp,Western Pacifi c Ventura Medical,,955 East Th ompson Boulevard,,,Ventura,CA,93001,(805)641-9100 Hotline: (805)641-9100,Methadone Clients Only,SA/TX/DT/MM/DM/OP/HV/PW/SF/MD/PI/SS/PA/SP/F4/,9302CA93001
High Desert Child Adolescent and Family Services Center Inc,,,16248 Victor Street,,,Victorville,CA,92395,(760)243-7151,,MH-SA/TX/OP/SF/MD/SS/,0671CA92395
One 2 One Mentors Inc,Stepping Stones to Recovery,,16245 Desert Knoll Drive,,,Victorville,CA,92395,(760)245-1997 Hotline: (760)885-2974,,MH-SA/TX/OP/AD/CO/HV/GL/PW/CJ/SF/MD/AR/SS/PA/AH/SP/,3448CA92395
Pine Ridge Treatment Center,,,15367 Bonanza Road,Suite A,,Victorville,CA,92392,(760)955-1012,,SA/TX/OP/PH/SF/PI/,4861CA92392
Saint John of God Healthcare Services,,,13333 Palmdale Road,,,Victorville,CA,92392,(760)241-4917x22 Intake: (760)241-4917x229 Hotline: (800)888ADDI,,SA/TX/DT/HH/RS/RL/HV/WN/MN/SF/PI/SS/PA/SP/,6023CA92392
Saint John of God Healthcare Services,,,15534 6th Street,,,Victorville,CA,92393,(760)952-9192x23 Intake: (760)952-9192 Hotline: (800)888ADDI,,SA/TX/HH/OP/SF/MD/MC/SI/PI/SS/PA/AH/SP/,5124CA92393
Alternative Services Inc,,,2223 North Shirk Road,Suite A,,Visalia,CA,93291,(559)651-8090 Intake: (559)784-9309 Hotlines: (559)784-9309 (559)651-8090,,SA/TX/OP/CO/DU/CJ/SF/AH/SP/F37/,0464CA93291
Addiction Research and Treatment Inc,,,1646 South Court Street,,,Visalia,CA,93277,(559)625-8890,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PW/SF/MD/PI/SS/AH/SP/F66/,1250CA93277
Kaweah Delta Mental Health Hosptial,Kaweah Delta Family Recovery Center,,1100 South Akers Street,,,Visalia,CA,93277,(559)624-3381 Intake: (559)624-3382,,MH-SA/TX/OP/CO/SF/PI/MI/,1881CA93277
New Hope,,,1425 East Walnut Avenue,,,Visalia,CA,93292,(559)625-0440 Intake: (559)933-6123 Hotline: (559)625-0440,,SA/TX/RL/CO/WN/SF/SS/AH/SP/,5881CA93292
Recovery Resources,,,2222 Sunnyside Street,Suite 2,,Visalia,CA,93277,(559)625-8176,,SA/TX/OP/AD/SF/,7421CA93277
SRS Recovery Services,,,515 West Murray Street,Suites B and C,,Visalia,CA,93291,(559)636-2091 Intake: (559)789-9881,,SA/TX/OP/CO/WN/MN/CJ/SF/SI/PI/MI/AR/PA/SP/,3782CA93291
Tulare County Health and Human Servs,Family Intervention,,132 North Valley Oaks Drive,,,Visalia,CA,93292,(559)733-6123 Intake: (559)624-1002,,SA/TX/OP/SP/,5041CA93292
Turning Point of Central CA Inc,Turning Point Aft ercare,1845-1/2 South Court,,,,Visalia,CA,93277,(559)732-5550,,MH-SA/TX/OP/CJ/,4012CA93277
Turning Point of Central CA Inc,Turning Point Youth Services,,220 North Locust Street,,,Visalia,CA,93291,(559)627-1385,,SA/TX/OP/AD/SF/SI/SP/,8128CA93291
Alpha Project for the Homeless,Casa Raphael,,975 and 993 Postal Way,,,Vista,CA,92083,(760)630-9922,,SA/TX/RL/MN/SS/PA/SP/,0432CA92083
Bethesda Recovery Center,Choices in Recovery/Hill House,,653 Plumosa Street,,,Vista,CA,92084,(760)945-5290,,SA/TX/RL/CJ/SF/,4110CA92084
Choices in Recovery Center,,,733 South Santa Fe Avenue,,,Vista,CA,92083,(760)945-5290,,SA/TX/OP/CJ/SF/,7159CA92083
Choices in Recovery Center,Bethesda Recovery Center/Humble House,,248 Hill Drive,,,Vista,CA,92083,(760)945-5290,,SA/TX/RL/CJ/SF/,4918CA92083
Choices in Recovery Center,Bethesda Recovery Center/New House,,747 Melrose Place,,,Vista,CA,92084,(760)945-5290,,SA/TX/RL/CJ/SF/,2674CA92084
Choices in Recovery Center,Foundation House,,619 Escondido Avenue,,,Vista,CA,92083,(760)945-5290,,SA/TX/DT/BU/RS/RL/CJ/SF/,1837CA92083
Mental Health Systems Inc,North County Center For Change,,504 West Vista Way,,,Vista,CA,92083,(760)940-1836x20 Intake: (760)940-1836,,SA/TX/OP/WN/MN/CJ/,6984CA92083
Mental Health Systems Inc,Options for Recovery/Vista,,1010 East Vista Way,Suite F,,Vista,CA,92084,(760)726-2656,,SA/TX/OP/PW/WN/SF/SI/SS/,2978CA92084
Kaiser Permanente,Chemical Dependency Services,,710 South Broadway,,,Walnut Creek,CA,94596,(925)295-4145 Hotline: (925)295-4145,,MH-SA/TX/DT/BU/OP/CO/WN/MN/MC/PI/AH/,7017CA94596
Weyland Consultation Services,,,2930 Camino Diablo,Suite 110,,Walnut Creek,CA,94597,(925)945-7816 Intake: (925)945-7816x41,,SA/TX/OP/AD/WN/MN/SF/,4467CA94597
Narconon of Southern California,Narconon San Diego,,35025 Highway 79,,,Warner Springs,CA,92086,(760)782-0471 Intake: (951)252-9800,,SA/TX/RL/CO/SF/,3501CA92086
Kern County Mental Health Department,Wasco Clinic,,930 F Street,,,Wasco,CA,93280,(661)758-7300 Intake: (661)868-6453,,MH/TX/OP/CO/MN/CJ/SF/MD/PA/SP/,9974CA93280
Fenix Outpatient Services,,,18 Alexander Street,,,Watsonville,CA,95076,(831)722-5914,,SA/TX/OP/PW/SF/SS/SP/,2819CA95076
Hermanas Recovery Program,,,640 Rodriquez Street,,,Watsonville,CA,95076,(831)722-2471,,SA/TX/RL/WN/BC/SF/SS/SP/,5490CA95076
Narconon Vista Bay,,,262 Gaff ey Road,,,Watsonville,CA,95076,(831)768-7190 Intake: (800)556-8885,,SA/TX/DT/RS/RL/OP/SF/PI/,3131CA95076
Pajaro Valley Prevention and Student Assistance,,,335 East Lake Avenue,,,Watsonville,CA,95076,(831)728-6445,,MH/TX/OP/AD/CO/SI/SP/,1340CA95076
Paloma House,,,321 East Beach Street,,,Watsonville,CA,95076,(831)722-6599,,MH-SA/TX/BU/RS/RL/OP/CO/MN/SF/MD/MC/SI/PI/MI/SP/,3092CA95076
Santa Cruz Community Counseling Center,Si Se Puede,,161 Miles Lane,,,Watsonville,CA,95076,(831)761-5422x105 Intake: (831)761-5422,,SA/TX/RL/SF/SS/SP/,7332CA95076
Santa Cruz Community Counseling Center,Youth Services/South,,241 East Lake Avenue,,,Watsonville,CA,95076,(831)688-8856,,MH-SA/TX/OP/AD/CO/GL/SF/MC/SS/PA/SP/,7061CA95076
Aegis Medical Systems Inc,,,1825 East Th elborn Street,,,West Covina,CA,91791,(626)915-3844,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/GL/SE/PW/WN/MN/CJ/SF/MC/PI/SS/,6092CA91791
Safety Education Center,,,1515 West Cameron Avenue,Suite 300,,West Covina,CA,91790,(626)960-3977,,SA/TX/OP/DU/CJ/SF/SP/,3680CA91790
Twin Town West Hollywood,West Hollywood,,8739 Santa Monica Boulevard,,,West Hollywood,CA,90069,(310)623-1477 Intake: (866)594-8844 Hotline: (866)594-8844,,SA/TX/DT/OP/PH/AD/GL/SF/PI/AR/,0403CA90069
Communicare Health Centers,Outpatient Substance Abuse Trt Program,,500-B Jeff erson Boulevard,Suite 195,,West Sacramento,CA,95605,(916)403-2970 Intake: (530)668-2400,,SA/TX/DT/OP/PH/AD/CO/PW/SF/MD/MC/SI/SS/SP/F70/,0774CA95605
Laurie Saunders,Intervention Institute,,870 Hampshire Road,Suite A,,Westlake Village,CA,91361,(805)379-3611 Intake: (805)375-9100,,SA/TX/OP/AD/CO/HV/GL/SE/PW/WN/MN/CJ/SF/PI/SP/,2725CA91361
Orange County Healthcare Agency,West Alcohol and Drug Abuse Services,,14140 Beach Boulevard,Suites 120 and 200,,Westminster,CA,92683,(714)896-7574 Intake: (714)934-4600,,SA/TX/OP/PW/WN/MN/SF/SS/AH/SP/F92/,5025CA92683
ADAPT Aware Zone Inc,,,14128 Whittier Boulevard,,,Whittier,CA,90605,(562)698-0474,,SA/TX/OP/DU/SF/AH/SP/,7055CA90605
CA Diversion Intervention Foundation,(CDIF),,7336 South Painter Avenue,,,Whittier,CA,90602,(800)842-9089,,SA/TX/OP/CJ/SF/SS/,5120CA90602
CRC Inc,HOW House,,14100 1/2 Glengyle Avenue,,,Whittier,CA,90604,(562)777-1222 Intake: (562)980-6875 Hotline: (800)799-2084,,SA/TX/HH/RL/MN/CJ/SF/PI/,4992CA90604
LUNA Recovery Inc,,,7007 Washington Avenue,Suite 240,,Whittier,CA,90602,(562)693-0400,,SA/TX/OP/AD/SE/WN/MN/SF/SI/SS/SP/,5371CA90602
Safety Consultant Services,,,13501 East Whittier Boulevard,,,Whittier,CA,90605,(562)945-2493,,SA/TX/OP/SF/SP/,9708CA90605
Southern CA Alcohol and Drug Progs Inc,Awakenings,,12322 Clearglen Street,Apartment 1,,Whittier,CA,90604,(866)544-7588 Intakes: (562)947-3835 (562)947-4833 Hotlines: (562)947-3835 (562)947-9895,,SA/TX/RL/OP/CO/HV/GL/SE/PW/WN/MN/DU/SF/PI/SS/PA/AH/SP/F17/,6193CA90604
Southern CA Alcohol and Drug Progs Inc,Awakenings,,12322 Clearglen Street,Apartment 2,,Whittier,CA,90604,(866)544-7588 Intakes: (562)947-3835 (562)947-4833 Hotlines: (562)947-3835 (562)947-4833,,SA/TX/RL/OP/CO/HV/GL/SE/PW/WN/MN/DU/SF/PI/SS/PA/AH/SP/F17/,6193CA90604
Southern CA Alcohol and Drug Progs Inc,Awakenings,,12322 Clearglen Street,Apartment 3,,Whittier,CA,90604,(866)544-7588 Intakes: (562)947-3835 (562)947-4833 Hotlines: (562)947-3835 (562)947-9895,,SA/TX/RL/OP/CO/HV/GL/SE/PW/WN/MN/DU/SF/PI/SS/PA/AH/SP/F17/,6193CA90604
Southern CA Alcohol and Drug Progs Inc,Awakenings,,12322 Clearglen Street,Apartment 4,,Whittier,CA,90604,(866)544-7588 Intakes: (562)947-3835 (562)947-4833 Hotlines: (562)947-3835 (562)947-4833,,SA/TX/RL/OP/CO/HV/GL/SE/PW/WN/MN/DU/MD/PI/SS/PA/AH/SP/F17/,6193CA90604
Southern CA Alcohol and Drug Progs Inc,Foley House,"10501, 10505, 10511, 10517 and",10519 Mills Avenue,,,Whittier,CA,90604,(562)944-7953,,MH-SA/TX/RL/BC/SF/SS/,5799CA90604
Mendocino County Alcohol and Other,Drug Programs,,221 South Lenore Street,Suite B,,Willits,CA,95490,(707)456-3821 Hotlines: (707)463-4357 (707)463-HELP,,SA/TX/OP/CO/WN/SF/MD/MC/SS/AH/,6108CA95490
Aegis Medical Systems Inc,,,1322 North Avalon Boulevard,,,Wilmington,CA,90744,(310)513-1300 Intake: (310)513-1301 Hotline: (877)722-4468,Methadone Clients Only,MH-SA/TX/DT/MM/DM/OP/HV/SE/PW/WN/MN/SF/MC/SS/SP/,4062CA90744
Behavioral Health Services,Wilmington Community Recovery Center,,1318 North Avalon Boulevard,Suite A,,Wilmington,CA,90744,(310)549-2710 Hotline: (310)549-2710,,SA/TX/OP/DU/SF/PI/SP/,3567CA90744
Transcultural Health Development,,,117 East Harry Bridges Boulevard,,,Wilmington,CA,90744,(310)549-8383 Hotline: (866)762-3766,Methadone and Buprenorphine Clients Only,SA/TX/DT/MM/DM/BU/OP/HV/WN/SF/SI/PI/AH/SP/F81/,9375CA90744
Womens Odyssey Organization Inc,,,20830 Parthenia Street,,,Winnetka,CA,91306,(818)998-8972 Intake: (818)427-1110,,SA/TX/RL/WN/CJ/SF/PA/,3334CA91306
Fort Yuma Alcohol and Drug Abuse,Prevention Program,,1888 San Pasqual School Road,,,Winterhaven,CA,92283,(760)572-0232,Methadone Clients Only,SA/TX/OP/AD/,5956CA92283
Cache Creek Lodge,,,435 Aspen Street,,,Woodland,CA,95695,(530)662-5727x34 Intake: (530)662-5727,,MH-SA/TX/HH/RS/RL/OP/CO/WN/MN/CJ/SF/PA/,7122CA95695
Communicare Health Centers,Substance Abuse Program,,804 Court Street,,,Woodland,CA,95695,(530)668-2400 Intake: (916)403-2970,,SA/TX/OP/AD/CO/PW/SF/MD/MC/SI/SP/,2977CA95695
Progress House Inc,Progress House Perinatal Facility,,15450 and 15430 County Road 99,House A and House B,,Woodland,CA,95695,(530)668-9627,,SA/TX/RL/PW/WN/BC/CJ/,4711CA95695
Yolo County Alcohol Drug and MH Servs,,,137 North Cottonwood Street,Suite 1510,,Woodland,CA,95695,(530)666-8658x8970 Intake: (530)666-8658,,MH-SA/TX/OP/DU/CJ/SF/AH/SP/,1377CA95695
Yolo Wayfarer Recovery Center,Christian Mission Walters House,,285 4th Street,,,Woodland,CA,95695,(530)662-2699,,SA/TX/RS/RL/WN/MN/SF/PA/,5456CA95695
Harmony Place,,,23041 Hatteras Street,,,Woodland Hills,CA,91267,(818)226-4100 Intake: (888)866-9778,,MH-SA/TX/DT/BU/RS/RL/CO/WN/SF/,8188CA91267
Matrix Institute,,,20350 Ventura Boulevard,Suite 230,,Woodland Hills,CA,91364,(818)226-6070x105 Intake: (818)654-2577,,SA/TX/OP/CJ/SF/PI/,9806CA91364
Kuruk Tribal Health Program of,River of Health and Wellness,,1519 South Oregon Street,,,Yreka,CA,96097,(530)842-9200x6303 Intakes: (530)842-9200x126 (530)842- 9200x132,,MH-SA/TX/OP/DU/SF/MC/AR/SS/PA/,0464CA96097
Perinatal Services and Next Step Intensive Outpt Treatment,,,2060 Campus Drive,,,Yreka,CA,96097,(530)841-4890 Hotline: (530)841-4100,,SA/TX/OP/SF/PI/AH/,0988CA96097
Siskiyou Alcohol and Drug Abuse Servs,,,2060 Campus Drive,,,Yreka,CA,96097,(530)841-4100 Intakes: (530)841-4890x4890 (866)460- 0402x4890,,SA/TX/OP/PH/AD/CO/HV/PW/WN/CJ/SF/AH/,0680CA96097
First Steps,,,1251 East Onstott Road,,,Yuba City,CA,95991,(530)822-7263,,SA/TX/OP/CO/PW/SF/SS/,9032CA95991
Re-Entry Inc,Re-Entry Residential,,8851 Garden Highway,,,Yuba City,CA,95993,(530)885-4509 Intake: (916)223-3619 Hotline: (916)801-5908,,SA/TX/RS/RL/CO/HV/GL/SE/MN/CJ/SF/,0756CA95993
Sutter Yuba Mental Health Services,Options for Change,,1965 Live Oak Boulevard,,,Yuba City,CA,95991,(530)822-7200x2200 Intakes: (530)822-7200 (530)822-3292 Hotlines: (530)673-8255 (888)923-3800,,MH/TX/OP/CO/CJ/SF/PI/SS/SP/,7729CA95991
Crossroads Turning Points Inc,,,2265 Lava Lane,,,Alamosa,CO,81101,(719)589-5176 Hotline: (719)589-5176,,SA/TX/DT/RS/OP/AD/CO/HV/GL/SE/PW/WN/MN/DU/CJ/SF/MD/SS/SP/,4263CO81101
SLV Family and Addiction Counseling,,,811 Main Street,,,Alamosa,CO,81101,(719)589-2974,,MH-SA/TX/OP/DU/SF/MD/SI/PI/SS/SP/,1166CO81101
San Luis Valley Mental Health Center,,,8745 County Road 9 South,,,Alamosa,CO,81101,(719)589-3671 Intake: (719)589-3673,,MH-SA/TX/OP/AD/CO/WN/MN/DU/CJ/SF/MD/PI/MI/SS/PA/SP/,3244CO81101
Action Substance Abuse Recovery,,,5603 Yukon Street,Unit B,,Arvada,CO,80002,(303)429-7144,,MH-SA/TX/OP/DU/SF/SI/PI/AH/,6359CO80002
Arvada Counseling Center Inc,,,7850 Vance Drive,Suite 280,,Arvada,CO,80003,(303)420-4494,,MH-SA/TX/OP/AD/CO/WN/MN/DU/CJ/SF/AH/,9290CO80003
Creative Treatment Options,,,6475 Wadsworth Boulevard,Suite 324,,Arvada,CO,80003,(303)467-2624,,SA/TX/OP/AD/CO/SE/WN/MN/DU/CJ/SF/,1560CO80003
Colorado West Regional Mental Hlth Ctr,Aspen Counseling Center,,405 Castle Creek Road,Suite 9,,Aspen,CO,81611,(970)920-5555,,MH-SA/TX/OP/DU/CJ/SF/MD/PI/MI/SS/,4324CO81611
A J Counseling and Associates Inc,,,1450 South Havana Street,Suite 707,,Aurora,CO,80012,(303)517-5570,DWI/DUI Clients Only,SA/TX/OP/DU/CJ/SF/SS/AH/F17/F47/F92/,1509CO80012
ARTS Univ of CO Health Science Center,,,Potomac Street Center,1330 South Potomac Street,Suite 104-A,Aurora,CO,80012,(303)283-5991,Methadone and Buprenorphine Clients Only,SA/TX/MM/BU/OP/WN/DU/SF/MD/SI/PI/AR/SS/PA/SP/,6011CO80012
Action Substance Abuse Recovery,,,14901 East Hampden Avenue,Suite 270,,Aurora,CO,80014,(303)429-7144,,MH-SA/TX/OP/DU/SF/PI/AH/,1310CO80014
Alcohol/Behavior Information,,,15200 East Girard Avenue,Suite 1700,,Aurora,CO,80014,(303)368-8702 Intake: (303)368-8869,,SA/TX/OP/DU/CJ/SF/SS/SP/,9226CO80014
Anchor Counseling Inc,,,15290 East 6th Avenue,Suite 110,,Aurora,CO,80011,(303)367-9356,,SA/TX/OP/DU/CJ/SF/SP/,3094CO80011
Arapahoe House,,,1290 South Potomac Street,,,Aurora,CO,80012,(303)412-3703,,SA/DT/RS/SF/MD/PI/AR/,1887CO80012
Arapahoe House,Aurora Outpatient,,3005 South Parker Road,Building C Suite 330,,Aurora,CO,80014,(303)657-3700,,SA/TX/OP/AD/WN/MN/DU/SF/MD/MC/SI/PI/MI/AR/SS/AH/SP/,8012CO80014
Attitude Development Services Inc,,,2600 South Parker Road,Building 3 Suite 332,,Aurora,CO,80014,(303)338-9992,,SA/TX/OP/DU/CJ/SF/,0757CO80014
Aurora Center for Treatment Inc,,,1591 Chambers Road,Suite E,,Aurora,CO,80011,(303)340-8990,,SA/TX/OP/WN/MN/DU/SF/MI/AR/SS/AH/,6513CO80011
Aurora Mental Health Center,,,1290 Chambers Road,1st Floor,,Aurora,CO,80011,(303)617-2715 Intake: (303)617-2730,,MH-SA/TX/OP/CO/SF/MD/AR/,6517CO80011
BI Incorporated,BI Day Reporting Center Colorado,,15290 East 6th Avenue,Suite 160,,Aurora,CO,80011,(303)699-8181 Hotline: (303)510-2133,,SA/TX/OP/DU/SF/,7126CO80011
Behavioral Alternatives Center Assoc,,,1456 Iola Street,,,Aurora,CO,80010,(720)859-2332,,SA/TX/OP/AD/DU/CJ/SF/SP/F92/,4626CO80010
Behavioral Alternatives Center Assoc,,,3350 North Peoria Street,,,Aurora,CO,80010,(303)366-2727 Intake: (720)859-2332,,SA/TX/OP/AD/DU/CJ/SF/SP/F92/,9967CO80010
Chrysalis Counseling,,,14201 East 4th Avenue,Building 4 Suite 130,,Aurora,CO,80011,(303)360-0900,,MH-SA/TX/OP/AD/GL/DU/CJ/SF/AR/,8747CO80011
Creative Recovery,Counseling and Consulting Inc,,2323 South Troy Street,Building 1 Suite 310,,Aurora,CO,80014,(303)752-2390,,SA/TX/OP/AD/DU/CJ/SF/SS/AH/,3457CO80014
Eagle Counseling Services Inc,,,2200 Chambers Road,Unit E,,Aurora,CO,80011,(303)363-8152 Intake: (720)495-8917,,SA/TX/OP/DU/CJ/SF/SP/,9754CO80011
Ideas Directed at Eliminating Abuse,(IDEA),Gateway Plaza,1090 South Sable Boulevard,,,Aurora,CO,80012,(720)858-9111,,SA/TX/OP/AD/CO/GL/PW/WN/DU/CJ/SF/MD/AR/SS/PA/AH/SP/,4893CO80012
Jireh Counseling Center,,,262 Havana Street,Unit B,,Aurora,CO,80010,(303)366-8424,,MH/TX/OP/DU/SF/MD/PI/SS/,8691CO80010
Milestone Counseling Services Inc,,,2620 South Parker Road,Suite 143,,Aurora,CO,80014,(303)337-4444 Intake: (303)234-9130,,SA/TX/OP/DU/SF/SS/,3515CO80014
Nanci Gonzales LLC,,,2953 South Peoria Street,Suite 207,,Aurora,CO,80014,(303)725-2183,,MH/TX/OP/SF/PI/MI/,4675CO80014
Parker Froyd and Associates,Mental Health Services,,14231 East 4th Avenue,Building 1 Suite 102,,Aurora,CO,80011,(303)363-1053,,MH-SA/TX/OP/AD/DU/CJ/SF/AR/SS/,4730CO80011
Peoria Treatment Center,,,1010 South Joliet Street,Suite 104,,Aurora,CO,80012,(303)361-9895,,SA/TX/OP/AD/SE/WN/MN/DU/CJ/SF/MD/PI/,7631CO80012
Road Called STRATE,,,1532 Galena Street,Suite 395,,Aurora,CO,80010,(303)360-9176 Intake: (303)520-5118,,SA/TX/DT/OP/AD/CO/DU/SF/AR/PA/AH/SP/F28/F92/,6963CO80010
SITEC Inc,,,2600 South Parker Road,Suite B2-321,,Aurora,CO,80013,(720)747-4832 Intake: (720)219-5535,,SA/TX/OP/AD/WN/MN/DU/CJ/SF/AR/SS/SP/,6420CO80013
Saddle Rock Counseling,,,20971 East Smokey Hill Road,Suite 105-B,,Aurora,CO,80015,(303)400-3172,,SA/TX/OP/AD/DU/SF/,6250CO80015
Strides LLC,,,2993 South Peoria Street,Suite 128,,Aurora,CO,80014,(303)337-4114,,SA/TX/OP/AD/DU/CJ/SF/SS/,5917CO80014
