name1,name2,street1,street2,city,state,zip,zip4,county,latitude,longitude
Veterans Alcoholic Rehab Prog (VARP),Gibson Recovery for Women,1135 North D Street,,San Bernardino,CA,92410,,San Bernardino,34.1200494,-117.291561
Veterans Alcoholic Rehab Prog (VARP),Reading House II,1107 North D Street,,San Bernardino,CA,92410,,San Bernardino,34.1197178,-117.2917019
Veterans Alcoholic Rehab Prog (VARP),,384 11th Street,,San Bernardino,CA,92410,,San Bernardino,34.1197494,-117.2915012
Veterans Alcoholic Rehab Prog (VARP),Reading House I,1103 North D Street,,San Bernardino,CA,92410,,San Bernardino,34.119783,-117.291388
Veterans Alcoholic Rehab Prog (VARP),Rearick II House,382 11th Street,,San Bernardino,CA,92410,,San Bernardino,34.1196947,-117.2914462
Colusa County,Dept of Behavioral Health/SA,162 East Carson Street,Suite A,Colusa,CA,95932,,Colusa,39.205832,-122.006293
Twin Town Treatment Centers,Twin Town Los Alamitos,4388 Katella Avenue,,Los Alamitos,CA,90720,,Orange,33.802542,-118.0568505
Behavioral Health Services,Joint Efforts,590 West 8th Street,,San Pedro,CA,90731,,Los Angeles,33.7371904,-118.2899315
Inland Valley Recovery Services,San Bernardino Recovery Center,939 North D Street,,San Bernardino,CA,92410,,San Bernardino,34.1165382,-117.2915532
House of Hope Foundation Inc,,235 West 9th Street,,San Pedro,CA,90731,,Los Angeles,33.73599478,-118.2828118
Social Science Services Inc,Cedar House Life Change Center,10888 Maple Avenue,,Bloomington,CA,92316,,San Bernardino,34.0561933,-117.4055002
Support for Harbor Area,Womens Lives/Shawl House,936 South Centre Street,,San Pedro,CA,90731,,Los Angeles,33.7353615,-118.2832441
Beacon House Association of San Pedro,Lighthouse,132 West 10th Street,,San Pedro,CA,90731,,Los Angeles,33.73527,-118.2811888
Beacon House Association of San Pedro,McMillen House,1012 South Palos Verdes Street,,San Pedro,CA,90731,,Los Angeles,33.73497367,-118.2814458
Hope House Corporation,,710 and 714 North Anaheim Boulevard,,Anaheim,CA,92805,,Orange,33.8426426,-117.9159756
Beacon House Association of San Pedro,Proper House,1021 South Beacon Street,,San Pedro,CA,90731,,Los Angeles,33.7346722,-118.2806863
Duck House LLC,,511 South Greenwich Street,,Anaheim,CA,92804,,Orange,33.8266523,-117.9630896
Beacon House Association of San Pedro,Catherines House,124 West 11th Street,,San Pedro,CA,90731,,Los Angeles,33.7343409,-118.2810477
New Found Life,,2211 East Ocean Boulevard,,Long Beach,CA,90803,,Los Angeles,33.7643449,-118.1654473
Department of Veterans Affairs,Long Beach Healthcare System,5901 East 7th Street,Unit 116A-SATC,Long Beach,CA,90822,,Los Angeles,33.777569,-118.1189428
Social Science Services Inc,Cedar House Life Change Center,18612 Santa Ana Avenue,,Bloomington,CA,92316,,San Bernardino,34.0568915,-117.3982291
Lighthouse Treatment Center,,1243 1/2 West Pearl Street,,Anaheim,CA,92801,,Orange,33.834702,-117.931009
Healthcare Services Inc,Anaheim Lighthouse,1330 West Pearl Street,Units A-D,Anaheim,CA,92801,,Orange,33.8341524,-117.9313718
Anaheim Lighthouse,,1320 West Pearl Street,,Anaheim,CA,92801,,Orange,33.834168,-117.9311474
Lighthouse Treatment Center,,1310 West Pearl Street,,Anaheim,CA,92801,,Orange,33.8341675,-117.9309823
Fred Brown Recovery Services Inc,19th Street Services,856 West 19th Street,,San Pedro,CA,90731,,Los Angeles,33.72697893,-118.2958575
Foothill AIDS Project,,344 West 2nd Street,,San Bernardino,CA,92401,,San Bernardino,34.1029374,-117.2905278
Pine Ridge Treatment Center,,2727 Highland Drive,,Running Springs,CA,92382,,San Bernardino,34.204732,-117.103773
Western Pacific Med Corp,Western Pacific Stanton,10751 Dale Street,,Stanton,CA,90680,,Orange,33.8029131,-117.9845021
Wel Mor Psychology Group Inc,,5120 East La Palma Avenue,Suite 202,Anaheim,CA,92807,,Orange,33.8590245,-117.8056838
Behavioral Health Services,Feather River Tribal Health Center,2145 5th Avenue,,Oroville,CA,95965,,Butte,39.5036595,-121.5631101
Orange County Healthcare Agency,Adult and Older Adult Behav Health,2035 East Ball Road,Suites 100-A,Anaheim,CA,92806,,Orange,33.8190373,-117.8879615
Substance Trt Add Recovery Detox Ctr,Star Detox Center,1822 South Bayless Street,,Anaheim,CA,92802,,Orange,33.8023081,-117.936319
County of Butte,BCDBH Oroville Youth SAPT,2430 Bird Street,,Oroville,CA,95965,,Butte,39.5152638,-121.5499653
Butte County Dept of Behavioral Health,Oroville Stepping Stones,2167 Montgomery Street,,Oroville,CA,95966,,Butte,39.514415,-121.553575
Azure Acres Recovery Center,CRC Health,2264 Green Hill Road,,Sebastopol,CA,95472,,Sonoma,38.4127712,-122.9010152
Korean Community Services Inc,KC Services,7281 Garden Grove Boulevard,Suite H,Garden Grove,CA,92841,,Orange,33.774874,-118.004028
Well Recovery Partners,,5282 Cornell Avenue,,Westminster,CA,92683,,Orange,33.7631763,-118.0377059
Mental Health Systems Inc/PRIDE,Probationers Rec Thru Interv/Drug Educ,1874 Business Center Drive,Suite B,San Bernardino,CA,92408,,San Bernardino,34.0683104,-117.2815269
Mental Health Systems Inc,San Bernardino Center for Change,1874 Business Center Drive,,San Bernardino,CA,92408,,San Bernardino,34.068271,-117.28146
Center for Treatment of Addiction Inc,,10045 Lampson Avenue,,Garden Grove,CA,92840,,Orange,33.781671,-117.9576696
Colton Comprehensive Treatment Center,,2275 East Cooley Drive,,Colton,CA,92324,,San Bernardino,34.0594193,-117.288769
Sunrise Ranch,,6690 Limonite Frontage Road,,Riverside,CA,92509,,Riverside,33.9840269,-117.4324008
Sierra by the Sea,Sunrise Recovery Ranch,6798 Limonite Frontage Road,,Jurupa Valley,CA,92509,,Riverside,33.9836276,-117.4325941
Sierra by the Sea,,2800 Lafayette Road,Suite D,Newport Beach,CA,92663,,Riverside,33.983747,-117.4316205
Mariposa Women and Family Center,,200 East Katella Avenue,,Orange,CA,92867,,Orange,33.8088398,-117.8517021
Drug Alternative Program,,11805 Arliss Lane,,Grand Terrace,CA,92313,5122,San Bernardino,34.0394315,-117.3094236
WJW Treatment Centers,,13212-13222 Chapman Avenue,,Garden Grove,CA,92840,,Orange,33.7885981,-117.9022435
Riverside San Bernardino County ,San Manuel Clinic,11980 Mount Vernon Avenue,,Grand Terrace,CA,92313,,San Bernardino,34.0363808,-117.3146811
Broadway Detox Center,,6021 Jade Circle,,Huntington Beach,CA,92648,,Orange,33.748541,-118.0239836
Full Circle Recovery,,1860 Lampton Lane,,Norco,CA,92860,,Riverside,33.9191377,-117.5607973
Center for Treatment of Addiction Inc,,5500 Bolsa Avenue,Suite 105,Huntington Beach,CA,92649,,Orange,33.7439127,-118.0324229
Orange County Healthcare Agency,West AOABHS Substance Use Disorder,14140 Beach Boulevard,Suite 120,Westminster,CA,92683,,Orange,33.7569298,-117.9879575
Wavelengths Recovery LLC,,16382 North Pacific Avenue,,Sunset Beach,CA,90742,,Orange,33.7234675,-118.0773823
Wavelengths Recovery LLC,,16386 North Pacific Avenue,,Sunset Beach,CA,90742,,Orange,33.7234227,-118.0774403
New Creation,Womens Treatment,23950 Prado Lane,,Colton,CA,92324,,San Bernardino,34.0413859,-117.2814121
New Creation,Encanto House,11646 Encanto Lane,,Colton,CA,92324,,San Bernardino,34.041386,-117.2804018
Western Clinical Hlth Servs (WCHS),,1021 West La Cadena Drive,,Riverside,CA,92501,,Riverside,34.0043069,-117.35061
Joshua House,,9842 13th Street,,Garden Grove,CA,92844,3171,Orange,33.7554816,-117.9569808
MFI Recovery Center,,4440 University Avenue,,Riverside,CA,92501,,Riverside,33.9856902,-117.3834054
Just One Recovery,,262 and 264 North Cleveland Street,,Orange,CA,92866,,Orange,33.7909158,-117.8479247
Whiteside Manor,Mens Program,2743 Orange Street,,Riverside,CA,92501,,Riverside,33.9913048,-117.3671776
Newport Academy,,1655 Hunters Way,,Orange,CA,92869,,Orange,33.8162025,-117.7727719
Jerry L Pettis Memorial VA Med Center,STAR/Substance Treatment and Recovery,11201 Benton Street,,Loma Linda,CA,92357,,San Bernardino,34.0499825,-117.2498122
10 Acre Ranch Inc,,"8605, 8567 and 8589 Janet Street",,Riverside,CA,92503,,Riverside,33.9419448,-117.4650763
MFI Recovery Center,A Womens Place,4295 Brockton Avenue,,Riverside,CA,92501,,Riverside,33.979771,-117.3826706
Twin Town Treatment Centers,Twin Town/Orange,705 West La Veta Avenue,Suite 208,Orange,CA,92868,,Orange,33.7811021,-117.860089
Chapman House Inc,,1412 East Chapman Avenue,,Orange,CA,92866,,Orange,33.78780177,-117.8387402
Aegis Treatment Centers LLC,Redlands,1889 West Redlands Boulevard,Building 9,Redlands,CA,92373,,San Bernardino,34.061752,-117.2171742
School Ten,,1111 Town and Country Road,Suite 25,Orange,CA,92868,,Orange,33.7770766,-117.8636521
Cooper Fellowship Inc,,409 North Cooper Street,,Santa Ana,CA,92703,,Orange,33.7482247,-117.9410015
Lead Recov Transitional Living Ctr LLC,Lead Recovery Center,192 South Craig Drive,,Orange,CA,92869,,Orange,33.7860388,-117.822488
Newport Academy,,811 North Ranch Wood Trail,,Orange,CA,92869,,Orange,33.8018249,-117.7764671
MFI Recovery Center,,5870 Arlington Avenue,,Riverside,CA,92504,,Riverside,33.9455798,-117.4312912
Pacific Grove Hospital,,5900 Brockton Avenue,,Riverside,CA,92506,,Riverside,33.9622276,-117.395191
Axion Detox Inc,,6272 Farinella Drive,,Huntington Beach,CA,92647,,Orange,33.7185049,-118.0192263
South Coast Behav Hlth Guesthouse Inc,,5302 Kenilworth Drive,,Huntington Beach,CA,92649,,Orange,33.7118901,-118.0358306
Dynamic Transformations LLC,,1247 Cantania Drive,,Redlands,CA,92374,4748,San Bernardino,34.0782141,-117.1624578
Loma Linda University,Behavioral Medicine Center,1710 Barton Road,,Redlands,CA,92373,,San Bernardino,34.049301,-117.214002
ARI Recovery,Anet Khechoumian,8342 Bryant Drive,,Huntington Beach,CA,92647,,Orange,33.7205675,-117.9828104
Merito House Addiction Treatment Ctr,,911 Church Street,,Redlands,CA,92374,,San Bernardino,34.0645264,-117.1740725
New Origins LLC,,101 East Redlands Boulevard,Suite 200,Redlands,CA,92373,,San Bernardino,34.0584136,-117.1806534
Christian Counseling Services,,101 East Redlands Boulevard,Suite 215,Redlands,CA,92373,,San Bernardino,34.0584136,-117.1806534
Straight Talk,Gerry House,1225 West 6th Street,,Santa Ana,CA,92703,,Orange,33.749937,-117.883771
Orange County Healthcare Agency,Drug Court and DUI Programs,1200 North Main Street,Suite 100-B,Santa Ana,CA,92701,,Orange,33.755253,-117.867803
Orange County Healthcare Agency,AOABHS/Substance Use Disorder,1200 North Main Street,Suite 301,Santa Ana,CA,92701,,Orange,33.7551532,-117.8679099
Evexia Health Services,,109 East 11th Street,,Corona,CA,92879,,Riverside,33.8703232,-117.5667963
New Start Recovery,,906 Dorman Street,,Santa Ana,CA,92701,,Orange,33.7582663,-117.8575378
High Road Program,,3579 Arlington Avenue,Suite 200,Riverside,CA,92506,,Riverside,33.9466485,-117.3914671
New Beginning Fellowship Center,,16581 Brookhurst Street,,Fountain Valley,CA,92708,,Orange,33.7227824,-117.9551605
Villa Center Inc,The Villa,910 North French Street,,Santa Ana,CA,92701,,Orange,33.7527577,-117.864798
Cornerstone of Southern California,Recovery Homes of America Inc,13682 Yorba Street,,Tustin,CA,92780,,Orange,33.7643181,-117.8268154
PES/EBS Inc,,600 West Santa Ana Boulevard,Suites 107-110,Santa Ana,CA,92701,,Orange,33.7477412,-117.8741343
Cornerstone Adult Outpatient,,1950 East 17th Street,Suite 150,Santa Ana,CA,92705,,Orange,33.7595569,-117.8393779
Newport Institute,,10022 Miramar Circle,,Santa Ana,CA,92705,,Orange,33.7802492,-117.7752225
Beachside Recovery LLC,,10231 Brier Lane,,Santa Ana,CA,92705,1518,Orange,33.77647,-117.775893
Ocean Valley Behavioral Health LLC,,13961 Mauve Drive,,Santa Ana,CA,92705,2649,Orange,33.7602432,-117.8176108
Liberty Housing Services Inc,New Start Detox,13832 Glenmere Drive,,Santa Ana,CA,92705,,Orange,33.761256,-117.8003223
Inland Empire Teen Challenge,,5445 Chicago Avenue,,Riverside,CA,92507,,Riverside,33.9503386,-117.3476695
Santa Ana Comprehensive Treatment Ctr,,2101 East 1st Street,,Santa Ana,CA,92705,4007,Orange,33.745885,-117.8369583
StepHouse Recovery,,10529 Slater Avenue,,Fountain Valley,CA,92708,,Orange,33.7094318,-117.9452658
Riverside University Health System,Corona Substance Abuse Program,2813 South Main Street,2nd Floor,Corona,CA,92882,,Riverside,33.847297,-117.569578
Broadway Treatment Center,,18582 Beach Boulevard,Suite 214,Huntington Beach,CA,92648,,Orange,33.6929063,-117.988149
Road to Recovery Treatment Services,The Road to Recovery,9656 Talbert Avenue,,Fountain Valley,CA,92708,,Orange,33.7013283,-117.9602754
California Prime Recovery,,17330 Newhope Street,Unit A,Fountain Valley,CA,92708,,Orange,33.7116192,-117.9277835
Mend of California LLC,The Mend,1909 West Carlton Place,,Santa Ana,CA,92704,,Orange,33.7226178,-117.8940041
Wavelengths Recovery LLC,,7761 Garfield Avenue,Units 101 and 102,Huntington Beach,CA,92648,,Orange,33.6870669,-117.9929216
Stephouse Recovery Inc,Stephouse Recovery Center,17981 Los Tiempos Street,,Fountain Valley,CA,92708,,Orange,33.702034,-117.9409641
DAmore Healthcare,Deegan,2534 South Deegan Drive,,Santa Ana,CA,92704,,Orange,33.713033,-117.9038227
School Ten,Main Street Unit,1772 South Main Street,,Santa Ana,CA,92707,,Orange,33.7243898,-117.8679404
Beachview Treatment LLC,,8161 Deauville Drive,,Huntington Beach,CA,92648,,Orange,33.68582,-117.9853725
Acceptance Detox LLC,,18779 Palm Street,,Fountain Valley,CA,92708,,Orange,33.6899896,-117.9710743
Buckeye Recovery Network,,19322 Beach Boulevard,,Huntington Beach,CA,92648,,Orange,33.6817374,-117.9880719
PACE Recovery Center,,209 22nd Street,,Huntington Beach,CA,92648,,Orange,33.6690055,-118.0156468
DAmore Healthcare,Rene,2902 South Rene Drive,,Santa Ana,CA,92704,,Orange,33.7086139,-117.8907768
Chapman House Inc,,14511 Carfax Street,,Tustin,CA,92780,,Orange,33.7305319,-117.825095
Clean Path Recovery LLC,Clean Path Behavioral Health,2201 and 2205 South Kilson Drive,,Santa Ana,CA,92707,2918,Orange,33.7175338,-117.8612551
PACE Recovery Center,,526 16th Street,,Huntington Beach,CA,92648,,Orange,33.6681507,-118.0071609
New Life Treatment Center Inc,,327 East Adams Street,,Santa Ana,CA,92707,,Orange,33.7131526,-117.8639497
New Life Treatment Center Inc,,331 East Adams Street,,Santa Ana,CA,92707,,Orange,33.7130808,-117.8637852
New Life Treatment Center Inc,,335 East Adams Street,,Santa Ana,CA,92707,,Orange,33.7130586,-117.863675
Pillars Recovery LLC,,519 13th Street,,Huntington Beach,CA,92648,,Orange,33.666573,-118.0053081
LEAD Recovery Center,,1516 Brookhollow Drive,Suite A,Santa Ana,CA,92705,,Orange,33.7148249,-117.8482681
PACE Recovery Center,,414 11th Street,,Huntington Beach,CA,92648,,Orange,33.6641123,-118.0043474
South Coast Behav Hlth Guesthouse Inc,,1068 San Pablo Circle,,Costa Mesa,CA,92626,,Orange,33.6936878,-117.9016942
Wavelengths Recovery LLC,,701 Huntington Street,,Huntington Beach,CA,92648,,Orange,33.6631598,-117.9953921
Beachview Treatment LLC,,602 Geneva Avenue,,Huntington Beach,CA,92648,4519,Orange,33.6629803,-117.991547
Wavelengths Recovery LLC,,301 Main Street,Suite 201,Huntington Beach,CA,92648,,Orange,33.6594426,-117.9998605
Partners Project Inc,Sober Partners Beach House,233 Alabama Street,,Huntington Beach,CA,92648,,Orange,33.659651,-117.9968506
Partners Project Inc,Sober Partners Reef House,231 Alabama Street,,Huntington Beach,CA,92648,,Orange,33.6595762,-117.9968495
Duck House LLC,,952 Dahlia Avenue,,Costa Mesa,CA,92626,,Orange,33.6910846,-117.8962013
Lake County Behavioral Health Services,Clearlake Clinic,7000B South Center Drive,,Clearlake,CA,95422,,Lake,38.932515,-122.61953
Vital Treatment and Recovery Ctrs Inc,,10467 Morning Ridge Drive,,Moreno Valley,CA,92557,,Riverside,33.968781,-117.2324745
Yellowstone Recovery,Boston House,3132 Boston Way,,Costa Mesa,CA,92626,,Orange,33.6860704,-117.9067522
Stephouse Recovery Center,Stephouse Recovery Inc,1601 Baker Street,,Costa Mesa,CA,92626,,Orange,33.6805363,-117.9234585
South Coast Behav Hlth Guesthouse Inc,,1958 Balearic Drive,,Costa Mesa,CA,92626,,Orange,33.6757468,-117.9378521
Wavelengths Recovery LLC,,101 Huntington Street,,Huntington Beach,CA,92648,,Orange,33.6577677,-117.9951405
Resurgence California LLC,,3129 Pierce Avenue,,Costa Mesa,CA,92626,,Orange,33.6859455,-117.9028157
Resurgence California LLC,,3125 Pierce Avenue,,Costa Mesa,CA,92626,,Orange,33.6857844,-117.9028157
Divine Bliss,The Ho Tai Way,1219 Parnell Place,,Costa Mesa,CA,92626,,Orange,33.6832139,-117.9087204
DAmore Healthcare,Cheyenne,1055 Cheyenne Street,,Costa Mesa,CA,92626,,Orange,33.6843611,-117.9018317
Asana Recovery,,3062 Johnson Avenue,,Costa Mesa,CA,92626,,Orange,33.6830992,-117.8992224
DAmore Healthcare,Grant,3044 Grant Avenue,,Costa Mesa,CA,92626,,Orange,33.6822224,-117.9005041
Clean Path Behavioral Health,,1650 Adams Avenue,,Costa Mesa,CA,92626,,Orange,33.6732493,-117.9250564
South Coast Behav Hlth Guesthouse Inc,,559 Pierpont Drive,,Costa Mesa,CA,92626,,Orange,33.6847885,-117.8794467
Newport Academy,,3189 Pullman Street,,Costa Mesa,CA,92626,,Orange,33.6850766,-117.8710866
Opus Health LLC,,2738 Lorenzo Avenue,,Costa Mesa,CA,92626,,Orange,33.6730095,-117.9020376
Resurgence Behavioral Health,,3151 Airway Avenue,Suite K-203,Costa Mesa,CA,92626,4638,Orange,33.677636,-117.8735152
Breakaway Health Corporation,Breakaway,3151 Airway Avenue,Building D,Costa Mesa,CA,92626,,Orange,33.677636,-117.8735152
Balboa Horizons Recovery Services,,3151 Airway Avenue,Suite E-1,Costa Mesa,CA,92626,4620,Orange,33.677636,-117.8735152
Opus Health LLC,,925 Victoria Street,,Costa Mesa,CA,92627,4063,Orange,33.652206,-117.9375546
New Existence LLC,,2200 Harbor Boulevard,Suite C-210,Costa Mesa,CA,92626,,Orange,33.6551532,-117.9175795
Clear Detox Center,Clear Treatment,546 Hamilton Street,,Costa Mesa,CA,92627,,Orange,33.6508971,-117.92117
Western Pacific Re Hab,Western Pacific Costa Mesa RH,275 Victoria Street,Suite 1-H,Costa Mesa,CA,92627,,Orange,33.6520638,-117.9107115
Northbound Treatment Services,,3822 Campus Drive,Suite 100,Newport Beach,CA,92660,,Orange,33.6638478,-117.8729694
Nsight Psychology and Addiction,,4000 Birch Street,Suite 112,Newport Beach,CA,92660,,Orange,33.6641928,-117.8692118
New Directions for Women Inc,Program for Women With Children,334 University Avenue,,Costa Mesa,CA,92627,,Orange,33.6573331,-117.888797
New Directions for Women Inc,,2607 Willo Lane,,Costa Mesa,CA,92627,,Orange,33.6574222,-117.8880302
Casa Capri LLC,,4001 Westerly Place,Suite 110,Newport Beach,CA,92660,,Orange,33.6637791,-117.8685613
Casa Capri LLC,,4001 Westerly Street,Suite 110,Newport Beach,CA,92660,,Orange,33.6637791,-117.8685613
Benchmark Young Adult School Inc,Transitions at Panorama Ridge,35826 Panorama Drive,,Yucaipa,CA,92399,,San Bernardino,34.044146,-117.0228815
Safe Harbors Capella Inc,,550A Bernard Street,,Costa Mesa,CA,92627,,Orange,33.6459984,-117.9211929
Safe Harbor Treatment Center,for Women LLC,550B Bernard Street,,Costa Mesa,CA,92627,,Orange,33.6455281,-117.9213356
PACE Recovery Center,,20051 SW Birch Street,Suite 310,Newport Beach,CA,92660,1757,Orange,33.6603043,-117.8745711
South Coast Behav Hlth Guesthouse Inc,,275 East Wilson Street,,Costa Mesa,CA,92627,,Orange,33.6520006,-117.8981925
Elite Care Inc,Beginnings Treatment Centers,697 Plumer Street,,Costa Mesa,CA,92627,,Orange,33.6422763,-117.9274403
Asana Recovery,,725 Center Street,,Costa Mesa,CA,92627,,Orange,33.641772,-117.928809
South Coast Counseling Inc,,693 Plumer Street,,Costa Mesa,CA,92627,,Orange,33.6422405,-117.9272572
Providence Recovery Centers Inc,,11165 Bonnie View Avenue,,Moreno Valley,CA,92555,,Riverside,33.9586317,-117.1718315
Yellowstone Recovery,Womens First Step House Inc,154 and 160 East Bay Street,,Costa Mesa,CA,92627,2147,Orange,33.646392,-117.910359
Tree House Recovery ,,1901 Newport Boulevard,Suite 271,Costa Mesa,CA,92627,,Orange,33.6443046,-117.9167533
Yellowstone Womens First Step House,The Yellowstone Bridge,2028 Fullerton Avenue,"Units A, B and C",Costa Mesa,CA,92627,,Orange,33.6457395,-117.9109632
MFI Recovery Center,Woodcrest Facility,17270 Roosevelt Street,,Riverside,CA,92508,,Riverside,33.868382,-117.348151
Korean Community Services Inc,KC Services,19742 MacArthur Avenue,Suite 245,Irvine,CA,92612,,Orange,33.6575334,-117.8614087
Sierra by the Sea,,6110 West Oceanfront,,Newport Beach,CA,92663,,Orange,33.6256383,-117.9493616
Hotel California by the Sea,,317 Rochester Street,,Costa Mesa,CA,92627,,Orange,33.6341638,-117.9132231
Action Consultants Therapy,,1670 Santa Ana Avenue,"Suites C, E, F and N",Costa Mesa,CA,92627,,Orange,33.6321326,-117.9160431
Safe Harbor Treatment Center for,Women Inc,240 Knox Street,,Costa Mesa,CA,92627,,Orange,33.6303975,-117.9212465
Sierra by the Sea,,4138 Patrice Road,,Newport Beach,CA,92663,,Orange,33.6272085,-117.929271
Nancy Clark and Associates Inc,Alternative Sentencing,471 Old Newport Boulevard,Suite 101,Newport Beach,CA,92663,,Orange,33.6279132,-117.926334
Wel Mor Psychology Group Inc,,711 17th Street,Suite D-5,Costa Mesa,CA,92627,,Orange,33.6284838,-117.9086445
Benchmark Young Adult School Inc,Transitions at Wildwood Canyon,36442 Wildwood Canyon Road,,Yucaipa,CA,92399,,San Bernardino,34.022741,-117.007363
Hilltop Recovery Services,Residential Treatment for Men,14715 East Highway 20,14720 Old Catholic Church Road,Clearlake Oaks,CA,95423,,Lake,39.012278,-122.6334389
Daylight Recovery Services,,9480 Pats Point Drive,,Corona,CA,92883,,Riverside,33.7755639,-117.4948649
Daylight Recovery Services,,9440 Pats Point Drive,,Corona,CA,92883,,Riverside,33.7752776,-117.4953007
Newport Beach Recovery Center,,207 28th Street,,Newport Beach,CA,92663,,Orange,33.6129218,-117.930451
Ocean Recovery,,1601 West Balboa Boulevard,,Newport Beach,CA,92663,,Orange,33.6069941,-117.9223143
Balboa Horizons Recovery Services,,1132 West Balboa Boulevard,,Newport Beach,CA,92661,,Orange,33.6063007,-117.9155861
Ocean Recovery,,1115 West Balboa Boulevard,,Newport Beach,CA,92661,,Orange,33.605609,-117.9154488
Adelante Recovery Center Inc,,49 Montecito Drive,,Corona del Mar,CA,92625,,Orange,33.6087925,-117.8471234
Adelante Recovery Center Inc,,23970 Spenser Butte Drive,,Perris,CA,92570,,Riverside,33.7719441,-117.352145
OC Revive,,24432 Muirlands Boulevard,Suite 221,Lake Forest,CA,92630,,Orange,33.6269865,-117.7036151
Able to Change Recovery Inc,White Dove,23492 White Dove Street,,Lake Forest,CA,92630,,Orange,33.6209961,-117.7112896
Teen Project Inc,Veras Sanctuary,20371 Flanagan Road,,Trabuco Canyon,CA,92679,,Orange,33.6667164,-117.5847566
Safe Harbor Treatment Center for,Women Inc,25801 Obrero Drive,Suite 2,Mission Viejo,CA,92691,3141,Orange,33.6196993,-117.6805637
449 Recovery,,26010 Acero,Suite 100,Mission Viejo,CA,92691,,Orange,33.6172086,-117.6765995
Southern California Sunrise,Recovery Center LLC,25681 Sabina Avenue,,Mission Viejo,CA,92691,,Orange,33.6113627,-117.6820691
Southern California Sunrise,Recovery Center LLC,24522 Vanessa Drive,,Mission Viejo,CA,92691,,Orange,33.6061142,-117.6846883
Laguna Shores Behavioral Health LLC,,27381 Via Primero,,Mission Viejo,CA,92692,,Orange,33.6131088,-117.6529955
Truvida Recovery,Crest Recovery LLC,26886 Pueblonuevo Drive,,Mission Viejo,CA,92691,,Orange,33.6094058,-117.661475
Truvida Recovery,Crest Recovery LLC,24731 Via San Fernando,,Mission Viejo,CA,92692,,Orange,33.605386,-117.6508871
Wel Mor Psychology Group Inc,,25401 Cabot Road,Suite 212,Laguna Hills,CA,92653,,Orange,33.5932594,-117.6754261
Truvida Recovery,Crest Recovery LLC,26202 Buena Vista Court,,Laguna Hills,CA,92653,,Orange,33.5819999,-117.6948848
Pillars Recovery LLC,,224-226 Cliff Drive,,Laguna Beach,CA,92651,,Orange,33.5443448,-117.7858742
Orange County Healthcare Agency,Alcohol/Drug Abuse Services/AlisoViejo,5 Mareblu Street,Suites 100 and 200,Aliso Viejo,CA,92656,,Orange,33.5727047,-117.7024803
Oceanfront Recovery at Laguna Beach,Oceanfront Recovery,2575 Temple Hills Drive,,Laguna Beach,CA,92651,,Orange,33.5480563,-117.7585714
Oceanfront Recovery at Laguna Beach,Oceanfront Recovery,2808 Zell Drive,,Laguna Beach,CA,92651,,Orange,33.544945,-117.7553418
Stone Ridge Recovery Inc,,24951 Sandridge Circle,,Laguna Hills,CA,92653,,Orange,33.566192,-117.694737
Sober Spot Recovery Center,,27485 County Lane Road,,Laguna Niguel,CA,92677,,Orange,33.563745,-117.7006129
Oceanfront Recovery at Laguna Beach,,920 Glenneyre Street,Suite T ,Laguna Beach,CA,92651,,Orange,33.5363478,-117.777197
Solutions FPC Inc,,645 Normal Avenue,,Chico,CA,95928,,Butte,39.7253032,-121.839178
Northern Valley Indian Health Inc,,207 North Butte Street,,Willows,CA,95988,,Glenn,39.522178,-122.1958007
Twin Town Treatment Centers,Twin Town Mission Viejo,27281 Las Ramblas,Suite 140,Mission Viejo,CA,92691,,Orange,33.5672496,-117.6697164
Pacific Solstice,,26732 Crown Valley Parkway,Suite 443,Mission Viejo,CA,92691,6036,Orange,33.5625644,-117.6651645
MFI Recovery Center,,1035 West Ramsey Street,Suite A,Banning,CA,92220,,Riverside,33.9257813,-116.8883519
Oceanfront Recovery at Laguna Beach,Oceanfront Recovery,431 Nyes Place,,Laguna Beach,CA,92651,,Orange,33.5234447,-117.7607341
Riverside San Bernardino County,Morongo Clinic,11555 1/2 Potrero Road,,Banning,CA,92220,,Riverside,33.9527257,-116.8290602
Hilltop Recovery Services,Intensive Outpatient Program,6300 East Highway 20,,Lucerne,CA,95458,,Lake,39.08661,-122.792339
Lake County Behavioral Health Services,Lucerne Clinic,6302 13th Avenue,,Lucerne,CA,95458,,Lake,39.087978,-122.792881
A Better Life Recovery LLC,,26006 Campeon,,Laguna Niguel,CA,92677,,Orange,33.5461409,-117.6768595
California Highlands Addiction Trt,,15986 South Highland Springs Avenue,,Banning,CA,92220,,Riverside,33.887426,-116.926959
Butte County Dept of Behavioral Health,Adult Treatment Court Chico,560 Cohasset Road,Suite 165,Chico,CA,95926,,Butte,39.7526032,-121.8481661
Butte County Dept of Behavioral Health,BCDBH Chico Youth SAPT,560 Cohasset Road,Suite 165,Chico,CA,95926,2281,Butte,39.7528064,-121.8482793
Aegis Treatment Centers LLC,,"584, 588 and 590 Rio Lindo Avenue",,Chico,CA,95926,,Butte,39.754339,-121.848298
Northern Valley Indian Health Inc,,845 West East Avenue,,Chico,CA,95926,,Butte,39.7474001,-121.8762205
Skyway House Outpatient,,392 Connors Court,Suite D,Chico,CA,95926,,Butte,39.7591619,-121.855327
Southern California Sunrise,Recovery Center LLC,30471 Via Alcazar,,Laguna Niguel,CA,92677,,Orange,33.5204404,-117.7054931
