"","name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility"
"1628","Sherman Counseling","","2270 Holmgren Way","","Green Bay","WI",54304,NA,"Outagamie","920-544-5294","","","920-733-2065","http://www.sherman-counseling.com",44.4885959,-88.0603355,"MH"
"1629","Rogers Behavioral Health","","406 Science Drive","Suite 110","Madison","WI",53711,NA,"Dane","608-238-4411","","","","http://www.rogersbh.org",43.0601947,-89.4710053,"MH"
"1630","Lutheran Counseling and Family","Services of Wisconsin Inc","3800 North Mayfair Road","","Milwaukee","WI",53222,NA,"Milwaukee","414-536-8333","","","800-291-4513","http://www.lcfswi.org/",43.0881736,-88.0472913,"MH"
"1631","West Grove Clinic SC","","10012 West Capitol Drive","Suite 101","Milwaukee","WI",53222,1300,"Milwaukee","414-810-4844","","","","http://www.westgroveclinic.com",43.0899623,-88.0384694,"MH"
"1632","Holy Family Memorial Behavioral Health","","339 Reed Avenue","","Manitowoc","WI",54220,NA,"Manitowoc","920-320-8600","","","","http://www.hfmhealth.org/",44.1133847,-87.652234,"MH"
"1633","Alternatives in Psych Consultation SC","","10045 West Lisbon Avenue","","Milwaukee","WI",53222,NA,"Milwaukee","414-358-7144","","","414-358-7155","http://www.altlig.com",43.0890191,-88.0385437,"MH"
"1634","Sherman Counseling","","980 Maritime Drive","Suite 6","Manitowoc","WI",54220,NA,"Manitowoc","920-733-2065","","","","http://www.sherman-counseling.com",44.1067182,-87.645296,"MH"
"1635","Open Door Center for Change","","6502 Grand Teton Plaza","Suite 102","Madison","WI",53719,NA,"Dane","608-827-7220","","","","http://www.opendoorcfc.com",43.059595,-89.492491,"MH"
"1636","Family Center","","8025 Excelsior Drive","Suite 110","Madison","WI",53717,NA,"Dane","608-663-6154","","","","http://www.thefamilycenter.info",43.0769168,-89.5268016,"MH"
"1637","Saint A","","8901 West Capitol Drive","","Milwaukee","WI",53222,NA,"Milwaukee","414-463-1880","","","","http://www.sainta.org",43.0880249,-88.0240937,"MH"
"1638","Orion Family Services Inc","","6333 Odana Road","Suite 20","Madison","WI",53719,NA,"Dane","608-270-2511 x13","","","608-270-2511 x15","http://www.orionfamilyservices.org",43.054214,-89.490017,"MH"
"1639","Journey Mental Health Center","","25 Kessel Court","Suite 105","Madison","WI",53711,NA,"Dane","608-280-2700","","608-280-2720","","http://journeymhc.org/clinic-based-services/",43.048005,-89.479512,"MH"
"1640","Lad Lake Inc","St Rose Campus","3801 North 88th Street","","Milwaukee","WI",53222,NA,"Milwaukee","262-965-2131","","","","http://www.ladlake.org",43.086291,-88.0235445,"MH"
"1641","Christian Family Solutions","","16535 West Bluemound Road","Squire Building Suite 305","Brookfield","WI",53005,NA,"Waukesha","262-345-5560","","","","http://www.christianfamilysolutions.org",43.0360204,-88.1182321,"MH"
"1642","Cornerstone Counseling Services","","16535 West Bluemound Road","Suite 200","Brookfield","WI",53005,5906,"Waukesha","262-789-1191","","","262-542-3255","http://www.cornerstonecounseling.com",43.0360204,-88.1182321,"MH"
"1643","Bellin Psychiatric Center Inc","","301 East Saint Joseph Street","","Green Bay","WI",54301,NA,"Brown","920-431-5533","","","","http://www.bellin.org",44.4843831,-88.0162252,"MH"
"1644","American Behavioral Clinics","SC/Elm Grove Clinic","15285 Watertown Plank Road","","Elm Grove","WI",53122,NA,"Waukesha","262-797-2818","","","414-281-1677","http://www.americanbehavioralclinics.com",43.0370288,-88.1040088,"MH"
"1645","Northstar Counseling Center","","6506 Schroeder Road","","Madison","WI",53711,NA,"Dane","608-270-1960 x11","","608-270-1960","","http://Northstarmentalhealth.com",43.0476908,-89.4934766,"MH"
"1646","Goodmans Behavioral Health Clinic LLC","","2213 East Main Street","","Reedsburg","WI",53959,9439,"Sauk","608-768-4545","","","","http://",43.5325328,-89.9761679,"MH"
"1647","Marriage and Family Solutions LLC","","7818 Big Sky Drive","Suite 101","Madison","WI",53719,NA,"Dane","608-203-6267 x1","","","","http://www.marriagesolutionsmadison.com",43.0589231,-89.5191384,"MH"
"1648","REDI Clinic of Wauwatosa","","2500 North Mayfair Road","Suite 600","Milwaukee","WI",53226,NA,"Milwaukee","414-727-4455","","","","http://www.therediclinic.com",43.0638353,-88.0445613,"MH"
"1649","Positive Outlook Clinical Services LLC","","6815 West Capitol Drive","Suite 304","Milwaukee","WI",53216,2056,"Milwaukee","414-935-2215","","","414-460-6995","http://",43.0896071,-87.9978708,"MH"
"1650","MD Therapy","","6815 West Capitol Drive","Suite 208","Milwaukee","WI",53216,NA,"Milwaukee","414-466-3204","","","","http://mdtherapybh.org/",43.0896266,-87.9976672,"MH"
"1651","Aurora Behavioral Health Center","North Shore","6980 North Port Washington Road","Suite 202","Milwaukee","WI",53217,3900,"Milwaukee","414-351-7100","","414-773-4312","","http://www.aurorahealthcare.org/",43.1435359,-87.9128716,"MH"
"1652","New Directions Counseling Ctr LLC","","5541 U.S. Highway 10 East","Suite B","Stevens Point","WI",54482,NA,"Portage","715-345-9690","","","","http://www.newdirectionscc.com",44.5230659,-89.5114551,"MH"
"1653","Sebastian Family Psych Practice LLC","","1720 West Florist Avenue","Suite 125","Milwaukee","WI",53209,NA,"Milwaukee","414-247-0801","","","","http://www.sebastianfpp.com",43.1269115,-87.9323241,"MH"
"1654","Foundations","","1061 West Mason Street","","Green Bay","WI",54303,NA,"Brown","920-437-8256","","","","http://www.wearefoundations.org",44.515679,-88.0421134,"MH"
"1655","Red Oak Counseling Ltd","","12970 West Bluemound Road","Suite 200","Elm Grove","WI",53122,NA,"Waukesha","262-780-1020 x5774","","262-780-1020","","http://www.redoakcounseling.com",43.0365452,-88.074388,"MH"
"1656","AIDS Resource Center of Wisconsin","(ARCW)","445 South Adams Street","","Green Bay","WI",54301,NA,"Brown","920-437-7400","","","","http://www.arcw.org/",44.508896,-88.017581,"MH"
"1657","Family Services of Northeast WI","Day Treatment","626 South Irwin Avenue","","Green Bay","WI",54301,NA,"Brown","920-433-3372","","920-433-3372 x100","","http://familyservicesnew.org",44.5009921,-88.0030039,"MH"
"1658","Options Treatment Programs Inc","","424 South Monroe Avenue","Suite 201","Green Bay","WI",54301,NA,"Brown","920-445-0170","","","","http://www.optionstx.com",44.5080358,-88.0139117,"MH"
"1659","Family Services of Northeast WI","","300 Crooks Street","","Green Bay","WI",54301,NA,"Brown","920-436-6800","","","","http://www.familyservicesnew.org/",44.5098857,-88.0170567,"MH"
"1660","Portage Cnty Hlth and Human Servs","","817 Whiting Avenue","","Stevens Point","WI",54481,NA,"Portage","715-345-5350","","","","http://www.co.portage.wi.us/department/health-and-human-services",44.5059016,-89.573268,"MH"
"1661","Stoughton Hospital Association","","900 Ridge Street","","Stoughton","WI",53589,1864,"Dane","608-873-6611","","608-873-2242","","http://www.stoughtonhospital.com",42.920389,-89.211241,"MH"
"1662","AMRI Counseling Services","","4001 West Capitol Drive","","Milwaukee","WI",53216,NA,"Milwaukee","414-455-3879","","","","http://www.amricounseling.com",43.089537,-87.96325,"MH"
"1663","Community Services Associates","Pauquette Ctr for Psychological Servs","710 North Webb Avenue","","Reedsburg","WI",53959,NA,"Sauk","608-524-5151","","","","http://www.paquette.com",43.5404521,-90.0092902,"MH"
"1664","North Shore Psychotherapy Associates","","5555 North Post Washington Road","Suite 300","Milwaukee","WI",53217,4928,"Milwaukee","414-962-6764","","","","http://www.northshorepsychotherapyassociates.vpweb.com",43.117443,-87.9173152,"MH"
"1665","Rawhide Youth Services","","5555 North Port Washington Road","Suite 207","Milwaukee","WI",53217,NA,"Milwaukee","877-300-9101","","","","http://www.rawhide.org",43.117443,-87.9173152,"MH"
"1666","Cornerstone Counseling Services","","5555 North Port Washington Road","Suite 200","Milwaukee","WI",53217,NA,"Milwaukee","262-789-1191","","","262-542-3255","http://cornerstonecounseling.com/index.htm",43.1174571,-87.9172736,"MH"
"1667","Horizon Healthcare Inc","","5408 West Burleigh Street ","","Milwaukee","WI",53210,NA,"Milwaukee","414-362-8147","","","414-376-5577","http://www.horizonhealthcareinc.com",43.0755881,-87.9812133,"MH"
"1668","OceanHawk Counseling Alternatives LLC","","3185 Deer Point Drive","Suite A","Stoughton","WI",53589,NA,"Dane","608-873-7838","","","","http://www.oceanhawk.net",42.926868,-89.2524524,"MH"
"1669","Milwaukee County Behav Health Div","Psychiatric Crisis Services","9499 West Watertown Plank Road","","Milwaukee","WI",53226,NA,"Milwaukee","414-257-7260","","","","http://www.county.milwaukee.gov/behavioralhealth",43.0448463,-88.031315,"MH"
"1670","La Causa Inc","Social Services Division","5235 North Ironwood Road","","Milwaukee","WI",53217,NA,"Milwaukee","414-902-1677","","","414-902-1526","http://www.lacausa.org",43.1124129,-87.91994,"MH"
"1671","Forward Choices LLC","","6040 West Lisbon Avenue","Suite 103","Milwaukee","WI",53210,NA,"Milwaukee","414-442-1751","","","","http://forwardchoices.com",43.068793,-87.988473,"MH"
"1672","Stress Management and MH Clinics","","5225 North Ironwood Road","","Milwaukee","WI",53217,4909,"Milwaukee","414-962-9156","","","","http://stressmanagementclinic.com/",43.111712,-87.9186945,"MH"
"1673","Ascension Behavioral Health","SE WI Saint Joseph Hospital","5000 West Chambers Street","Suite P-210","Milwaukee","WI",53210,NA,"Milwaukee","414-874-1171","","414-874-4560","","http://www.ascension.org/wisconsin",43.0743635,-87.9765372,"MH"
"1674","American Behavioral Clinics ","Bluemound Clinic","10424 West Bluemound Road","","Milwaukee","WI",53226,NA,"Milwaukee","414-774-1794","","","414-877-4570","http://www.americanbehavioralclinics.com/",43.035069,-88.043133,"MH"
"1675","Bellin Psychiatric Center Inc","Bellevue","3263 Eaton Road","","Green Bay","WI",54311,NA,"Brown","920-433-6700","","920-433-6073","","http://www.bellin.org",44.4672441,-87.9186179,"MH"
"1676","Childrens Wisconsin","Milwaukee Hospital","8915 West Connell Court","","Milwaukee","WI",53226,3067,"Milwaukee","414-266-2000","","877-607-5280","","http://www.chw.org",43.0423976,-88.0240616,"MH"
"1677","Childrens Hospital of Wisconsin","","9000 West Wisconsin Avenue","","Milwaukee","WI",53226,NA,"Milwaukee","414-266-2932","","414-266-3339","","http://www.chw.org",43.0424313,-88.023541,"MH"
"1678","Phoenix Behavioral Health Servs LLC","","3120 Memorial Drive","","Two Rivers","WI",54241,3229,"Manitowoc","920-657-1780","","","","http://www.phoenixbhc.com",44.1338928,-87.596997,"MH"
"1679","NW System/Csl and Guidance Clinic","Northwest Journey Stevens Point","931 Michigan Avenue","Suite 101","Stevens Point","WI",54481,3116,"Portage","715-997-9486","","","","http://www.nwcgc.com",44.5267108,-89.5643439,"MH"
"1680","Willow Creek Behavioral Health","","1351 Ontario Road","","Green Bay","WI",54311,NA,"Brown","920-328-1220","","923-328-1220 x2710","","http://www.willowcreekbh.com",44.4773122,-87.9275737,"MH"
"1681","Ministry Medical Group","Psychiatry Department","3398 East Maria Drive","","Stevens Point","WI",54481,NA,"Portage","715-341-7441","Intakes","715-341-7441 x1","715-341-7441 x2","http://www.healthcare.ascension.org/?ministry=ministry-healthcare",44.5345636,-89.5514952,"MH"
"1682","Aurora Psychiatric Hospital Inc","","1220 Dewey Avenue","","Milwaukee","WI",53213,2504,"Milwaukee","414-454-6600","","414-454-6777","","http://www.aurorahealthcare.org/abhs",43.046654,-88.009507,"MH"
"1683","Catholic Charities Inc","60th Street Office","2021 North 60th Street","","Milwaukee","WI",53208,NA,"Milwaukee","414-771-2881","","","","http://www.ccmke.org/",43.0567332,-87.9875639,"MH"
"1684","Childrens Wisconsin","","1466 Water Street","Suite 2","Stevens Point","WI",54481,NA,"Portage","715-341-6672","","715-341-6672 x1","","http://www.childrenswi.org",44.5204081,-89.5840578,"MH"
"1685","UnityPoint Health/Meriter Hospital","Child and Adol Psychiatry Program","8102 Wellness Way","","Madison","WI",53719,5034,"Dane","608-417-8777","","","","http://www.unitypoint.org/madison/child-and-adolescent-psychiatry.aspx",43.0181399,-89.5271642,"MH"
"1686","Compass Counseling","Wisconsin Rapids","2811 8th Street South","Suite 60","Wisconsin Rapids","WI",54494,NA,"Wood","715-712-1523","","","","http://www.compasscounsels.com",44.369243,-89.8164764,"MH"
"1687","Northwest Csl and Guidance Clinic","Northwest Journey Wisconsin Rapids","110 24th Street South","Suite A","Wisconsin Rapids","WI",54494,1906,"Wood","715-424-5040","","","","http://www.nwcgc.com",44.3886664,-89.7976218,"MH"
"1688","Childrens Hospital of Wisconsin","Community Services","620 South 76th Street","Suite 240","Milwaukee","WI",53214,NA,"Milwaukee","414-292-4242","","414-266-3339","","http://www.chw.org/childrens-and-the-community/family-support-services/counseling/",43.0257538,-88.0069531,"MH"
"1689","Rogers Behavioral Health","","11101 West Lincoln Avenue","","Milwaukee","WI",53227,NA,"Milwaukee","414-327-3000","","262-646-4411","","http://www.rogersbh.org",43.0012827,-88.0511015,"MH"
"1690","Oregon Mental Health Services LLC","Outpatient Clinic","165 West Netherwood Street","Suite A","Oregon","WI",53575,NA,"Dane","608-835-5050 x101","","","","http://www.oregonmentalhealthservices.com",42.9363831,-89.3847651,"MH"
"1691","Stress Management and MH Clinics","","2514 South 102nd Street","Suite 275","Milwaukee","WI",53227,NA,"Milwaukee","414-329-7000","","","","http://stressmanagementclinic.com/",42.9986993,-88.041392,"MH"
"1692","Fokus Family Services LLC","","2821 North Val R Phillips Avenue","Suite 123","Milwaukee","WI",53212,NA,"Milwaukee","414-264-4217 x1","","","","http://",43.0701462,-87.916146,"MH"
"1693","Professional Services Group Inc","","1205 South 70th Street","","Milwaukee","WI",53214,NA,"Milwaukee","414-475-2788","","","","http://www.psgcip.com",43.0191668,-88.0003383,"MH"
"1694","Aurora Family Service Inc","","3200 West Highland Boulevard","","Milwaukee","WI",53208,NA,"Milwaukee","414-342-4560","","414-345-4941","","http://www.aurorahealthcare.org/services/familysocial/index.asp",43.045015,-87.954007,"MH"
"1695","Clement J Zablocki VAMC","Green Bay Clinic","2851 University Avenue","","Green Bay","WI",54311,NA,"Brown","920-431-2500","","920-431-2500 x72303","","http://",44.5232506,-87.9419818,"MH"
"1696","Alternatives in Psych Consultation SC","","6737 West Washington Street","Suite 1300","Milwaukee","WI",53214,NA,"Milwaukee","414-358-7144","","414-358-7953","","http://www.altlig.com",43.0194897,-87.9957405,"MH"
"1697","Wisconsin Community Services Inc","DBA Unlimited Potential","3732 West Wisconsin Avenue","Suite 200","Milwaukee","WI",53208,NA,"Milwaukee","414-290-0440","","","","http://www.wiscs.org/programs/behavioral/up/",43.0391239,-87.9605413,"MH"
"1698","MLK Heritage Health Center","Behavioral Health Services Center","2555 North Martin Luther King Drive","","Milwaukee","WI",53212,NA,"Milwaukee","414-267-2080","","414-267-6664","","http://www.mhsi.org",43.0654111,-87.9144034,"MH"
"1699","Pathways Counseling Center","","11121 West Oklahoma Avenue","","Milwaukee","WI",53227,NA,"Milwaukee","262-641-9790","","","","http://www.pathwayscounseling.com",42.9877659,-88.051388,"MH"
"1700","Brown County Community Trt Ctr","","3150 Gershwin Drive","","Green Bay","WI",54311,5899,"Brown","920-391-6945","Intakes","920-391-4723","920-391-4816","http://www.co.brown.wi.us\departments/",44.5230132,-87.9247473,"MH"
"1701","Clement J Zablocki VAMC","Mental Health Division","5000 West National Avenue","","Milwaukee","WI",53295,NA,"Milwaukee","414-384-2000 x41025","Intakes","414-384-2000 x45760","888-469-6614 x45760","http://www.mentalhealth.va.gov/",43.0209164,-87.976214,"MH"
"1702","Central Wisconsin Counseling Assocs","","320 West Grand Avenue","Suite 304-A","Wisconsin Rapids","WI",54495,NA,"Wood","715-424-6960","","","","http://cwcounselingassoc.com",44.393923,-89.828539,"MH"
"1703","Wisconsin Rapids Clinic","","555 West Grand Avenue","","Wisconsin Rapids","WI",54495,NA,"Wood","715-424-4682","","","","http://www.tomah.va.gov",44.3933135,-89.8313438,"MH"
"1704","Childrens Hospital of Wisconsin","","619 West Walnut Street","Wellness Center, 2nd Floor","Milwaukee","WI",53212,NA,"Milwaukee","414-810-3548","","414-266-3339","","http://www.chw.org/",43.052153,-87.9191542,"MH"
"1705","Aurora Sinai Clinic","","1020 North 12th Street","Suite 401","Milwaukee","WI",53201,NA,"Milwaukee","414-219-5000","Intakes","414-773-4312","877-666-7223","http://www.aurorahealthcare.org/",43.0436462,-87.9268158,"MH"
"1706","Jewish Family Services","","1300 North Jackson Street","","Milwaukee","WI",53202,NA,"Milwaukee","414-390-5800","","","","http://jfsmilw.org",43.0471809,-87.904287,"MH"
"1707","AIDS Resource Center of Wisconsin","(ARCW)","820 North Plankinton Avenue","","Milwaukee","WI",53203,NA,"Milwaukee","414-273-1991","","800-359-9272","","http://arcw.org/",43.0406934,-87.9124493,"MH"
"1708","Child Adolescent Family and","Marriage Therapy Associates","161 West Wisconsin Avenue","Suite 5190","Milwaukee","WI",53203,NA,"Milwaukee","414-272-5005","","","","http://www.childadolescentfamily.com",43.0383653,-87.9121076,"MH"
"1709","ThedaCare Behavioral Health ","Shawano","100 County B","","Shawano","WI",54166,NA,"Shawano","920-720-2300","","","800-501-8247","http://www.thedacare.org/",44.761313,-88.566679,"MH"
"1710","Cornerstone Counseling Services","","400 Bay View Road","Suite C","Mukwonago","WI",53149,1770,"Waukesha","262-789-1191 x230","","262-789-1191","","http://www.cornerstonecounseling.com",42.8520556,-88.3314682,"MH"
"1711","Multi Cultural Counseling Services","DBA ReNew Counseling Services","1225 West Mitchell Street","Suite 223","Milwaukee","WI",53204,3383,"Milwaukee","414-383-4455","Intakes","414-383-4455 x1104","414-383-4455 x1146","http://www.renewcounseling.info/",43.0119849,-87.9276825,"MH"
"1712","Access Recovery ","Mental Health Services (ARMHS)","2727 West Cleveland Avenue","Suite 204","Milwaukee","WI",53215,NA,"Milwaukee","414-269-8356","","","","http://www.armhswi.com",42.9956887,-87.9487169,"MH"
"1713","Aurora Health Center","Muskego West","S74W16775 Janesville Road","","Muskego","WI",53150,NA,"Waukesha","414-773-4312","","","","http://www.aurorahealthcare.org/locations/clinic/aurora-psychiatric-hospital-muskego-programs",42.9100268,-88.1237239,"MH"
"1714","Lutheran Counseling and Family","Services of Wisconsin Inc","324 South Andrews Street","","Shawano","WI",54166,NA,"Shawano","715-524-4840","","888-867-4840","","http://www.lcfswi.org",44.7776192,-88.6050569,"MH"
"1715","American Behavioral Clinics","Southwest Clinic","7330 West Layton Avenue","","Milwaukee","WI",53220,NA,"Milwaukee","414-281-1677","","","","http://www.americanbehavioralclinics.com",42.9599051,-88.0055459,"MH"
"1716","Cornerstone Counseling Services","","4811 South 76th Street","Suite 208","Milwaukee","WI",53220,4352,"Milwaukee","262-789-1191","","","262-542-3255","http://www.cornerstonecounseling.com",42.9572364,-88.0090684,"MH"
"1717","Mental Health and Addiction","Saint Francis Hospital","3237 South 16th Street","7th Floor","Milwaukee","WI",53215,NA,"Milwaukee","414-647-5000 x7444","Intakes","414-389-3101","414-647-7444","http://",42.9856117,-87.9355419,"MH"
"1718","Shawano County Department of","Human Services","W7327 Anderson Avenue","","Shawano","WI",54166,1143,"Shawano","715-526-4700 x2","","","","http://www.co.shawano.wi.us/",44.7920411,-88.6119549,"MH"
"1719","Family Tree Mental Hlth Clinic LLP","","508 Campus Street","Suite 6","Milton","WI",53563,NA,"Rock","608-868-5122","","","","http://",42.7725833,-88.9428081,"MH"
"1720","Aurora Behavioral Health Center","Franklin","9200 West Loomis Road","Suite 217","Franklin","WI",53132,9621,"Milwaukee","414-529-9180","","414-773-4312","","http://www.aurorahealthcare.org/",42.8996932,-88.0311421,"MH"
"1721","Horizon Healthcare Inc","","4650 South Howell Avenue","","Milwaukee","WI",53214,NA,"Milwaukee","414-376-5577","","414-376-5577 x1","","http://www.horizonhealthcareinc.com",42.9597936,-87.9092305,"MH"
"1722","Cornerstone Counseling Services","","5007 South Howell Avenue","Suite 350","Milwaukee","WI",53207,NA,"Milwaukee","262-789-1191","","","262-542-3255","http://cornerstonecounseling.com/index.htm",42.9536879,-87.9100428925904,"MH"
"1723","Foundations Counseling Center Inc","","629 River Street ","Suite C","Belleville","WI",53508,NA,"Dane","608-424-9100","","","608-445-9100","http://www.foundationscc.com",42.8722433,-89.533508,"MH"
"1724","Mercy Options Behavioral Health","","300 Union Street","","Evansville","WI",53536,1175,"Rock","608-756-5555","","","","http://www.mercyhealthsystem.org",42.7857127,-89.2981894,"MH"
"1725","William S Middleton VA Hospital","Janesville VA Clinic","1141 Black Bridge Road","","Janesville","WI",53545,NA,"Rock","608-758-9300","","608-280-7084","","http://",42.7225571,-88.9930188,"MH"
"1726","Mercyhealth Behavioral Health","Child and Adolescent Day Trt Prog","2600 Humes Road","Suite 100","Janesville","WI",53545,NA,"Rock","608-741-2117","","","608-755-8952","http://www.mercyhealthsystem.org",42.7170799,-88.9908554,"MH"
"1727","Saint Lukes South Shore","Behavioral Health","5900 South Lake Drive","","Cudahy","WI",53110,NA,"Milwaukee","414-489-9000","","414-489-4173","","http://www.aurora.org\abhs/",42.93636,-87.850694,"MH"
"1728","Associates in Psychotherapy LLC","","4700 Dresser Drive","Suite 100","Janesville","WI",53546,NA,"Rock","608-752-7255","","","","http://www.AssociatesinPsychotherapy.com",42.6935849,-88.9516158,"MH"
"1729","Lutheran Social Services of Wisconsin","Janesville","612 North Randall Avenue","Suite A","Janesville","WI",53545,1958,"Rock","608-752-7660 x5110","","608-752-7660","","http://www.lsswis.org",42.6919028,-89.0024295,"MH"
"1730","Red Oak Counseling Ltd","","8825 South Howell Avenue","Suite 200","Oak Creek","WI",53154,NA,"Milwaukee","414-215-7554","","","","http://www.redoakcounseling.com",42.8841421,-87.9129857,"MH"
"1731","Clinical Psychology Associates of","","207B North Milwaukee Street","","Waterford","WI",53185,NA,"Racine","262-534-7777","","","","http://www.clinicpsych.com",42.764648,-88.209262,"MH"
"1732","Aurora Medical Group ","Behavioral Health Services","818 Forrest Drive","","Waterford","WI",53185,NA,"Racine","877-666-7223","","","","http://www.aurorahealthcare.org",42.7680789,-88.1977821,"MH"
"1733","Menominee County Human Services Dept","","W3272 Wolf River Road","","Keshena","WI",54135,NA,"Menominee","715-799-3861","","","","http://www.co.menominee.wi.us/",44.8855213,-88.6507432,"MH"
"1734","Mercyhealth Behavioral Health","","903 Mineral Point Avenue","","Janesville","WI",53548,NA,"Rock","608-756-5555","","","","http://www.mercyhealthsystem.org",42.6865419,-89.0304292,"MH"
"1735","Genesis Counseling Services Ltd","","1 South Main Street","Suite 250","Janesville","WI",53545,NA,"Rock","608-757-0404","","","","http://www.genesiscounselingservices.com/",42.6829827,-89.0220751,"MH"
"1736","Trivium LLC","DBA Crossroads Counseling Center","17 South River Street","Suite 254","Janesville","WI",53548,NA,"Rock","608-755-5260","","608-755-5260 x0","","http://www.crossroads73.com/",42.6817495,-89.0241078,"MH"
"1737","Janesville Community Support Program","","113 South Franklin Street","","Janesville","WI",53548,NA,"Rock","608-757-5566","Intakes","608-757-5229","608-757-5025","http://www.co.rock.wi.us/hsd",42.6797098,-89.0239821,"MH"
"1738","Rock County Human Services","Janesville Counseling Center","113 South Franklin Street","","Janesville","WI",53548,NA,"Rock","608-757-5229","","","","http://www.co.rock.wi.us/hsd-mental-health-aoda-services",42.6797098,-89.0239821,"MH"
"1739","Credence Therapy Associates","","1 1/2 West Geneva Street","","Elkhorn","WI",53121,NA,"Walworth","262-723-3424","","","","http://www.credencetherapy.com",42.6700841,-88.5435597,"MH"
"1740","Kewaunee County Human Services","","810 Lincoln Street","","Kewaunee","WI",54216,NA,"Kewaunee","920-388-7030","","","","http://",44.450392,-87.510406,"MH"
"1741","Lakeview Behavioral Health Clinic","","1701 Sharp Road","","Waterford","WI",53185,NA,"Racine","262-534-8565","","","","http://www.lakeviewsystem.com",42.7380439,-88.1679921,"MH"
"1742","Walworth County Department of Hlth","Human Services","1910 County Road NN","","Elkhorn","WI",53121,NA,"Walworth","262-741-3200","","","","http://www.co.walworth.wi.us/",42.6625546,-88.4910217,"MH"
"1743","Compass Behavioral Health Clinic","","1820 Center Avenue","Suite 170","Janesville","WI",53546,NA,"Rock","608-755-1475","","","","http://www.compassbehavioralhealthclinic.net",42.6518138,-89.0330911,"MH"
"1744","Aurora Behavioral Health Center","Behavioral Health Services","1550 Hobbs Drive","","Delavan","WI",53115,NA,"Walworth","262-740-4200","","877-666-7223","","http://www.aurorahealthcare.org",42.630758,-88.618544,"MH"
"1745","Clinical Psychology Associates of","Burlington","345 Milwaukee Avenue","","Burlington","WI",53105,NA,"Racine","262-763-9191","","","","http://www.clinicpsych.com",42.678074,-88.280509,"MH"
"1746","Aurora Behavioral Health Center","Behavioral Health Services","116 North Dodge Street","Suite 5","Burlington","WI",53105,1963,"Racine","262-763-7766","","877-666-7223","","http://www.aurorahealthcare.org",42.6777554,-88.2729581,"MH"
"1747","Bellin Psychiatric Center Behavioral","Health Clinic Oconto Falls","107 East Highland Drive","","Oconto Falls","WI",54154,1002,"Oconto","920-846-3092","","920-433-6073","","http://Bellin.org",44.8826064,-88.1517532,"MH"
"1748","Rock Valley Community Programs Inc","","203 West Sunny Lane Road","","Janesville","WI",53546,NA,"Rock","608-741-4500","","608-741-4515","","http://www.rvcp.org",42.5971756,-89.0168618,"MH"
"1749","Mercyhealth Behavioral Health","","2846 Route 67","","Williams Bay","WI",53191,NA,"Walworth","262-245-5608","","","","http://www.mercyhealthsystem.org",42.5943526,-88.5408218,"MH"
"1750","Clement J Zablocki VAMC","Union Grove Clinic","21425 Spring Street","","Union Grove","WI",53182,NA,"Racine","262-878-7001","","","","http://www.milwaukee.va.gov",42.6931985,-88.0798772,"MH"
"1751","Compass Counseling","Weston","3704 Weston Avenue","","Schofield","WI",54476,NA,"Marathon","715-298-6364","","","","http://www.compasscounsels.com",44.8876428,-89.5760799,"MH"
"1752","Lakeside Family Therapy Services","","4810 Northwestern Avenue","","Racine","WI",53406,NA,"Racine","262-637-9984","","","262-583-2714","http://WWW.LakesideFamilyTherapy.com",42.755274,-87.838421,"MH"
"1753","Beloit Memorial Hospital","Counseling Care Center","1969 West Hart Road","","Beloit","WI",53511,2230,"Rock","608-364-5686","","","","http://www.beloithealthsystem.org",42.5486756,-89.0082232,"MH"
"1754","Mercyhealth Behavioral Health","","2825 Prairie Avenue","","Beloit","WI",53511,NA,"Rock","608-756-5555","","","","http://www.mercyhealthsystem.org",42.5485205,-89.0105866,"MH"
"1755","Childrens Service Society of WI","","8800 Washington Avenue","Suite 100","Racine","WI",53406,3701,"Racine","262-633-3591","","414-266-3339","","http://www.chw.org/communityservices",42.720261,-87.893392,"MH"
"1756","Tomah VAMC","Mental Health Service Line","500 East Veterans Street","","Tomah","WI",54660,3105,"Monroe","608-372-3971","","608-372-3971 x61631","","http://www.tomah.va.gov",44.0036157,-90.4934495,"MH"
"1757","Community Services Associates ","Pauquette Center","23295 U.S. Highway 14","","Richland Center","WI",53581,NA,"Richland","608-647-4705","","","","http://www.pauquette.com",43.3443498,-90.4045363,"MH"
"1758","Gundersen Clinic Ltd","Behavioral Health Department","505 Gopher Drive","","Tomah","WI",54660,NA,"Monroe","608-374-3853","Intakes","608-775-2287","800-362-9567 x52287","http://www.gundersenhealth.org",43.9576994,-90.5146552,"MH"
"1759","Centre for Well Being Inc","","4601 Camp Phillips Road","","Schofield","WI",54476,NA,"Marathon","715-848-5022","","","","http://www.centreforwellbeing.net",44.916377,-89.571276,"MH"
"1760","Mayo Clinic Health System","Tomah Clinic","325 Butts Avenue","","Tomah","WI",54660,1412,"Monroe","608-372-5951","","608-392-9555","","http://mayoclinichealthsystem.org/locations/tomah",43.9831873,-90.5151457,"MH"
"1761","Psychiatric Services of Racine LLP","","8700 Durand Avenue","Suite 600","Sturtevant","WI",53177,NA,"Racine","262-635-5520","","","","http://",42.698447,-87.8905267,"MH"
