name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3622 E. Southern Avenue,"Mesa, AZ 85206",877-466-8028,,0,NA
TERROS STAPLEY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1111 South Stapley Street,"Mesa, AZ 85204",602-685-6000,Most private insurance and public insurance plans,1,SAUL PEREA
FREEDOM MEDICAL CARE,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",5151 E. Broadway Suite 105,"Mesa, AZ 85206",480-550-6508,"Limited health network, please contact office to learn more",1,VALERIE GILREATH
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",926 East Broadway,"Tempe, AZ 85282",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1960 WEST MAIN STREET,"Mesa, AZ 85201",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",6202 S. 16TH STREET,"Phoenix, AZ 85042",877-466-8028,,0,NA
INTEGRITY MENTAL HEALTH - MESA,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",455 N. Mesa Drive Ste. 6,"Mesa, AZ 85201",480-834-3507,"Limited health network, please contact office to learn more",1,JENNIFER BAGBY
CLEAR CHOICE PHYSICIANS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","6328 East Brown Road, Suite 106","Mesa, AZ 85205",480-654-3303,Most private insurance and public insurance plans,1,KRYSTAL CHERAPAN
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",5035 W. Baseline Road,"Phoenix, AZ 85339",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1855 N. Power Road,"Mesa, AZ 85207",877-466-8028,,0,NA
Center For Behavioral Health-Phoenix,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1501 E Washington St,"Phoenix, AZ 85034",602-253-6553,"Most public insurance, no private insurance plans",1,TERRY FOWLER
FAMILY ALLERGY CLINIC & WELLNESS CENTER,"Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,"7565 East Eagle Crest Drive, Suite 201-B","Mesa, AZ 85207",480-410-0391,"Limited health network, please contact office to learn more",1,MELISSA FERRELL
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",9890 S. Estrella Parkway,"Goodyear, AZ 85338",877-466-8028,,0,NA
TERROS EAST MCDOWELL RD,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4909 East McDowell Road,"Phoenix, AZ 85008",602-685-6000,Most private insurance and public insurance plans,1,SAUL PEREA
RELIEVE MEDICAL DETOX,"Prescriber, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",7281 E. Earll Drive,"Scottsdale, AZ 85251",480-549-2220,"Limited health network, please contact office to learn more",1,REYES TOPETE
"BANNER UMC-PHOENIX, ADDICTION RECOVERY CENTER","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1300 North 12th Street, Suite 608","Phoenix, AZ 85006",602-839-4567,Most private insurance and public insurance plans,1,CHRISTOPHER PETERSON
DIRECT2RECOVERY,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","5656 East Orange Blossom Lane, Suite 5","Phoenix, AZ 85018",602-601-7429,"Limited health network, please contact office to learn more",1,PAUL FLATLEY
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",340 E. MCDOWELL ROAD,"Phoenix, AZ 85004",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2125 N HIGHWAY 70,"Thatcher, AZ 85552",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",7920 E. Chaparral,"Scottsdale, AZ 85250",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",520 WEST OSBORN ROAD,"Phoenix, AZ 85013",877-466-8028,,0,NA
VOGUE RECOVERY CENTER,Counseling,"Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",4122 N 17TH ST,"PHOENIX, AZ 85016",602-293-3704,"Most private insurance, no public insurance plans",1,MARK WALMER
Terros Clinic West,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3864 N. 27th Ave,"Phoenix, AZ 85017",602-797-7000,Most private insurance and public insurance plans,1,SAUL PEREA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3132 E CAMELBACK RD,"Phoenix, AZ 85016",877-466-8028,,0,NA
INTENSIVE TREATMENT SYSTEMS-MAIN CLINIC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",651 W. Coolidge,"Phoenix, AZ 85013",602-248-0550,Most private insurance and public insurance plans,1,TIRSIT GEBRESENBET
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,6965 N HAYDEN ROAD,"Scottsdale, AZ 85250",877-466-8028,,0,NA
INTENSIVE TREATMENT SYSTEMS-WEST CLINIC,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4136 N. 75th Ave.Ste. 116,"Phoenix, AZ 85033",623-247-1234,Most private insurance and public insurance plans,1,GEORGE FUZFA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",440 North Estrella Parkway,"Goodyear, AZ 85338",877-466-8028,,0,NA
GENHEALTH,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",14441 W. McDowell Rd. B-102,"Goodyear, AZ 85395",480-516-8037,"Limited health network, please contact office to learn more",1,LAURA HINSON
AKOS Urgent Care,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",5104 N. 67th Ave.,"Glendale, AZ 85301",602-899-4404,Most private insurance and public insurance plans,2,"RICK SLOAN,JOSEPH EARL"
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",810 E. GLENDALE AVENUE,"Phoenix, AZ 85020",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4811 N 83RD AVE,"Phoenix, AZ 85033",877-466-8028,,0,NA
TOTAL PRIMARY CARE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","9188 East San Salvador Drive, Suite 201","Scottsdale, AZ 85258",480-305-5640,Most private insurance and public insurance plans,1,MICHAEL AHMANN
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",14175 W Indian School Rd,"Goodyear, AZ 85395",877-466-8028,,0,NA
SCOTTSDALE RECOVERY CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,,10446 North 74th Street Suite 150,"Scottsdale, AZ 85258",480-699-9044,Most private insurance and public insurance plans,2,"PATRICE ROY,RANDY GELOW"
"DR. STEVEN LOCNIKAR, MD OFFICE / MEDICAL X, INC","Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","11390 East Via Linda, Suite 103","Scottsdale, AZ 85259",480-219-0055,Most private insurance and public insurance plans,3,"SHERYL SKINNER,MICHELLE PELUSIO,STEVEN LOCNIKAR"
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",13733 North Fountain Hills Blvd,"Fountain Hills, AZ 85268",877-466-8028,,0,NA
SOUL SURGERY,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,,14362 N. Frank Lloyd Wright Blvd.,"Scottsdale, AZ 85260",480-912-3106,Most private insurance and public insurance plans,1,RAVI CHANDIRAMANI
Terros - Glendale,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6153 West Olive Avenue,"Glendale, AZ 85302",602-389-3560,Most private insurance and public insurance plans,1,SAUL PEREA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",14696 N. Frank Lloyd Wright Bv,"Scottsdale, AZ 85260",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",6501 E Greenway Parkway Bldg 4,"Scottsdale, AZ 85254",877-466-8028,,0,NA
"OFFICE OF DR. GERALD PEISER, DO",Injection Provider,Outpatient Facility,Opioid Dependence,1539 E. Eugie Avenue,"Phoenix, AZ 85022",602-273-6901,"Limited health network, please contact office to learn more",1,GERALD PEISER
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",10641 W. OLIVE AVENUE,"Peoria, AZ 85345",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4747 East Greenway Road,"Phoenix, AZ 85254",877-466-8028,,0,NA
"CLEAN SLATE CENTERS - PHOENIX, AZ (NORTH)","Prescriber, Injection Provider","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","15255 North 40th Street, Building 5, Suite 135","Phoenix, AZ 85032",480-417-4215,"Limited health network, please contact office to learn more",0,NA
SILKWORTH CENTER DETOX,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility",,16433 N. 68th Place,"Scottsdale, AZ 85254",480-912-3105,Most private insurance and public insurance plans,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,5040 WEST CACTUS RD,"Glendale, AZ 85324",877-466-8028,,0,NA
"ROB ASHBY, MD OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8541 E Anderson Dr Ste 105,"Scottsdale, AZ 85255",480-561-0414,"Limited health network, please contact office to learn more",1,ROB ASHBY
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",20 E. WHITE MOUNTAIN RD.,"Lakeside, AZ 85929",877-466-8028,,0,NA
CAMINO NUEVO COUNSELING,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1570 W Picacho Ave Suite 2,"Las Cruces, NM 88005",575-571-9076,Most private insurance and public insurance plans,1,FERNANDO GUILLEN
Amador Health Care,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",999 W. Amador Ave,"Las Cruces, NM 88005",575-527-5482,Most private insurance and public insurance plans,3,"FATIMA MCELVEEN,LIYA ASGHEDOM,DOROTHY PORTILLO"
DESERT SKY COUNSELING SERVICES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","205 West Boutz, Building 8, Suite 1","Las Cruces, NM 88005",575-521-4555,,2,"KAREN FEE,STEPHANIE LYNCH"
ESPERANZA GUIDANCE SERVICES,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",250 S MAIN ST,"LAS CRUCES, NM 88001",575-522-5144,Most private insurance and public insurance plans,1,SHELLY NOE
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,1285 S. EL PASEO RD,"Las Cruces, NM 88001",877-466-8028,,0,NA
SAFEWAY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",900 W. DEUCE OF CLUBS,"Showlow, AZ 85901",877-466-8028,,0,NA
EXCLUSIVE PSYCHIATRIC CARE,"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1161 MALL DR STE C,"LAS CRUCES, NM 88011",575-522-2330,Most private insurance and public insurance plans,1,Selene Mendoza
BORDER AREA MENTAL HEALTH,"Prescriber, Injection Provider, Counseling",Outpatient Facility,Alcohol Dependence,1401 S DON ROSER DR STE F1,"LAS CRUCES, NM 88011",575-522-7260,Most private insurance and public insurance plans,1,ERNEST FLORES
LA VENTANA BEHAVIORAL HEALTH,"Prescriber, Injection Provider",Outpatient Facility,Alcohol Dependence,2801 Missouri Ave Suite 9,"Las Cruces, NM 88011",575-522-4602,Most private insurance and public insurance plans,1,LORENA GARCIA
Family Medicine of North Texas - Fort Worth,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","9557 North Beach Street, Suite 121","Fort Worth, TX 76244",817-741-5050,Most private insurance and public insurance plans,1,PHILIP HAMBY
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1000 Keller Parkway,"Keller, TX 76248",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,4000 Glade Rd,"Colleyville, TX 76034",877-466-8028,,0,NA
"LISA FAIRWEATHER, MD OFFICE","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","4016 Gateway Drive, Suite 120","Colleyville, TX 76034",817-283-4300,"Limited health network, please contact office to learn more",2,"AIMEE HUGHES,LISA FAIRWEATHER"
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4000 William D Tate Ave,"Grapevine, TX 76051",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",100 W. Southlake Blvd Ste 200,"Southlake, TX 76092",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",101 Trophy Lake Drive,"Trophy Club, TX 76262",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",302 South Park Blvd.,"Grapevine, TX 76051",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4010 North Macarthur Blvd. Suite 100,"Irving, TX 75038",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4301 Cross Timbers Road,"Flower Mound, TX 75022",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",106 N. Denton-tap Road,"Coppell, TX 75019",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1075 W Fm 3040,"Lewisville, TX 75067",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",745 Cross Timbers,"Flower Mound, TX 75028",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2301 Justin Rd.,"Flower Mound, TX 75028",877-466-8028,,0,NA
SYMETRIA RECOVERY- LEWISVILLE,"Prescriber, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1850 Lakepointe Drive 400,"Lewisville, TX 75057",855-917-0788,"Most private insurance, no public insurance plans",1,ROBERT WILSON
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3757 Forest Ln.,"Dallas, TX 75234",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",14280 Marsh Lane,"Addison, TX 75001",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,2150 N Josey Lane,"Carrollton, TX 75006",877-466-8028,,0,NA
Family Medicine of North Texas - Denton,"Prescriber, Injection Provider",Outpatient Facility,Alcohol Dependence,"2601 Scripture Street, Suite 102","Denton, TX 76201",940-442-6455,Most private insurance and public insurance plans,1,PHILIP HAMBY
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",11920 Preston Rd.,"Dallas, TX 75230",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",10455 North Central Expwy.,"Dallas, TX 75231",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,2321 West University Drive,"Denton, TX 76201",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4112 N Josey Ln,"Carrollton, TX 75007",877-466-8028,,0,NA
ROYAL CREEK PSYCHIATRY CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","8604 Greenville Avenue, Suite 201","Dallas, TX 75243",469-330-7378,No Insurance accepted,2,"JAYE CROWDER,ROBERT SCOTT STATON"
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",14999 Preston Rd.,"Dallas, TX 75240",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",8698 Skillman St.,"Dallas, TX 75243",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",819 W Arapaho Rd,"Richardson, TX 75080",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,2165 E Buckingham Dr,"Richardson, TX 75081",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",1380 W.campbell Rd.,"Richardson, TX 75080",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",18212 Preston,"Dallas, TX 75252",877-466-8028,,0,NA
DANIEL S CHEN,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","375 Municipal Drive, Suite 240","Richardson, TX 75080",972-690-7246,Most private insurance and public insurance plans,1,DANIEL CHEN
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2645 Arapaho,"Garland, TX 75044",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2535 Firewheel Parkway,"Garland, TX 75040",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3411 Custer Pkwy,"Richardson, TX 75080",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",5968 West Parker,"Plano, TX 75093",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",8805 Lakeview,"Rowlett, TX 75089",877-466-8028,,0,NA
SMART HEALTH AND WELLNESS CENTERS LEGACY PLANO,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6839 Communications Parkway,"Plano, TX 75024",972-733-7242,"Most private insurance, no public insurance plans",2,"LISA BEAVER,ROBERT BENIGAR"
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3100 Independence Pkwy.,"Plano, TX 75075",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3945 Legacy Dr.,"Plano, TX 75023",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",5550 FM 423,"Frisco, TX 75036",877-466-8028,,0,NA
MARKET STREET PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4268 Legacy Drive,"Frisco, TX 75034",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",921 Westgate Way,"Wylie, TX 75098",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",7801 Alma Dr.,"Plano, TX 75025",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",4848 Preston Rd,"Frisco, TX 75034",877-466-8028,,0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3070 N Goliad,"Rockwall, TX 75087",877-466-8028,,0,NA
ACCESS COUNSELING GROUP,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4280 Main St 300,"Frisco, TX 75033",972-905-6574,"Most private insurance, no public insurance plans",0,NA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",900 W. Mcdermott Drive,"Allen, TX 75013",877-466-8028,,0,NA
PRIME PSYCHIATRY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",11330 Legacy Drive,"Frisco, TX 75033",469-777-4691,Most private insurance and public insurance plans,1,EFOSA AIRUEHIA
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",3001 Hardin Rd,"McKinney, TX 75070",877-466-8028,,0,NA
Exult Healthcare - Mckinney,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",4801 Medical Center Drive,"Mckinney, TX 75069",469-714-0006 and 9723694220,Most private insurance and public insurance plans,1,DEEPIKA BHARGAVA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,6800 W. Virginia Parkway,"McKinney, TX 75069",877-466-8028,,0,NA
TEXAS HEALTH FAMILY CARE,Prescriber,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3080 Sam Rayburn Highway,"Melissa, TX 75454",469-796-4125,Most private insurance and public insurance plans,1,ANTHONY VALLARINO
TOM THUMB,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",206 North Grand Ave.,"Gainesville, TX 76240",877-466-8028,,0,NA
ALBERTSONS,Injection Provider,"Outpatient Facility, Retail Pharmacy",,100 East Taylor Street,"Sherman, TX 75090",877-466-8028,,0,NA
Exult Healthcare - Sherman,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","600 East Taylor Street, Suite 4001","Sherman, TX 75090",972-369-4220,"Most private insurance, no public insurance plans",1,DEEPIKA BHARGAVA
PARAGON PAIN & REHABILITATION – PARIS (COLLEGIATE DR),"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2895 Lewis Lane,"Paris, TX 75460",972-203-3600,"Limited health network, please contact office to learn more",1,NORBERTO VARGAS
DELTA COUNSELING ASSOCIATES - MONTICELLO,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",790 Roberts Dr,"Monticello, AR 71657",870-367-2461,Most private insurance and public insurance plans,1,CHARLES LEWIS
KOLBE CLINIC - TUSCALOOSA,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",915 22nd Ave,"Tuscaloosa, AL 35401",888-310-9011,Most private insurance and public insurance plans,2,"WILBUR WELLS,Jill Scott"
KOLBE CLINIC - Chelsea,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","109 Foothills Parkway, Suite 113","Chelsea, AL 35043",205-618-9899,Most private insurance and public insurance plans,4,"KAREN AVERY,kendra Robinson,Brenda Burnett,CHARLES SINGLETON"
BRADFORD HEALTH SERVICES - BIRMINGHAM,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",300 CENTURY PARK S STE 100,"BIRMINGHAM, AL 35226",866-977-7158,"Most private insurance, no public insurance plans",1,JESSICA LAWLER
FOCUS MEDICAL GROUP,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",1310 ALFORD AVE STE 201,"HOOVER, AL 35226",205-545-7710,"Limited health network, please contact office to learn more",2,"ANDRE' MCSHAN,CHAUNCEY THUSS"
KOLBE CLINIC - BIRMINGHAM,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1830 Montclair rd,"Birmingham, AL 35213",888-310-9011,Most private insurance and public insurance plans,4,"DANIEL MEJER,CARL FROSINA,MARY WADE,Jill Scott"
WELLSTAR WEST GEORGIA MEDICAL CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1990 W Lukken Industrial Drive Suite C,"LAGRANGE, GA 30240",706-883-8787,Most private insurance and public insurance plans,1,SWAROOP NYSHADHAM
CASTLEBERRY DRUG,Injection Provider,"Outpatient Facility, Retail Pharmacy",,67 North Lee Street,"Forsyth, GA 31029",478-994-2051,,1,Jonathan Marquess
"PEACHTREE BEHAVIORAL HEALTH, STUART DAVIS, MD OFFICE",Injection Provider,Outpatient Facility,Alcohol Dependence,16 Eastbrook Bend,"Peachtree City, GA 30269",770-486-8600,"Most private insurance, no public insurance plans",1,STUART DAVIS
GEORGIA ADDICTION TREATMENT CENTER,Injection Provider,"Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",100 Governors Trace Suite 110,"Peachtree City, GA 30269",404-963-6751,"Most private insurance, no public insurance plans",2,"JAMIL DAVIS,SHAHZAD HASHMI"
REAGAN’S PHARMACY,Injection Provider,"Outpatient Facility, Retail Pharmacy",,1600 Milstead RD NE,"Conyers, GA 30114",770-483-4727,,1,Jonathan Marquess
TWIN LAKES RECOVERY CENTER,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence",398 Highway 11,"Monroe, GA 30655",770-266-3730,"Most private insurance, no public insurance plans",1,KAREN CHEESEMAN
