COUNTYFP,county,totalP,totalP_hh,totalP_fhh,nonRel_fhh,nonRel_fhhR,totalP_nfhh,nonRel_nfhh,nonRel_nfhhR,groupQuar,groupQuarR
13111,"Fannin County, Georgia",24925,24741,20466,412,2.01,4275,801,18.74,1693,6.79
13153,"Houston County, Georgia",151682,150049,129999,3624,2.79,20050,4127,20.58,7760,5.12
13175,"Laurens County, Georgia",47418,46379,39330,1174,2.98,7049,1240,17.59,2420,5.1
13255,"Spalding County, Georgia",64719,63504,54298,2053,3.78,9206,1582,17.18,3282,5.07
13271,"Telfair County, Georgia",16115,12842,11020,648,5.88,1822,185,10.15,732,4.54
13291,"Union County, Georgia",22775,22233,19202,558,2.91,3031,386,12.74,1175,5.16
39029,"Columbiana County, Ohio",104003,100114,84187,2526,3.0,15927,2068,12.98,6843,6.58
39051,"Fulton County, Ohio",42305,41831,36498,1057,2.9,5333,810,15.19,2243,5.3
39053,"Gallia County, Ohio",30195,29357,24488,480,1.96,4869,847,17.4,1761,5.83
39099,"Mahoning County, Ohio",231064,224387,179170,4686,2.62,45217,7056,15.6,17551,7.6
39145,"Scioto County, Ohio",76377,72792,59838,2194,3.67,12954,2313,17.86,4799,6.28
39117,"Morrow County, Ohio",34976,34681,30463,1159,3.8,4218,740,17.54,1751,5.01
39135,"Preble County, Ohio",41207,40769,34863,1213,3.48,5906,1028,17.41,2385,5.79
39003,"Allen County, Ohio",103642,99666,82640,2408,2.91,17026,3142,18.45,6857,6.62
39033,"Crawford County, Ohio",42021,41476,33946,848,2.5,7530,1139,15.13,2887,6.87
39059,"Guernsey County, Ohio",39274,38740,31416,978,3.11,7324,1467,20.03,2781,7.08
39107,"Mercer County, Ohio",40806,40302,34798,634,1.82,5504,703,12.77,2189,5.36
39023,"Clark County, Ohio",135198,132014,108319,4103,3.79,23695,4500,18.99,9012,6.67
39093,"Lorain County, Ohio",306713,297385,250238,7009,2.8,47147,7693,16.32,18169,5.92
39113,"Montgomery County, Ohio",532034,514400,407210,11277,2.77,107190,17971,16.77,42063,7.91
39165,"Warren County, Ohio",226564,219189,194139,3174,1.63,25050,4384,17.5,9596,4.24
39007,"Ashtabula County, Ohio",98136,94630,78410,2731,3.48,16220,2793,17.22,6599,6.72
40071,"Kay County, Oklahoma",44880,43942,36138,1127,3.12,7804,1235,15.83,3017,6.72
40035,"Craig County, Oklahoma",14493,13361,11455,416,3.63,1906,228,11.96,768,5.3
40017,"Canadian County, Oklahoma",136710,134554,119470,2828,2.37,15084,3492,23.15,5828,4.26
40077,"Latimer County, Oklahoma",10495,10104,8696,236,2.71,1408,193,13.71,618,5.89
40139,"Texas County, Oklahoma",21121,20626,17481,501,2.87,3145,791,25.15,1438,6.81
40127,"Pushmataha County, Oklahoma",11119,11005,9274,218,2.35,1731,228,13.17,657,5.91
40069,"Johnston County, Oklahoma",11041,10773,9180,327,3.56,1593,149,9.35,652,5.91
40007,"Beaver County, Oklahoma",5415,5332,4728,117,2.47,604,96,15.89,294,5.43
40063,"Hughes County, Oklahoma",13460,11828,10346,415,4.01,1482,178,12.01,554,4.12
40031,"Comanche County, Oklahoma",122561,113221,94222,3656,3.88,18999,4314,22.71,7578,6.18
40001,"Adair County, Oklahoma",22113,21996,19375,644,3.32,2621,465,17.74,995,4.5
40137,"Stephens County, Oklahoma",43983,43419,36783,1039,2.82,6636,1169,17.62,2571,5.85
40019,"Carter County, Oklahoma",48406,47459,40257,1529,3.8,7202,1000,13.89,3006,6.21
40055,"Greer County, Oklahoma",5943,4890,4014,144,3.59,876,92,10.5,379,6.38
40091,"McIntosh County, Oklahoma",19819,19505,16308,344,2.11,3197,366,11.45,1254,6.33
40099,"Murray County, Oklahoma",13875,13493,11210,226,2.02,2283,473,20.72,906,6.53
40115,"Ottawa County, Oklahoma",31566,30492,25892,947,3.66,4600,723,15.72,1708,5.41
40145,"Wagoner County, Oklahoma",77850,77603,68667,1737,2.53,8936,1794,20.08,3533,4.54
40015,"Caddo County, Oklahoma",29342,28181,24382,676,2.77,3799,670,17.64,1521,5.18
40101,"Muskogee County, Oklahoma",69084,65291,55473,1606,2.9,9818,1285,13.09,3892,5.63
40013,"Bryan County, Oklahoma",45759,44749,37208,1355,3.64,7541,1740,23.07,2815,6.15
41029,"Jackson County, Oregon",214267,210593,169040,6404,3.79,41553,9765,23.5,13272,6.19
41023,"Grant County, Oregon",7183,6994,5361,137,2.56,1633,276,16.9,736,10.25
41005,"Clackamas County, Oregon",405788,402700,340091,10649,3.13,62609,14613,23.34,20396,5.03
41057,"Tillamook County, Oregon",26076,25354,20029,716,3.57,5325,1200,22.54,1956,7.5
41033,"Josephine County, Oregon",85481,84315,68142,3162,4.64,16173,3245,20.06,5791,6.77
41059,"Umatilla County, Oregon",76898,72189,61135,2165,3.54,11054,2356,21.31,4301,5.59
41009,"Columbia County, Oregon",50851,50446,41896,2065,4.93,8550,2117,24.76,3242,6.38
41065,"Wasco County, Oregon",25866,24706,20442,630,3.08,4264,703,16.49,1845,7.13
41039,"Lane County, Oregon",368882,361066,271523,12864,4.74,89543,27636,30.86,28966,7.85
41067,"Washington County, Oregon",581821,574836,479590,15011,3.13,95246,25422,26.69,32504,5.59
48493,"Wilson County, Texas",48198,47654,43504,1234,2.84,4150,757,18.24,1818,3.77
48219,"Hockley County, Texas",23162,22424,19775,580,2.93,2649,411,15.52,1061,4.58
20039,"Decatur County, Kansas",2881,2806,2031,34,1.67,775,73,9.42,377,13.09
21079,"Garrard County, Kentucky",17328,17190,15040,485,3.22,2150,360,16.74,871,5.03
21037,"Campbell County, Kentucky",92267,88744,72173,1747,2.42,16571,3451,20.83,6405,6.94
21063,"Elliott County, Kentucky",7517,6144,5419,129,2.38,725,117,16.14,337,4.48
21123,"Larue County, Kentucky",14156,13874,11464,303,2.64,2410,629,26.1,881,6.22
21167,"Mercer County, Kentucky",21516,21366,18002,411,2.28,3364,628,18.67,1122,5.21
08085,"Montrose County, Colorado",41268,40751,34304,686,2.0,6447,978,15.17,2298,5.57
08087,"Morgan County, Colorado",28257,27856,23874,731,3.06,3982,752,18.88,1577,5.58
08109,"Saguache County, Colorado",6468,6451,5223,96,1.84,1228,167,13.6,556,8.6
08099,"Prowers County, Colorado",12052,11673,9671,251,2.6,2002,272,13.59,783,6.5
08053,"Hinsdale County, Colorado",878,875,743,19,2.56,132,16,12.12,58,6.61
08121,"Washington County, Colorado",4840,4545,3842,150,3.9,703,70,9.96,328,6.78
08049,"Grand County, Colorado",15066,14772,11121,322,2.9,3651,1438,39.39,1428,9.48
08089,"Otero County, Colorado",18325,17846,14681,307,2.09,3165,353,11.15,1409,7.69
08014,"Broomfield County, Colorado",66120,65823,54173,992,1.83,11650,2427,20.83,4528,6.85
10005,"Sussex County, Delaware",219540,216641,182651,5549,3.04,33990,5991,17.63,11809,5.38
11001,"District of Columbia, District of Columbia",684498,644878,417910,15472,3.7,226968,67434,29.71,71990,10.52
09009,"New Haven County, Connecticut",859339,830620,676066,17539,2.59,154554,29501,19.09,54749,6.37
09003,"Hartford County, Connecticut",894730,869055,717751,18963,2.64,151304,27263,18.02,53466,5.98
37015,"Bertie County, North Carolina",19644,18256,14883,299,2.01,3373,226,6.7,1427,7.26
37117,"Martin County, North Carolina",23054,22909,19263,584,3.03,3646,541,14.84,1333,5.78
37143,"Perquimans County, North Carolina",13459,13371,11137,167,1.5,2234,342,15.31,1002,7.44
37157,"Rockingham County, North Carolina",91270,89812,75500,1966,2.6,14312,1718,12.0,6146,6.73
37029,"Camden County, North Carolina",10447,10414,9654,258,2.67,760,59,7.76,299,2.86
37071,"Gaston County, North Carolina",216585,213679,181194,5407,2.98,32485,5837,17.97,12088,5.58
37125,"Moore County, North Carolina",95629,94216,77743,1422,1.83,16473,2510,15.24,5907,6.18
37167,"Stanly County, North Carolina",61114,58977,51074,1271,2.49,7903,1006,12.73,3055,5.0
37199,"Yancey County, North Carolina",17667,17517,14460,365,2.52,3057,691,22.6,1069,6.05
37037,"Chatham County, North Carolina",69791,69042,58607,1088,1.86,10435,1572,15.06,3468,4.97
37101,"Johnston County, North Carolina",191172,189452,167495,4985,2.98,21957,4359,19.85,7881,4.12
37145,"Person County, North Carolina",39305,38784,32818,866,2.64,5966,986,16.53,2316,5.89
37009,"Ashe County, North Carolina",26786,26356,21890,530,2.42,4466,738,16.52,1630,6.09
37107,"Lenoir County, North Carolina",57227,55868,46676,1337,2.86,9192,1260,13.71,3234,5.65
37133,"Onslow County, North Carolina",193912,173846,149666,3898,2.6,24180,5469,22.62,9920,5.12
37161,"Rutherford County, North Carolina",66532,65294,54515,1721,3.16,10779,1398,12.97,4366,6.56
37197,"Yadkin County, North Carolina",37665,37339,32099,629,1.96,5240,568,10.84,2235,5.93
37023,"Burke County, North Carolina",89712,86824,73082,2119,2.9,13742,2369,17.24,5516,6.15
38097,"Traill County, North Dakota",8019,7630,6288,82,1.3,1342,130,9.69,646,8.06
38021,"Dickey County, North Dakota",4970,4730,3887,46,1.18,843,85,10.08,428,8.61
38101,"Ward County, North Dakota",69034,66797,52421,1579,3.01,14376,3211,22.34,6264,9.07
38067,"Pembina County, North Dakota",7016,6833,5455,83,1.52,1378,216,15.67,685,9.76
38041,"Hettinger County, North Dakota",2576,2408,2007,53,2.64,401,21,5.24,207,8.04
38017,"Cass County, North Dakota",174202,169139,125618,3207,2.55,43521,10965,25.19,17564,10.08
38029,"Emmons County, North Dakota",3352,3298,2674,33,1.23,624,40,6.41,273,8.14
38077,"Richland County, North Dakota",16288,15041,11940,230,1.93,3101,557,17.96,1325,8.13
38001,"Adams County, North Dakota",2351,2283,1892,24,1.27,391,22,5.63,159,6.76
38027,"Eddy County, North Dakota",2313,2216,1743,24,1.38,473,58,12.26,224,9.68
38057,"Mercer County, North Dakota",8570,8428,7155,233,3.26,1273,128,10.05,732,8.54
38073,"Ransom County, North Dakota",5361,5207,4176,83,1.99,1031,143,13.87,480,8.95
38085,"Sioux County, North Dakota",4413,4363,3984,169,4.24,379,89,23.48,184,4.17
38033,"Golden Valley County, North Dakota",1882,1785,1348,10,0.74,437,47,10.76,206,10.95
38095,"Towner County, North Dakota",2246,2215,1810,24,1.33,405,20,4.94,205,9.13
38023,"Divide County, North Dakota",2369,2265,1782,53,2.97,483,40,8.28,234,9.88
38081,"Sargent County, North Dakota",3883,3844,3049,44,1.44,795,146,18.36,411,10.58
39105,"Meigs County, Ohio",23160,22936,19423,734,3.78,3513,581,16.54,1664,7.18
39021,"Champaign County, Ohio",38864,38014,31948,864,2.7,6066,1290,21.27,2492,6.41
48329,"Midland County, Texas",164194,162332,141147,4217,2.99,21185,4338,20.48,9090,5.54
48299,"Llano County, Texas",20640,20437,17199,540,3.14,3238,504,15.57,1178,5.71
48147,"Fannin County, Texas",34175,31101,26588,444,1.67,4513,663,14.69,1844,5.4
48041,"Brazos County, Texas",219193,203492,142662,4627,3.24,60830,25654,42.17,17393,7.94
48165,"Gaines County, Texas",20321,20207,18638,328,1.76,1569,287,18.29,698,3.43
48179,"Gray County, Texas",22685,21113,17762,602,3.39,3351,536,16.0,1313,5.79
48237,"Jack County, Texas",8842,7684,6625,94,1.42,1059,116,10.95,446,5.04
48035,"Bosque County, Texas",18122,17764,15679,484,3.09,2085,227,10.89,934,5.15
48029,"Bexar County, Texas",1925865,1894693,1618268,46067,2.85,276425,65588,23.73,103456,5.37
48023,"Baylor County, Texas",3591,3517,2959,51,1.72,558,79,14.16,230,6.4
48121,"Denton County, Texas",807047,795079,680299,13687,2.01,114780,31977,27.86,39157,4.85
48167,"Galveston County, Texas",327089,320541,274773,5979,2.18,45768,9487,20.73,18121,5.54
48393,"Roberts County, Texas",885,885,756,6,0.79,129,53,41.09,39,4.41
48463,"Uvalde County, Texas",27009,26520,23448,621,2.65,3072,493,16.05,1362,5.04
48037,"Bowie County, Texas",93858,88343,75590,1629,2.16,12753,1863,14.61,4539,4.84
48263,"Kent County, Texas",749,707,556,0,0.0,151,9,5.96,44,5.87
47173,"Union County, Tennessee",19293,19110,17046,622,3.65,2064,319,15.46,776,4.02
47071,"Hardin County, Tennessee",25771,25287,21805,656,3.01,3482,456,13.1,1520,5.9
47043,"Dickson County, Tennessee",51988,51267,43871,1290,2.94,7396,1180,15.95,2777,5.34
47129,"Morgan County, Tennessee",21596,18793,16255,628,3.86,2538,485,19.11,1000,4.63
47123,"Monroe County, Tennessee",45876,45321,38983,1292,3.31,6338,1122,17.7,2439,5.32
47079,"Henry County, Tennessee",32279,31767,26611,691,2.6,5156,888,17.22,1975,6.12
47033,"Crockett County, Tennessee",14499,14280,11991,217,1.81,2289,494,21.58,835,5.76
47095,"Lake County, Tennessee",7526,4831,3881,98,2.53,950,216,22.74,199,2.64
47093,"Knox County, Tennessee",456185,444844,353847,8511,2.41,90997,21668,23.81,31290,6.86
47107,"McMinn County, Tennessee",52773,51591,43402,1470,3.39,8189,1247,15.23,3178,6.02
47117,"Marshall County, Tennessee",32269,31825,27404,1076,3.93,4421,714,16.15,1544,4.78
47143,"Rhea County, Tennessee",32628,31710,26407,614,2.33,5303,1013,19.1,2018,6.18
47151,"Scott County, Tennessee",21954,21601,18230,496,2.72,3371,606,17.98,1257,5.73
47001,"Anderson County, Tennessee",75775,74579,62243,1734,2.79,12336,2126,17.23,4809,6.35
47049,"Fentress County, Tennessee",17994,17818,15178,284,1.87,2640,301,11.4,1163,6.46
47053,"Gibson County, Tennessee",49175,48021,40915,837,2.05,7106,872,12.27,2673,5.44
47069,"Hardeman County, Tennessee",25562,21642,18340,297,1.62,3302,401,12.14,1142,4.47
47105,"Loudon County, Tennessee",51610,51204,44616,1005,2.25,6588,974,14.78,2593,5.02
47149,"Rutherford County, Tennessee",307128,302354,254570,6330,2.49,47784,15126,31.65,15740,5.12
47159,"Smith County, Tennessee",19458,19239,16643,325,1.95,2596,358,13.79,1046,5.38
47189,"Wilson County, Tennessee",132663,131072,117021,2817,2.41,14051,2214,15.76,5581,4.21
47171,"Unicoi County, Tennessee",17780,17242,14182,527,3.72,3060,522,17.06,1211,6.81
35027,"Lincoln County, New Mexico",19482,19293,15927,461,2.89,3366,566,16.82,1270,6.52
35005,"Chaves County, New Mexico",65459,63369,54934,1795,3.27,8435,1211,14.36,3656,5.59
35025,"Lea County, New Mexico",70126,67516,60854,1846,3.03,6662,971,14.58,3013,4.3
35049,"Santa Fe County, New Mexico",148917,145978,114550,3177,2.77,31428,6134,19.52,11604,7.79
35059,"Union County, New Mexico",4175,3535,2856,52,1.82,679,103,15.17,224,5.37
35051,"Sierra County, New Mexico",11135,10876,8002,473,5.91,2874,258,8.98,1329,11.94
35053,"Socorro County, New Mexico",17000,16481,12991,242,1.86,3490,1389,39.8,929,5.46
35041,"Roosevelt County, New Mexico",19117,17980,14201,373,2.63,3779,1051,27.81,1252,6.55
35013,"Doña Ana County, New Mexico",215338,209824,177893,4546,2.56,31931,7002,21.93,11817,5.49
35028,"Los Alamos County, New Mexico",18356,18251,15409,294,1.91,2842,290,10.2,1363,7.43
35039,"Rio Arriba County, New Mexico",39307,38653,32648,770,2.36,6005,913,15.2,2362,6.01
35047,"San Miguel County, New Mexico",28034,26408,19994,981,4.91,6414,1109,17.29,2607,9.3
35061,"Valencia County, New Mexico",75956,74468,64101,1857,2.9,10367,1907,18.39,3973,5.23
35057,"Torrance County, New Mexico",15595,15122,12643,399,3.16,2479,592,23.88,862,5.53
35001,"Bernalillo County, New Mexico",677692,668733,533602,16751,3.14,135131,28763,21.29,50610,7.47
35035,"Otero County, New Mexico",65745,62219,51463,1132,2.2,10756,1853,17.23,4363,6.64
35006,"Cibola County, New Mexico",26978,25387,22107,973,4.4,3280,563,17.16,1115,4.13
35011,"De Baca County, New Mexico",2060,2029,1557,10,0.64,472,121,25.64,243,11.8
35019,"Guadalupe County, New Mexico",4382,3638,2794,82,2.93,844,129,15.28,398,9.08
35003,"Catron County, New Mexico",3539,3393,2624,10,0.38,769,270,35.11,356,10.06
51079,"Greene County, Virginia",19410,19277,16807,255,1.52,2470,387,15.67,816,4.2
51085,"Hanover County, Virginia",104449,102635,91137,1102,1.21,11498,2072,18.02,4004,3.83
51111,"Lunenburg County, Virginia",12278,11325,9761,400,4.1,1564,189,12.08,555,4.52
51137,"Orange County, Virginia",35612,35063,30075,1188,3.95,4988,1031,20.67,1910,5.36
51595,"Emporia city, Virginia",5381,5141,4361,85,1.95,780,25,3.21,189,3.51
51197,"Wythe County, Virginia",28940,28701,23839,913,3.83,4862,810,16.66,1631,5.64
51550,"Chesapeake city, Virginia",237820,231596,205920,3965,1.93,25676,4754,18.52,8999,3.78
51660,"Harrisonburg city, Virginia",53391,45984,29653,1557,5.25,16331,8397,51.42,3758,7.04
51003,"Albemarle County, Virginia",106355,98785,79056,1591,2.01,19729,4849,24.58,5891,5.54
51019,"Bedford County, Virginia",77908,77414,66700,1359,2.04,10714,2041,19.05,4023,5.16
51029,"Buckingham County, Virginia",17004,14946,12426,450,3.62,2520,483,19.17,956,5.62
51195,"Wise County, Virginia",39025,35973,29726,795,2.67,6247,1229,19.67,2531,6.49
51580,"Covington city, Virginia",5582,5488,4498,105,2.33,990,119,12.02,455,8.15
51740,"Portsmouth city, Virginia",95311,91814,73108,2141,2.93,18706,3905,20.88,6744,7.08
51810,"Virginia Beach city, Virginia",450135,439605,370866,9669,2.61,68739,16432,23.9,24069,5.35
51005,"Alleghany County, Virginia",15286,14950,11829,380,3.21,3121,515,16.5,1046,6.84
51640,"Galax city, Virginia",6638,6255,5279,133,2.52,976,59,6.05,375,5.65
51193,"Westmoreland County, Virginia",17638,17510,13840,301,2.17,3670,692,18.86,1193,6.76
51133,"Northumberland County, Virginia",12223,12223,10330,249,2.41,1893,216,11.41,804,6.58
51155,"Pulaski County, Virginia",34234,33160,27225,619,2.27,5935,837,14.1,2567,7.5
51187,"Warren County, Virginia",39449,38651,32735,1205,3.68,5916,1329,22.46,2440,6.19
51590,"Danville city, Virginia",41512,39901,30800,1055,3.43,9101,1223,13.44,3204,7.72
51630,"Fredericksburg city, Virginia",28469,25854,19292,625,3.24,6562,1580,24.08,2289,8.04
51009,"Amherst County, Virginia",31882,30776,26065,552,2.12,4711,843,17.89,1708,5.36
51017,"Bath County, Virginia",4393,4218,3053,81,2.65,1165,242,20.77,526,11.97
51670,"Hopewell city, Virginia",22408,22180,17866,649,3.63,4314,728,16.88,1608,7.18
51700,"Newport News city, Virginia",180145,171202,136749,4467,3.27,34453,7154,20.76,12483,6.93
51069,"Frederick County, Virginia",85153,83842,73950,1981,2.68,9892,1988,20.1,3933,4.62
51680,"Lynchburg city, Virginia",80131,69450,51926,1345,2.59,17524,5641,32.19,4650,5.8
51199,"York County, Virginia",67587,66305,59337,897,1.51,6968,1622,23.28,2160,3.2
51690,"Martinsville city, Virginia",13101,12671,10084,457,4.53,2587,265,10.24,925,7.06
51125,"Nelson County, Virginia",14812,14705,12239,240,1.96,2466,507,20.56,843,5.69
51143,"Pittsylvania County, Virginia",61676,60564,51612,1002,1.94,8952,998,11.15,3682,5.97
51530,"Buena Vista city, Virginia",6399,5890,4792,61,1.27,1098,247,22.5,329,5.14
51610,"Falls Church city, Virginia",14067,14022,11916,355,2.98,2106,373,17.71,735,5.22
51730,"Petersburg city, Virginia",31827,31094,23046,978,4.24,8048,1628,20.23,2575,8.09
51735,"Poquoson city, Virginia",12039,11987,10514,68,0.65,1473,257,17.45,615,5.11
51600,"Fairfax city, Virginia",23865,23241,19001,619,3.26,4240,1481,34.93,1205,5.05
51820,"Waynesboro city, Virginia",21926,21751,16749,611,3.65,5002,1049,20.97,1600,7.3
51770,"Roanoke city, Virginia",99621,97612,73924,3023,4.09,23688,4716,19.91,8608,8.64
51800,"Suffolk city, Virginia",89160,88588,77972,1537,1.97,10616,1695,15.97,3846,4.31
51710,"Norfolk city, Virginia",245592,219712,167173,5659,3.39,52539,14940,28.44,19076,7.77
51041,"Chesterfield County, Virginia",339447,335725,293731,7047,2.4,41994,8622,20.53,13166,3.88
51059,"Fairfax County, Virginia",1143529,1134428,980118,27648,2.82,154310,41816,27.1,50064,4.38
53047,"Okanogan County, Washington",41638,40499,33485,1243,3.71,7014,1186,16.91,3156,7.58
53037,"Kittitas County, Washington",44825,42342,29509,945,3.2,12833,4511,35.15,4191,9.35
53005,"Benton County, Washington",194168,192570,163777,4903,2.99,28793,6185,21.48,10826,5.58
53011,"Clark County, Washington",465384,461309,392081,13540,3.45,69228,17199,24.84,23882,5.13
53003,"Asotin County, Washington",22337,22112,17750,688,3.88,4362,998,22.88,1412,6.32
53001,"Adams County, Washington",19452,19187,17406,635,3.65,1781,328,18.42,843,4.33
53023,"Garfield County, Washington",2224,2201,1819,15,0.82,382,41,10.73,192,8.63
53045,"Mason County, Washington",62627,61480,50636,2634,5.2,10844,2419,22.31,4504,7.19
53057,"Skagit County, Washington",123907,122083,101857,3488,3.42,20226,4708,23.28,7112,5.74
53065,"Stevens County, Washington",44214,43885,37188,1346,3.62,6697,1259,18.8,2869,6.49
53063,"Spokane County, Washington",497875,482090,388947,12973,3.34,93143,20559,22.07,33897,6.81
53043,"Lincoln County, Washington",10435,10308,8705,232,2.67,1603,190,11.85,784,7.51
53007,"Chelan County, Washington",75757,74444,62413,1549,2.48,12031,2327,19.34,4623,6.1
39057,"Greene County, Ohio",165811,156707,128604,2859,2.22,28103,5824,20.72,10841,6.54
39087,"Lawrence County, Ohio",60622,59940,50380,1617,3.21,9560,1536,16.07,3519,5.8
39115,"Morgan County, Ohio",14702,14527,12319,359,2.91,2208,317,14.36,857,5.83
39175,"Wyandot County, Ohio",22107,21815,18114,525,2.9,3701,733,19.81,1401,6.34
39043,"Erie County, Ohio",75136,73860,59853,2059,3.44,14007,2554,18.23,5425,7.22
39091,"Logan County, Ohio",45307,44849,37706,849,2.25,7143,1243,17.4,2974,6.56
39153,"Summit County, Ohio",541810,532384,427174,10270,2.4,105210,18995,18.05,40389,7.45
39149,"Shelby County, Ohio",48797,48365,41687,1227,2.94,6678,1246,18.66,2980,6.11
54105,"Wirt County, West Virginia",5797,5797,4777,86,1.8,1020,176,17.25,485,8.37
54015,"Clay County, West Virginia",8785,8715,7391,276,3.73,1324,321,24.24,517,5.89
54061,"Monongalia County, West Virginia",105252,99440,68805,2065,3.0,30635,12261,40.02,9656,9.17
54103,"Wetzel County, West Virginia",15614,15493,12936,500,3.87,2557,530,20.73,880,5.64
54039,"Kanawha County, West Virginia",185710,182350,146645,4273,2.91,35705,5398,15.12,13877,7.47
54077,"Preston County, West Virginia",33837,31023,26334,675,2.56,4689,946,20.17,1854,5.48
54085,"Ritchie County, West Virginia",9932,9876,8333,190,2.28,1543,291,18.86,654,6.58
54043,"Lincoln County, West Virginia",21078,21018,18354,301,1.64,2664,395,14.83,941,4.46
54007,"Braxton County, West Virginia",14282,13922,12138,261,2.15,1784,296,16.59,703,4.92
54005,"Boone County, West Virginia",22817,22687,19368,324,1.67,3319,589,17.75,1278,5.6
54109,"Wyoming County, West Virginia",21711,21632,18872,598,3.17,2760,340,12.32,1138,5.24
72119,"Río Grande Municipio, Puerto Rico",50550,49773,44702,1332,2.98,5071,776,15.3,1933,3.82
72145,"Vega Baja Municipio, Puerto Rico",53371,53063,46914,1168,2.49,6149,815,13.25,2015,3.78
72077,"Juncos Municipio, Puerto Rico",39128,38924,34168,1126,3.3,4756,918,19.3,1662,4.25
72121,"Sabana Grande Municipio, Puerto Rico",23054,22881,20477,575,2.81,2404,163,6.78,1077,4.67
72055,"Guánica Municipio, Puerto Rico",16783,16701,14533,578,3.98,2168,253,11.67,945,5.63
72103,"Naguabo Municipio, Puerto Rico",26266,26221,23215,804,3.46,3006,335,11.14,1407,5.36
72141,"Utuado Municipio, Puerto Rico",29402,29309,26264,620,2.36,3045,420,13.79,1143,3.89
72033,"Cataño Municipio, Puerto Rico",24888,24881,21932,714,3.26,2949,374,12.68,1054,4.23
72057,"Guayama Municipio, Puerto Rico",41706,39435,33911,1026,3.03,5524,520,9.41,1964,4.71
54083,"Randolph County, West Virginia",29065,26810,21851,596,2.73,4959,861,17.36,1656,5.7
40057,"Harmon County, Oklahoma",2721,2617,2169,38,1.75,448,72,16.07,191,7.02
40061,"Haskell County, Oklahoma",12704,12624,10909,348,3.19,1715,280,16.33,665,5.23
40111,"Okmulgee County, Oklahoma",38889,37446,31232,1158,3.71,6214,1207,19.42,2293,5.9
40113,"Osage County, Oklahoma",47311,45881,39421,1042,2.64,6460,761,11.78,2599,5.49
40067,"Jefferson County, Oklahoma",6223,6061,5102,153,3.0,959,146,15.22,398,6.4
40047,"Garfield County, Oklahoma",62190,60475,50500,1557,3.08,9975,1933,19.38,3676,5.91
40049,"Garvin County, Oklahoma",27823,27498,23470,574,2.45,4028,638,15.84,1646,5.92
40121,"Pittsburg County, Oklahoma",44382,42127,34926,1103,3.16,7201,1218,16.91,2874,6.48
40123,"Pontotoc County, Oklahoma",38358,36831,30310,854,2.82,6521,1589,24.37,2394,6.24
40129,"Roger Mills County, Oklahoma",3708,3687,3152,109,3.46,535,66,12.34,232,6.26
40153,"Woodward County, Oklahoma",20967,19873,17571,425,2.42,2302,339,14.73,1025,4.89
40021,"Cherokee County, Oklahoma",48599,46678,39069,1027,2.63,7609,1701,22.36,2722,5.6
40041,"Delaware County, Oklahoma",42112,41649,35132,917,2.61,6517,1056,16.2,2679,6.36
40045,"Ellis County, Oklahoma",4072,4022,3332,93,2.79,690,115,16.67,298,7.32
40051,"Grady County, Oklahoma",54733,54035,47606,1048,2.2,6429,1231,19.15,2581,4.72
40119,"Payne County, Oklahoma",81512,73551,51522,1331,2.58,22029,8036,36.48,6891,8.45
40125,"Pottawatomie County, Oklahoma",72000,68939,59467,2092,3.52,9472,1491,15.74,3554,4.94
40037,"Creek County, Oklahoma",71160,70323,61231,1781,2.91,9092,1420,15.62,3797,5.34
40141,"Tillman County, Oklahoma",7515,7147,6008,145,2.41,1139,194,17.03,500,6.65
40149,"Washita County, Oklahoma",11432,11155,9538,301,3.16,1617,277,17.13,635,5.55
40033,"Cotton County, Oklahoma",5929,5799,5138,194,3.78,661,76,11.5,316,5.33
40075,"Kiowa County, Oklahoma",9001,8803,7072,207,2.93,1731,336,19.41,713,7.92
40079,"Le Flore County, Oklahoma",49909,48571,41845,1254,3.0,6726,1345,20.0,2452,4.91
40089,"McCurtain County, Oklahoma",32966,32529,28070,907,3.23,4459,601,13.48,1723,5.23
40093,"Major County, Oklahoma",7718,7609,6537,102,1.56,1072,180,16.79,471,6.1
40097,"Mayes County, Oklahoma",40980,40418,34911,1055,3.02,5507,1032,18.74,2143,5.23
40109,"Oklahoma County, Oklahoma",782051,765719,621369,17281,2.78,144350,31030,21.5,54736,7.0
40039,"Custer County, Oklahoma",29209,27555,22425,572,2.55,5130,1530,29.82,1589,5.44
36005,"Bronx County, New York",1437872,1396082,1192719,44372,3.72,203363,31178,15.33,77345,5.38
36067,"Onondaga County, New York",464242,444785,352306,10638,3.02,92479,20304,21.96,32293,6.96
36019,"Clinton County, New York",80794,73085,57415,1934,3.37,15670,3981,25.41,5444,6.74
36099,"Seneca County, New York",34612,31451,25136,999,3.97,6315,1308,20.71,2259,6.53
36079,"Putnam County, New York",99070,96447,85358,1456,1.71,11089,2117,19.09,4515,4.56
36043,"Herkimer County, New York",62505,61257,50409,1835,3.64,10848,1921,17.71,4165,6.66
36069,"Ontario County, New York",109472,105715,85828,2484,2.89,19887,3652,18.36,7333,6.7
36101,"Steuben County, New York",96927,95138,77800,2969,3.82,17338,2944,16.98,6966,7.19
36041,"Hamilton County, New York",4575,4445,4008,149,3.72,437,64,14.65,204,4.46
36013,"Chautauqua County, New York",129656,123652,99104,3105,3.13,24548,4433,18.06,9191,7.09
