"","COUNTYFP","YFips","Year","State","CountyName","TtlPrPpr","FmlPrPpr","MlPrPpr","AapiPrPpr","BlckPrPpr","LtnxPrPpr","NtvPrPpr","WhtPrPpr","TtlPrAPpr","FmlPrAPpr","MlPrAPpr","AapiPrAPpr","BlckPrAPpr","LtnxPrAPpr","NtvPrAPpr","WhtPrAPpr"
"824","19069",201619069,2016,"IA","Franklin County",210.8,NA,NA,NA,NA,NA,NA,NA,162.15,NA,NA,NA,NA,NA,NA,NA
"825","19071",201619071,2016,"IA","Fremont County",551.16,NA,NA,NA,NA,NA,NA,NA,527.2,NA,NA,NA,NA,NA,NA,NA
"826","19073",201619073,2016,"IA","Greene County",370.99,NA,NA,NA,NA,NA,NA,NA,333.89,NA,NA,NA,NA,NA,NA,NA
"827","19075",201619075,2016,"IA","Grundy County",134.3,0,263.71,NA,NA,NA,NA,82.67,67.15,NA,NA,NA,NA,NA,NA,NA
"828","19077",201619077,2016,"IA","Guthrie County",454.9,NA,NA,NA,NA,NA,NA,NA,188.24,NA,NA,NA,NA,NA,NA,NA
"829","19079",201619079,2016,"IA","Hamilton County",304.12,NA,NA,NA,NA,NA,NA,NA,206.36,NA,NA,NA,NA,NA,NA,NA
"830","19081",201619081,2016,"IA","Hancock County",363.58,NA,NA,NA,NA,NA,NA,NA,151.49,NA,NA,NA,NA,NA,NA,NA
"831","19083",201619083,2016,"IA","Hardin County",305.61,NA,NA,NA,NA,NA,NA,NA,129.65,NA,NA,NA,NA,NA,NA,NA
"832","19085",201619085,2016,"IA","Harrison County",253.54,NA,NA,NA,NA,NA,NA,NA,149.82,NA,NA,NA,NA,NA,NA,NA
"833","19087",201619087,2016,"IA","Henry County",372.42,NA,NA,NA,NA,NA,NA,NA,261.49,67.85,431.23,NA,1425.18,NA,NA,224.3
"834","19089",201619089,2016,"IA","Howard County",182.78,NA,NA,NA,NA,NA,NA,NA,109.67,NA,NA,NA,NA,NA,NA,NA
"835","19091",201619091,2016,"IA","Humboldt County",262.42,NA,NA,NA,NA,NA,NA,NA,104.97,0,208.62,0,0,0,0,110.86
"836","19093",201619093,2016,"IA","Ida County",345.08,NA,NA,NA,NA,NA,NA,NA,271.14,NA,NA,NA,NA,NA,NA,NA
"837","19095",201619095,2016,"IA","Iowa County",237.81,NA,NA,NA,NA,NA,NA,NA,158.54,NA,NA,NA,NA,NA,NA,NA
"838","19097",201619097,2016,"IA","Jackson County",291.76,68.32,504.8,NA,NA,NA,NA,285.37,125.04,NA,NA,NA,NA,NA,NA,NA
"839","19099",201619099,2016,"IA","Jasper County",442.88,139.53,708.41,NA,667.78,NA,NA,437.85,338.67,130.23,521.13,NA,NA,NA,NA,341.06
"840","19101",201619101,2016,"IA","Jefferson County",375.22,120.02,557.62,NA,1084.01,NA,NA,415.71,266.82,200.04,314.56,NA,NA,NA,NA,306.31
"841","19103",201619103,2016,"IA","Johnson County",197.1,24.51,369.8,NA,1328.54,297.25,NA,109.64,97.14,15.08,179.24,0,636.59,104.91,0,60.12
"842","19105",201619105,2016,"IA","Jones County",109.77,0,205.94,0,0,0,0,117.52,70.57,0,132.39,0,0,0,0,75.55
"843","19107",201619107,2016,"IA","Keokuk County",212.24,NA,NA,NA,NA,NA,NA,NA,130.61,NA,NA,NA,NA,NA,NA,NA
"844","19109",201619109,2016,"IA","Kossuth County",190.09,0,369.73,NA,NA,NA,NA,175.93,100.64,0,173.99,NA,NA,NA,NA,93.83
"845","19111",201619111,2016,"IA","Lee County",728.58,67.24,1339.25,NA,2757.79,508.91,NA,650.2,442.68,38.42,815.96,NA,1678.66,NA,NA,393.15
"846","19113",201619113,2016,"IA","Linn County",256.06,33.12,477.88,NA,1500.12,158.73,NA,183.11,131.47,38.64,223.83,NA,507.91,NA,NA,111.12
"847","19115",201619115,2016,"IA","Louisa County",265.62,NA,NA,NA,NA,NA,NA,NA,153.78,0,295.46,NA,NA,NA,NA,181.65
"848","19117",201619117,2016,"IA","Lucas County",501.54,159.55,821.82,NA,NA,NA,NA,497.71,231.48,159.55,298.84,NA,NA,NA,NA,218.99
"849","19119",201619119,2016,"IA","Lyon County",303.64,NA,NA,NA,NA,NA,NA,NA,130.13,NA,NA,NA,NA,NA,NA,NA
"850","19121",201619121,2016,"IA","Madison County",332.63,NA,NA,NA,NA,NA,NA,NA,241.91,80.68,402.98,0,0,0,0,251.68
"851","19123",201619123,2016,"IA","Mahaska County",497.44,149.03,823.91,NA,1346.8,NA,NA,475.53,273.95,104.32,432.9,NA,NA,NA,NA,283.79
"852","19125",201619125,2016,"IA","Marion County",516.2,58.29,959.73,NA,4109.59,NA,NA,476.79,282,68,489.27,NA,1826.48,NA,NA,255.96
"853","19127",201619127,2016,"IA","Marshall County",644.06,58.71,1197.46,NA,4847.4,525.09,4807.69,551.4,358.72,83.88,618.56,NA,3052.06,291.72,NA,298.21
"854","19129",201619129,2016,"IA","Mills County",369.24,NA,NA,NA,NA,NA,NA,NA,253.19,NA,NA,NA,NA,NA,NA,NA
"855","19131",201619131,2016,"IA","Mitchell County",206.71,0,405.74,0,0,0,0,213.32,95.4,0,187.27,0,0,0,0,98.46
"856","19133",201619133,2016,"IA","Monona County",546.55,NA,NA,NA,NA,NA,NA,NA,331.84,NA,NA,NA,NA,NA,NA,NA
"857","19135",201619135,2016,"IA","Monroe County",271.8,NA,NA,NA,NA,NA,NA,NA,83.63,NA,NA,NA,NA,NA,NA,NA
"858","19137",201619137,2016,"IA","Montgomery County",113.86,0,228.31,NA,NA,NA,NA,103.34,97.59,0,195.69,0,0,0,0,103.34
"859","19139",201619139,2016,"IA","Muscatine County",555.27,67.09,1030.48,NA,1261.83,724.79,NA,503.65,297.86,59.64,529.75,NA,788.64,310.62,NA,282.42
"860","19141",201619141,2016,"IA","O'Brien County",179.62,NA,NA,NA,NA,NA,NA,NA,155.67,NA,NA,NA,NA,NA,NA,NA
"861","19143",201619143,2016,"IA","Osceola County",165.75,0,315.13,NA,NA,NA,NA,122.06,NA,NA,NA,NA,NA,NA,NA,NA
"862","19145",201619145,2016,"IA","Page County",206.23,NA,NA,NA,NA,NA,NA,NA,164.98,NA,NA,NA,NA,NA,NA,NA
"863","19147",201619147,2016,"IA","Palo Alto County",261.78,NA,NA,NA,NA,NA,NA,NA,186.99,NA,NA,NA,NA,NA,NA,NA
"864","19149",201619149,2016,"IA","Plymouth County",219.62,NA,NA,NA,NA,NA,NA,NA,174.41,NA,NA,NA,NA,NA,NA,NA
"865","19151",201619151,2016,"IA","Pocahontas County",373.23,0,726.39,NA,NA,NA,NA,371.55,174.17,NA,NA,NA,NA,NA,NA,NA
"866","19153",201619153,2016,"IA","Polk County",723.35,152.33,1298.8,249.62,3334.08,715.05,NA,519.43,433.06,140.32,728.07,146.12,1732.28,384.39,NA,339
"867","19155",201619155,2016,"IA","Pottawattamie County",646.61,116.98,1178.76,NA,3816.79,518.84,2848.1,578.19,417.11,127.01,708.6,NA,2290.08,293.26,2848.1,372.9
"868","19157",201619157,2016,"IA","Poweshiek County",302.17,NA,NA,NA,NA,NA,NA,NA,142.69,NA,NA,NA,NA,NA,NA,NA
"869","19159",201619159,2016,"IA","Ringgold County",210.75,NA,NA,NA,NA,NA,NA,NA,140.5,NA,NA,NA,NA,NA,NA,NA
"870","19161",201619161,2016,"IA","Sac County",190.44,NA,NA,NA,NA,NA,NA,NA,86.57,NA,NA,NA,NA,NA,NA,NA
"871","19163",201619163,2016,"IA","Scott County",695.97,130.4,1267.43,NA,4128.96,578.75,NA,398.93,360.57,110.75,611.99,NA,1877.83,316.94,NA,227.96
"872","19165",201619165,2016,"IA","Shelby County",188.05,NA,NA,NA,NA,NA,NA,NA,216.98,0,432.9,NA,NA,NA,NA,212.99
"873","19167",201619167,2016,"IA","Sioux County",151.64,NA,NA,NA,NA,NA,NA,NA,68.93,NA,NA,NA,NA,NA,NA,NA
"874","19169",201619169,2016,"IA","Story County",158.45,32.58,267.92,NA,1020.86,334.59,NA,136.31,128.14,23.7,218.97,NA,710.16,418.24,NA,108.39
"875","19171",201619171,2016,"IA","Tama County",362.6,97.26,618.09,0,4878.05,420.61,1076.72,254.57,248.09,97.26,393.33,NA,NA,420.61,942.13,150.43
"876","19173",201619173,2016,"IA","Taylor County",216.86,0,429.65,NA,NA,NA,NA,210.21,NA,NA,NA,NA,NA,NA,NA,NA
"877","19175",201619175,2016,"IA","Union County",655.82,102.96,1230.28,NA,NA,NA,NA,627.44,406.61,154.44,668.63,NA,NA,NA,NA,390.41
"878","19177",201619177,2016,"IA","Van Buren County",252.82,NA,NA,NA,NA,NA,NA,NA,160.88,NA,NA,NA,NA,NA,NA,NA
"879","19179",201619179,2016,"IA","Wapello County",693.74,134.54,1236.72,NA,874.64,939.54,NA,662.46,419.78,170.42,661.91,0,874.64,449.35,0,400.68
"880","19181",201619181,2016,"IA","Warren County",270.64,62.45,482.14,NA,NA,NA,NA,261.29,173.08,31.22,317.2,NA,NA,NA,NA,165.37
"881","19183",201619183,2016,"IA","Washington County",387.31,105.34,663.62,NA,NA,637.76,NA,364.14,275.58,120.39,427.67,NA,NA,NA,NA,267.03
"882","19185",201619185,2016,"IA","Wayne County",216.16,0,428.27,0,0,0,0,223.09,NA,NA,NA,NA,NA,NA,NA,NA
"883","19187",201619187,2016,"IA","Webster County",680.88,90.97,1193.39,1215.81,3247.73,862.07,3738.32,484.6,473.65,109.16,790.33,NA,2492.45,574.71,NA,345.46
"884","19189",201619189,2016,"IA","Winnebago County",167.89,0,322.86,NA,NA,NA,NA,149.95,167.89,0,322.86,NA,NA,NA,NA,133.29
"885","19191",201619191,2016,"IA","Winneshiek County",210.05,91.02,326.51,NA,NA,NA,NA,204.66,82.52,NA,NA,NA,NA,NA,NA,NA
"886","19193",201619193,2016,"IA","Woodbury County",734.09,104.56,1356.9,225.12,3794.91,620.75,7728.12,475.07,516.92,212.19,818.4,NA,2180.06,344.86,5772.81,369.95
"887","19195",201619195,2016,"IA","Worth County",232.07,0,457,NA,NA,NA,NA,200.31,126.58,0,249.27,0,0,0,0,133.54
"888","19197",201619197,2016,"IA","Wright County",359.19,110.41,590.65,NA,NA,NA,NA,365.69,239.46,NA,NA,NA,NA,NA,NA,NA
"889","20001",201620001,2016,"KS","Allen County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","20003",201620003,2016,"KS","Anderson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","20005",201620005,2016,"KS","Atchison County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","20007",201620007,2016,"KS","Barber County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","20009",201620009,2016,"KS","Barton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","20011",201620011,2016,"KS","Bourbon County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","20013",201620013,2016,"KS","Brown County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","20015",201620015,2016,"KS","Butler County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","20017",201620017,2016,"KS","Chase County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","20019",201620019,2016,"KS","Chautauqua County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","20021",201620021,2016,"KS","Cherokee County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900","20023",201620023,2016,"KS","Cheyenne County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901","20025",201620025,2016,"KS","Clark County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902","20027",201620027,2016,"KS","Clay County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903","20029",201620029,2016,"KS","Cloud County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","20031",201620031,2016,"KS","Coffey County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905","20033",201620033,2016,"KS","Comanche County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906","20035",201620035,2016,"KS","Cowley County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907","20037",201620037,2016,"KS","Crawford County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908","20039",201620039,2016,"KS","Decatur County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909","20041",201620041,2016,"KS","Dickinson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","20043",201620043,2016,"KS","Doniphan County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","20045",201620045,2016,"KS","Douglas County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","20047",201620047,2016,"KS","Edwards County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913","20049",201620049,2016,"KS","Elk County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","20051",201620051,2016,"KS","Ellis County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","20053",201620053,2016,"KS","Ellsworth County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","20055",201620055,2016,"KS","Finney County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917","20057",201620057,2016,"KS","Ford County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","20059",201620059,2016,"KS","Franklin County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","20061",201620061,2016,"KS","Geary County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920","20063",201620063,2016,"KS","Gove County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","20065",201620065,2016,"KS","Graham County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922","20067",201620067,2016,"KS","Grant County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","20069",201620069,2016,"KS","Gray County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924","20071",201620071,2016,"KS","Greeley County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","20073",201620073,2016,"KS","Greenwood County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926","20075",201620075,2016,"KS","Hamilton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927","20077",201620077,2016,"KS","Harper County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","20079",201620079,2016,"KS","Harvey County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","20081",201620081,2016,"KS","Haskell County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930","20083",201620083,2016,"KS","Hodgeman County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931","20085",201620085,2016,"KS","Jackson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932","20087",201620087,2016,"KS","Jefferson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","20089",201620089,2016,"KS","Jewell County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","20091",201620091,2016,"KS","Johnson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935","20093",201620093,2016,"KS","Kearny County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936","20095",201620095,2016,"KS","Kingman County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","20097",201620097,2016,"KS","Kiowa County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","20099",201620099,2016,"KS","Labette County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","20101",201620101,2016,"KS","Lane County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","20103",201620103,2016,"KS","Leavenworth County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","20105",201620105,2016,"KS","Lincoln County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","20107",201620107,2016,"KS","Linn County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"943","20109",201620109,2016,"KS","Logan County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","20111",201620111,2016,"KS","Lyon County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","20113",201620113,2016,"KS","McPherson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","20115",201620115,2016,"KS","Marion County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","20117",201620117,2016,"KS","Marshall County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","20119",201620119,2016,"KS","Meade County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","20121",201620121,2016,"KS","Miami County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","20123",201620123,2016,"KS","Mitchell County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","20125",201620125,2016,"KS","Montgomery County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"952","20127",201620127,2016,"KS","Morris County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","20129",201620129,2016,"KS","Morton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"954","20131",201620131,2016,"KS","Nemaha County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955","20133",201620133,2016,"KS","Neosho County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956","20135",201620135,2016,"KS","Ness County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","20137",201620137,2016,"KS","Norton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958","20139",201620139,2016,"KS","Osage County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","20141",201620141,2016,"KS","Osborne County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"960","20143",201620143,2016,"KS","Ottawa County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"961","20145",201620145,2016,"KS","Pawnee County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"962","20147",201620147,2016,"KS","Phillips County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"963","20149",201620149,2016,"KS","Pottawatomie County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"964","20151",201620151,2016,"KS","Pratt County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"965","20153",201620153,2016,"KS","Rawlins County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","20155",201620155,2016,"KS","Reno County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967","20157",201620157,2016,"KS","Republic County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"968","20159",201620159,2016,"KS","Rice County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"969","20161",201620161,2016,"KS","Riley County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"970","20163",201620163,2016,"KS","Rooks County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"971","20165",201620165,2016,"KS","Rush County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","20167",201620167,2016,"KS","Russell County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"973","20169",201620169,2016,"KS","Saline County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"974","20171",201620171,2016,"KS","Scott County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"975","20173",201620173,2016,"KS","Sedgwick County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"976","20175",201620175,2016,"KS","Seward County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977","20177",201620177,2016,"KS","Shawnee County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"978","20179",201620179,2016,"KS","Sheridan County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"979","20181",201620181,2016,"KS","Sherman County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"980","20183",201620183,2016,"KS","Smith County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"981","20185",201620185,2016,"KS","Stafford County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","20187",201620187,2016,"KS","Stanton County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"983","20189",201620189,2016,"KS","Stevens County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"984","20191",201620191,2016,"KS","Sumner County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985","20193",201620193,2016,"KS","Thomas County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"986","20195",201620195,2016,"KS","Trego County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"987","20197",201620197,2016,"KS","Wabaunsee County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988","20199",201620199,2016,"KS","Wallace County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","20201",201620201,2016,"KS","Washington County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"990","20203",201620203,2016,"KS","Wichita County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"991","20205",201620205,2016,"KS","Wilson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"992","20207",201620207,2016,"KS","Woodson County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"993","20209",201620209,2016,"KS","Wyandotte County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994","21001",201621001,2016,"KY","Adair County",593.78,125.92,1067.22,NA,1538.46,NA,NA,548.89,451.27,141.67,764.57,NA,NA,NA,NA,447.56
"995","21003",201621003,2016,"KY","Allen County",517.74,NA,NA,NA,NA,NA,NA,NA,616.72,242.83,993.12,NA,NA,NA,NA,634.27
"996","21005",201621005,2016,"KY","Anderson County",614.39,176.15,1069.52,NA,2453.99,NA,NA,578.37,476.32,149.05,816.21,NA,1533.74,NA,NA,455.47
"997","21007",201621007,2016,"KY","Ballard County",1592.04,364.37,2778.86,NA,3465.35,NA,NA,1479.6,975.12,404.86,1526.42,NA,4455.45,NA,NA,824.35
"998","21009",201621009,2016,"KY","Barren County",708.63,177.33,1255.29,NA,2189.78,621.12,NA,637.04,456.83,226.98,693.33,NA,1216.55,NA,NA,428.63
"999","21011",201621011,2016,"KY","Bath County",781.56,129.8,1437.91,NA,NA,NA,NA,767.47,703.4,311.53,1098.04,NA,NA,NA,NA,700.15
"1000","21013",201621013,2016,"KY","Bell County",2317.33,1018.07,3617.63,NA,5154.64,NA,NA,2222.75,1985.47,1166.78,2804.81,NA,3505.15,NA,NA,1912.05
"1001","21015",201621015,2016,"KY","Boone County",591.79,210.41,972.62,NA,1670.01,499.06,NA,564.28,561.07,302.61,819.17,NA,1369.41,343.11,NA,552.39
"1002","21017",201621017,2016,"KY","Bourbon County",707.83,108.85,1320.81,NA,1984.13,NA,NA,633.54,550.53,202.15,907.07,NA,1719.58,NA,NA,497.78
"1003","21019",201621019,2016,"KY","Boyd County",768.22,193.59,1319.67,NA,3401.97,NA,NA,684.19,787.84,347.13,1210.76,0,2864.82,0,0,729.57
"1004","21021",201621021,2016,"KY","Boyle County",731.05,223.52,1206.5,0,1830.66,0,0,619.31,962.73,574.77,1326.15,0,1830.66,0,0,881.32
"1005","21023",201621023,2016,"KY","Bracken County",690.43,226.24,1145.18,0,0,0,0,709.9,559.81,452.49,664.94,0,0,0,0,575.59
"1006","21025",201621025,2016,"KY","Breathitt County",690.59,229.78,1138.14,0,0,0,0,706.75,588.7,275.74,892.66,0,0,0,0,602.48
"1007","21027",201621027,2016,"KY","Breckinridge County",902.77,258.52,1532.87,0,3956.83,0,0,850.78,750.98,339.31,1153.6,0,2877.7,0,0,717.32
"1008","21029",201621029,2016,"KY","Bullitt County",501.93,131.67,874.54,0,1481.48,634.25,0,491.97,452.87,165.53,742.03,0,1481.48,528.54,0,442.77
"1009","21031",201621031,2016,"KY","Butler County",1635.49,454.2,2775.07,NA,NA,NA,NA,1664.95,1325.73,656.07,1971.76,NA,NA,NA,NA,1355.19
"1010","21033",201621033,2016,"KY","Caldwell County",1430.97,333.5,2539.52,NA,4554.87,NA,NA,1212.12,1237.59,641.35,1839.85,NA,1863.35,NA,NA,1212.12
