name1,name2,street1,street2,city,state,zip,zip4,category,countyGEOID,countyName,source,Longitude,Latitude,
Aegis Treatment Centers LLC,NA,6500 Morro Road,Suite D,Atascadero,CA,93422,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.4837329,-120.665937,35.4837329
County of San Luis Obispo,San Luis Obispo County Drug/Alc Servs,1763 Ramada Drive,NA,Paso Robles,CA,93446,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.5914245,-120.6949214,35.5914245
Ken Starr MD Addiction Medicine Group,NA,107 Nelson Street,NA,Arroyo Grande,CA,93420,3318,buprenorphine,6079,San Luis Obispo,SAMHSA,35.1218634,-120.577802,35.1218634
San Luis Obispo County,Drug and Alcohol Services,3556 El Camino Real,NA,Atascadero,CA,93422,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.5020051,-120.6870581,35.5020051
CS II LLC,Clean and Sober Detox,8946 Madison Avenue,NA,Fair Oaks,CA,95628,NA,buprenorphine,6067,Sacramento,SAMHSA,38.6636194,-121.2220027,38.6636194
Coast Valley Worship Center,Coast Valley Substance Abuse Trt Ctr,133 North F Street,NA,Lompoc,CA,93436,NA,buprenorphine,6083,Santa Barbara,SAMHSA,34.6402373,-120.4555433,34.6402373
San Luis Obispo County,Drug and Alcohol Services,2180 Johnson Avenue,NA,San Luis Obispo,CA,93401,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.2750952,-120.6463692,35.2750952
Tikva Treatment LLC,The Haven at Pismo,944 Via Solana,NA,Arroyo Grande,CA,93420,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.0717228,-120.5950653,35.0717228
San Luis Obispo County,Drug and Alcohol Services,1523 Longbranch Street,NA,Grover Beach,CA,93433,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.1192283,-120.6126791,35.1192283
Yarmouth Comprehensive Treatment Ctr,NA,31A Workshop Road,NA,South Yarmouth,MA,2664,1814,buprenorphine,25001,Barnstable,SAMHSA,41.6867103,-70.2121586,41.6867103
Sacramento Pathway,Pathways Recovery,775 Sunrise Avenue,NA,Roseville,CA,95661,NA,buprenorphine,6061,Placer,SAMHSA,38.7325055,-121.270952,38.7325055
Haven,NA,391 Front Street,Suite F,Grover Beach,CA,93433,NA,buprenorphine,6079,San Luis Obispo,SAMHSA,35.1256509,-120.6309064,35.1256509
Aegis Treatment Centers LLC,NA,1133 Coloma Way,Suites B and C,Roseville,CA,95661,NA,buprenorphine,6061,Placer,SAMHSA,38.7366223,-121.2734358,38.7366223
Pathways Recovery,Mens Residential,1101 Kensington Drive,NA,Roseville,CA,95661,NA,buprenorphine,6061,Placer,SAMHSA,38.7268824,-121.2732543,38.7268824
Mather ARTS Outpatient Clinic,VA Nor Cal Healthcare System,10535 Hospital Way,NA,Mather,CA,95655,NA,buprenorphine,6067,Sacramento,SAMHSA,38.5730601,-121.2955155,38.5730601
Groups Recover Together,NA,265 Main Street,Suite 201,Biddeford,ME,4005,NA,buprenorphine,23031,York,SAMHSA,43.4939684,-70.4580842,43.4939684
Maine Behavioral Healthcare,NA,235 Main Street,NA,Biddeford,ME,4005,NA,buprenorphine,23031,York,SAMHSA,43.4936387,-70.4572891,43.4936387
Aegis Treatment Centers LLC,Healthy Connections,955 West Center Street,"Suite 12-A, B and 14",Manteca,CA,95337,NA,buprenorphine,6077,San Joaquin,SAMHSA,37.7994355,-121.2299952,37.7994355
BAART Behavioral Health Services Inc,Bi Valley Medical,6127 Fair Oaks Boulevard,NA,Carmichael,CA,95608,NA,buprenorphine,6067,Sacramento,SAMHSA,38.6124379,-121.3292775,38.6124379
Aegis Treatment Centers LLC,DBA Healthy Connections,441 South Ham Lane,Suite A,Lodi,CA,95242,NA,buprenorphine,6077,San Joaquin,SAMHSA,38.1284233,-121.2889667,38.1284233
Vaya Addiction Services Inc,NA,5400 Valhalla Drive,NA,Carmichael,CA,95608,NA,buprenorphine,6067,Sacramento,SAMHSA,38.6447462,-121.3388169,38.6447462
Aegis Treatment Centers LLC,5th Street Medical Clinic,1839 South El Dorado Street,NA,Stockton,CA,95206,NA,buprenorphine,6077,San Joaquin,SAMHSA,37.9330435,-121.2847624,37.9330435
Aegis Treatment Centers LLC,Healthy Connections,1947 North California Street,Suites B and C,Stockton,CA,95204,NA,buprenorphine,6077,San Joaquin,SAMHSA,37.971827,-121.2899054,37.971827
Cedar Point Recovery,NA,1099 Stewart Road,NA,Sacramento,CA,95864,NA,buprenorphine,6067,Sacramento,SAMHSA,38.5848709,-121.3579532,38.5848709
Elijah House,NA,40 Coyote Moon Trail,NA,Bangor,CA,95914,NA,buprenorphine,6007,Butte,SAMHSA,39.399398,-121.413477,39.399398
Cedar Point Recovery,NA,8950 Cal Center Drive,Suite 160,Sacramento,CA,95826,NA,buprenorphine,6067,Sacramento,SAMHSA,38.555959,-121.3743631,38.555959
Aegis Treatment Centers LLC,NA,8626 Lower Sacramento Road,Suite 41,Stockton,CA,95210,NA,buprenorphine,6077,San Joaquin,SAMHSA,38.0289002,-121.3215471,38.0289002
Choices Recovery Services LLC,NA,357 NE Court Street,NA,Prineville,OR,97754,NA,buprenorphine,41013,Crook,SAMHSA,44.3034843,-120.8449482,44.3034843
Kaiser Permanente South Sacto,Addiction Medicine and Recovery Servs,9324 West Stockton Boulevard,NA,Elk Grove,CA,95758,NA,buprenorphine,6067,Sacramento,SAMHSA,38.4181283,-121.3938709,38.4181283
Summit BHC Sacramento LLC,Valley Recovery Center of California,2221 Fair Oaks Boulevard,NA,Sacramento,CA,95825,NA,buprenorphine,6067,Sacramento,SAMHSA,38.5753531,-121.4142234,38.5753531
Sierra Vista Hospital,NA,8001 Bruceville Road,NA,Sacramento,CA,95823,NA,buprenorphine,6067,Sacramento,SAMHSA,38.4672932,-121.4170906,38.4672932
Sacramento Treatment Clinic,NA,7225 East South Gate Drive,Suite D,Sacramento,CA,95823,NA,buprenorphine,6067,Sacramento,SAMHSA,38.4947199,-121.4366453,38.4947199
MedMark Treatment Centers,Sacramento,7240 East Southgate Drive,Suite G,Sacramento,CA,95823,NA,buprenorphine,6067,Sacramento,SAMHSA,38.4943484,-121.4385797,38.4943484
BAART Behavioral Health Services Inc,NA,310 Harris Avenue,Suite A,Sacramento,CA,95838,NA,buprenorphine,6067,Sacramento,SAMHSA,38.6381226,-121.4585113,38.6381226
Discovery House,South Portland Comp Treatment Centers,400 Western Avenue,NA,South Portland,ME,4106,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6418067,-70.3292749,43.6418067
ENSO Recovery,Westbrook,406 Bridgton Road,NA,Westbrook,ME,4092,NA,buprenorphine,23005,Cumberland,SAMHSA,43.7145838,-70.334949,43.7145838
Sacramento Native American,Health Center Inc,2020 J Street,NA,Sacramento,CA,95811,NA,buprenorphine,6067,Sacramento,SAMHSA,38.5762,-121.479362,38.5762
CORE Medical Clinic Inc,NA,2100 Capitol Avenue,NA,Sacramento,CA,95816,NA,buprenorphine,6067,Sacramento,SAMHSA,38.5727311,-121.4799171,38.5727311
WellSpace Health,Counseling Center,1820 J Street,NA,Sacramento,CA,95811,NA,buprenorphine,6067,Sacramento,SAMHSA,38.5768425,-121.4816645,38.5768425
Butte County Dept of Behavioral Health,Oroville Stepping Stones,2167 Montgomery Street,NA,Oroville,CA,95966,NA,buprenorphine,6007,Butte,SAMHSA,39.514415,-121.553575,39.514415
Groups Recover Together,NA,222 Saint John Street,Suite 322,Portland,ME,4102,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6509337,-70.2794723,43.6509337
Crossroads,Back Cove Womens Residential Program,575 Forest Avenue,NA,Portland,ME,4101,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6691156,-70.2811081,43.6691156
Behavioral Health Services,Feather River Tribal Health Center,2145 5th Avenue,NA,Oroville,CA,95965,NA,buprenorphine,6007,Butte,SAMHSA,39.5036595,-121.5631101,39.5036595
Catholic Charities Maine,Substance Use and Mental Health Csl,11 Baxter Boulevard,NA,Portland,ME,4101,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6636685,-70.2713901,43.6636685
Greater Portland Health,Preble,63 Preble Street,NA,Portland,ME,4102,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6589348,-70.2615697,43.6589348
American Addiction Treatment Servs,NA,1496-1498 North Beale Road,NA,Marysville,CA,95901,NA,buprenorphine,6115,Yuba,SAMHSA,39.1265831,-121.5615238,39.1265831
Crossroads,Eating Disorder and Addiction Program,735 Washington Avenue,NA,Portland,ME,4103,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6849388,-70.2661271,43.6849388
Behavioral Health Resources of Maine,NA,48 Free Street,Mezzanine Level,Portland,ME,4101,NA,buprenorphine,23005,Cumberland,SAMHSA,43.6561255,-70.2584736,43.6561255
CommuniCare Health Centers,Behavioral Health Services,500 B Jefferson Boulevard,Suite 195,West Sacramento,CA,95605,NA,buprenorphine,6113,Yolo,SAMHSA,38.5876346,-121.5278856,38.5876346
Aegis Treatment Centers LLC,NA,201 D Street,Suite G,Marysville,CA,95901,NA,buprenorphine,6115,Yuba,SAMHSA,39.137566,-121.5883367,39.137566
CORE Medical Clinic Inc,NA,3990 Industrial Boulevard,NA,West Sacramento,CA,95691,NA,buprenorphine,6113,Yolo,SAMHSA,38.5707408,-121.5778936,38.5707408
Lakes Treatment Center Inc,The Lakes Arlington,2720 Arlington Road,NA,Hollister,CA,95023,NA,buprenorphine,6069,San Benito,SAMHSA,36.8548483,-121.3668943,36.8548483
SequelCare of Maine,Yarmouth,70 Bayview Street,NA,Yarmouth,ME,4096,6994,buprenorphine,23005,Cumberland,SAMHSA,43.8047039,-70.1727356,43.8047039
James Oldham Treatment Center,NA,201 Highland Drive,NA,Buena,WA,98921,NA,buprenorphine,53077,Yakima,SAMHSA,46.432433,-120.313182,46.432433
Catholic Charities Maine,SAMHS/Auburn Campus,24 Dunn Street,1st Floor,Auburn,ME,4210,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.0858909,-70.220304,44.0858909
Catholic Charities Maine,Saint Francis House Resid Rehab,24 Dunn Street,3rd Floor,Auburn,ME,4210,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.0858909,-70.220304,44.0858909
Grace Street Services LLC,NA,88 Oxford Street,NA,Lewiston,ME,4240,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.091853,-70.2193621,44.091853
Recovery Connections of Maine,NA,105 Middle Street,Suite 4,Lewiston,ME,4240,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.0991547,-70.2168518,44.0991547
Groups Recover Together,NA,217 Main Street,Suite 201,Lewiston,ME,4240,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.0995149,-70.2165386,44.0995149
Key 3 West Inc,Central Maine Counseling Services,369 Main Street,NA,Lewiston,ME,4240,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.1032588,-70.2123604,44.1032588
Carpe Diem Behavioral Associates Inc,Lise Carrier Pelletier,954 Lisbon Street,NA,Lewiston,ME,4240,NA,buprenorphine,23001,Androscoggin,SAMHSA,44.0823593,-70.1987835,44.0823593
BestCare Treatment Services,NA,908 NE 4th Street,Suite 101,Bend,OR,97701,NA,buprenorphine,41017,Deschutes,SAMHSA,44.059213,-121.3004493,44.059213
Bend Treatment Center,NA,155 NE Revere Avenue,Suite 150,Bend,OR,97701,NA,buprenorphine,41017,Deschutes,SAMHSA,44.0673815,-121.3042219,44.0673815
Transformations Wellness Center,NA,3647 Highway 39,NA,Klamath Falls,OR,97603,NA,buprenorphine,41035,Klamath,SAMHSA,42.193232,-121.696629,42.193232
Butte County Dept of Behavioral Health,Adult Treatment Court Chico,560 Cohasset Road,Suite 165,Chico,CA,95926,NA,buprenorphine,6007,Butte,SAMHSA,39.7526032,-121.8481661,39.7526032
Aegis Treatment Centers LLC,NA,"584, 588 and 590 Rio Lindo Avenue",NA,Chico,CA,95926,NA,buprenorphine,6007,Butte,SAMHSA,39.754339,-121.848298,39.754339
CommuniCare Health Centers,Behavioral Health Services,215 West Beamer Street,NA,Woodland,CA,95695,NA,buprenorphine,6113,Yolo,SAMHSA,38.684849,-121.793875,38.684849
Santa Clara Cnty Dept of Alc/Drug Serv,South County Clinic,90 Highland Avenue,Building J,San Martin,CA,95046,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.0734098,-121.6046248,37.0734098
Mid Coast/Parkview Health,Addiction Resource Center,66 Baribeau Drive,Suites 9-10,Brunswick,ME,4011,NA,buprenorphine,23005,Cumberland,SAMHSA,43.8977024,-69.9791195,43.8977024
Addiction Research and Treatment Inc,(ART/Bay Area Add Research and Trt,3707 Sunset Lane,NA,Antioch,CA,94509,NA,buprenorphine,6013,Contra Costa,SAMHSA,37.9845552,-121.8038111,37.9845552
Livermore VAMC,NA,4951 Arroyo Road,NA,Livermore,CA,94550,NA,buprenorphine,6001,Alameda,SAMHSA,37.6255203,-121.7631187,37.6255203
Kennebec Behavioral Health,NA,736 Old Lewiston Road,NA,Winthrop,ME,4364,NA,buprenorphine,23011,Kennebec,SAMHSA,44.296956,-69.9843667,44.296956
Valley Health Associates,NA,338 Monterey Street,NA,Salinas,CA,93901,NA,buprenorphine,6053,Monterey,SAMHSA,36.6725678,-121.6538215,36.6725678
Community Human Services,Off Main Clinic,1083 South Main Street,NA,Salinas,CA,93901,NA,buprenorphine,6053,Monterey,SAMHSA,36.6601731,-121.6580319,36.6601731
Kaiser Permanente San Jose,Addiction Medicine and Recovery Servs,275 Hospital Parkway,Suite 370,San Jose,CA,95119,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.2401176,-121.80103,37.2401176
Janus South County,NA,284 Pennsylvania Avenue,Suite 1,Watsonville,CA,95076,NA,buprenorphine,6087,Santa Cruz,SAMHSA,36.9186994,-121.7708782,36.9186994
Santa Clara Cnty Dept of Alc/Drug Serv,Alexian Health Clinic,2101 Alexian Drive,Suites A and B,San Jose,CA,95116,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.359662,-121.8482995,37.359662
Addiction Specialists PC,NA,2540 U.S. Route 202,NA,Winthrop,ME,4364,3072,buprenorphine,23011,Kennebec,SAMHSA,44.3233936,-69.8871635,44.3233936
Bright Heart Health,NA,2603 Camino Ramon,Suite 200,San Ramon,CA,94583,NA,buprenorphine,6013,Contra Costa,SAMHSA,37.7682073,-121.9594308,37.7682073
Archway Recovery Services Inc,NA,1525 Union Avenue,NA,Fairfield,CA,94533,5049,buprenorphine,6095,Solano,SAMHSA,38.2580293,-122.04075,38.2580293
MedMark Treatment Centers,Fairfield,1143 Missouri Street,NA,Fairfield,CA,94533,NA,buprenorphine,6095,Solano,SAMHSA,38.2478983,-122.0482758,38.2478983
Diablo Valley Drug and,Alcohol Services,100 Park Place,Suite 120,San Ramon,CA,94583,NA,buprenorphine,6013,Contra Costa,SAMHSA,37.772526,-121.9895681,37.772526
Recovery Management Services Inc,Crossroads Treatment Center,2449 Pacheco Street,NA,Concord,CA,94520,2019,buprenorphine,6013,Contra Costa,SAMHSA,37.9803948,-122.0316472,37.9803948
Santa Clara Cnty Dept of Alc/Drug Serv,Central Valley Methadone Clinic,2425 Enborg Lane,NA,San Jose,CA,95128,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.3114077,-121.936942,37.3114077
Perinatal Substance Abuse Program,(PSAP,2425 Enborg Lane,NA,San Jose,CA,95128,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.3114077,-121.936942,37.3114077
MaineGeneral,Residential Services for Men,2093 Belgrade Road,NA,Augusta,ME,4330,NA,buprenorphine,23011,Kennebec,SAMHSA,44.3957603,-69.8027355,44.3957603
MaineGeneral,Residential Services for Women,9 Spruce Street,NA,Augusta,ME,4330,NA,buprenorphine,23011,Kennebec,SAMHSA,44.3143734,-69.7676404,44.3143734
Groups Recover Together,NA,24 Stone Street,Unit 203,Augusta,ME,4330,NA,buprenorphine,23011,Kennebec,SAMHSA,44.3147922,-69.7674491,44.3147922
Kennebec Behavioral Health,NA,66 Stone Street,NA,Augusta,ME,4330,NA,buprenorphine,23011,Kennebec,SAMHSA,44.3125437,-69.7649704,44.3125437
Kaiser Permanente Medical Group,Addiction Medicine and Recovery Servs,19000 East Homestead Road,"1st Floor, Building 1",Cupertino,CA,95014,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.3368055,-122.0044265,37.3368055
Anglez Behavioral Health,NA,841 Riverside Drive,NA,Augusta,ME,4330,8302,buprenorphine,23011,Kennebec,SAMHSA,44.36675,-69.7304022,44.36675
Martinez ARTS Outpatient Clinic,VA Nor Cal Healthcare System,150 Muir Road,Building 24,Martinez,CA,94553,NA,buprenorphine,6013,Contra Costa,SAMHSA,37.9942101,-122.1153518,37.9942101
Los Gatos Medical Center Inc,Drug and Alcohol Recovery Center,16421 Greenwood Lane,NA,Los Gatos,CA,95030,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.2296054,-122.0034906,37.2296054
MedMark Treatment Centers,Hayward,795 Fletcher Lane,NA,Hayward,CA,94544,NA,buprenorphine,6001,Alameda,SAMHSA,37.6654233,-122.0803345,37.6654233
Kaiser Permanente,Addiction Medicine and Recovery Servs,3551 Whipple Road,Building C,Union City,CA,94587,NA,buprenorphine,6001,Alameda,SAMHSA,37.6057146,-122.0830376,37.6057146
Beacon House,NA,468 Pine Avenue,NA,Pacific Grove,CA,93950,NA,buprenorphine,6053,Monterey,SAMHSA,36.61793505,-121.9157075,36.61793505
HAART Hayward,NA,20094 Mission Boulevard,NA,Hayward,CA,94541,NA,buprenorphine,6001,Alameda,SAMHSA,37.6871699,-122.1022338,37.6871699
Janus Community Clinic,NA,1000 Emeline Avenue,Suite A,Santa Cruz,CA,95060,NA,buprenorphine,6087,Santa Cruz,SAMHSA,36.9901448,-122.0166481,36.9901448
HAART,NA,10850 MacArthur Boulevard,Suite 200,Oakland,CA,94605,NA,buprenorphine,6001,Alameda,SAMHSA,37.741429,-122.149694,37.741429
Discovery House,CTC Waterville,40 Airport Road,NA,Waterville,ME,4901,4533,buprenorphine,23011,Kennebec,SAMHSA,44.5407015,-69.6738174,44.5407015
Lifeline Treatment Services Inc,NA,10429 International Boulevard,NA,Oakland,CA,94603,NA,buprenorphine,6001,Alameda,SAMHSA,37.739249,-122.167124,37.739249
Mid Coast/Parkview Health,Addiction Resource Center,20 Bristol Road,NA,Damariscotta,ME,4543,NA,buprenorphine,23015,Lincoln,SAMHSA,44.0307868,-69.5291424,44.0307868
Aegis Treatment Centers LLC,NA,1147 Hartnell Avenue,NA,Redding,CA,96002,2113,buprenorphine,6089,Shasta,SAMHSA,40.5634201,-122.3502186,40.5634201
MaineGeneral,Intensive Outpatient Program,24 Chase Avenue,Seton Center for MH and SA Services,Waterville,ME,4901,NA,buprenorphine,23011,Kennebec,SAMHSA,44.550954,-69.6576544,44.550954
VA Palo Alto Healthcare System,Addiction Treatment Service,3801 Miranda Avenue,Unit 116-A/ATS,Palo Alto,CA,94304,NA,buprenorphine,6085,Santa Clara,SAMHSA,37.4056038,-122.1401885,37.4056038
Redding VA Outpatient Clinic,Mental Health and ARTS,351 Hartnell Avenue,NA,Redding,CA,96002,NA,buprenorphine,6089,Shasta,SAMHSA,40.5652859,-122.3669191,40.5652859
Kennebec Behavioral Health,NA,67 Eustis Parkway,NA,Waterville,ME,4901,NA,buprenorphine,23011,Kennebec,SAMHSA,44.5642935,-69.6458814,44.5642935
MedMark Treatment Centers,Vallejo,1628 Broadway Street,NA,Vallejo,CA,94590,NA,buprenorphine,6095,Solano,SAMHSA,38.1248657,-122.2497686,38.1248657
Kaiser Permanente,Chemical Dependency Recovery Program,800 Sereno Drive,NA,Vallejo,CA,94589,NA,buprenorphine,6095,Solano,SAMHSA,38.1285123,-122.2511202,38.1285123
Blue Sky Counseling,NA,10 Common Street,NA,Waterville,ME,4901,6611,buprenorphine,23011,Kennebec,SAMHSA,44.5492217,-69.628927,44.5492217
Kennebec Behavioral Health,Substance Abuse Treatment Services,5 Commerce Drive,NA,Skowhegan,ME,4976,1828,buprenorphine,23025,Somerset,SAMHSA,44.7620839,-69.6882579,44.7620839
Addiction Research and Treatment Inc,(ART,1124 International Boulevard,NA,Oakland,CA,94606,NA,buprenorphine,6001,Alameda,SAMHSA,37.791197,-122.2483062,37.791197
New Bridge Foundation Inc,Helios,1816 Scenic Avenue,NA,Berkeley,CA,94709,NA,buprenorphine,6001,Alameda,SAMHSA,37.87592953,-122.2623396,37.87592953
Kaiser Permanente,Addiction Medicine and Recovery Servs,380 West MacArthur Boulevard,NA,Oakland,CA,94609,NA,buprenorphine,6001,Alameda,SAMHSA,37.8253844,-122.2608248,37.8253844
MPI Treatment Services,Sutter Health,3012 Summit Street,5th Floor,Oakland,CA,94609,NA,buprenorphine,6001,Alameda,SAMHSA,37.8194841,-122.2641652,37.8194841
VA Oakland Behavioral Health Clinic,NA,525 21st Street,NA,Oakland,CA,94612,NA,buprenorphine,6001,Alameda,SAMHSA,37.8099886,-122.2706146,37.8099886
Berkeley Addiction Treatment Services,NA,2975 Sacramento Street,NA,Berkeley,CA,94702,NA,buprenorphine,6001,Alameda,SAMHSA,37.8538471,-122.2788122,37.8538471
Lifelong Medical/EBCRP,Project Pride Residential Program,2545 San Pablo Avenue,NA,Oakland,CA,94612,NA,buprenorphine,6001,Alameda,SAMHSA,37.8162694,-122.2754686,37.8162694
Addiction Research and Treatment Inc,(ART,1313 Cutting Boulevard,NA,Richmond,CA,94804,NA,buprenorphine,6013,Contra Costa,SAMHSA,37.9254239,-122.3565822,37.9254239
Foundations San Francisco,NA,1700 Montgomery Street,Suite 435,San Francisco,CA,94111,NA,buprenorphine,6075,San Francisco,SAMHSA,37.8055017,-122.4051826,37.8055017
Bayview Hunters Point Foundation,Substance Abuse Programs,1625 Carroll Avenue,NA,San Francisco,CA,94124,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7250938,-122.3941174,37.7250938
Fort Help LLC,NA,915 Bryant Street,NA,San Francisco,CA,94103,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7738627,-122.404903,37.7738627
Zuckerberg San Francisco General,Opiate Treatment Outpatient Program,1001 Potrero Avenue,"Building 90, 3rd Floor",San Francisco,CA,94110,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7557265,-122.4047381,37.7557265
San Francisco AIDS Foundation,Substance Health Services/Stonewall,1035 Market Street,Suite 400,San Francisco,CA,94103,2042,buprenorphine,6075,San Francisco,SAMHSA,37.7812517,-122.410873,37.7812517
City and County of San Francisco,OBIC,1380 Howard Street,2nd Floor,San Francisco,CA,94103,2638,buprenorphine,6075,San Francisco,SAMHSA,37.7745194,-122.4144185,37.7745194
BAART Programs,Turk Street Clinic and FACET Program,433 Turk Street,NA,San Francisco,CA,94102,NA,buprenorphine,6075,San Francisco,SAMHSA,37.78222,-122.4163013,37.78222
Addiction Research and Treatment Inc,(ART,433 Turk Street,NA,San Francisco,CA,94102,NA,buprenorphine,6075,San Francisco,SAMHSA,37.78222,-122.4163013,37.78222
Fort Help Mission,NA,1101 Capp Street,NA,San Francisco,CA,94110,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7488723,-122.4168622,37.7488723
Joe Healy Detoxification Program,NA,101 Gough Street,NA,San Francisco,CA,94102,NA,buprenorphine,6075,San Francisco,SAMHSA,37.77422,-122.42275,37.77422
Ohlhoff Recovery Programs,Skip Byron Primary,601 Steiner Street,NA,San Francisco,CA,94117,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7748675,-122.4330549,37.7748675
Ohlhoff Recovery Programs,Henry Ohlhoff House,601 Steiner Street,NA,San Francisco,CA,94117,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7748675,-122.4330549,37.7748675
San Francisco AIDS Foundation,Stonewall Project Castro SA,470 Castro Street,NA,San Francisco,CA,94114,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7613551,-122.4352029,37.7613551
Reflections Detox Facility,NA,10 Lockton Lane,NA,Novato,CA,94945,NA,buprenorphine,6041,Marin,SAMHSA,38.1130031,-122.5175835,38.1130031
Marin Treatment Center,Outpatient Services,1466 Lincoln Avenue,NA,San Rafael,CA,94901,NA,buprenorphine,6041,Marin,SAMHSA,37.980159,-122.521834,37.980159
Duffys Napa Valley Rehab,NA,3076 Myrtledale Road,NA,Calistoga,CA,94515,NA,buprenorphine,6055,Napa,SAMHSA,38.596428,-122.597782,38.596428
Veterans Affairs Medical Center,Addiction Recovery Treatment Services,4150 Clement Street,NA,San Francisco,CA,94121,NA,buprenorphine,6075,San Francisco,SAMHSA,37.7820065,-122.5050511,37.7820065
Maine Behavioral Healthcare,NA,12 Union Street,NA,Rockland,ME,4841,NA,buprenorphine,23013,Knox,SAMHSA,44.1013636,-69.11124,44.1013636
Groups Recover Together,NA,91 Camden Street,Suite 211,Rockland,ME,4841,NA,buprenorphine,23013,Knox,SAMHSA,44.1168626,-69.1031097,44.1168626
PARC Program,Pen Bay Medical Center,6 Glen Cove Drive,NA,Rockport,ME,4856,NA,buprenorphine,23013,Knox,SAMHSA,44.1441064,-69.0842266,44.1441064
Womens Recovery Services,A Unique Place,98 Hendley Street,NA,Santa Rosa,CA,95404,NA,buprenorphine,6097,Sonoma,SAMHSA,38.4377553,-122.7085085,38.4377553
Drug Abuse Alternatives Center (DAAC,Turning Point,440 Arrowood Drive,NA,Santa Rosa,CA,95407,NA,buprenorphine,6097,Sonoma,SAMHSA,38.4213413,-122.7181154,38.4213413
Serenity Knolls Treatment Center,Chemical Dependency Recovery Program,145 Tamal Road,NA,Forest Knolls,CA,94933,NA,buprenorphine,6041,Marin,SAMHSA,38.0177772,-122.6926106,38.0177772
Sonoma Cnty Indian Health Project,Behavioral Health Department,144 Stony Point Road,NA,Santa Rosa,CA,95401,NA,buprenorphine,6097,Sonoma,SAMHSA,38.4406188,-122.743663,38.4406188
Mayo Regional Hospital,Counseling Program,69 High Street,NA,Dover Foxcroft,ME,4426,NA,buprenorphine,23021,Piscataquis,SAMHSA,45.181828,-69.226594,45.181828
Allied Health Services,Medford,777 Murphy Road,NA,Medford,OR,97504,NA,buprenorphine,41029,Jackson,SAMHSA,42.3148833,-122.8284211,42.3148833
VA South OR Rehab Ctr and Clinics,NA,8495 Crater Lake Highway,NA,White City,OR,97503,NA,buprenorphine,41029,Jackson,SAMHSA,42.4420704,-122.8396905,42.4420704
Sonoma Recovery Services LLC,Olympia House,11207 Valley Ford Road,NA,Petaluma,CA,94952,NA,buprenorphine,6097,Sonoma,SAMHSA,38.3043114,-122.8480484,38.3043114
Addictions Recovery Center,NA,1003 East Main Street,NA,Medford,OR,97504,NA,buprenorphine,41029,Jackson,SAMHSA,42.328598,-122.8613558,42.328598
SequelCare of Maine,Searsport,321 West Main Street,Suite 101,Searsport,ME,4974,NA,buprenorphine,23027,Waldo,SAMHSA,44.4346086,-68.9510059,44.4346086
Addictions Recovery Center,Rogue Valley Fresh Start Detox,338 North Front Street,NA,Medford,OR,97501,NA,buprenorphine,41029,Jackson,SAMHSA,42.329249,-122.8757038,42.329249
Azure Acres Recovery Center,CRC Health,2264 Green Hill Road,NA,Sebastopol,CA,95472,NA,buprenorphine,6097,Sonoma,SAMHSA,38.4127712,-122.9010152,38.4127712
Winterport Community Health Center,NA,775 North Main Street,NA,Winterport,ME,4496,NA,buprenorphine,23027,Waldo,SAMHSA,44.6437092,-68.8402838,44.6437092
Discovery House,Bangor Comprehensive Trt Ctr,74 Dowd Road,NA,Bangor,ME,4401,NA,buprenorphine,23019,Penobscot,SAMHSA,44.7830551,-68.8252393,44.7830551
Wellspring Inc,Infinity House Women and Childrens,- - -,NA,Bangor,ME,4401,NA,buprenorphine,23019,Penobscot,SAMHSA,44.8521,-68.8311,44.8521
