Name1,Name2,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,ID
RIDGEVIEW INSTITUTE,DRUG AND ALCOHOL PROGRAM,3995 SOUTH COBB DRIVE,,,SMYRNA,GA,30081.0,,Alcoholism/Drug,5296GA30081
VISTA HALL,OGEECHEE OUTPATIENT PROGRAM,236 VISTA CIRCLE,P.O. BOX 694,,STATESBORO,GA,30458.0,(912)764-6129,Alcoholism/Drug,5135GA30458
WILLINGWAY HOSPITAL,METHADONE TREATMENT UNIT,311 JONES MILL ROAD,P.O.BOX 508,,STATESBORO,GA,30458.0,,Alcoholism/Drug,2941GA30458
SWAINSBORO DRUG SERVICE,OGEECHEE ALCOHOL & DRUG CLINIC,314 NORTH MAIN STREET,P.O. BOX 1110,,SWAINSBORO,GA,30401.0,(912)237-9994,Alcoholism/Drug,6631GA30401
JOHN D ARCHBOLD CMHC,,GORDON AVENUE,P.O. BOX 1018,,THOMASVILLE,GA,31792.0,(912)228-2331,Alcoholism/Drug,8859GA31792
MIDSTEP,INTENSIVE RESIDENTIAL TREATMENT CENTER,283 LOVE AVENUE,P.O. BOX 1706,,TIFTON,GA,31794.0,(912)386-3537,Alcoholism/Drug,9887GA31794
DISTRICT A & D PROGRAM,,901 NORTH TOOMBS STREET,,,VALDOSTA,GA,31601.0,(912)247-3458,Alcoholism/Drug,1789GA31601
HODAC,WARNER ROBINS OUTPATIENT,P.O. BOX 1004,,,WARNER ROBINS,GA,31099.0,(912)922-4144,Drug,8332GA31099
SATILLA AREA SUBSTANCE ABUSE,TREATMENT PROGRAM,100 SCREVEN AVENUE,,,WAYCROSS,GA,31501.0,(912)285-7324,Alcoholism/Drug,0958GA31501
HALE O ULU,,91-1841D FORT WEAVER ROAD,P.O. BOX 1178,,EWA,HI,96706.0,(808)681-3121,Drug,3394HI96706
ALOHA WOMENS,TREATMENT SERVICES PROGRAM,,RR l,BOX 199,"HAIKU, MAUI",HI,96708.0,(808)572-8269,Alcoholism/Drug,4435HI96708
AWARENESS HOUSE INC,,305 WAILUKU DRIVE,,,HILO,HI,96720.0,(808)961-4771,Alcoholism/Drug,5558HI96720
ALTERNATIVES FOR YOUTH,KALIHI YMCA,1335 KALIHI STREET,,,HONOLULU,HI,96819.0,(808)847-0111,Drug,8984HI96819
DRUG ADDICTION SERVICES OF HAWAII,(DASH),2678 KILIHAU STREET,,,HONOLULU,HI,96819.0,(808)836-2330,Drug,4338HI96819
KALIHI PALAMA COUNSELING SERVICE,SUBSTANCE ADUSE UNIT,419 WAIAKAMILO ROAD,ROOM 202,,HONOLULU,HI,96817.0,(808)848-0741,Alcoholism/Drug,9353HI96817
NUUAllU YMCA,DETACHED COUNSELORS PROGRAM,1441 PALI HIGHWAY,,,HONOLULU,HI,96813.0,(808)536-3556,Drug,9343HI96813
PALAMA SETTLEMENT,IN COMMUNITY TREATMENT CENTER,810 NORTH VINEYARD BOULEVARD,,,HONOLULU,HI,96817.0,(808)845-3945,Drug,5720HI96817
SALVATION ARMY ADDICTION TREATMENT,FACILITY EXTEtlDED CARE PROG,3624 WAOKANAKA STREET,,,HONOLULU,HI,96817.0,(808)595-6371,Alcoholism/Drug,6970HI96817
THE SALVATION ARMY,WOMENS SERVICES UNIT,3624 WAOKANAKA STREET,,,HO�OLULU,HI,96817.0,(808)595-6371,Alcoholism/Drug,3093HI96817
YMCA OF HONOLULU,KUKULU KUMUHANA PROJECT,1441 PALI HIGHWAY,,,HONOLULU,HI,96813.0,(808)536-0957,Drug,2782HI96813
WINDWARD YMCA,DETACHED COUNSELORS PROGRAM,1200 KAILUA ROAD.,,,KAILUA,HI,96734.0,(808)262-5857,Drug,4259HI96734
THE HABILITAT INC,,45035 KUHONU PLACE,,,KANEOHE,HI,96744.0,(808)235-3691,Alcoholism/Drug,4122HI96744
THE SHELTER,,6105 OPAEKAA ROAD,,,"KAPAA, KAUAI",HI,96746.0,(808)822-1748,Alcoholism/Drug,1213HI96746
KAUAI OUTREACH PROGRAM,,4396 RICE STREET,,,LIHUE KAUAI,HI,96766.0,(808)245-3071,Alcoholism/Drug,2238HI96766
WAIANAE RAP CENTER,,85134 PLANTATION ROAD,,,WAIANAE,HI,96792.0,(808)537-2917,Alcoholism/Drug,2949HI96792
MAUI NO KA OI,,200 SOUTH HIGH STREET,OFFICE OF THE MAYOR,,WAILUKU MAUI,HI,96793.0,(808)877-5910,Drug,3234HI96793
TWIN FALLS,BOISE,,REGION V SUBSTANCE ABUSE SERVICES,REGION IV SUBSTANCE ABUSE SERVICES 149 THIRD AVENUE EAST,600 HORTH CURTIS TWIN FALLS,ID,83301.0,,Alcoholism/Orug,8225ID83301
REGION III SUBSTANCE ABUSE SERVICES,,107 POPLAR,,,CALDl�ELL,ID,83605.0,(208)454-0421,Alcoholism/Drug,9563ID83605
REGION I SUBSTANCE ABUSE SERVICES,,1120 IROMWOOD DRIVE,,,COEUR D'ALENE,ID,83814.0,(208)667-3461EXT.213,Alcoholism/Drug,6115ID83814
ATTITUDE AWARENESS CENTER,,280 SOUTH HOLMES,,,IDAHO FALLS,ID,83401.0,(208)523-6666,Alcoholism/Drug,5695ID83401
REGION VII SUBSTANCE ABUSE SERVICES,,150 SHOUP AVENUE,,,IDAHO FALLS,ID,83401.0,(208)525-7050,Alcoholism/Drug,0833ID83401
REGION II SUBSTANCE ABUSE SERVICES,,1118 F STREET,,,LEWISTON,ID,83501.0,(208)746-2651EXT.400,Alcoholism/Drug,4842ID83501
COEUR D ALENE,TRIBAL SUBSTANCE ABUSE CENTER,,,,PLUMMER,ID,83851.0,(208)274-2421,"Alcohol,sm/Drug",2857ID83851
REGION VI SU9STANCE ABUSE SERVICES,,427 NORTH MAIN 1,SUITE A,,POCATELLO,ID,83201.0,(208)236-6035,Alcoholism/Drug,8061ID83201
CARLINVILLE CENTER FOR ADDICTIVE PROBLEMS,ALTON 609 NORTH WELLS,,,,MACOUPIN COUNTY MENTAL HEALTH CENTER CHICAGO,IL,60610.0,,Alcoholism/Drug,8610IL60610
BLOOMINGTON CENTRAL EAST ALCOHOLISM AND FAMILY GUIDANCE CENTER INC,DRUG COUNCIL CHICAGO UNIT,MC LEAN COUNTY ALCOHOL AND DRUG 635 DIVISION STREET 12 EAST WALTON STREET,,,ASSISTANCE UNIT INC P.O. BOX 532 • CHICAGO,IL,60611.0,,Drug,5283IL60611
INTERVENTIONS,CROSSROADS YOUTH SERVICES,3738 WEST 103RD STREET,SYCAMORE HALL BLDG 22 P.O. BOX 428,,CHICAGO,IL,60655.0,(312)239-1400,Drug,2946IL60655
INTERVENTIONS,NORTHSIDE OUTPATIENT CLINIC,2723 NORTH CLARK STREET,1ST AND 2ND FLOORS,,CHICAGO,IL,60614.0,(312)525-3250,Drug,5514IL60614
MIDWAY REHABILITATION SERVICES,DRUG ABUSE OUTPATIENT PROGRAM,11352 SOUTH STATE STREET,,,CHICAGO,IL,60626.0,(312)995-6943EXT.6287,Drug,1194IL60626
NEW DAY YOUTH PROJECT,YOUTH FAMILY PROGRAM,4622 SOUTH KING DRIVE,2ND FLOOR,,CHICAGO,IL,60653.0,(312)373-3400EXT.28,Drug,7812IL60653
NORTHERN DISTRICT OF ILLINOIS U S,PROBATION OFFICE DRUG AFTERCARE SERV,219 SOUTH DEARBORN STREET,ROON 1100,,CHICAGO,IL,60604.0,(312)435-5700,Drug,6828IL60604
NORTHSIDE WOMENS PROJECT,,2723 NORTH CLARK,1ST AND 2ND FLOORS,,CHICAGO,IL,60614.0,(312)525-3250,Drug,8214IL60614
NORTHWEST YOUTH OUTREACH DRUG ABUSE,,STREET TREATMEtff C YNCA l,6417 WEST IRVING PARK ROAD,,CHICAGO,IL,60634.0,(312)777-7112,Alcoholism/Drug,1050IL60634
NORTHWESTERN MEM HOSP PSYCHIATRY INST,NORTHWESTERN DRUG DEPENDENCE PROGRAM,320 EAST HURON STREET,ROOM 220,,CHICAGO,IL,60611.0,(312)649-8713,Drug,0889IL60611
NORTHWESTERN PERINATAL,ADDICTION P�OGRAM,320 EAST HURON,,,CHICAGO,IL,60611.0,(312)649-8713,Drug,6659IL60611
PRAIRIE AVENUE RESEA.RCH CLINIC,,2126 SOUTH PRAIRIE AVENUE,,,CHICAGO,IL,60616.0,(312)225-1400,Drug,4394IL60616
SAFARI TRAINING AND HUMAN SERVICES INC,DAY ONE INPATIENT,1124 EAST 132ND STREET,,,CHICAGO,IL,60627.0,(312)568-7867,Drug,7633IL60627
SAFARI TRAINING AND HUMAN SERVICES INC,DAY ONE OUTPATIENT,1124 EAST 132ND STREET,,,CHICAGO,IL,60627.0,(312)568-7867,Drug,7633IL60627
SAFARI TRAINING AND HUMAN SERVICES INC,OUTPATIENT UNIT,140 WEST 62ND STREET,,,CHICAGO,IL,60621.0,(312)955-4440,Drug,2359IL60621
SAFARI TRAINING AND HUMAN SERVICES INC,RESIDENTIAL UNIT,140 WEST 62ND STREET,,,CHICAGO,IL,60621.0,(312)955-4440,Drug,2359IL60621
SPECIAL TREATMENT UNIT,,125 EAST 21ST STREET,1ST FLOOR,,CHICAGO,IL,60616.0,(312)842-7894EXT.31,Drug,0461IL60616
SUBSTANCE ABUSE SERVICES INC,BROTHERHOOD,2100 SOUTH INDIANA,1ST FLOOR,,CHICAGO,IL,60616.0,(312)842-7716,Drug,8813IL60616
TAPESTRY,,1105 EAST 63RD STREET,,,CHICAGO,IL,60637.0,(312)324-2551,Drug,4694IL60637
THE SPECIAL WOMENS PROJECT,,140 WEST 62ND STREET,,,CHICAGO,IL,60621.0,(320)955-4440,Drug,9312IL60621
UPTOWN COMMUNITY CLINIC,,4536 NORTH BROADWAY,,,CHICAGO,IL,60640.0,(312)728-1604,Drug,0036IL60640
WEST SIDE ORGANIZATION HEALTH SERVICES,CORP - WSO DRUG ABUSE & REHAB PROJ,,1480.SOUTH INDIANA,,CHICAGO,IL,60605.0,(312)663-5150,Drug,1066IL60605
ALCOHOLISM AND DRUG DEPENDENCE COUNCIL,CADDCO) METHADONE TREATMENT PROGRAM,2301 STATE STREET,,,EAST SAINT LOUIS,IL,62205.0,(618)874-6388,Drug,0649IL62205
ALCOHOLISM AND DRUG DEPENDENCE COUNCIL,IADDCOl SPECIAL SERVICE CENTER,2501 RIDGE AVENUE,,,EAST SAINT LOUIS,IL,62205.0,(618)875-6300EXT.21,Alcoholism/Drug,8970IL62205
ALCOHOLISM AND DRUG DEPENDENCE COUNCIL,CADDCOl THERAPEUTIC COMMUNITY,2501 RIDGE AVENUE,,,EAST SAINT LOUIS,IL,62208.0,(618)875-6300EXT.34,Drug,8970IL62208
CEFS ECONOMIC OPPORTUNITY CORPORATION,DRUG ABUSE REHABILITATION PROGRAM,813 1/2 NORTH THIRD STREET,P.O. BOX 928,,EFFINGHAM,IL,62401.0,(217)342-2193,Drug,8307IL62401
COMMUNITY cot�CERN FOR,ALCOHOLISM AND DRUG ABUSE,35 FOUNTAIN SQUARE PLAZA,SUITE 304,,ELGIN,IL,60120.0,(312)742-3545,Alcoholism/Drug,7320IL60120
PASSAGE,,695 SOUTH STATE STREET,,,ELGIN,IL,60120.0,(312)888-8315,Drug,3528IL60120
SPOON RIVER CMHC,KNOX COUNTY CLINIC,695 NORTH KELLOGG STREET,ROOM 313 EE,,GALESBURG,IL,61401.0,(309)343-5131,Alcoholism/Drug,3399IL61401
FAMILY GUIDANCE CENTER INC,GLENVIEW UNIT,940 PINE,,,GLENVIEW,IL,60025.0,(312)724-3450,Alcoholism/Drug,5207IL60025
CENTER FOR HUMAN DEVELOPMENT,FOUNDATION I,14725 DIXIE HIGHWAY,,,HARVEY,IL,60426.0,(312)339-8861,Drug,6717IL60426
IMAGINE,,14725 DIXIE HIGHWAY,,,HARVEY,IL,60426.0,(312)339-8861,Drug,7987IL60426
JACKSON AREA COUNCIL ON ALCOHOLISM,ALCOHOL AND DRUG ABUSE PROGRAM,601 EAST MORTON AVENUE,,,JACKSONVILLE,IL,62650.0,(217)243-1871,Alcoholism/Drug,5554IL62650
DRUG COORDINATION & INFO COUNCIL,OMEGA I,1255 EAGLE STREET,,,JOLIET,IL,60432.0,(815)727-6488,Drug,8593IL60432
DRUG COUNSELING SERVICE,,1255 EAGLE STREET,ROOM 208-210,,JOLIET,IL,60432.0,(815)727-4611,Drug,6267IL60432
JOLIET PROJECT,,P.O. BOX 515,,,JOLIET,IL,60432.0,(312)663-9200,Drug,7816IL60432
KANKAKEE DRUG ABUSE REHAB CENTER INC,HOPE,700 EAST COURT STREET,,,KANKAKEE,IL,60901.0,(815)939-0125,Drug,1143IL60901
KANKAKEE DRUG ABUSE REHAB CENTER INC,THRESHOLD,110 SOUTH GREENWOOD,,,KANKAKEE,IL,60901.0,(815)939-0125,Drug,5439IL60901
GATEWAY HOUSES FOUNDATION INC,LAKE VILLA FACILITY,512 CEDARCREST LANE,,,LAKE VILLA,IL,60046.0,(312)356-8205,Drug,7390IL60046
U.S. PENITENTIARY,THE DRUG UNIT,,BOX 2000,,MARION,IL,62959.0,(618)964-1441EXT.227,Drug,0616IL62959
HEALTH IMPROVEMENT PROGRAM,(HIP HOUSE l,308 SOUTH FIFTH AVENUE,,,MAYWOOD,IL,60153.0,(312)343-1276,Drug,1612IL60153
SPOON RIVER CMHC,HENDERSON/WARREN CLINIC,1000 WEST HARLEM,,,MONMOUTH,IL,61462.0,(309)734-9461,Alcoholism/Drug,8465IL61462
COMPREHENSIVE DRUG ABUSE,TREATMENT PROGRAM,1024 NORTH BOULEVARD,,,OAK PARK,IL,60301.0,(312)333-7500EXT.10,Alcoholism/Drug,0712IL60301
HUMAN SERVICE CENTER OF THE,PEORIA AREA,116 SOUTH CAPITOL,,,PEKIN,IL,61554.0,(309)347-1148,Drug,6860IL61554
ALCOUOLISM AND DRUG ABUSE CENTER,TURNING POINT PARTIAL CARE PROGRAM,403 NORTHEAST PERRY,,,PEORIA,IL,61603.0,(309)674-0096,Alcoholism/Drug,8759IL61603
DRUG ABUSE HALFWAY HOUSE,,403405 NORTHEAST PERRY,,,PEORIA,IL,61603.0,(309)674-0096J,Drug,3955IL61603
HUMAN SERVICE CENTER,ALCOHOL AND DRUG ABUSE REHABILITATION,1924 SOUTHWEST ADAMS,,,PEORIA,IL,61602.0,(309)674-4278,Alcoholism/Drug,1945IL61602
OUTPATIENT ALCOHOLISM UNIT/,OUTPATIENT POLYDRUG PROGRAM,600 FAYETTE STREET,,,PEORIA,IL,61603.0,(309)671-8000,Alcoholism/Drug,8308IL61603
STONEHEDGE FOUNDATION,STONEt!EDGE HEROIN RESIDENTIAL,1015 WEST MCBEAN,,,PEORIA,IL,61605.0,(309)671-8000,Drug,9700IL61605
STONEHEDGE HEROIN OUTPATIENT,,1015 WEST MCBEAN,,,PEORIA,IL,61605.0,(309)676-1095,Drug,2172IL61605
PONTIAC PROJECT,BOX 99,5Tll FLOOR,,,PONTIAC,IL,61794.0,(312)663-9200,Drug,7653IL61794
QUAD COUNTY COUNSELING CENTER,,530 PARK AVENUE EAST,,,PRINCETON,IL,61356.0,(815)875-4453,Alcoholism/Drug,7092IL61356
FREEDOM HOUSE CLINIC,,4230 11 TH STREET,,,ROCK ISLAND,IL,61201.0,(309)788-4571,Drug,5387IL61201
ILLINOIS OUTPATIENT UNIT,,2116 25TH AVENUE,,,ROCK ISLAND,IL,61201.0,(319)322-2667,Drug,7359IL61201
KEYWAY METHADONE MAINTENANCE UNIT,TREATMENT SERVICES,327 SOUTH CHURCH STREET,,,ROCKFORD,IL,61101.0,(815)962-4311,Drug,7840IL61101
KEYWAY OUTPATIENT DRUG FREE UNIT,TREATMENT SERVICES,327 SOUTH CHURCH STREET,,,ROCKFORD,IL,61101.0,(815)972-4311,Drug,4856IL61101
GATEWAY HOUSES FOUNDATION INC,SPRINGFIELD FACILITY,815 NORTH FIFTH STREET,,,SPRINGFIELD,IL,62702.0,(217)522-7731,Drug,1159IL62702
PHOENIX 7,,1201 SOUTH SECOND STREET,,,SPRINGFIELD,IL,62703.0,(217)522-6402,Drug,3040IL62703
SUBSTANCE ABUSE SERVICES,TINLEY PARK DRUG PROGRAM,7400 WEST 183RD STREET,HICKORY HALL P.O. BOX 457,,TINLEY PARK,IL,60477.0,(312)532-5550,Drug,0879IL60477
OUTREACH CENTER OF MEMORIAL HOSPITAL,,207 SOUTH VILLA AVENUE,SUITE 210,,VILLA PARK,IL,60181.0,(312)834-8900,Drug,0823IL60181
LAKE COUNTY HEALTH DEPARTl1ENT,SUBSTANCE ABUSE PROGRAM,2400 BELVIDERE ROAD,,,WAUl'.EGAN,IL,60085.0,(312)689-6770,Drug,0115IL60085
OMNI HOUSE,,57 SOUTH WOLF ROAD,,,WHEELING,IL,60090.0,(312)541-0190,Drug,4080IL60090
MADISON COUNTY COUNCIL ALC & DRUG DEP,ALCOHOLISM OUTPATIENT PROGRAM,1 EAST FERGUSON AVENUE,,,WOOD RIVER,IL,62095.0,(618)254-7400,Alcoholism/Drug,4578IL62095
INTERVENTIONS,CONTACT,13316 HENSEL ROAD,P.O. BOX 468,,WOODSTOCK,IL,60098.0,(312)669-3361,Drug,6653IL60098
THE CENTER FOR MENTAL HEALTH,,2020 BROWN STREET,P.O. BOX 1258,,ANDERSON,IN,46016.0,(317)649-8161,Alcoholism/Drug,7559IN46016
COMMUNITY MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,2310 Q STREET,,,BEDFORD,IN,47421.0,(812)279-3591,Alcoholism/Drug,4969IN47421
ADDICTION RESIDENTIAL CENTER,,211 NORTH ROGERS STREET,,,BLOOMINGTON,IN,47401.0,(812)339-1691EXT.201,Alcoholism/Drug,9004IN47401
BLOOMINGTON DETOXIFICATION CENTER,,221 NORTH ROGERS STREET,,,BLOOMINGTON,IN,47401.0,(812)339-1691EXT.214,Alcoholism/Drug,9069IN47401
SOUTH CENTRAL CMHC,ADDICTION OUTPATIENT PROGRAM,640 SOUTH ROGERS,,,BLOOMINGTON,IN,47401.0,(812)339-1691EXT.201,Alcoholism/Drug,1825IN47401
SOUTH CENTRAL CMHC,ItffENSIVE OUTPATIENT PROGRAM,722 NORTH WALNUT,,,BLOOMINGTON,IN,47401.0,(812)339-1691EXT.203,Alcoholism/Drug,9015IN47401
QUINCO CONSULTING CENTER,,2075 LINCOLN PARK DRIVE,,,COLU�1BUS,IN,47201.0,(812)379-2341,Alcoholism/Drug,1894IN47201
COURT REFERRAL AND EARLY,INTERVEtffION PROGRAM,3901 INDIANAPOLIS BOULEVARD,,,EAST CHICAGO,IN,46312.0,(219)398-7050,Alcoholism/Drug,1427IN46312
SUBSTANCE ABUSE PROGRAM,ADULT AND GERIATRIC SERVICE,3901 INDIANAPOLIS BOULEVARD,,,EAST CHICAGO,IN,46312.0,(219)398-7050,Alcoholism/Drug,9517IN46312
ELKHART COUNTY YOUTH SERVICE BUREAU,,330 WEST LEXINGTON,,,ELKHART,IN,46516.0,(219)294-3549,Alcoholism/Drug,4712IN46516
OAKLAWN ADDICTIONS SERVICES,,2600 OAKLAND AVENUE,,,ELKHART,IN,46517.0,(219)294-3551,Alcoholism/Drug,1856IN46517
SW INDIANA MENTAL HEALTH CTR INC,SUBSTANCE ABUSE SERVICES,414 SOUTH KENTUCKY AVENUE,,,EVANSVILLE,IN,47714.0,(812)423-7791EXT.295,Alcoholism/Drug,6460IN47714
YOUTH SERVICE BUREAU,,312 NORTH WEST SEVENTH STREET,,,EVANSVILLE,IN,47708.0,(812)423-5816,Alcoholism/Drug,2889IN47708
SUMMIT HOUSE METHADONE CENTER,,1010 FULTON STREET,,,FORT WAYNE,IN,46802.0,(219)423-3419,Drug,7899IN46802
REGIONAL MENTAL HEALTH CENTER,CLINTON COUNTY SERVICES,1201 OAK STREET,,,FRANKFORT,IN,46041.0,(317)659-4141,Alcoholism/Drug,0480IN46041
GARY COMMUNITY MENTAL HEALTH CTR INC,ALCOHOL AND DRUG ABUSE PROGRAM,1100 WEST SIXTH AVENUE,,,GARY,IN,46402.0,(219)885-4264,Alcoholism/Drug,9640IN46402
GARY DRUG TREATMENT CENTER,,1836 BROADWAY,,,GARY,IN,46407.0,(219)886-3100,Drug,0935IN46407
PROJECT INTERCEPT,,560 SOUTH LAKE STREET,,,GARY,IN,46403.0,(219)938-8816,Alcoholism/Drug,3892IN46403
GALLAHUE MENTAL HEALTH CENTER,HANCOCK COUNTY OFFICE,145 GREEN MEADOWS DRIVE,SUITE 1,,GREENFIELD,IN,46140.0,(317)462-1481,Alcoholism/Drug,3793IN46140
CLARK COUNTY,YOUTH CAMP DRUG PROGRAM,P.O. BOX 148,,,HENRYVILLE,IN,47126.0,(812)294-1707,Alcoholism/Drug,9980IN47126
GALLAHUE MENTAL HEALTH CENTER,,6919 EAST TENTH STREET,BUILDING C,,INDIANAPOLIS,IN,46219.0,(317)353-5931,Alcoholism/Drug,8105IN46219
GIRLS SCHOOL,SUBSTANCE ABUSE TREATMENT PROGRAM,2596 GIRLS SCHOOL ROAD,,,INDIANAPOLIS,IN,46224.0,,Alcoholism/Drug,3144IN46224
MIDTOWN MENTAL HEALTH CENTER,DRUG FREE CLINIC,1001 WEST TENTH,,,INDIANAPOLIS,IN,46202.0,(317)630-7616,Drug,6324IN46202
MIDTOIIN METHADONE CLINIC,,2413 NORTH MERIDIAN,,,INDIANAPOLIS,IN,46208.0,(317)925-8221,Drug,0555IN46208
SOUTHERN HILLS,MENTAL HEALTH CENTER,112 WEST FIFTH STREET,P.O. BOX 245,,JASPER,IN,47546.0,(812)482-3020,Alcoholism/Drug,3532IN47546
Cot1MON GROUND CENTER,,304 EAST COURT AVENUE,,,JEFFERSONVILLE,IN,47130.0,(812)288-7137,Alcoholism/Drug,4412IN47130
REGIONAL YOUTH SERVICES,,224 EAST COURT AVENUE,,,JEFFERSotlVILLE,IN,47130.0,(812)282-8479,Alcoholism/Drug,4918IN47130
SOUTHERN INDIANA,MENTAL HEALTH & GUIDANCE CTR INC,207 WEST 13TH STREET,,,JEFFERSONVILLE,IN,47130.0,(812)283-4491,Alcoholism/Drug,5640IN47130
NORTHEASTERN COMPREHENSIVE COMMUNITY,MENTAL HEALTH CENTER INC,305 EAST NORTH STREET,,,KENDALLVILLE,IN,46755.0,(219)347-1040,Alcoholism/Drug,2771IN46755
REGIONAL MENTAL HEALTH CENTER,ADDICTIOI� SERVICES,3500 SOUTH LAFOUNTAIN,APOLLO ANNEX,,KOKOMO,IN,46901.0,(317)453-8555EXT.581,Alcoholism/Drug,9814IN46901
HOME WITH HOPE,,1001 FERRY STREET,,,LAFAYETTE,IN,47904.0,(317)742-2321,Alcoholism/Drug,1588IN47904
LAHRENCEBURG COHMUNITY MENTAL HEALTH,CENTER ADDICTIONS SERVICES PROGRAM,285 BIELBY ROAD,,,LAWRENCEBURG,IN,47025.0,(812)537-1302,Alcoholism/Drug,7860IN47025
FOUR COUlffY COMP MENTAL HEALTH CTR INC,SUBSTANCE ABUSE PROGRAM,1015 MICHIGAN AVENUE,,,LOGANSPORT,IN,46947.0,(219)722-5151EXT.249,Alcoholism/Drug,9080IN46947
GRANT/BLACKFORD MENTAL HEALTH INC,,505 WABASH AVENUE,,,MARION,IN,46952.0,(317)662-3971,Alcoholism/Drug,4827IN46952
THE GENESIS PLACE INC,,104 EAST 14TH STREET,P.O. BOX 3245,,MARION,IN,46952.0,(317)662-1393,Alcoholism/Drug,8518IN46952
SOUTHLAKE CENTER FOR MENTAL HEALTH,SUBSTANCE ABUSE PROGRAMS,8555 TAFT STREET,,,MERRILLVILLE,IN,46410.0,(219)769-4005,Alcoholism/Drug,2896IN46410
THE GREENHOUSE,SUBSTANCE ABUSE SERVICES,517 PINE STREET,,,MICHIGAN CITY,IN,46360.0,,Alcoholism/Drug,2479IN46360
AQUARIUS HOUSE,,413 SOUTH LIBERTY,,,MUNCIE,IN,47305.0,(317)282-2257,Alco�olism/Drug,9577IN47305
INDIANA YOUTH CENTER,SUBSTANCE ABUSE PROGRAM,P.O. BOX 127,,,PLAINFIELD,IN,46168.0,(317)839-2513,Alcoholism/Drug,9241IN46168
SUBSTANCE ABUSE UNIT,INDIANA BOYS SCHOOL,SOCIAL SERVICE BLDG BOX 211,,,PLAINFIELD,IN,46168.0,(317)839-7751EXT.249,Alcoholism/Drug,1959IN46168
DUNN HENTAL HEALTH CENTER INC -,,401 EAST HAIN STREET,,,RICHMOND,IN,47374.0,(317)935-3211EXT.221,Alcoholism/Drug,2911IN47374
RICHMOND STATE HOSPITAL,ADDICTION SERVICES MODULE,NORTHWEST 18TH STREET,,,RICHMOND,IN,47374.0,(317)966-0511EXT.491,Alcoholism/Drug,3181IN47374
ROCKVILLE TRAINING CENTER,JUVENILE ALCOHOL AND DRUG UNIT,P.O. BOX 130,,,ROCKVILLE,IN,47872.0,(317)569-2214,Alcoholism/Drug,6014IN47872
SCOTT COUNTY COUNSELING AND MENTAL HEALTH CENTER,,59 EAST WARDELL STREET,,,SCOTTSBURG,IN,47170.0,(812)752-2837,Alcoholism/Drug,5509IN47170
GALLAHUE MENTAL HEALTH CENTER,SHELBY COUNTY OFFICE,103 WEST WASHINGTON STREET,,,SHELBYVILLE,IN,46176.0,(317)392-2564,Alcoholism/Drug,3386IN46176
ALCOHOL AND DRUG ABUSE,PREVENTION & TREATMENT (ADAPT),403 EAST MADISON STREET,RIVERVIEW BLDG 3RD FLOOR,,SOUTH BEND,IN,46617.0,(219)233-5171EXT.294,Alcoholism/Drug,2629IN46617
DELOS HOUSE OF ADAPT,,420 NORTH FRANCES,,,SOUTH BEND,IN,46617.0,(219)232-4805,Alcoholism/Drug,7507IN46617
THE LIGHTHOUSE,,403 EAST MADISON,RIVERVIEW BUILDING 3RD FLOOR,,SOUTH BEND,IN,46617.0,(219)234-2113,Drug,8158IN46617
KATHERINE HAMILTON MENTAL HEALTH CNTR,ALCOHOL AND DRUG SERVICES,2070 NORTH 13TH STREET,,,TERRE HAUTE,IN,47804.0,(812)232-1181EXT.282,Alcoholism/Drug,0008IN47804
U S PENITENTIARY,DRUG ABUSE PROGRAM,P.O. BOX 33,,,TERRE HAUTE,IN,47808.0,(812)238-1531EXT.484,Drug,4946IN47808
TIPTON REGIONAL MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,DOCTORS PARK 4-H ROAD,RR #4,,TIPTON,IN,46072.0,(317)675-4906,Alcoholism/Drug,6517IN46072
PORTER-STAP.KE SEP.VICES INC,SUBSTAtlCE ABUSE PROGRAM,701 WALL STREET,,,VALPARAISO,IN,46383.0,(219)464-8541,Alcoholism/Drug,1453IN46383
VINCENNES COMPREHENSIVE COMMUNITY,MENTAL HEALTH CENTER,,GOOD SAMARITAN HOSPITAL,520 SOUTH SEVENTH STREET,VINCENNES,IN,47591.0,(812)885-3291,Alcoholism/Drug,3799IN47591
THE OTIS R BOWEN CENTER,FOR HUMAN SERVICES,850 NORTH HARRISON STREET,,,WARSAW,IN,46580.0,(219)267-7169,Alcoholism/Drug,5819IN46580
WABASH VALLEY HOSP MH CTR INC,ADDICTION SERVICES TREATMENT PROGRAM,2900 NORTH RIVER ROAD,,,WEST LAFAYETTE,IN,47906.0,(317)463-2555,Alcoholism/Drug,5293IN47906
PERSONAL CHANGE PROGRAM,WESTVILLE CORRECTIONAL CENTER,,BOX 473,,WESTVILLE,IN,46391.0,(219)785-2511EXT.326,Alcoholism/Drug,7219IN46391
YOUTH AND SHELTER SERVICES INC,SHELTER HOUSE,712 BURNETT AVENUE,,,AMES,IA,50010.0,(515)233-2330,Alcoholism/Drug,2960IA50010
ALCOHOL ASSISTANCE AGENCY INC,ALCOHOL/DRUG OUTPATIENT UNIT,306 WALNUT STREET,BOX 67,,ATLANTIC,IA,50022.0,(712)243-5091,Alcoholism/Drug,2567IA50022
