Name1,Name2,Address1,Address2,City,State,ZIP_Code,Contact,Keys
DC GENERAL HOSPITAL TOTAL REHAB FOR UNITED SERVICES TRTMT,Wot1ENS SERVICES T R U S T,1905 E STREET SE 1400 Q STREET NW,,PCRC BUILDING WASHINGTON,DC,20009,,"WASHINGTON,"
HEADQUARTERS NAVAL DISTRICT WASHINGTON VOCATIONAL REHAB SERVICES ADHIN,COUNSELING AND ASSISTANCE CENTER ALCOHOL AND DRUG ABUSE SECTION,ANACOSTIA NAVAL STATION 59 M STREET NE,,BUILDING 72 WASHINGTON,DC,20002,,"WASHINGTON,"
PSYCHIATRIC INSTITUTE DRUG AND ALCOHOL,ABUSE REtlABILITATION CENTER,2101 K STREET NW,,WASHINGTON,DC,20037,(202)467-4595,Drug
RAP INC,,1731 WILLARD STREET SW,,WASHINGTON,DC,20009,(202)462-7500EXT.56,Drug
",SE NEIGHBORHOOD ACTION BOARD INC",DRUG ADDICTION REHAB (SENABl,1400 GOOD HOPE ROAD SE,,WASHINGTON,DC,20020,(202)678-2494,Drug
SEMINOLE COUNTY MENTAL HEALTH CTR INC,CRANES ROOST OFFICE PARK,SUITE 377,,ALTAMONTE SPRINGS,FL,32701,(305)831-2411,Alcoholism/Drug
APOPKA COUNSELING CENTER,,25 WEST STATION STREET,,APOPKA,FL,32703,(305)889-2863,Drug
CMHC,THE GLADES,300 WEST CANAL STREET SOUTH,,BELLE GLADE,FL,33430,(305)996-2079,Drug
BOWLING GREEN INN,,HIGHWAY 17,P.O. BOX 337,BOWLING GREEN,FL,33824,(813)375-2218,Alcoholism/Drug
PAR THERAPEUTIC COMMUNITY,,601 NORTH FORT HARRISON AVENUE,,CLEARWATER,FL,33515,(813)441-37e6,Drug
TASC IN-JAIL FACILITY,,601 NORTH FORT HARRISON,,CLEARWATER,FL,33515,(813)441-3786,Drug
ALTERNATIVES,,1261 RANGE ROAD,,COCOA,FL,32922,(305)636-9330,Drug
RENAISSANCE HOUSE,,THREE RIVERSIDE DRIVE,,COCOA,FL,32922,(305)632-3235,Drug
VOLUSIA COUNTY DRUG COUNCIL,DRUG PROGRAM - OUTPATIENT COUNSELING,554 NORTH OLEANDER AVENUE,,DAYTONA BEACH,FL,32018,(904)253-1890,Drug
WALTON COUNTY GUIDANCE CLINIC,DRUG PROGRAM,112-A WEST NELSON AVENUE,,DEFUNIAK SPRINGS,FL,32433,(904)892-2167,Alcoholism/Drug
DELRAY PROBLEM CENTER,,170 NORTHWEST 5TH AVENUE,,DELRAY BEACH,FL,33444,(305)278-0044,Drug
SOUTH COUNTY DRUG ABUSE FOUNDATION,,2300 SEACREST BOULEVARD SOUTH,,DELRAY BEACH,FL,33444,(305)655-1898,Drug
SOUTH COUNTY MENTAL HEALTH CENTER,,100 EAST LINTON BOULEVARD,,DELRAY BEACH,FL,33444,(813)737-8400,Alcoholism/Drug
WAYSIDE GUILD INC,,378 NORTHEAST SIXTH AVENUE,,DELRAY BEACH,FL,33444,(305)278-0055,Alcoholism/Drug
BROWARD COUNTY DIVISION OF ALCOHOL AND DRUG ABUSE SERVICES,,1011 SW SECOND COURT,,FORT LAUDERDALE,FL,33312,(305)765-5868,Alcoholism/Drug
CORAL RIDGE PSYCH HOSP,ALC TRT & REHAB PROG,4545 NORTH FEDERAL HIGHWAY,,FORT LAUDERDALE,FL,33308,(305)771-2711,Alcoholism/Drug
HENDERSON MENTAL HEALTH CENTER INC,DRUG ABUSE PROGRAM,330 SOUTHWEST 27TH AVENUE,,FORT LAUDERDALE,FL,33312,(305)791-4300,Drug
SPECTRUM HOUSE,BROWARD,2301 WILTON DRIVE,,FORT LAUDERDALE,FL,33305,(305)563-6413,Drug
THE OCTOBER CENTER INC,,1227 SISTRUNK BOULEVARD,P.O. BOX 14273,FORT LAUDERDALE,FL,33311,(305)523-8600,Drug
THE SEED INC,,6900 WEST STATE ROAD 8'4,,FORT LAUDERDALE,FL,33317,(305)475-9900,Drug
LEE MENTAL HEALTH CENTER INC,DRUG ABUSE UNIT,2789 ORTIZ AVENUE SE,,FORT MYERS,FL,33906,(813)334-3537EXT.251,Drug
COMMUNITY CRISES CORNER INC,THE CORNER DRUGSTORE,1128 SW FIRST AVENUE,,GAINESVILLE,FL,32601,(904)378-1588,Drug
METAt10RPHOSIS,ALACHUA COUNTY DRUG ABUSE PROGRAM,3333 NORTHEAST 39TH STREET,,GAINESVILLE,FL,32601,(904)377-8789,Drug
BROWARD METHADONE MAINTENANCE,REHAB AND RESEARCH FACILITY,1101 SOUTH 21ST AVENUE,,HOLLYWOOD,FL,33020,(305)922-0522,Drug
STARTING PLACE RESIDENTIAL,,5925 MCKINLEY STREET,,HOLLYWOOD,FL,33021,,Drug
THE STARTING PLACE INC,STATE DRUG ABUSE PROGRAM,2057 COOLIDGE STREET,,HOLLYWOOD,FL,33020,(305)925-2225,Drug
COUNSELING AND ASSISTANCE CENTER,BOX 41,,NAVAL AIR STATION,JACKSONVILLE,FL,32212,(904)772-2900,Alcoholism/Drug
COUNSELING AND ASSISTANCE CENTER,ALCOHOL REHABILITATION DRYDOCK,,NAVAL AIR STATION CECIL FIELD,,BUILDING,24,,"JACKSONVILLE,"
METHADONE TREATMENT CENTER,,515 WEST SIXTH STREET,,JACKSONVILLE,FL,32206,(904)633-3800,Drug
RIVER REGION HUMAN SERVICES INC,OUTPATIENT SERVICES,515 WEST SIXTH STREET,,JACKSONVILLE,FL,32206,(904)633-2622,Drug
RIVER REGION HUMAN SERVICES INC,RESIDENTIAL TREATMENT CENTER,2931 PARENTAL HOME ROAD,,JACKSONVILLE,FL,32216,(904)633-5680EXT.8,Drug
COMMUNITY MENTAL HEALTH CLINIC,OF THE LOWER KEYS,P.O. BOX 488,,KEY WEST,FL,33040,(305)294-5237,Drug
OSCEOLA COUNSELING CENTER,,917 WEST EMMETT STREET,,KISSIMMEE,FL,32741,(305)846-0029,Drug
PROGRAM TO AID DRUG ABUSERS,,115 1/2 WEST MAIN STREET,,LAKELAND,FL,33802,(813)683-2695,Drug
LANTANA CORRECTIONAL INSTITUTION,,1199 WEST LANTANA ROAD,,LANTANA,FL,33462,(305)586-6510EXT.332,Drug
THE GROVE COUNSELING CENTER INC,,1309 SOUTHEAST LAKE STREET,HIGHWAY 427 - P.O. BOX 1189,LONGWOOD,FL,32750,(305)834-1221,Drug
BAKER COUNTY COUNCIL ON,ALCOHOLISM AND DRUG ABUSE,675 SOUTH SIXTH STREET,,MACCLENNY,FL,32063,(904)259-2506,Alcoholism/Drug
COCONUT GROVE COMMUNITY OUTREACH,,3750 SOUTH DIXIE HIGHWAY,HUNAN RESOURCE CENTER,MIAMI,FL,33133,(305)446-3311EXT.41,Drug
COMMUNITY OUTREACH VIII,IDIALOGO FAMILARl,215 SOUTH�EST 17TH AVENUE,SUITE 207,MIAMI,FL,33135,(305)547-5190,Drug
COMPREHENSIVE PSYCHIATRIC CENTER,,17430 SOUTH DIXIE HIGHWAY,,MIAtlI,FL,33157,(305)238-5121,Drug
CONCEPT HOUSE INC,OUTPATIENT SERVICES,3620 NE FIRST COURT,,MIAMI,FL,33137,(305)576-4436,Drug
DADE COUNTY JAILS,TASC JAIL TREATMENT PROGRAM,1321 NORTHWEST 13TH STREET,,MIAMI,FL,33125,(305)547-7789,Drug
HERES HELP INC,,15100 NORTHWEST 27TH AVENUE,,MIAMI,FL,33054,(305)685-8201,Drug
HERES HELP INCORPORATED,DAY CARE SOUTH,9830 SW 77TH AVENUE,,MIAMI,FL,33179,,Drug
JACKSON MEMORIAL HOSPITAL,OUTPATIENT UNIT,1330 NE BAYSHORE DRIVE,ROOM 3,MIAMI,FL,33136,(305)579-4553,Drug
MICHAEL ALAN WOLF MEMORIAL,CONCEPT HOUSE,162 NORTHEAST 49TH STREET,,MIAMI,FL,33137,(305)751-6501,Drug
MODEL CITIES COUNSELING AND OUTREACH CENTER,,6215 NW SECOND PLACE,,MIAMI,FL,33127,(305)638-6568,Drug
MODEL CITIES TREATMENT CENTER,,2500 NORTHWEST 62ND STREET,,MIAMI,FL,33147,(305)638-6677,Drug
NORTH DADE COUNSELING CENTER,,2840 NW 183RD STREET,,MIAMI,FL,33054,(305)638-6555,Drug
SAINT LUKES CENTER,DRUG ABUSE PROGRAM,3290 NORTHWEST SEVENTH STREET,,MIAMI,FL,33125,(305)643-4040,Drug
SPECTRUM PROGRAMS INC !DADE CLINICS),OUTPATIENT,ONE NW 67TH STREET,,MIAMI,FL,33150,(305)754-1683,Drug
SWITCHBOARD OF MIAMI,,30 SE EIGHTH STREET,,MIAMI,FL,33131,(305)358-4357,Drug
TASC - PROJECT RELIANCE,MENS UNIT,6950 NORTHWEST 41ST STREET,,MIAMI,FL,33166,(305)638-6555,Drug
THE VILLAGE SOUTH INC,,400 NORTHEAST 31ST STREET,,MIAMI,FL,33137,(305)751-3856,Drug
UNITY HOUSE,,8410 NORTHEAST FIRST PLACE,,MIAMI,FL,33138,(305)638-6565,Drug
MIAMI BEACH,COMMUNITY MENTAL HEALTH CENTER,3602 COLLINS AVENUE,,MIAMI BEACH,FL,33140,(305)673-7453,Drug
SANTA ROSA COUNTY MENTAL HEALTH,AND REHABILITATION FACILITY,200 OAK STREET,,MILTON,FL,32570,(904)623-9434,Alcoholism/Drug
METATHERAPY INSTITUTE INC,,27200 OLD DIXIE HIGHWAY,,NARANJA,FL,33170,(305)247-4515,Drug
LIFE,,P.O. BOX 789,,NOKOMIS,FL,33555,(813)966-5684,Drug
COMMUNITY OUTREACH III,,13140 NW SEVENTH AVENUE,,NORTH MIAMI,FL,33168,(305)685-7725,Drug
BISCAYNE COLLEGE,FAMILY PROGRAM,16400 NORTHWEST 32ND AVENUE,,OPA LOCKA,FL,33054,(305)625-6000EXT.170,Drug
SPECIALIZED ►IOMENS SERVICES,,100 WEST COLUMBIA STREET,,ORLANDO,FL,32804,(800)555-1212,Drug
THEE DOOR COUNSELING CENTER,,100 WEST COLUMBIA STREET,SUITE 23A,ORLANDO,FL,32806,(305)420-3685,Drug
THEE DOOR METHADONE CLINIC,,100 WEST COLUt1BIA AVENUE,,ORLANDO,FL,32806,(305)420-3690,Drug
THEE DOOR OF CENTRAL FLORIDA,DAY CARE PROGRAM,100 WEST COLUMBIA STREET,SUITE 23A,ORLANDO,FL,32806,(305)420-3690EXT.39,Drug
THEE DOOR OF CENTRAL FLORIDA,YOUTH DEVELOPMENT CENTER,8301 EAST COLONIAL DRIVE,,ORLANDO,FL,32817,(305)273-4970,Drug
WASHINGTON SHORES DRUG,COUNSELING CENTER,2503 WEST CHURCH STREET,,ORLANDO,FL,32805,(305)299-2444,Drug
NORTHWEST FLORIDA DRUG COUNCIL INC,OUTPATIENT COMPONENT,1600-A FAIRY AVENUE,,PANAMA CITY,FL,32401,(904)769-2212,Drug
C M H C OF ESCAMBIA CO INC,DRUG ABUSE PROGRAM,1201 WEST HERNANDEZ STREET,,PENSACOLA,FL,32501,(904)438-3135,Drug
THE CENTRE FOR COUNSELitlG,AND EDUCATION,17511 SOUTH DIXIE HIGHWAY,P.O. BOX 2325,PERRINE,FL,33157,(305)232-3403,Drug
DACCO PLANT CITY OUTPATIENT,COUNSELING UNIT,206 SOUTH EVERS STREET,,PLANT CITY,FL,33566,(813)752-6960,Drug
Pot1PANO METHADONE MAINTENANCE,TREATMENT CENTER,380 SW 12TH AVENUE,,POMPANO BEACH,FL,33060,(305)782-9774,Drug
TURNING POINT,HOUSE OF ICHTHUS,400 SOUTHWEST 2ND STREET,,PO�PANO BEACH,FL,33060,(305)781-1400,Drug
BREVARD COUNTY MHC INC,SUBSTANCE ABUSE SERVICES,1770 CEDAR STREET,,ROCKLEDGE,FL,32955,(305)632-9480,Alcoholism/Drug
ALTERNATIVES PROGRAM,,601 49TH STREET SOUTH,,SAINT PETERSBURG,FL,33705,(813)321-6310,Drug
PAR ORUG TREATMENT CENTER,,2400 NINTH STREET SOUTH,,SAINT PETERSBURG,FL,33705,(813)822-5242,Drug
STRAIGHT INCORPORATED,,3001 GANDY BLVD,P.O. BOX 40052,SAINT PETERSBURG,FL,33743,(813)577-6011,Drug
CLINIC I,,331 SOUTH PINEAPPLE AVENUE,,SARASOTA,FL,33577,(813)953-6737,Drug
STOREFRONT/NEWTON - CLINIC II,,1731 27TH STREET,,SARASOTA,FL,33580,(813)355-5600,Drug
APALACHEE CotlMUNITY MH SERVICE,ALCOHOL AND DRUG ABUSE PROGRAM,930 THOMASVILLE ROAD,P.O. BOX 1782,TALLAHASSEE,FL,32302,(904)487-2930EXT.76,Alcoholism/Drug
DISC VILLAGE,,P.O. BOX 6054,,TALLAHASSEE,FL,32301,(904)421-4115,Drug
DACCO CHEMOTREATMENT CENTER,METHADONE MAINTENANCE AND DETOX,1901 NORTH HOWARD AVENUE,,TAMPA,FL,33607,(813)251-8046,Drug
DACCO FAMILY OUTPATIENT PROGRAM,,3655 HENDERSON BOULEVARD,,TAMPA,FL,33609,(813)870-2905,Drug
DACCO RESIDENTIAL TREATMENT CENTER,,309 CAESAR STREET,,TAMPA,FL,33602,(813)223-4648,Drug
RE-FILL PROGRAM,WOHEHS SURVIVAL CENTER,305 SOUTH HYDE PARK AVENUE,,TAHPA,FL,33606,(813)251-8437,Drug
TAMPA - HILLSBOROUGH,THE DOOR IHC,1718 WEST CASS STREET,,TAMPA,FL,33606,(813)251-1001,Drug
THE HEW MIND,,2801 17TH STREET,,TAMPA,FL,33605,(813)248-1966,Drug
AREA DRUG ABUSE COUNCIL,OUTPATIENT,2409 tlO�TH DIXIE HIGHWAY,,WEST PALM BEACH,FL,33407,(305)833-4416,Drug
COMPREHENSIVE ALCOHOLISM REHAB PROG,,421 IRIS STREET,P.O. BOX 2507,WEST PALM BEACH,FL,33402,(305)659-5110,Alcoholism/Drug
GRATITUDE HOUSE,,317 NORTH LAKESIDE COURT,,WEST PALM BEACII,FL,33407,(305)833-6826,Alcoholism/Drug
PALM BEACH INSTITUTE,,1014 NORTH OLIVE AVENUE,,WEST PALM BEACH,FL,33401,(305)833-7553,Alcoholism/Drug
AMERICUS,ALCOHOL ANO DRUG SERVICES,516 WEST SPRING STREET,P.O. BOX 1223,AMERICUS,GA,31709,(912)928-1312,Alcoholism/Drug
NORTHEAST GEORGIA,ALCOHOL AND DRUG PROGRAM,1247 PRINCE AVENUE,,ATHENS,GA,30606,(404)542-8656,Alcoholism/Drug
ATLANTA SOUTHSIDE,DRUG FREE PROGRAM,1039 RIDGE AVENUE SW,,ATLANTA,GA,30315,(404)688-1350EXT.213,Drug
ATLANTA SOUTHSIDE,METHADONE TREATMENT CENTER,1660 LAKEWOOD AVENUE,,ATLANTA,GA,30315,(404)688-1350EXT.338,Drug
CATHOLIC SOCIAL SERVICES INC,ALCOHOLISM & DRUG ABUSE PROGRAM,680 WEST PEACHTREE STREET NW,,ATLANTA,GA,30308,(404)881-6571,Alcoholism/Drug
DEKALB ADDICTION CLINIC,,1260 BRIARCLIFF ROAD NORTHEAST,,ATLANTA,GA,30306,(404)894-5808,Alcoholism/Drug
ECONOMIC OPPORTUNITY ATLANTA INC,DRUG PROGRAM,75 MARIETTA STREET,,ATLANTA,GA,30303,(404)523-2894,Drug
GEORGIA MENTAL HEALTH INSTITUTE,ALCOHOL AND DRUG SERVICES,1256 BRIARCLIFF RD NE,UNIT 2 & UNIT 3,ATLANTA,GA,30306,(404)894-5582,Alcoholism/Drug
GRADY MEMORIAL HOSPITAL,DRUG DEPENDENCE UNIT,60 COCA COLA PLACE SE,,ATLANTA,GA,30303,(404)588-3970,Drug
KIRKWOOD MENTAL HEALTH CENTER,CHILD AND ADOLESCENT DRUG FREE PROGRAM,30 WARREN STREET,,ATLANTA,GA,30317,(404)373-6501,Drug
MIDTOWN INTAKE AND TREATMENT CENTER,,22 EIGHTH STREET NE,,ATLANTA,GA,30309,(404)894-4561,Drug
NORTHWEST COUNSELING CENTER,,1557 JOHNSON ROAD NW,,ATLANTA,GA,30318,(404)794-4426EXT.27,Drug
PIEDMONT COUNSELING SERVICE,,136 ELEVENTH STREET,,ATLANTA,GA,30309,(404)892-4058,Drug
REALITY HOUSE,RESIDENTIAL TREATMENT CENTER,165 ALEXANDER STREET NW,,ATLANTA,GA,30313,(404)522-7962,Drug
SYNTHESIS WEST,AO UNIT,674 ASHBY STREET SW,,ATLANTA,GA,30314,(404)656-3308,Alcoholism/Drug
U S PEHITENTIARY,DRUG ABUSE UNIT,601 MCDONOUGH BOULEVARD,,ATLANTA,GA,30315,(404)622-6241EXT.370,Drug
GEORGIA REGIONAL HOSPITAL AT AUGUSTA,ALCOHOL AND DRUG UNIT,3405 OLD SAVANNAH ROAD,P.O. BOX 5826,AUGUSTA,GA,30906,(404)790-2650,Alcoholism/Drug
GREENE BRANCH,ALCOHOL AND DRUG CLINIC,1259 GREENE STREET,P.O. BOX 573,AUGUSTA,GA,30901,(404)828-3005,Alcoholism/Drug
SOUTH COBB/DOUGLAS ALCH & DRUG PROG,,2505 BANKHEAD HWY,SUITE 5,AUSTELL,GA,30001,(404)941-5306,Alcoholism/Drug
COASTAL AREA,ALCOHOL AtlD DRUG ABUSE PROGRAM,1609 NEWCASTLE STREET,GATEWAY BUILDING,BRUNSWICK,GA,31520,(912)264-7340,Alcoholism/Drug
ODYSSEY COUNSELING,AOC UNIT,1675 VIRGINIA AVENUE,SUITE 203,COLLEGE PARK,GA,30337,(804)766-1616,Drug
ALCHEMY THERAPEUTIC COMM COLUMBUS TC,,1543 2ND AVENUE,,COLUMBUS,GA,31902,(404)324-7241,Drug
DRUG INCLINATION GROUP,,802 FIRST AVENUE,P.O. BOX 2299,COLUMBUS,GA,31993,(404)327-0383,Drug
THE TURNING POINT,ALC AND DRUG RESIDENTIAL FACILITY,1612 WYNNTON ROAD,,COLUMBUS,GA,31906,(404)323-3167,Alcoholism/Drug
WEST CENTRAL GA REGIONAL HOSPITAL,SUBSTANCE ABUSE UNIT,3000 SCHATULGA ROAD,P.O. BOX 6563,COLUMBUS,GA,31995,(404)568-5174EXT.376,Alcoholism/Drug
ALCOHOL AND DRUG ABUSE CENTER,IADACl,215 WEST CUYLER STREET,,DALTON,GA,30720,(404)259-2313,Alcoholism/Drug
GEORGIA REGIONAL HOSPITAL AT ATLANTA,ALCOHOL AND DRUG UNIT,3073 PAtffHERSVI LLE ROAD,,DECATUR,GA,30034,(404)243-2109,Alcoholism/Drug
SOUTH DEKALB MENTAL HEALTH CENTER,ALCOHOL AND DRUG PROGRAM,200 SOUTH MINI MALL,,DECATUR,GA,30034,(404)243-9500,Alcoholism/Drug
MIDDLE GEORGIA ALCOHOL & DRUG CLINIC,,600 NORTH JEFFERSON STREET,,DUBLIN,GA,31021,(912)272-9230,Alcoholism/Drug
FORT GORDON ALCOHOL AND DRUG ABUSE,PREVENTION AND CONTROL PROGRAM,FIFTH AVENUE,32502 DEPT DPCA,FORT GORDON,GA,30905,(404)791-3673,Alcoholism/Drug
US ARMY HEALTH CLINIC,COMMUNITY MENTAL HEALTH BRANCH,,ADAPCP HQ U S ARMY FORCES COMMAND,BUILDIN,T,127,,FORT
THE ORY DOCK,DRUG FREE OUTPATIENT SERVICE,,MH CENTER OF NORTHWEST GEORGIA,HUTCHESON MEMORIA,TRI-COUNTY,HOSPITAL,,FORT
HEARD COUNTY,MENTAL HEALTH CLINIC,MAPLE STREET,P.O. BOX 589,FRANKLIN,GA,30217,(404)675-3345,Alcoholism/Drug
NORTH GEORGIA ALCOHOL AND DRUG PROGRAM,,315 SOUTH ENOTA STREET,,GAINESVILLE,GA,30501,(404)532-5250,Alcoholism/Drug
PERSONAL GROWTH CENTER,SUBSTANCE ABUSE PROGRAM,141 WEST SOLOMON STREET,,GRIFFIN,GA,30223,(404)228-8892EXT.220,Alcoholism/Drug
WAYNE SUBSTANCE ABUSE CENTER,,P.O. BOX 1266,,JESUP,GA,31545,(912)427-7704,Alcoholism/Drug
DISTRICT FOUR WEST MH/MR SERVICES,,1555 DOCTORS DRIVE,,LA GRANGE,GA,30240,(404)884-2356,Alcoholism/Drug
GWINNETT/ROCKDALE/NEWTON,ALCOHOL ANO DRUG ABUSE PROGRAM,100 CLAYTON STREET SE,,LAWRENCEVILLE,GA,30245,(404)963-8141EXT.232,Alcoh'olism/Drug
DRUG ABUSE SERVICES MACON,,653 2ND STREET,,MACON,GA,31201,(912)745-5824,Drug
MACON-BIBB COUNTY METHADONE CLINIC,,844 SECOND STREET,,MACON,GA,31201,(912)743-1471,Drug
MORNINGSIDE INN,,3035 MILLER FIELD ROAD,,MACON,GA,31201,(912)742-8461,Alcoholism/Drug
DR CHARLES H HENDRY,,2550 WINDY HILL ROAD,SUITE 104,MARIETTA,GA,30067,(404)952-3308,Drug
NORTH COBB COMMUNITY,MENTAL HEALTH CENTER,737 CHURCH STREET,SUITE 470,MARIETTA,GA,30060,(404)424-8047,Alcoholism/Drug
CENTRAL STATE HOSPITAL,ALCOHOL AND DRUG UNIT,,YARBROUGH 3 SE AND 3 SW,MILLEDGEVILLE,GA,31062,(912)453-5096,Alcoholism/Drug
OCONEE ALCOHOL & DRUG PROGRAM,,630 SOUTH WILKINSON STREET,,MILLEDGEVILLE,GA,31061,(912)453-5518,Alcoholism/Drug
CLAYTON OUTPATIENT PROGRAM,,6315 DON HASTINGS ROAD,FLINT RIVER CENTER,RIVERDALE,GA,30274,(404)471-4111EXT.301,Drug
ROBINS AFB DRUG/ALCOHOL ABUSE REHAB,AND EDUCATION,WR-ALC/SLO BUILDING 904,,ROBINS AIR FORCE BASE,GA,31098,(912)926-3919,Alcoholism/Drug
ALCOHOL REHABILITATION & DRUG ABUSE,TREATMENT SERVICES CARDATSl,FORREST HOTEL BUILDING,SUITE 217,ROME,GA,30161,(404)295-6438,Alcoholism/Drug
CHATHAM/EFFINGHAM,COMPREHENSIVE MENTAL HEALTH CENTER,222 EAST 37TH STREET,P.O. BOX 14299,SAVANNAH,GA,31403,(912)944-2313,Alcoholism/Drug
SEARCH,DRUG SERVICES,118 EAST 31ST STREET,,SAVANNAH,GA,31401,(912)944-2194,Alcoholism/Drug
RIDGEVIEW INSTITUTE,DRUG AND ALCOHOL PROGRAM,3995 SOUTH COBB DRIVE,,SMYRNA,GA,30081,,Alcoholism/Drug
I,STATESBORO,,VISTA HALL,OGEECHE,OUTPATIENT,PROGRAM,,236
WILLINGWAY HOSPITAL,METHADONE TREATMENT UNIT,311 JONES MILL ROAD,P.O.BOX 508,STATESBORO,GA,30458,,Alcoholism/Drug
SWAINSBORO DRUG SERVICE,OGEECHEE ALCOHOL & DRUG CLINIC,314 NORTH MAIN STREET,P.O. BOX 1110,SWAINSBORO,GA,30401,(912)237-9994,Alcoholism/Drug
JOHN D ARCHBOLD CMHC,,GORDON AVENUE,P.O. BOX 1018,THOMASVILLE,GA,31792,(912)228-2331,Alcoholism/Drug
MIDSTEP,INTENSIVE RESIDENTIAL TREATMENT CENTER,283 LOVE AVENUE,P.O. BOX 1706,TIFTON,GA,31794,(912)386-3537,Alcoholism/Drug
DISTRICT A & D PROGRAM,,901 NORTH TOOMBS STREET,,VALDOSTA,GA,31601,(912)247-3458,Alcoholism/Drug
HODAC,WARNER ROBINS OUTPATIENT,P.O. BOX 1004,,WARNER ROBINS,GA,31099,(912)922-4144,Drug
SATILLA AREA SUBSTANCE ABUSE,TREATMENT PROGRAM,100 SCREVEN AVENUE,,WAYCROSS,GA,31501,(912)285-7324,Alcoholism/Drug
HALE O ULU,,91-1841D FORT WEAVER ROAD,P.O. BOX 1178,EWA,HI,96706,(808)681-3121,Drug
ALOHA WOMENS,TREATMENT SERVICES PROGRAM,,RR l,,BOX,199,,"HAIKU,"
AWARENESS HOUSE INC,,305 WAILUKU DRIVE,"HILO, HI 96 720",,(8081,961-4771,,Alcoholism/Drug
ALTERNATIVES FOR YOUTH,KALIHI YMCA,1335 KALIHI STREET,,HONOLULU,HI,96819,(808)847-0111,Drug
DRUG ADDICTION SERVICES OF HAWAII,(DASH),2678 KILIHAU STREET,,HONOLULU,HI,96819,(808)836-2330,Drug
KALIHI PALAMA COUNSELING SERVICE,SUBSTANCE ADUSE UNIT,419 WAIAKAMILO ROAD,ROOM 202,HONOLULU,HI,96817,(808)848-0741,Alcoholism/Drug
NUUAllU YMCA,DETACHED COUNSELORS PROGRAM,1441 PALI HIGHWAY,,HONOLULU,HI,96813,(808)536-3556,Drug
PALAMA SETTLEMENT,IN COMMUNITY TREATMENT CENTER,810 NORTH VINEYARD BOULEVARD,,HONOLULU,HI,96817,(808)845-3945,Drug
SALVATION ARMY ADDICTION TREATMENT,FACILITY EXTEtlDED CARE PROG,3624 WAOKANAKA STREET,,HONOLULU,HI,96817,(808)595-6371,Alcoholism/Drug
THE SALVATION ARMY,WOMENS SERVICES UNIT,3624 WAOKANAKA STREET,,HO�OLULU,HI,96817,(808)595-6371,Alcoholism/Drug
YMCA OF HONOLULU,KUKULU KUMUHANA PROJECT,1441 PALI HIGHWAY,,HONOLULU,HI,96813,(808)536-0957,Drug
WINDWARD YMCA,DETACHED COUNSELORS PROGRAM,1200 KAILUA ROAD.,,KAILUA,HI,96734,(808)262-5857,Drug
THE HABILITAT INC,,45-035 KUHONU PLACE,,KANEOHE,HI,96744,(808)235-3691,Alcoholism/Drug
THE SHELTER,,6105 OPAEKAA ROAD,,"KAPAA, KAUAI",HI,96746,(808)822-1748,Alcoholism/Drug
KAUAI OUTREACH PROGRAM,,4396 RICE STREET,,LIHUE KAUAI,HI,96766,(808)245-3071,Alcoholism/Drug
WAIANAE RAP CENTER,,85-134 PLANTATION ROAD,,WAIANAE,HI,96792,(808)537-2917,Alcoholism/Drug
MAUI NO KA OI,,200 SOUTH HIGH STREET,OFFICE OF THE MAYOR,WAILUKU MAUI,HI,96793,(808)877-5910,Drug
TWIN FALLS,BOISE,,REGION V SUBSTANCE ABUSE SERVICES,REGION IV SUBSTANCE ABUSE SERVICES 149 THIR,AVENUE,EAST,,600
REGION III SUBSTANCE ABUSE SERVICES,,107 POPLAR,,CALDl�ELL,ID,83605,(208)454-0421,Alcoholism/Drug
REGION I SUBSTANCE ABUSE SERVICES,,1120 IROMWOOD DRIVE,,COEUR D'ALENE,ID,83814,(208)667-3461EXT.213,Alcoholism/Drug
ATTITUDE AWARENESS CENTER,,280 SOUTH HOLMES,,IDAHO FALLS,ID,83401,(208)523-6666,Alcoholism/Drug
REGION VII SUBSTANCE ABUSE SERVICES,,150 SHOUP AVENUE,,IDAHO FALLS,ID,83401,(208)525-7050,Alcoholism/Drug
REGION II SUBSTANCE ABUSE SERVICES,,1118 F STREET,,LEWISTON,ID,83501,(208)746-2651EXT.400,Alcoholism/Drug
COEUR D ALENE,TRIBAL SUBSTANCE ABUSE CENTER,,,PLUMMER,ID,83851,(208)274-2421,"Alcohol,sm/Drug"
REGION VI SU9STANCE ABUSE SERVICES,,427 NORTH MAIN 1,SUITE A,POCATELLO,ID,83201,(208)236-6035,Alcoholism/Drug
CARLINVILLE CENTER FOR ADDICTIVE PROBLEMS,ALTON 609 NORTH WELLS,,,MACOUPIN COUNTY MENTAL HEALTH CENTER CHICAGO,IL,60610,,MADISON
BLOOMINGTON CENTRAL EAST ALCOHOLISM AND FAMILY GUIDANCE CENTER INC,DRUG COUNCIL CHICAGO UNIT,MC LEAN COUNTY ALCOHOL AND DRUG 635 DIVISION STREET 12 EAST WALTON STREET,,ASSISTANCE UNIT INC P.O. BOX 532 • CHICAGO,IL,60611,,702
INTERVENTIONS,CROSSROADS YOUTH SERVICES,3738 WEST 103RD STREET,SYCAMORE HALL BLDG 22 P.O. BOX 428,CHICAGO,IL,60655,(312)239-1400,Drug
