Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,zip1,zip2,ID,Longitude,Latitude,Match Score
Christian Counseling and Addiction Services Inc,,New Castle Church of Christ,11th Street,,,New Castle,IN,47362,(765)521-5083,TX/PV/OS/OR/IO/AD/SS,47362,,4115IN47362,-85.37300460539484,39.927001588149686,99.4
Comprehensive Mental Health Servs Inc,,,930 North 14th Street,,,New Castle,IN,47362,(765)521-2450 Hotlines: (765)256-1695 (800)333-2647,TX/PV/OS/OR/IO/DD/CM/MC/MD/PI,47362,,2890IN47362,-85.36707254376572,39.94052228980714,100.0
Tara Treatment Center Inc,Ninevah Square,,7919 South l00East,,,Nineveh,IN,46164,(812)526-2611 Hotline: (800)397-9970,TX/RR/PW/SS/PI,46164,,5099IN46164,-86.08403339774172,39.36033626012523,96.09
Behavior Corporation,Noblesville Office Outpatient Services,,54 North 9th Street,Suite 205,,Noblesville,IN,46060,(317)687-0500 Hotline: (317)574-1252,TX/OS/OR/DD/CM/MC/MD/PI,46060,,9973IN46060,-86.01349246036888,40.04618200475639,100.0
Community Addiction Services of,Indiana Inc,,942 North 10th Street,,,Noblesville,IN,46060,(317)633-8240,TX/OS/OR/IO/AD/SS,46060,,6915IN46060,-86.01160894285742,40.054546051367176,100.0
Quinco Consulting Center,Quinco Consulting of North Vernon,,1260 East Buckeye Street,,,North Vernon,IN,47265,(812)348-7449 Hotline: (800)832-5442,TX/PV/OS/OR/DD/SS/CM,47265,,1374IN47265,-85.61435930692329,39.005712768531396,100.0
Community Mental Health Center Inc,,,240 West Craven Street,,,Osgood,IN,47037,(812)689-4281 Hotline: (812)537-1302,TX/PV/OS/OR/AD/CM,47037,,9677IN47037,-85.2939964296734,39.13073702674867,97.0
Southern Hills Counseling Center Inc,Orange County Services,,488 West Hospital Road,,,Paoli,IN,47454,(812)723-4301 Hotlines: (800)883-4020 (812)482-4020,TX/PV/OS/OR/CM,47454,,2497IN47454,-86.473799593036,38.56837649297365,100.0
Four County Counseling Center,Miami County Satellite,,16 South Broadway Street,,,Peru,IN,46970,(317)472-1931 Hotline: (800)552-3106,TX/PV/OS/OR/IO/AD/DD/HV/CM/MC/MD/PI,46970,,9246IN46970,-86.06859525948238,40.75305027922289,98.06
Knox County Hospital,Pike County Office,,400 Main Street,,,Petersburg,IN,47567,(812)886-6800 Hotline: (800)824-7907,TX/PV/OS/OR/IO/AD/DD/CM,47567,,4586IN47567,-87.28235636245573,38.48972435970315,100.0
Northern Indiana Hospital LLC,OBA BHC of Northern Indiana,,1800 North Oak Road,,,Plymouth,IN,46563,(219)936-3784 Hotlines: (800)795-6252 (219)936-3784,TX/PV/OS/DT/OR/IO/ID/IR/AD/DD/PW/PH,46563,,2492IN46563,-86.32879342247173,41.356580458281854,100.0
Otis R Bowen Ctr for Human Servs Inc,Marshall County Office,,990 Illinois Street,,,Plymouth,IN,46563,(219)267-7169 Hotline: (800)342-5653,TX/PV/OS/OR/IO/ID/AD/DD/CM,46563,,6171IN46563,-86.2944946746782,41.34747272420085,100.0
Porter Starke Services Inc,Substance Abuse Program,,3220 Lancer Street,,,Portage,IN,46368,(219)762-9557 Hotline: (219)531-3500,TX/PV/OR/CM,46368,,9944IN46368,-87.18011899030421,41.559179958019115,100.0
Comprehensive Mental Health Servs Inc,,,931 West Water Street,,,Portland,IN,47371,(219)726-9348 Hotlines: (765)286-1695 (800)333-2647,TX/PV/OS/OR/IO/DD/CM/MC/MD/PI,47371,,3513IN47371,-84.9903192394368,40.43205251471697,100.0
SW Indiana Mental Health Center Inc,Gibson Regional Services,,3 JO South 5th Avenue,,,Princeton,IN,47670,(812)423-7791 Hotline: (812)423-7791,TX/OS/OR/DD/CM,47670,,7931IN47670,-87.59173890334053,38.353848866388475,96.82
Wabash Valley Hospital Inc,Outpatient Services,,1207 East Grace Street,,,Rensselaer,IN,47978,(219)866-4194 Hotline: (219)866-4194,TX/PV/OS/OR/IO/CM,47978,,1474IN47978,-87.13731993322136,40.933534211101104,100.0
Dunn Mental Health Center Inc,Addiction Services,,831 Dillion Drive,,,Richmond,IN,47374,(765)983-8000,TX/PV/OS/OR/IO/AD/CM/MC/MD/PI,47374,,6043IN47374,-84.89014602493967,39.865632499505494,96.97
Dunn Mental Health Center Inc,Behavioral Health Care Associates,,600 Promenade Street,,,Richmond,IN,47375,(765)983-8000 Hotline: (765)983-8000,TX/OS/OR/AD/DD/HV/CM,47375,,1620IN47375,-84.89550999999993,39.830620000000074,85.0
Dunn Mental Health Center Inc,Wayne County Office,,809 Dillon Drive,,,Richmond,IN,47375,(765)983-8000 Hotline: (765)983-8000,TX/OS/DT/OR/IO/ID/AD/DD/HV/CM/MC/MD/PI,47375,,1693IN47375,-84.89099804539747,39.865647377383645,98.28
Reid Hospital and Health Care Services,Behavioral Services,,1401 Chester Boulevard,,,Richmond,IN,47374,(765)983-3150 Hotlines: (765)983-3050 (765)983-3150,TX/PV/OS/DT/OD/OR/IO/ID/IR/GH/MC/MD/FG,47374,,2945IN47374,-84.88890424598394,39.84604876946938,100.0
Richmond State Hospital,Adult Chemical Dependency,,498 NW 18th Street,,,Richmond,IN,47374,,TX/PV/OS/IR/DD/HV/PH,47374,,6602IN47374,-84.92573064049974,39.837717451079726,100.0
Community Mental Health Center Inc,,,315 Industrial Access Road,,,Rising Sun,IN,47040,(812)438-2711 Hotline: (812)537-1302,TX/PV/OS/OR/CM,47040,,9105IN47040,-84.849980028742,38.957202461993845,100.0
Four County Counseling Center,Fulton County Satellite,,321 East 8th Street,,,Rochester,IN,46975,(219)223-8565 Hotline: (800)552-3106,TX/PV/OS/OR/IO/CM,46975,,5996IN46975,-86.21213996140852,41.06598251548864,100.0
Wayfarer Addictions Counseling,,,816 1/2 Main Street,,,Rochester,IN,46975,(219)653-2656,TX/PV/OS/OR/IO/SS/CJ,46975,,7125IN46975,-86.21599546596737,41.065848893173055,100.0
Southern Hills Counseling Center Inc,Spencer County Services,,107 North 2nd Street,,,Rockport,IN,47635,(812)649-9168 Hotlines: (800)883-4020 (812)482-4020,TX/PV/OS/OR/CM,47635,,0261IN47635,-87.04602516584372,37.8834196449646,100.0
Hamilton Center Inc,Parke County Center,,205 North Jefferson Street,,,Rockville,IN,47872,(765)569-2031 Hotline: (800)742-0787,TX/PV/OS/OR/DD/CM,47872,,2831IN47872,-87.22761006041927,39.76389542499406,100.0
Dunn Mental Health Center Inc,Rushville Office,,119 East 3rd Street,,,Rushville,IN,46173,(765)983-8000 Hotline: (765)983-8000,TX/OS/OR/IO/AD/DD/HV/CM,46173,,1712IN46173,-85.44391003690842,39.60930250101221,100.0
Rush County Substance Abuse Services,,,246 North Main Street,,,Rushville,IN,46173,(765)938-1749,TX/PV/OS/OR/SS/CJ,46173,,5076IN46173,-85.44477437876381,39.609151459117015,100.0
Lifespring Mental Health Services,Washington County Office,,Highway 60 East,,,Salem,IN,47167,(800)456-2117,TX/PV/OS/OR/DD/CM/MD,47167,,3982IN47167,-86.08937585619087,38.60202672949542,99.85
Southlake Center for Mental Health Inc,Southlake Center Associates,,2001-A South U.S. Highway 41,,,Schererville,IN,46375,(219)322-6622 Hotline: (219)769-4005,TX/OS/OR/SS/CM,46375,,7852IN46375,-87.47064793830286,41.48571499226883,98.6
Lifespring Mental Health Services,Scott County Office,,40 East Cherry Street,,,Scottsburg,IN,47170,(812)752-2837 Hotlines: (800)456-2117 (812)283-4491,TX/PV/OS/OR/DD/CM,47170,,2640IN47170,-85.7699306149827,38.684047511166035,100.0
Quinco Consulting Center,Preferred Counseling Associates,,321 West Bruce Street,Suite C,,Seymour,IN,47274,(812)348-7449 Hotline: (800)832-5442,TX/PV/OS/OR/DD/SS/CM,47274,,1694IN47274,-85.89006382314953,38.955702939515696,100.0
Community Hospitals of IN Inc,Gallahue Mental Health Center/Shelby,,7 East Hendricks Street,,,Shelbyville,IN,46176,(317)588-7600,TX/OS/OR/IO/AD/DD/CM/MC/MD/PI,46176,,1491IN46176,-85.77647000820212,39.52199249040426,100.0
Addiction Recovery Centers of Indiana,Michiana Addictions Recovery Center,,127 West Wayne Street,,,South Bend,IN,46601,(219)233-5920,TX/PV/OS/OR/IO/SS/FG/PI,46601,,0177IN46601,-86.25077633968124,41.673776748792136,100.0
Life Treatment Centers Inc,,,1402 South Michigan Street,,,South Bend,IN,46613-2214,(219)233-5433 Hotlines: (219)233-5433 (888)411-5433,TX/PV/OS/DT/OD/OR/IO/RD/RR/DD/SS/TC/FG,46613,2214.0,2712IN46613,-86.24994326673895,41.65974140710186,100.0
Madison Center Inc,Madison Center for Children,,701 North Niles Avenue,,,South Bend,IN,46617,(219)234-0061,TX/PV/OS/OR/IO/IR/RR/AD/CM/MD/PI,46617,,4994IN46617,-86.24515281752863,41.68465931672639,100.0
Madison Center Inc,Madison Hospital,,403 East Madison Avenue,,,South Bend,IN,46617,,TX/OS/DT/ID/IR/PH/MC/MD/PI,46617,,1704IN46617,-86.24598793044966,41.680519139245746,98.06
Madison Center Inc,,,Quietcare Building,712 North Niles Avenue,,South Bend,IN,46617,(219)234-0061,TX/PV/OS/OR/IO/SS/MD/PI,46617,,1199IN46617,-86.23531499999996,41.68330000000003,85.0
Madison Center Inc,,,813 South Michigan Street,,,South Bend,IN,46613,(219)282-8712,TX/OS/OR/IO/DD/CH/MD/PI,46613,,7505IN46613,-86.25019902831139,41.66594547218176,99.52
Mother Earths Counseling Center for,Addictions,,1211 Vasaar Avenue,,,South Bend,IN,46624-0688,(219)287-8580,TX/PV/OS/OR/IO/SG/PI,46624,688.0,5277IN46624,-86.26799443934975,41.689457992960016,94.57
Options Institute Inc,,,116 South Taylor Street,,,South Bend,IN,46601-1522,(219)233-2292,TX/PV/OS/OD/OR/IO/AD/DD/HV/PW/CM/MC/MD/FG/PI,46601,1522.0,6931IN46601,-86.25717290968498,41.67571283023605,100.0
Pathways Center for Behavioral Health,,,615 North Michigan Street,,,South Bend,IN,46601,(219)284-7425 Hotline: (219)284-3000,TX/OS/DT/OR/IO/ID/DD/HV/GH/MC/MD/PI,46601,,2870IN46601,-86.25055682205195,41.68407901734305,100.0
Victory Clinic Services II,,,4218 Western Avenue,,,South Bend,IN,46619,(219)233-1524,TX/ML/PV/OS/DT/OD/OR/IO/HV/SS/PI,46619,,3989IN46619,-86.30661859470726,41.671849904429024,99.55
Young Womens Christian Association of,St Joseph Cnty/YWCA Mother and Child,,802 North Lafayette Boulevard,,,South Bend,IN,46601,(219)233-9491 Hotline: (219)233-9491,TX/OS/OR/IO/RR/HV/CO,46601,,9251IN46601,-86.25369324640069,41.68505932282892,100.0
Center for Behavioral Health IN Inc,,,751 East Franklin Street,,,Spencer,IN,47460-1829,(812)829-4871,TX/PV/OS/OR/DD/CM/MD/PI,47460,1829.0,7673IN47460,-86.75314998568649,39.28619752604809,100.0
Hamilton Center Inc,,,51 South Main Street,,,Spencer,IN,47460,(812)829-0037 Hotline: (800)742-0787,TX/PV/OS/OR/DD/CM,47460,,0994IN47460,-86.76255548687773,39.28560932599268,100.0
Hamilton Center Inc,Sullivan County Center,,201 West Graysville Street,,,Sullivan,IN,47882,(812)268-6377 Hotline: (800)742-0787,TX/PV/OS/OR/DD/CM,47882,,0013IN47882,-87.40958406172555,39.09906654753545,100.0
Southern Hills Counseling Center Inc,Perry County Services,,1443 9th Street,,,Tell City,IN,47586,(812)547-7905 Hotlines: (800)883-4020 (812)482-4020,TX/PV/OS/OR/CM,47586,,1200IN47586,-86.76848723941679,37.96200822621782,100.0
A P and C Clinic PC OBA,Associated Psychologists Inc,,1801 North 6th Street,Suite 600,,Terre Haute,IN,47804,(812)232-2144,TX/PV/OS/OR/IO/AD/DD/HV/PW/SG/MC/MD/PI,47804,,0608IN47804,-87.41064449185993,39.4878611711263,100.0
Discover Recovery LLC,,,1509-B Wabash Avenue,,,Terre Haute,IN,47807,(812)234-9911,TX/PV/OS/OD/OR/IO/SS/SG/CJ,47807,,0979IN47807,-87.39257503645149,39.46859276828752,98.71
Hamilton Center Inc,,,500 8th Avenue,,,Terre Haute,IN,47804,(812)231-8323 Hotline: (800)742-0787,TX/PV/OS/OR/DD/CM,47804,,2807IN47804,-87.41127036857011,39.4847974597872,100.0
Recovery Associates Inc,Fellowship House,,2940 Jefferson Street,,,Terre Haute,IN,47802,(812)232-5272,TX/OS/RR/HH,47802,,2266IN47802,-87.42198436866605,39.434901121740666,100.0
Terre Haute Regional Hospital,Lamb Center,,390 I South 7th Street,,,Terre Haute,IN,47802,(812)234-7766,TX/PV/OS/DT/OR/IO/ID/DD/GH/MC/MD/FG/PI,47802,,1584IN47802,-87.40694266084174,39.46250286597861,97.39
Christian Service Center Inc,,,791 Juniper Street,,,Valparaiso,IN,46385,(219)759-7117,TX/PV/OS/OR/IO/AD/DD/SS/CO/PI,46385,,1887IN46385,-87.1361725344956,41.5488080082223,98.04
Joseph Corporation,OBA Care Counseling Services,,793-2 Juniper Road,,,Valparaiso,IN,46385,(219)759-6760,TX/PV/OS/OR/IO/SS/PI,46385,,7262IN46385,-87.13614264762049,41.549057333322615,99.69
Porter Memorial Hospital,Maternal/Child Psych Detox,,814 LaPorte Avenue,,,Valparaiso,IN,46383,,TX/DT/ID/GH/MC/MD/PI,46383,,0662IN46383,-87.04996357068885,41.46715196849164,100.0
Porter Starke Services Inc,Porter Starke Counseling Centers,,601 Wall Street,,,Valparaiso,IN,46383,(219)531-3500 Hotline: (219)531-3500,TX/PV/OS/OR/IO/AD/CM/MD/PI,46383,,2935IN46383,-87.05349201664961,41.488964698039545,100.0
Porter Starke Services Inc,Porter Starke Counseling Ctrs and Hosp,,601 Wall Street,,,Valparaiso,IN,46383,(219)531-3500 Hotline: (219)531-3500,TX/PV/OS/OR/IO/AD/CM,46383,,2935IN46383,-87.05349201664961,41.488964698039545,100.0
Porter Starke Services Inc,Substance Abuse Program,,600 North Vale Park Road,,,Valparaiso,IN,46383,(219)531-3681 Hotline: (219)531-3500,TX/PV/OS/IO/DD/SS,46383,,9184IN46383,-87.05326394506416,41.49281794274817,99.89
Alcohol and Drug Program,Jennings County,,28 Perry Street,,,Vernon,IN,47282,(812)346-6666,TX/PV/OS/OR/AD/SS/CJ,47282,,8560IN47282,-85.60808637440577,38.98493537166386,99.55
Community Mental Health Center Inc,,,205 West Main Street,,,Vevay,IN,47043,(812)427-2737 Hotline: (812)537-1302,TX/PV/OS/OR/CM,47043,,7715IN47043,-85.06831335139844,38.746875742798096,100.0
Knox County Hospital,OBA Samaritan Center,,515 Bayou Street,,,Vincennes,IN,47591,(812)886-6800 Hotline: (800)824-7907,TX/PV/OS/DT/OR/IO/ID/RR/AD/DD/HV/PW/CM/MC/MD,47591,,9433IN47591,-87.53511332326347,38.67414940552511,100.0
Knox County Hospital,DBA Samaritan Center,,406 North 1st Street,,,Vincennes,IN,47591,(812)886-6800 Hotline: (800)824-7907,TX/PV/OS/OR/AD/DD/CM,47591,,8833IN47591,-87.5290335936142,38.68275535697252,100.0
Otis R Bowen Ctr for Human Servs Inc,Wabash County Office,,710 North East Street,Wabash County Hospital Lower Level,,Wabash,IN,46992,(219)267-7169 Hotline: (800)342-5653,TX/PV/OS/OR/IO/ID/AD/DD/CM,46992,,2800IN46992,-85.81529540280599,40.80696389582332,98.16
Parkview Behavioral Health,,,216 Manchester Avenue,,,Wabash,IN,46992,(219)563-8504 Hotline: (800)284-8439,TX/PV/OS/OR/IO/SS,46992,,3322IN46992,-85.81850089403741,40.806492539498294,100.0
Kosciusko Community Hospital,Medpark Center,250 I East Center Street,,Medpark Center,,Warsaw,IN,46580,(219)372-7875 Hotline: (219)372-7875,TX/PV/OS/OR/SS/PI,46580,,6549IN46580,-85.85795999999993,41.23779500000006,100.0
Otis R Bowen Ctr for Human Servs Inc,,,850 North Harrison Street,,,Warsaw,IN,46580,Hotline: (800)342-5653,TX/PV/OS/DT/OR/IO/ID/AD/DD/CM,46580,,5101IN46580,-85.82831358808474,41.246398371293594,100.0
Knox County Hospital,,,2007 State Street,,,Washington,IN,47501,(812)886-6800 Hotline: (800)824-7907,TX/PV/OS/OR/IO/AD/DD/CM,47501,,5825IN47501,-87.15190570203211,38.655022908307146,100.0
Wabash Valley Hospital Inc,Riverside,,2900 North River Road,,,West Lafayette,IN,47906,Hotline: (765)463-2555,TX/PV/OS/DT/OD/OR/IO/ID/IR/CM/MD/FG/PI,47906,,2674IN47906,-86.89249912597855,40.459396294532155,100.0
Four County Counseling Center,Pulaski County Satellite,,616 West I Ith Street,,,Winamac,IN,46996,(219)946-4233 Hotline: (800)552-3106,TX/PV/OS/OR/IO/CM,46996,,1403IN46996,-86.60337499999996,41.05328500000007,85.0
Dunn Mental Health Center Inc,Winchester Office,,132 North Main Street,,,Winchester,IN,47394,(317)584-1735 Hotline: (765)983-8000,TX/OS/OR/IO/AD/DD/HV/CM,47394,,2249IN47394,-84.9812940251926,40.17353001990054,100.0
Center for Addictions Recovery Inc,,,511 Duff Avenue,Suite B,,Ames,IA,50010,(515)232-3206,TX/PV/OS/OR/IO/SS/MD/PI,50010,,1934IA50010,-93.61048304178316,42.02647205070895,100.0
Seven 12 House,Youth Recovery House,,712 Burnett Street,,,Ames,IA,50010,(515)233-5048 Hotlines: (515)233-2330 (515),TX/PV/OS/OR/IO/RR/AD/DD/SS/TC/MD/PI,50010,,4425IA50010,-93.61541780345851,42.02839037497918,98.04
Anamosa State Penitentiary,Substance Abuse Program,,North High Street,,,Anamosa,IA,52205,,TX/OS/IO/CJ,52205,,1872IA52205,-91.28929352628431,42.11061535579199,100.0
Cornerstone Recovery Center,,,50 I SW Ankeny Road,,,Ankeny,IA,50021,(515)289-2272,TX/OS/OR/IO/RR/AD/DD/SS/MD/PI,50021,,6176IA50021,-93.6083424976542,41.69962878749711,95.63
Alcohol and Drug Assistance Agency Inc,,,320 Walnut Street,,,Atlantic,IA,50022,(712)243-5091,TX/OS/OR/IO/RR/AD/DD/PW/SS/TC/CJ/MD,50022,,1094IA50022,-95.01158370404104,41.40721608018836,100.0
New View Substance Abuse Center,,,212 Market Street,,,Audubon,IA,50025-1136,(712)563-2777,TX/PV/OS/OR/IO/AD/SS,50025,1136.0,3565IA50025,-94.93722143733751,41.726993936425245,100.0
Alcohol and Drug Dependency,Services of Southeast Iowa,,1340 Mount Pleasant Street,Lincoln Center,,Burlington,IA,52601,(319)753-6567,TX/PV/OS/OR/IO/RR/AD/SS/TC/MD/FG/PI,52601,,4289IA52601,-91.11524310480586,40.81831261553712,100.0
Burlington Medical Center,Riverview Rehabilitation Center,,602 North 3rd Street,,,Burlington,IA,52601,(319)753-3633,TX/OS/OR/IO/SS/GH,52601,,2576IA52601,-91.10189564215858,40.812097309464505,100.0
Woodlands Treatment Center,,,4715 Sullivan Slough Road,,,Burlington,IA,52601,(319)753-0700,TX/OS/RR/AD/DD/SS/TC/MD,52601,,7111IA52601,-91.12341922162399,40.74689070145369,100.0
New View Substance Abuse Treatment and Prevention Center,,,322 West 3rd Street,,,Carroll,IA,51401,(712)792-1344,TX/PV/OS/OR/IO/AD/SS,51401,,1084IA51401,-94.87183406767454,42.0635799494144,100.0
Daniel J Murphy MD,,,310 West 4th Street,,,Cedar Falls,IA,50613,(319)277-5808,TX/ML/PV/OS/DT/OD/OR/DD/SS/SG/PI,50613,,4549IA50613,-92.44867020866306,42.535012468013406,100.0
Area Substance Abuse Council Inc,,,3601 16th Avenue SW,,,Cedar Rapids,IA,52404,(319)390-4611,TX/PV/OS/OR/IO/RR/AD/PW/SS/HH/MD/FG/PI,52404,,3435IA52404,-91.71812800304878,41.96276581471915,100.0
Mercy Medical Center,Sedlacek Treatment Center,,701 10th Street SE,,,Cedar Rapids,IA,52403-1251,(319)398-6226 Hotline: (319)398-6226,TX/OS/DT/OR/IO/ID/IR/AD/DD/OH/MC/MD/PI,52403,1251.0,8900IA52403,-91.65578114411598,41.97806890680366,100.0
Saint Lukes Methodist Hospital,Chemical Dependency Services,,1030 5th A vneue SE,,,Cedar Rapids,IA,52403,(319)363-4429,TX/PV/OS/OR/IO/OH/MC/MD/PI,52403,,7360IA52403,-91.6554172018801,41.98138742799935,88.84
Lucas County Health Center,,,1200 North 7th Street,,,Chariton,IA,50049,(515)774-3370 Hotline: (515)774-3000,TX/PV/OS/DT/OR/IO/ID/AD/DD/SS/OH/CM/CJ,50049,,6333IA50049,-93.30336357155035,41.02775957017568,100.0
Southern IA Economic Development Assoc,Chariton Office,,115 South Main Street,City Hall,,Chariton,IA,50049,(515)682-8741,TX/PV/OS/OR/IO/AD/SS,50049,,0993IA50049,-93.30844644145508,41.01385931531613,100.0
Behavioral Health Management Services,Synergy Center,,1231 West Cedar Loop,Suite 210,,Cherokee,IA,51012,(712)225-2441,TX/OS/RR/SS/MD/PI,51012,,0055IA51012,-95.56750101931112,42.75301677937325,100.0
Clarinda Correctional Facility,The Other Way Subst Abuse Trt Program,,2000 North 16th Street,Clarinda Treatment Complex,,Clarinda,IA,51632,,TX/OS/RR/CJ,51632,,6722IA51632,-95.03768143957542,40.75369637621782,100.0
New Directions Center for Alcohol and Other Chemical Dependencies King House,,,2219 Garfield Street,,,Clinton,IA,52732-2429,(319)242-6611 Hotlines: (319)243-2124 (319)242-6805,TX/OS/RR/DD/HH,52732,2429.0,9570IA52732,-90.17814683270552,41.86989801557264,100.0
New Directions Inc,Center for Ale and Other Chem Dcp,,217 6th Avenue South,,,Clinton,IA,52732-9998,(319)243-2124,TX/PV/OS/OR/IO/RR/AD/SS/HH/MD/FG/PI,52732,9998.0,4085IA52732,-90.18869791768644,41.83999130068154,100.0
Samaritan Health Systems,The Bridge,,638 South Bluff Boulevard,,,Clinton,IA,52732,(319)244-5530,TX/PV/OS/OR/IO/GH,52732,,3282IA52732,-90.2122516322604,41.839855481342994,100.0
Southern IA Economic Development Assoc,Corydon Office,Courthouse,,Room 302,,Corydon,IA,50060,(515)872-1676,TX/PV/OS/OR/AD/SS,50060,,6549IA50060,-93.31800999999996,40.75897000000003,100.0
Addictions Treatment Program,Jennie Edmundson Memorial Hospital,,933 East Pierce Street,,,Council Bluffs,IA,51501,(712)328-6724,TX/PV/OS/DT/OR/IO/ID/IR/AD/DD/SS/GH/MC/MD/PI,51501,,6033IA51501,-95.83533979758387,41.269031311976136,98.72
Alegcnt Health,Mercy Chemical Dependency Services,,800 Mercy Drive,,,Council Bluffs,IA,51503,Hotline: (402)572-2993,TX/PV/OS/DT/OD/OR/IO/ID/AD/DD/SS/GH/CM/MC/MD/PI,51503,,1860IA51503,-95.83845903903187,41.268210472198454,98.83
Center for Ale and Drug Services,,,1523 South Fairmount Street,,,Davenport,IA,52802-3621,(319)322-2667,TX/PV/OS/OR/IO/DD/HV/PW/SS/MD/PI,52802,3621.0,8324IA52802,-90.63021447073206,41.503130910686735,100.0
Center for Alcohol and Drug Services,Prevention and Adolescent Services,,I 60 I Harrison Street and,Forest Grove Road,,Davenport,IA,52803,(319)326-4116,TX/PV/OS/OR/IO/AD/SS/MD/PI,52803,,2544IA52803,-90.57718250856344,41.55687709073099,92.77
Country Oaks,Center for Alcohol and Drug Services,,12160 Utah Avenue,,,Davenport,IA,52804,(319)326-1150,TX/OS/DT/IO/RD/RR/DD/HV/PW/SS/HH/MD/PI,52804,,1826IA52804,-90.66912821059549,41.48255371557667,99.55
Family Resources Inc,Wittenmyer Youth Center/Leslie East,,2800 Eastern Avenue,,,Davenport,IA,52803,,TX/OS/RR/AD/DD/SS/MD,52803,,3011IA52803,-90.55150387368722,41.54692685769263,100.0
Genesis Medical Center/West Campus,Addictions Recovery Programs,West Central Park at Marquette,,,,Davenport,IA,52804,(319)421-2900,TX/OS/DT/OR/IO/ID/IR/DD/SS/GH/MC/MD/PI,52804,,6549IA52804,-90.603795,41.541900000000055,100.0
Northeast Iowa Mental Health Center,Alcohol and Related Problems Serv Ctr,,905 Montgomery Street,,,Decorah,IA,52101,(319)382-3649 Hotlines: (319)382-3649 (319)283-5775,TX/OS/OR/IO/AD/DD/CM/MC/MD/FG/PI,52101,,6613IA52101,-91.77117927140301,43.29448323494048,100.0
Bernie Lorenz Recovery Inc,,,4014 Kingman Boulevard,,,Des Moines,IA,50311,(515)255-3373,TX/OS/OR/RR/DD/PW/HH/MD,50311,,1296IA50311,-93.67150880249926,41.59641344195477,100.0
Des Moines General Hospital,Gateway Centers,,603 East 12th Street,,,Des Moines,IA,50309,(515)263-4662 Hotline: (800)247-0764,TX/OS/DT/OR/IO/ID/IR/RR/SS/GH/TC/HH/MC/MD/PI,50309,,0238IA50309,-93.60246172808222,41.59412208553131,99.52
First Step Mercy Recovery Center,Mercy Franklin Center,,1818 48th Street,,,Des Moines,IA,50310,(515)271-6075,TX/OS/OR/IO/AD/DD/SS/OH/MC/MD/PI,50310,,1866IA50310,-93.68268207352742,41.61075132042669,100.0
House of Mercy,,,1409 Clark Street,,,Des Moines,IA,50314-1964,(515)643-6500,TX/PV/OS/OR/RR/PW/SS/HH/MD/FG,50314,1964.0,5417IA50314,-93.63728199789172,41.605877537096895,100.0
Iowa Methodist Medical Center,Powell Chemical Dependency Center,,700 East University,,,Des Moines,IA,50309,(515)263-2424 Hotline: (515)263-2442,TX/PV/OS/DT/OD/OR/IO/ID/IR/RR/DD/GH/MC/MD/FG/PI,50309,,0066IA50309,-93.60955902077706,41.600407507084775,96.39
United Community Services,,,130 I 19th Street,,,Des Moines,IA,50314,(515)280-3860,SS/MD/PI,50314,,5301IA50314,-93.64253944683351,41.59851075923275,94.33
YA Central Iowa Health Care System,,,3600 30th Street,,,Des Moines,IA,50310-5774,(515)699-5805,TX/DT/OD/OR/IO/RR/SS/GH/TC/FG,50310,5774.0,9605IA50310,-93.65878677631727,41.62773992942067,100.0
Mercy Turning Point Treatment Center,Professional Arts Plaza,,Suite 206,,,Dubuque,IA,52001,(319)589-8290 Hotline: (319)589-8280,TX/PV/OS/DT/OR/IO/ID/AD/DD/SS/MC/MD/FG/PI,52001,,8971IA52001,-90.668705,42.50369000000006,85.45
Substance Abuse Services Center Inc,Nesler Centre,,Town Clock Plaza Suite 270,,,Dubuque,IA,52001,,TX/PV/OS/OR/IO/RR/AD/PW/SS/HH/MD/PI,52001,,9013IA52001,-90.668705,42.50369000000006,85.0
Addiction Management Systems Inc,,,West Edgington Avenue,State Training School,,Eldora,IA,50627,,TX/OS/OR/IO/AD/DD/CJ,50627,,4487IA50627,-93.10395214316286,42.360600464885735,98.51
Marian Behavioral Care,Chemical Dependency Services,,2508 West Main Street,,,Emmetsburg,IA,50536,(712)852-4545,TX/PV/OS/OR/IO/SS,50536,,8223IA50536,-94.68356999321077,43.11194250970691,98.87
Community and Family Resources Inc,,,726 South 17th Street,,,Fort Dodge,IA,50501,(515)576-7261,TX/PV/OS/DT/OR/IO/RD/RR/AD/DD/HV/PW/SS/TC/MD/PI,50501,,0303IA50501,-94.17484722760271,42.498199149266895,100.0
New Life Associates Inc,,,809 Central Avenue,Suite 315,,Fort Dodge,IA,50501-4732,(515)955-2424,TX/PV/OS/OR/AD/SS/SG,50501,4732.0,7628IA50501,-94.18735579316845,42.505052654307796,100.0
Trinity Regional Hospital,,,802 Kenyon Road,,,Fort Dodge,IA,50501,(515)574-6502,TX/PV/OS/DT/OR/IO/ID/AD/DD/SS/GH/MC/MD/PI,50501,,0038IA50501,-94.18996364661764,42.49249692241261,100.0
Iowa State Penitentiary,Substance Abuse Program,,31 Avenue G,,,Fort Madison,IA,52627-0316,,TX/PV/OS/IO/CJ,52627,316.0,7374IA52627,-91.30086788238322,40.630870816319955,100.0
River Center for Community,Mental Health,,815 Avenue,Suite H,,Fort Madison,IA,52627,(319)372-7930,TX/PV/OS/OR/IO/AD/DD/CM,52627,,5206IA52627,-91.3059076653862,40.637241153014884,99.68
