Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys,zip1,zip2,ID
Hina Mauka/Teen Care,Olomana High School,,42-471 Kalanianaole Highway,,,Kailua,HI,96734,(808)266-7874,TX/OS/OR/AD/SS/SC,96734,,7808HI96734
YMCA Outreach Services,School Based/Kailua High School,,451 Ulumanu Drive,,,Kailua,HI,96734,(808)848-2494,TX/PV/OS/OR/AD/SS/SC,96734,,2342HI96734
Drug Addiction Services of Hawaii Inc,(DASH) Kona Office,,74-5620-A Polani Road,,,Kailua Kona,HI,96740,(808)331-1024,TX/ML/OS/DT/OD/OR/IO/DD/HV/PW,96740,,1395HI96740
ss,Outpatient Treatment,,75-5467 Kaiwi Street,,,Kailua Kona,HI,96745-2077,(808)334-0266,TX/OS/OR/IO/AD/PW/SS,96745,2077.0,6238HI96745
Alcoholic Rehab Services of HI Inc,DBA Hina Mauka Adult Continuum,,45-845 Pookela Street,,,Kaneohe,HI,96744,(808)236-2600,TX/OS/OR/IO/RR/DD/PW/SS/FG/PI,96744,,4026HI96744
Habilitat Inc,,,45-035 Kuhonu Place,,,Kaneohe,HI,96744,(808)235-3691 Hotline: (800)872-2525,TX/PV/OS/RR/AD/SS/TC,96744,,0904HI96744
Hina Mauka/Teen Care,Castle High School,,45-386 Kaneohe Bay Drive,,,Kaneohe,HI,96744,(808)233-5613,TX/OS/OR/AD/SS/SC,96744,,2798HI96744
Substance Abuse Counseling Center,Marine Corps Base Hawaii,,,,,Kaneohe Bay,HI,96863,(808)257-7120,TX/PV/OS/OR/IO/SS/FG,96863,,8001HI96863
Hale Hookupaa,,,Ala Malamalama Street,,,Kaunakakai,HI,96748,(808)553-3231,TX/PV/OS/OR/AD/SS,96748,,2605HI96748
Teen Challenge Hawaii Inc,Olowalu Village,,,,,Lahaina,HI,96761,(808)456-3114 Hotline: (808)627-0700,TX/PV/OS/RR/AD/SS/TC/CO,96761,,6932HI96761
Child and Family Service,Kauai Office,,4375 Puaole Street,Building B,,Lihue,HI,96766,(808)245-5914,TX/PV/OS/OR/PW/CO,96766,,2479HI96766
Ke Ala Pono Recovery Center,,,4371 Puaole Street,Suite B,,Lihue,HI,96766,(808)245-0663,TX/PV/OS/DT/OD/OR/IO/AD/DD/SS/PI,96766,,6092HI96766
Aloha House Inc,Adult Residential Treatment,,4593 Ike Drive,Maunaolu Campus,,Makawao,HI,96768,(808)579-9584,TX/PV/OS/RR/SS/MD/PI,96768,,8476HI96768
Aloha House Inc,Outpatient Services,,4593 Ike Drive,Maunaolu Campus,,Makawao,HI,96768,(808)579-9584,TX/PV/OS/OR/IO/AD/HV/SS/PI,96768,,8476HI96768
Maui Youth and Family Services Inc,Ho'omaka Hou I (Adolescent Resid Pgm),,200 Ike Drive,,,Makawao,HI,96768,(808)579-8414 Hotline: (808)579-8406,TX/OS/RR/AD/SS/PI,96768,,8845HI96768
Hina Mauka/Teen Care,Milliani High School,,95-1200 Meheula Parkway,,,Mililani,HI,96789,(808)627-7486,TX/OS/OR/IO/AD/DD/SS/SC/FG,96789,,3090HI96789
Drug Addiction Services of Hawaii Inc,Hui Hoola,,15-2927 Government Main Road,,,Pahoa,HI,96778,(808)965-1325,TX/PV/OS/DT/OD/IO/SS/FG,96778,,6980HI96778
Hina Mauka Teen Care,Pearl City High School,,2100 Hookiekie Street,,,Pearl City,HI,96782,(808)453-6048,TX/OS/OR/AD/SS/SC,96782,,3361HI96782
Naval Counseling and Assistance Center,Comnavbase Pearl Harbor,,,,,Pearl Harbor,HI,96860-5020,(808)474-4014 Hotline: (808)471-9732,TX/PV/OS/DT/OD/OR/IO/DD/SS/OH/FG,96860,5020.0,6600HI96860
Schofield Barracks Ale and Drug Abuse,Prevention and Control Program,,Building T-695A,,,Schofield Barracks,HI,96857-5000,(808)433-8700,TX/PV/OS/OR/IO/DD/PW/SS/FG,96857,5000.0,1841HI96857
Tri-Service Addictions Recovery,Facility TRISARF,,1 Jarrett White Road,,,Tripler Army,HI,96859-5000,(808)433-6098,TX/OS/IO/IR/GH/FG,96859,5000.0,8396HI96859
New Horizons Leaming Center,,,98-211 Poli Momi Street,,,Waianae,HI,96792,(808)484-1000 Hotlines: (808)696-2668 (808)484-1000,TX/PV/OS/OR/IO/AD/DD/SS/SG,96792,,0975HI96792
Waianae Coast Community MH Center,School Based/Nanakuli and Waianae HS,,86-226 Farrington Highway,,,Waianae,HI,96792,(808)696-4211,TX/PV/OS/IO/AD/HV/PW/SS/GH/PH/CM/CH,96792,,5286HI96792
Waianae Coast Community MH Center,School Based/Waianae High School,,85-251 Farrington Highway,,,Waianae,HI,96792,(808)696-421l,TX/PV/OS/OR/IO/AD/DD/PW/SS/PH/CM,96792,,1678HI96792
Waianae Coast Community MH Center,,,86-226 Farrington Highway,,,Waianae,HI,96792,(808)696-7324 Hotlines: (808)696-4211 (808)696-7324,TX/PV/OS/OR/IO/AD/DD/HV/PW/SS/PH/CM/PI,96792,,5286HI96792
Waianae Coast Comprehensive Health Ctr,Malama Recovery Services,,89-188 Farrington Highway,,,Waianae,HI,96792,(808)668-2277,TX/OS/OR/IO/PW/SS/PI,96792,,7772HI96792
Hina Mauka/Waipahu Site,Alcohol Rehab Services of HI Inc,,94-216 Farrington Highway,Suite 82-306,,Waipahu,HI,96797,(808)671-6900,TX/OS/OR/IO/DD/SS/FG/PI,96797,,1041HI96797
YMCA Outreach Services,School Based/Waipahu High School,,94-1211 Farrington Highway,,,Waipahu,HI,96797,(808)848-2494,TX/PV/OS/OR/AD/SS/SC,96797,,1216HI96797
Road to Recovery Inc,,,583 West Sexton Street,,,Blackfoot,ID,83221,(208)233-2492,TX/PV/OS/DT/OR/RD/RR/AD/DD/HV/PW/SS/TC/HH,83221,,6254ID83221
Alcoholism Intervention Services,,,4477 Emerald Street,Suite A-200,,Boise,ID,83706-2016,(208)322-5249,TX/PV/OS/OR/IO/SS/PI,83706,2016.0,9500ID83706
Boise Center for Recovery,Outpatient Services,,410 South Orchard Street,Suite 132,,Boise,ID,83705,(208)345-1599,TX/OS/OR/IO/AD/DD/SS/MC/MD/PI,83705,,2521ID83705
Crossroads Counseling Services,,,1010 North Orchard Street,Suite 2,,Boise,ID,83706-2255,(208)368-0372,TX/OS/OR/IO/AD/DD/SS/SG/PI,83706,2255.0,3049ID83706
First Step for Women,First Step for Men,,1818 West State Street,,,Boise,ID,83702,(208)344-5611,TX/OS/IO/DD/SS,83702,,4874ID83702
Nelson Institute Inc,,,1088 North Orchard Street,Suite l,,Boise,ID,83706,(208)345-6300,TX/PV/OS/OR/IO/AD/SS,83706,,7872ID83706
Port of Hope Centers Inc,,,710 North 6th Street,,,Boise,ID,83706,(208)463-0118,TX/OS/OR/AD/DD/HV/SS/SG,83706,,0343ID83706
Port of Hope Family Treatment Centers,Region IV,,710 North 6th Street,,,Boise,ID,83702,(208)331-9666,TX/OS/OR/IO/AD/DD/SS/FG,83702,,4981ID83702
Saint Alphonsus,Addiction Recovery Center,,6148 Emerald Street,,,Boise,ID,83704,(208)367-3553,TX/PV/OS/DT/OD/OR/IO/DD/SS,83704,,8519ID83704
The Aerie Addictions Recovery Ctr Inc,,,9600 West Brookside Lane,,,Boise,ID,83703,(208)939-4141,TX/PV/OS/DT/RD/RR/SS/PI,83703,,1923ID83703
The Healing Center Inc,,,2503 West State Street,,,Boise,ID,83702,(208)336-4184,TX/OS/OR/IO/SS,83702,,7032ID83702
Veterans Affairs Medical Center,Substance Abuse Treatment Programs,,500 West Fort Street,,,Boise,ID,83702-4598,(208)422-1145,TX/PV/OS/DT/OD/OR/ID/RR/DD/SS/GH/FG/PI,83702,4598.0,8001ID83702
Womens Services at YWCA,,,720 West Washington Street,,,Boise,ID,83702,(208)342-0633 Hotline: (800)974-0118,TX/OS/RR/PW/SS/MC,83702,,4524ID83702
Kootenai Tribe,Substance Abuse Services,,County Road 38-A,,,Bonners Ferry,ID,83805,(208)267-5223,TX/PV/OS/OR/IO/AD/DD/SS/SG/FG,83805,,3462ID83805
Bell Chemical Dependency,Counseling Inc Caldwell,,111 East Logan Street,,,Caldwell,ID,83605,(208)459-6557,TX/PV/OS/OR/IO/AD/DD/SS/SG/SC/CJ/FG,83605,,6355ID83605
Comprehensive Clinical Services,,,40 l l/2 Sherman Avenue,Suite 207,,Coeur d Alene,ID,83814,(208)667-9711,TX/PV/OS/OR/AD/DD/SG,83814,,0198ID83814
Idaho Youth Ranch,Anchor House,,1609 Government Way,,,Coeur d Alene,ID,83814,(208)667-3340,TX/PV/OS/OR/RR/AD/SS/MD,83814,,6533ID83814
North Idaho Behavioral Health,,,2301 North Ironwood Place,,,Coeur d Alene,ID,83814,(208)765-4800,TX/OS/DT/OR/IO/ID/AD/DD/SS/GH,83814,,4703ID83814
Port of Hope Centers Inc,Region I,,218 North 23rd Street,,,Coeur d Alene,ID,83814,(208)664-3300,TX/PV/OS/DT/OR/IO/RD/RR/DD/SS/HH/FG/PI,83814,,2424ID83814
North Idaho Correctional Institution,,,Road to Recovery,Star Route 3,,Cottonwood,ID,83522,(208)962-3721,TX/OS/RR/CJ,83522,,9591ID83522
Bell Chemical Dep Counseling Inc,,,621 South Washington Street,,,Emmett,ID,83617,(208)365-1060,TX/PV/OS/OR/IO/AD/DD/SS/CM/SG/MD/PI,83617,,0375ID83617
Shoshone Bannock,Tribal Chemical Dependency Program,,Agency Road,,,Fort Hall,ID,83203,(208)238-3969 Hotline: (208)230-4000,TX/OS/OR/RR/SS/TC/FG,83203,,4136ID83203
Walker Center,,,1120-A Montana Street,,,Gooding,ID,83330,(208)934-8461 Hotline: (800)227-4190,TX/PV/OS/RR/SS/PI,83330,,0715ID83330
Alcoholic Rehabilitation Association,,,163 East Elva Street,,,Idaho Falls,ID,83401,(208)522-6012 Hotline: (208)522-6012,TX/OS/DT/OR/RD/RR/SS,83401,,3875ID83401
Community Alcohol/Drug Treatment Servs,,,589 North Water Avenue,,,Idaho Falls,ID,83402-3712,(208)535-0175 Hotline: (208)535-0175,TX/PV/OS/OR/IO/RR/AD/DD/SS/TC/SG,83402,3712.0,4224ID83402
Nez Perce Tribe,Alcohol and Substance Abuse,,Agency Road,Bia Campus,,Lapwai,ID,83540,(208)843-2391,TX/PV/OS/OR/IO/AD/SS/FG,83540,,5722ID83540
Port of Hope Family Treatment Centers,,,828 8th Avenue,,,Lewiston,ID,83501,(208)746-1442 Hotline: (800)721-6973,TX/PV/OS/DT/OR/RD/RR/AD/DD/PW,83501,,9359ID83501
ss,Riverside Recovery,,1720 18th Avenue,,,Lewiston,ID,83501,(208)746-4097,TX/PV/OS/OR/IO/AD/DD/SS/PI,83501,,0596ID83501
Saint Joseph Regional Medical Ctr Inc,Saint Joseph Mental Health,,415 6th Street,,,Lewiston,ID,83501,(208)743-2511 Hotline: (800)799-3997,OS/DT/ID/GH,83501,,2658ID83501
Mercy Centers for Recovery,Mercy Medical Center,,1512 12th Avenue Road,,,Nampa,ID,83686,(208)463-5000,TX/OS/DT/OR/IO/ID/IR/AD/DD/GH/MC/MD/PI,83686,,6529ID83686
Port of Hope Centers Inc,Region III,,508 East Florida Street,,,Nampa,ID,83686,(208)463-0118,TX/PV/OS/DT/OR/IO/RD/RR/SS/HH/PI,83686,,9293ID83686
State Hospital North,Chemical Dependency Program,,300 Hospital Drive,,,Orofino,ID,83544,,TX/OS/IR/DD/SS/PH/TC/CM,83544,,3824ID83544
Bell Chemical Dependency Counseling,,,14 South Main Street,Suite 106,,Payette,ID,83661,(208)365-1060,TX/PV/OS/OR/IO/AD/SS/SG,83661,,0971ID83661
Coeur D'Alene Tribe Social Services,Family Healing Center,,235 I Ith Street,,,Plummer,ID,83851,(208)686-7004,TX/PV/OS/OR/IO/AD/SS/CJ,83851,,3002ID83851
Road to Recovery Inc,,,600 East Oak Street,,,Pocatello,ID,83201,,TX/OS/DT/OD/OR/IO/DD/PW/SS,83201,,4464ID83201
Road to Recovery Inc,,,343 East Bonneville Street,,,Pocatello,ID,83201-6434,(208)233-2492,TX/RR/HH,83201,6434.0,4091ID83201
Carroll Counseling and Consulting,,,1301 Main Street,Suite 8,,Salmon,ID,83467,(208)756-2970,TX/OS/OR/SG/FG/PI,83467,,3863ID83467
Canyon View Psychiatric and Addiction,Serv of Magic Valley Reg Medical Ctr,,228 Shoup Avenue West,,,Twin Falls,ID,83301,(208)734-6760 Hotlines: (208)734-6760 (800)657-8000,TX/PV/OS/DT/IO/ID/AD/DD/SS/OH,83301,,3887ID83301
Port of Hope Centers Inc,,,425 2nd Avenue North,,,Twin Falls,ID,83301,(208)734-5180,TX/OS/DT/OR/IO/RD/RR/AD/DD/PW/SS,83301,,5023ID83301
Walker Center,,,263 2nd Avenue North,,,Twin Falls,ID,83301,(208)734-4200,TX/PV/OS/OR/IO/SS/PI,83301,,2728ID83301
Bell Chem Dependence Counseling Inc,,,270 East 7th Street,Suite G,,Weiser,ID,83672,(208)365-1060,TX/PV/OS/OR/IO/AD/DD/SS/SG,83672,,4325ID83672
Serenity House Inc,,,891 South Route 53,,,Addison,IL,60101,(630)620-6616 Hotlines: (630)627-1700 (630)627-7772,TX/PV/OS/OR/IO/RR/SS/HH,60101,,7543IL60101
Southeastern/Edwards Family,Counseling Center/DUI,,254 South 5th Street,,,Albion,IL,62806,(618)445-3559 Hotlines: (618)445-3559 (618)395-5026,TX/PV/OS/OR/IO/AD/CM,62806,,8420IL62806
Alternative Pathways,,,1107 South Main Street,,,Algonquin,IL,60102,(847)854-9601,TX/OS/OR/IO/DD/SS/SG/PI,60102,,6376IL60102
Southwest YMCA,Adolescent Outpatient Treatment Prog,,3801 West 127th Street,,,Alsip,IL,60803,(708)385-6700,TX/PV/OS/OR/IO/AD/SS/SC,60803,,8861IL60803
Southwest YMCA,YMCA of Metropolitan Chicago,,3801 West 127th Street,,,Alsip,IL,60803,(708)385-6700,TX/PV/OS/IO/AD/SS/CO/CJ/MD,60803,,8861IL60803
Chestnut Health Systems Inc,Outpatient Program,,I 639 Main Street,,,Alton,IL,62002,,TX/OS/OR/IO/AD/SS,62002,,7989IL62002
Community Counseling Center of,Northern Madison County Inc,,2615 Edwards Street,,,Alton,IL,62002,(618)462-2331,TX/ML/OS/OD/OR/AD/DD/HV/PW/CM/MD/FG,62002,,1899IL62002
Saint Clares Hospital,Chemical Dependency Treatment Center,,915 East 5th Street,,,Alton,IL,62002,(618)463-5605 Hotline: (618)463-5600,TX/PV/OS/DT/OR/IO/ID/AD/SS/GH/MC/PI,62002,,0551IL62002
Fellowship House/Recovery House,Detox/Rehab/OP/IOP/Prev/DUUMISA,,800 North Main Street,,,Anna,IL,62906,(618)833-4456,TX/PV/OS/DT/OR/IO/RD/RR/AD/DD/SS/HH/MD/PI,62906,,4416IL62906
Arlington Center for Recovery LLC,,,2010 South Arlington Heights Road,,,Arlington Heights,IL,60005,(847)427-9680,TX/PV/OS/OR/SS/PI,60005,,0649IL60005
Comprehensive Behavioral Services,,,3345-K Arlington Heights Road,,,Arlington Heights,IL,60004,(847)577-4489,TX/PV/OS/IO/DD/HV/PW/SS/CM,60004,,2599IL60004
Hakuju Counseling Center,,,2010 South Arlington Heights Road,,,Arlington Heights,IL,60005,(847)952-8910,TX/PV/OR/DD/CO/SG/PI,60005,,0653IL60005
Mercy Counseling at Arlington Heights,,,I 15 South Wilke Road,Suite 100,,Arlington Heights,IL,60005,(847)398-0045 Hotline: (312)567-2488,TX/PV/OS/OR/SS/PI,60005,,0704IL60005
Omni Youth Services,Arlington Heights Office,,1616 North Arlington Heights Road,,,Arlington Heights,IL,60004,(847)253-6010 Hotline: (847)253-6010,TX/PV/OS/OR/IO/AD/SS/CO,60004,,2162IL60004
Association for Individual Development,,,400 North Highland Avenue,,,Aurora,IL,60506,(630)859-1291 Hotline: (630)897-5522,TX/PV/OS/OR/DD/HV/PW/CM,60506,,8659IL60506
Breaking Free Inc,Family Support,,120 Gale Street,,,Aurora,IL,60506,(630)859-0670 Hotline: (630)897-5522,TX/PV/OS/OR/AD/PW/SS,60506,,6924IL60506
Community Counseling Center of,The Fox Valley Inc,,400 Mercy Lane,,,Aurora,IL,60506,(630)897-0584,TX/PV/OS/OR/RD/RR/SS/TC/CM/CJ,60506,,5901IL60506
Community Counseling of Fox Valley,El Primer Paso,,325 East Galena Boulevard,,,Aurora,IL,60505,(630)897-0584,TX/OS/DT/OR/RD/RR/SS/TC/CM/CJ/PI,60505,,8860IL60505
Comprehensive Behavioral Services Inc,Aurora,,4260 Westbrook Drive,Suite 109,,Aurora,IL,60504,(630)585-7958 Hotline: (800)515-6159,TX/OS/OR/IO/SS,60504,,4388IL60504
Dreyer Medical Clinic,Department of Psychiatry,,1877 West Downers Place,,,Aurora,IL,60506,(630)906-5121,TX/OS/OR/CM/SG/MC/PI,60506,,4534IL60506
Family Guidance Centers Inc,,,751 Aurora Avenue,,,Aurora,IL,60505,(630)801-0017,TX/ML/OS/OR/IO/SS,60505,,7783IL60505
Opportunity House,,,469 North Lake Street,,,Aurora,IL,60506,(630)859-1870,TX/OS/RR/HH/CM/CJ,60506,,6611IL60506
Project Safe,Womens Residential,,400 Mercy Lane,,,Aurora,IL,60505,(630)897-0584,TX/PV/OS/IO/DD/HV/SS/CM/CO/CJ/MD/PI,60505,,0732IL60505
Provena Mercy Center,Alcoholism/Drug Dependency Center,,1325 North Highland Avenue,,,Aurora,IL,60506,(630)859-2222 Hotline: (630)801-2655,TX/PV/OS/DT/OR/IO/ID/AD/DD/SS/GH,60506,,4618IL60506
Reese Clinical and Consulting Services,,,205 North Lake Street,Suite 103,,Aurora,IL,60506,(630)896-3747,TX/OS/OR/SS/PI,60506,,7519IL60506
Sunrise Growth Center,,,IO East Wilson Street,,,Batavia,IL,60510,(630)406-1343,TX/PV/OS/OR/IO/AD/SS/SG/CJ,60510,,9968IL60510
Cass County Mental Health Center,Alcoholism Treatment Program,,121 East 2nd Street,,,Beardstown,IL,62618-1220,(217)323-2980 Hotline: (217)323-2980,TX/PV/OS/OR/AD/DD/HV/PW/CM/MD,62618,1220.0,2974IL62618
Gateway Foundation Inc,Belleville Unit,,7 North High Street,3rd Floor,,Belleville,IL,62220,(618)234-9002,TX/OS/OR/IO/AD/DD/SS/MD/PI,62220,,3844IL62220
Mid America Behavioral Healthcare,All Ale/Substance Abuse Progs on Site,,5 Executive Woods Court,,,Belleville,IL,62226,(618)235-8100 Hotline: (618)397-0963,TX/PV/OS/OR/AD/DD/SS/CM/SC/MD,62226,,0293IL62226
Saint Elizabeths Hospital,Addiction Services,,211 South 3rd Street,,,Belleville,IL,62222,Hotline: (800)800-9011,TX/OS/DT/OR/IO/ID/IR/DD/GH/MC/MD/FG/PI,62222,,0128IL62222
Bensenville Home Society,Lifelink,,331 South York Road,,,Bensenville,IL,60106,,TX/PV/OS/OR/PW/SS/PI,60106,,5164IL60106
McNeal Hospital,Behavioral Health Services,,3249 South Oak Park Avenue,,,Berwyn,IL,60402,(708)783-3140,TX/PV/OS/DT/OR/IO/ID/IR/DD/GH/SG/SC/MC/MD/PI,60402,,3029IL60402
Youth in Crisis Inc,,,7139 West 34th Street,,,Berwyn,IL,60402,(708)484-7400 Hotline: (800)621-4000,TX/PV/OS/OR/AD/DD/SS/CM/CO,60402,,1814IL60402
Accurate Caring Therapy Services,,,201 East Army Trail Road,,,Bloomingdale,IL,60108,(630)924-7011,TX/PV/OS/OR/SS/SG,60108,,6012IL60108
Alcohol Impaired Motorists Program,505 North Center Street,,,,,Bloomington,IL,61701,(309)829-9384 Hotline: (309)829-9384,TX/PV/OS/OR/IO/SS/SG,61701,,1281IL61701
Chestnut Health Systems Inc,Lighthouse Adult,,1003 Martin Luther King Jr Drive,,,Bloomington,IL,61701,(309)827-6026,TX/PV/OS/DT/OR/IO/RD/RR/PW/SS/HH/MD/FG/PI,61701,,0381IL61701
Chestnut Health Systems Inc,Lighthouse Bloomington Youth,,702 West Chestnut Street,,,Bloomington,IL,61701,(309)827-6026,TX/PV/OS/OR/IO/RR/AD/SS/MD/PI,61701,,0306IL61701
Countermeasures Inc,110 North Center Street,,,,,Bloomington,IL,61701,,TX/PV/OS/OR/SS/PI,61701,,8178IL61701
Guildhaus Halfway House,,,2413 West Canal Street,,,Blue Island,IL,60406,(708)385-3228,TX/PV/OS/OR/IO/RR/DD/HV/SS,60406,,1378IL60406
Guildhaus Halfway House,,,13317 Old Western Street,,,Blue Island,IL,60406,(708)385-1608,TX/OS/OR/IO/SS/PI,60406,,8543IL60406
Interventions/Lifeworks,,,404 West Boughton Road,,,Bolingbrook,IL,60440,(708)759-5750,TX/OS/OR/IO/AD/SS,60440,,2693IL60440
Compsych Substance Abuse Programs,,,1130 Lake Cook Road,Suite 280,,Buffalo Grove,IL,60089,(800)515-6159 Hotline: (800)515-6159,TX/OS/OR/IO/SS,60089,,8798IL60089
Leslie S Berkley and Associates,,,1207 McHenry Road,,,Buffalo Grove,IL,60089-1371,(847)478-8332,TX/PV/OS/OR/SG,60089,1371.0,2609IL60089
Omni Youth Services,Substance Abuse Treatment Program,,111 I West Lake Cook Road,,,Buffalo Grove,IL,60089,(847)537-6677 Hotline: (847)537-6677,TX/PV/OS/OR/IO/AD/SS/CO,60089,,2832IL60089
Heritage Corridor Counseling Servs Inc,,,60 Shore Drive,,,Burr Ridge,IL,60521,(630)789-2134,TX/OS/OR/IO/AD/DD/SG/PI,60521,,8475IL60521
Community Health Emergency Services,,,Rural Route I,Box II,,Cairo,IL,62914,(618)734-4400,TX/PV/OS/OR/AD/HV/PW/SS/CH/MC/MD/FG/PI,62914,,1934IL62914
Delta Center Inc,,,1001 Washington Street,,,Cairo,IL,62914,(618)734-2665 Hotline: (618)734-2665,TX/OS/OR/DD/CM/MD,62914,,7477IL62914
Comprehensive Counseling and DUI Services,,,536 Pulaski Road,,,Calumet City,IL,60409,(708)868-8800,TX/OS/OR/SS/PI,60409,,5063IL60409
Gutierrez and Associates,,,613 Wentworth Avenue,,,Calumet City,IL,60409-4222,(708)862-1442,TX/PV/OR/SG,60409,4222.0,6335IL60409
Bridgeway Adapt Services,,,117 SE Street,,,Cambridge,IL,61238,(309)937-2414,TX/OS/OR/AD/CM,61238,,7758IL61238
Alcohol and Drug Professionals of,Fulton County,,401 West Locust Street,,,Canton,IL,61520,(309)649-1002,TX/PV/OS/OR/SG,61520,,4228IL61520
Community Mental Health Center of,Fulton and McDonough Counties,,229 Martin Avenue,,,Canton,IL,61520,,TX/PV/OS/OR/IO/CM/MD/PI,61520,,8385IL61520
Illinois River Correctional Center,,,Route 9 West,,,Canton,IL,61520,(309)647-7030,TX/OS/OR/IO/HV/SS/CJ,61520,,3814IL61520
Carbondale DUI and Counseling Program,,,2015 West Main Street,Suite B,,Carbondale,IL,62901,(618)457-4044,TX/PV/OS/OR/SS/SG,62901,,8098IL62901
Gateway Foundation,,,3 I 8 East Walnut Street,,,Carbondale,IL,62901,,TX/OS/OR/IO/AD/SS/MD/PI,62901,,5040IL62901
Gateway Youth Care Foundation,Carbondale,,1080 East Park Street,,,Carbondale,IL,62901,(618)529-1151,TX/OS/OR/IO/RR/AD/SS/TC/MD/PI,62901,,4954IL62901
Southern IL Regional Social Services,,,604 East College Street,,,Carbondale,IL,62901,(618)457-6703 Hotline: (618)549-3351,TX/PV/OS/OR/IO/AD/DD/PW/SS/CM/MD/PI,62901,,3658IL62901
Macoupin County Mental Health Center,Alcoholism Outpatient Center,,100 North Side Square,,,Carlinville,IL,62626,(217)854-3166 Hotlines: (217)854-3135,TX/PV/OS/OR/DD/PW/SS/CM/MD,62626,,1273IL62626
Community Resource Center,,,580 8th Street,,,Carlyle,IL,62231,(618)594-4581 Hotline: (618)533-1391,TX/PV/OS/OR/AD/CM,62231,,2514IL62231
Egyptian Public and Mental Health Dept,,,200 North Main Cross Street,,,Carmi,IL,62821,(618)382-7311,TX/PV/OS/OR/CM,62821,,2279IL62821
CSTO Counseling Centers,,,350 South Schmale Road,Suite 180,,Carol Stream,IL,60188,(630)510-7333,TX/PV/OS/OR/SS,60188,,2599IL60188
Renz Addiction Counseling Center,Outpatient Substance Abuse Services,,211 West Main Street,Suite 218,,Carpentersville,IL,60110,(708)428-3340,TX/PV/OS/OR/IO/AD/DD/HV/PW/SS,60110,,0595IL60110
Hancock County Mental Health Ctr Inc,Substance Abuse Program,,607 Buchanan Street,Highway 136,,Carthage,IL,62321,(217)357-3176 Hotline: (217)357-3176,TX/PV/OS/OR/AD/DD/CM/MC,62321,,6621IL62321
The Advantage Group Foundation Ltd,,,400 Haber Road,,,Cary,IL,60013,(847)516-0500,TX/PV/OS/OR/IO/AD/SS/PI,60013,,7883IL60013
Gateway Foundation Inc,Caseyville Facility,,600 West Lincoln Street,,,Caseyville,IL,62232-0630,(618)345-3970 Hotline: (800)444-1331,TX/PV/OS/DT/OR/IO/RD/RR/DD/HV/PW/SS/TC/MD/PI,62232,630.0,0918IL62232
Community Resource Center,,,IOI South Locust Street,,,Centralia,IL,62801,(618)533-1391 Hotline: (618)533-1391,TX/PV/OS/OR/AD/CM/MD/PI,62801,,4672IL62801
Psychiatric Services,,,838 East McCord Street,,,Centralia,IL,62801,(618)533-4166,TX/PV/OS/OR/DD/SG,62801,,0005IL62801
Saint Marys Hospital,All Ale/Substance Abuse Progs on Site,,400 North Pleasant Avenue,,,Centralia,IL,62801,(618)532-6731,TX/OS/DT/OD/OR/IO/ID/IR/DD/SS/GH/MC/MD/PI,62801,,1306IL62801
Carle New Choice Outpatient Ale and Drug Recovery Center,,,809 West Church Street,,,Champaign,IL,61820,(217)373-1700,TX/OS/OR/IO/SS/SG/PI,61820,,0679IL61820
Centerpoint A Division of,The Mental Hlth Ctr of Champaign Cnty,,1801 Fox Drive,,,Champaign,IL,61824,(217)398-8080 Hotline: (217)359-4141,TX/OS/OR/DD/CM,61824,,7612IL61824
LWS Place,Alcohol and Drug Evaluation/Counseling,,605 North Neil Street,,,Champaign,IL,61820,(217)356-4600,TX/PV/OS/OR/AD/SS/SC/CJ/MD,61820,,6546IL61820
Prairie Center Health Systems Inc,,,Hill Street Unit,122 West Hill Street,,Champaign,IL,61820,(217)356-7576 Hotline: (217)359-1160,TX/OS/DT/OR/IO/RD/RR/DD/PW/SS/TC/HH/MD/FG/PI,61820,,1184IL61820
University of Illinois at Chicago,Counseling Center,,610 East John Street,212 Student Services Building,,Champaign,IL,61820,,TX/PV/OS/OR/SC,61820,,8830IL61820
Central East Alcohol and Drug Council,All Ale/Substance Abuse Progs on Site,,635 Division Street,,,Charleston,IL,61920,(217)348-8108 Hotline: (217)348-8108,TX/PV/OS/DT/OR/IO/RD/RR/AD/PW/SS/HH/MD/PI,61920,,7003IL61920
Central East Alcohol and Drug Council,Womens Chemical Dep Council Project,,726 4th Street,,,Charleston,IL,61920,(217)348-8108 Hotline: (217)348-8108,TX/OS/OR/PW/SS,61920,,6700IL61920
Central East Alcohol and Drug Council,Womens Project,,1501 1/2 18th Street,,,Charleston,IL,61920,(217)348-5444 Hotline: (217)348-8108,TX/OS/OR/RR/PW/SS/TC,61920,,7718IL61920
Chester Memorial Hospital,The Newmark Center,,1900 State Street,,,Chester,IL,62233,,TX/PV/OS/OR/GH/MC/PI,62233,,9979IL62233
Human Services Center of,Southern Metro East,,800 Servant Street,,,Chester,IL,62233,(618)826-4547,TX/PV/OS/IO/DD/SS/CM/FG,62233,,5211IL62233
Academy for Counseling Inc,,,810 East 81 st Street,,,Chicago,IL,60619,(773)723-6402,TX/OS/OR/SS,60619,,3799IL60619
Addiction Counseling and Educ Servs of,Catholic Charities of Chicago,,721 North Lasalle Street,,,Chicago,IL,60610,(312)655-7450,TX/OS/OR/IO/SS,60610,,9017IL60610
