Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Website,Note,Keys
Spectrum Programs Inc,Administrative and Outpatient Services,,99 NW 183rd Street,,,Miami,FL,33169,(305)652-2874 Hotline: (305)358HELP,www.mbhc.org/spi/index2.html,,MH-SA/TX/OP/AD/WN/DU/SF/MD/SI/PI/SP/F13/
Spectrum Programs Inc,Adult Residential Services Dade,,140 NW 59th Street,,,Miami,FL,33127,(305)759-8888 Intake: (305)754-1687 Hotline: (305)358HELP,www.spectrumprograms.com,,MH-SA/TX/RL/WN/MN/SF/MD/SI/PI/PA/SP/F13/
Spectrum Programs Inc,Dade Outpatient South,,8353 SW 124th Street,Suite 107,,Miami,FL,33156,(305)233-0513 Hotline: (305)358HELP,www.spectrumprograms.com,,MH/TX/OP/AD/WN/DU/SF/MD/SI/PI/SP/F13/
Substance Abuse Control Center Inc,Outpatient,,6850 SW 24th Street,Suite 503,,Miami,FL,33155,(305)887-8155 Hotline: (305)887-8155,,DWI/DUI Clients Only,SA/TX/OP/HV/DU/CJ/SF/PI/SP/
Total Rehab Services,,,4011 West Flagler Street,Suite 206,,Miami,FL,33134,(305)644-7294,www.totalrehabservices.com,,MH-SA/TX/DT/OP/DU/SF/PI/SP/
Transitions Recovery Program,,,1928 NE 154th Street,Suite 100,,Miami,FL,33162,(305)949-9001 Intakes: (305)949-9001x221 (800)626- 1980x221 Hotlines: (305)949-9001 (800)626-1980,,,SA/TX/RL/OP/PH/CO/WN/MN/SF/PI/
Village Adolescent Treatment for,Dually Diagnosed Girls,,9400 NW 12th Street,,,Miami,FL,33181,(305)573-3784 Intake: (800)443-3784,www.villagesouth.com,,MH-SA/TX/RS/RL/AD/CO/HV/GL/SF/MD/PI/MI/SS/PA/SP/
Village South Inc,,,400 NE 31st Street,,,Miami,FL,33137,(305)573-3784 Intake: (800)443-3784 Hotlines: (305)573-3784 (305)443-3784,www.villagesouth.com,,MH-SA/TX/RS/RL/OP/CO/HV/GL/PW/WN/BC/SF/MD/PI/MI/SS/PA/
Comprehensive Psychiatric Center,Miami Beach,,960 Arthur Godfrey Road,Suite 106,,Miami Beach,FL,33140,(305)534-5121 Intakes: (305)651-2332 (305)634-1401,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SP/
Jewish Community Services of,South Florida,,300-41st Street,Suite 216,,Miami Beach,FL,33140,(305)672-8080 Intake: (305)576-6550 Hotline: (305)445-0555,,,MH-SA/TX/OP/AD/DU/CJ/SF/MC/PI/MI/SS/SP/F20/F53/
Clay Behavioral Health Center,,,3292 County Road 220,,,Middleburg,FL,32068,(904)291-5561,www.ccbhc.org,,MH-SA/TX/OP/AD/DU/CJ/SF/MD/MC/PI/MI/PA/AH/
Avalon Center of Lakeview Center,Substance Abuse Department,,6024 Spikes Way,,,Milton,FL,32583,(850)437-8900 Hotline: (850)437-1617,www.ebaptisthealthcare.org,,MH-SA/TX/OP/WN/DU/SF/MD/PI/MI/SS/PA/AH/
Agency for Community Trt Services Inc,Residential II/Bradley Group Home,,6980 State Road 37 South,,,Mulberry,FL,33860,(863)428-1520,www.actsfl.org,,SA/TX/RL/AD/SF/MD/MC/SI/PI/MI/PA/SP/
Agency for Community Trt Services Inc,Youth In Home On Site at New Horizons,,6980 State Road 37 South,,,Mulberry,FL,33860,(863)428-1520,www.actsfl.org,,SA/TX/OP/AD/SF/MD/MC/SI/PI/MI/PA/SP/
David Lawrence Center,Court Related and SA Outpatient Servs,,2806 South Horseshoe Drive,,,Naples,FL,34104,(239)643-6101 Intake: (239)455-8500,www.davidlawrencecenter.org,,SA/TX/OP/CO/PW/DU/CJ/SF/MD/MC/SI/PI/MI/SS/SP/
David Lawrence Center,Outpatient/Residential and Detox,,6075 Golden Gate Parkway,,,Naples,FL,34116,(239)455-8500,www.davidlawrencecenter.org,,MH-SA/TX/DT/RS/OP/CO/CJ/SF/MD/MC/SI/PI/MI/SS/
Naples Community Hospital Inc,Behavioral Health,,350 7th Street North,,,Naples,FL,34102,(239)436-5215,www.nchmd.org,,MH/DT/HI/CO/SE/SF/MD/MC/PI/MI/
Willough at Naples,,,9001 Tamiami Trail East,,,Naples,FL,34113,(239)775-4500,,,MH-SA/TX/DT/HI/OP/PH/CO/SF/MC/PI/MI/SP/AH/
Twelve Oaks Alcohol and Drug Recovery Center,,,2068 Healthcare Avenue,,,Navarre,FL,32566,(850)939-1200 Intake: (800)622-1255 Hotlines: (800)622-1255 (850)939-1200,www.crchealth.com,,SA/TX/DT/HI/RS/RL/PH/AD/SF/PI/MI/AH/
Anglican Family Service Inc,,,6106 Florida Avenue,,,New Port Richey,FL,34653,(727)843-8835,,,MH-SA/TX/OP/CO/HV/GL/MN/SF/SS/PA/
Harbor Behavioral Healthcare Institute,Adolescent Residential Center Academy,,6205 Trouble Creek Road,,,New Port Richey,FL,34652,(727)841-4466 Intake: (727)841-4470,,,SA/TX/RL/AD/CO/BC/SF/MD/MC/SI/PI/MI/SS/
Shell of Hope Inc,,,5254 State Road 54,,,New Port Richey,FL,34652,(727)847-9909,,,SA/TX/OP/PH/AD/CO/GL/SE/WN/DU/CJ/SF/SS/PA/
Counseling Associates of,Port Orange Inc,,509 Canal Street,Suite E,,New Smyrna Beach,FL,32168,(386)761-2390,,,SA/TX/OP/CJ/SF/
Mary E Pleterski,CAP Counseling,,143 Canal Street,,,New Smyrna Beach,FL,32168,(386)427-0233,,,SA/TX/OP/DU/CJ/SF/
Stewart Marchman Center Inc,Outpatient Services,,307 North Orange Avenue,,,New Smyrna Beach,FL,32168,(386)424-2381 Intake: (888)516-2296 Hotline: (888)516-2296,,,SA/TX/OP/AD/SF/MD/PI/SS/SP/AH/F20/F22/
Doctor Lynn R Bernstein and Associate,,,2510 Tamiami Trail North,,,Nokomis,FL,34275,(941)966-1177 Hotline: (941)966-1177,,,MH-SA/TX/OP/DU/SF/MD/MC/SI/PI/MI/AH/
Ruth L Waters MA PA,,,4150 Hancock Bridge Parkway,Unit 32,,North Fort Myers,FL,33903,(239)995-9222,www.rwdui.com,,SA/TX/OP/DU/SF/
Recovery Resources Enterprise Inc,,,450 North Lake Boulevard,Suites 10 and 11,,North Palm Beach,FL,33408,(561)882-9821 Intake: (877)RECOVER,,,SA/TX/RS/RL/OP/PH/CO/WN/MN/DU/CJ/SF/PI/SS/
Thomas G Glaza LMAC CAP,DBA North Port Counseling/Wellness Ctr,,12497 South Tamiami Trail,Suite 1,,North Port,FL,34287,(941)429-0804,,DWI/DUI Clients Only,MH-SA/TX/OP/AD/CO/PW/WN/MN/DU/SF/SI/PI/SS/
Act II Counseling and Act II Complex Inc,,,50 NE 49th Street,,,Ocala,FL,34479,(352)622-7524,www.actIIcomplex.com,,MH-SA/TX/HH/RL/OP/DU/SF/SP/
Comprehensive Addictions Trt Services,(CATS) Inc,,730 SE Osceola Avenue,,,Ocala,FL,34471,(352)732-2287,,,TX/DT/OP/CO/CJ/SF/PI/SS/AH/
Marion/Citrus Mental Health Center Inc,Adult Outpatient Services,,5664 SW 60th Avenue,Building 2,,Ocala,FL,34477,(352)291-5430 Hotline: (352)629-9595,,,SA/TX/OP/WN/DU/CJ/SF/MD/SI/PI/MI/SP/AH/
Quad County Treatment Center,,,913 East Silver Springs Boulevard,,,Ocala,FL,34470,(352)732-6565 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Breakthrough Recovery Services Inc,,,202 NW 5th Avenue,,,Okeechobee,FL,34974,(863)467-2300,,,SA/TX/OP/SF/SP/
Lamb of God Ministries,,,1012 South Parrott Avenue,,,Okeechobee,FL,34974,(863)467-2677,,,SA/TX/HH/RL/MN/SF/
Okeechobee Outpatient Office,,,1600 SE 2nd Avenue,,,Okeechobee,FL,34972,(863)763-1191 Hotlines: (772)468-5600x270 (888)468- 5600x270,www.nhtcinc.org,,MH-SA/TX/OP/DU/CJ/SF/MD/PI/SS/SP/AH/
Christ Crusaders Inc,,,2527 Opa Locka Boulevard,,,Opa Locka,FL,33054,(305)769-3044,www.ccilove.com,,MH-SA/TX/OP/AD/CO/HV/MD/MC/PA/SP/F13/
Dade Family Counseling Inc,,,2734 NW 183rd Street,Suite 206,,Opa Locka,FL,33056,(305)621-6160,,,SA/TX/OP/DU/SF/MC/PI/SS/SP/
Heres Help Inc,Residential/Outpatient,,15100 NW 27th Avenue,,,Opa Locka,FL,33054,(305)685-8201 Intakes: (305)685-8201x221 (305)238-8500 Hotlines: (305)685-8201 (305)238-8500,www.helpfl.com,,SA/TX/RL/OP/AD/SF/MD/PI/PA/
Counseling Associates of,Port Orange Inc,,1642 North Volusia Avenue,Suite 202,,Orange City,FL,32763,(386)761-2390,,,SA/TX/OP/CJ/SF/
ACT Center Inc,,,4300 South Semoran Boulevard,Suite 207,,Orlando,FL,32822,(407)381-9616 Intake: (800)316-7610,www.actcenter.com,,SA/TX/OP/DU/SF/PI/SP/
ACT Center Inc,,,4823 Silver Star Road,Suite 140,,Orlando,FL,32808,(407)294-0106 Intake: (800)316-7610,www.actcenter.com,,SA/TX/OP/DU/SF/PI/SP/
ACT Center Inc,,,5761 South Orange Blossom Trail,Suite 2,,Orlando,FL,32839,(407)438-2088 Intake: (800)316-7610,www.actcenter.com,,SA/TX/OP/DU/SP/
Access Behavioral Care Associates,,,7232 Sand Lake Road,Suite 302,,Orlando,FL,32819,(407)370-2588,www.accessbehavioralcare.com,,MH-SA/TX/OP/DU/SF/SP/
Arise Counseling Associates,,,120 Gatlin Avenue,,,Orlando,FL,32806,(407)438-4994,www.arisecounselingonline.com,,SA/TX/OP/PH/AD/DU/SF/PI/SS/AH/
Barbara B Fuller LCSW PA,,,800 North Ferncreek Avenue,Suite 2,,Orlando,FL,32803,(407)894-5666,,,MH-SA/TX/OP/DU/SF/PI/SS/
Bridges of America,Orlando Bridge,,2025 Mercey Drive,,,Orlando,FL,32808,(407)521-2541 Intake: (407)926-8134,www.bridgesofamerica.org,,SA/TX/RL/HV/WN/MN/CJ/SF/
Center for Drug Free Living Inc,Addiction Receiving Facility,,712 West Gore Street,,,Orlando,FL,32805,(407)245-0012 Intakes: (407)245-0012x233 (407)245- 0012x232,www.cfdfl.com,,SA/DT/DM/RS/SF/PI/MI/SS/SP/AH/
Center for Drug Free Living Inc,Adult Residential,,8301 East Colonial Drive,,,Orlando,FL,32817,(407)249-6560 Intakes: (407)245-0010 (407)245-0014,www.cfdfl.com,,SA/TX/RL/SF/PI/
Center for Drug Free Living Inc,Clarcona Pointe/Adolescence Subst Prog,,5600 Clarcone-Ocoee Road,,,Orlando,FL,32810,(407)521-2495,www.cfdfl.com,,SA/TX/RL/OP/AD/CO/CJ/SF/MD/PI/SS/
Center for Drug Free Living Inc,Non-Residential Services/Methadone,,100 West Columbia Street,,,Orlando,FL,32806,(407)245-0017 Intakes: (407)245-0014x222 (407)245- 0014x221,www.cfdfl.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/PH/CO/PW/WN/MN/SF/MD/PI/PA/SP/AH/
Center for Drug Free Living Inc,Orlando Counseling Center,,100 West Columbia Street,,,Orlando,FL,32806,(407)245-0014,www.cfdfl.com,,SA/TX/DT/MM/DM/OP/GL/WN/SF/MD/SI/PI/MI/SS/SP/AH/
Center for Drug Free Living Inc,William R Just Center,,1405 West Michigan Street,,,Orlando,FL,32805,(407)245-0020 Intake: (407)245-0014,www.cfdfl.com,,SA/TX/HH/RS/RL/CO/HV/PW/SF/PI/SP/
Center for Drug Free Living Inc,Womens Residential Program,,1780 North Mercy Drive,,,Orlando,FL,32808,(407)297-2010,www.cfdfl.com,,SA/TX/RL/CO/PW/WN/BC/SF/MD/PI/PA/SP/AH/
Central FL Subst Abuse Trt Centers Inc,Outpatient Methadone Maintenance,,1800 West Colonial Drive,,,Orlando,FL,32804,(407)843-0041,www.methadoneworks.net,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/SP/AH/
Colonial Counseling Associates Center,,,15234 East Colonial Drive,,,Orlando,FL,32826,(407)249-1146,www.colonialcounseling.com,,SA/TX/OP/SF/AH/
Colonial Counseling Associates Center,Outpatient/Central,,710 East Colonial Drive,Suite 103,,Orlando,FL,32803,(407)249-1146,www.colonialcounseling.com,,SA/TX/OP/SF/SP/AH/
Colonial Counseling Associates Center,West Office,,5600 West Colonial Drive,Suite 305,,Orlando,FL,32819,(407)249-1146,www.colonialcounseling.com,,SA/TX/OP/SF/SP/AH/
Florida Psychiatric Associates Inc,Orlando Outpatient,,7300 Sandlake Commons Boulevard,Suite 112,,Orlando,FL,32819,(407)352-3339 Intake: (407)647-1781 Hotline: (407)647-1781,,,MH-SA/TX/OP/AD/DU/SF/PI/
Human Services Associates Inc,Addictions Receiving Facility,,823 West Central Boulevard,,,Orlando,FL,32805,(407)836-8882 Intake: (407)836-8884,,,SA/DT/HI/AD/DU/CJ/SF/PI/SP/
Lakeside Alternatives Inc,,,1800 Mercy Drive,,,Orlando,FL,32808,(407)875-3700,www.lakesidealternatives.com,,MH/TX/OP/CO/DU/SF/MD/PI/AH/
Lakeside Alternatives Inc,Delta Program,,434 West Kennedy Boulevard,,,Orlando,FL,32810,(407)875-3700x2002 Intake: (407)875-3700,www.lakesidealternatives.com,,MH/TX/PH/CO/HV/SE/WN/MN/SF/MD/MC/PI/AH/
Lisa Merlin House Inc,,,3101 North Pine Hills Road,,,Orlando,FL,32808,(407)292-0109 Intake: (407)292-0109x27,www.lisamerlinhouse.com,,SA/TX/RL/OP/WN/SF/SS/
Orlando Methadone Treatment Center,,,601 South Semoran Boulevard,Suite A,,Orlando,FL,32807,(407)275-8939 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
SAFE Inc,,,5607 Hansel Avenue,,,Orlando,FL,32809,(407)812-8680,www.safeorlando.com,,SA/TX/HI/RL/OP/PH/AD/SF/PI/
Specialized Treatment Education and Prevention Services Inc,,,1033 North Pine Hills Road,Suite 300,,Orlando,FL,32808,(407)522-2144 Intake: (407)522-2146,www.flsteps.org,,MH-SA/TX/OP/HV/DU/CJ/SF/MD/PA/
Human Services and Resources Associates Inc,,,120 North Central Avenue,,,Oviedo,FL,32765,(407)767-0039,,,SA/TX/OP/CJ/SF/PI/MI/AH/
Counseling Associates of,Port Orange Inc,,613 Saint Johns Avenue,Suite 109,,Palatka,FL,32177,(386)761-2390,,,SA/TX/OP/CJ/SF/
Putnam Behavioral Healthcare,Residential/Detoxification,,320 Kay Larkin Drive,,,Palatka,FL,32177,(386)329-3784x8661 Intakes: (386)329-3780x8661 (386)329- 3780x8662,,,SA/TX/DT/RS/OP/SF/PI/
Center for Drug Free Living Inc,,,4670 Lipscomb Street,Suite 11,,Palm Bay,FL,32905,(321)726-2889,www.cfdfl.com,,SA/TX/OP/AD/DU/CJ/SF/MD/PI/SP/AH/
Central Florida Treatment Center,Palm Bay,,2198 Harris Avenue,,,Palm Bay,FL,32905,(321)951-9750,www.methadoneworks.net,Methadone Clients Only,SA/TX/MM/OP/SF/SP/
Sunset House Inc,,,8800 Sunset Drive,,,Palm Beach Gardens,FL,33410,(561)627-9701,www.sunsethousefla.com,,SA/TX/HH/RL/CO/SF/
Elliott and Associates,,,1022 Nebraska Avenue,,,Palm Harbor,FL,34683,(727)789-0084,,,SA/TX/OP/DU/SF/PI/
Chemical Addictions Recovery Effort,A Womans Addiction Recovery Effort,,3407 North East Avenue,,,Panama City,FL,32405,(850)769-6156 Intake: (850)872-7676,www.care4000.com,,SA/TX/HH/RS/RL/CO/WN/BC/DU/SF/MD/PI/SS/PA/AH/
Chemical Addictions Recovery Effort,Bay County Outpatient Office,,4000 East 3rd Street,Suite 200,,Panama City,FL,32404,(850)872-7676x4424 Intakes: (850)872-7676x4426 (850)872- 7676x4408 Hotline: (850)769-1632,www.CARE4000.com,,SA/TX/OP/AD/WN/CJ/SF/MD/PI/
Chemical Addictions Recovery Effort,Starting Over Straight (SOS),,4000 East 3rd Street,,,Panama City,FL,32404,(850)872-7676x4456,,,SA/TX/RL/AD/CO/CJ/SF/MD/MC/PI/SS/PA/AH/
Life Management Center of NW Florida,,,525 East 15th Street,,,Panama City,FL,32405,(850)769-9481,www.lifemanagementcenter.org,,MH/TX/DT/HI/OP/DU/SF/MD/MC/SI/PI/MI/SP/AH/
Unlimited Path of Central Florida,,,1159 Jenks Avenue,,,Panama City,FL,32401,(850)872-0222,,,MH-SA/TX/OP/CJ/SF/PI/
Cordova Counseling Center,,,4400 Bayou Boulevard,Suite 8-D,,Pensacola,FL,32503,(850)474-9882,www.cordovacounseling.com,,MH-SA/TX/OP/AD/CO/MN/DU/CJ/SF/PI/MI/AH/
Lakeview Center Inc,Adult Residential,,1221 West Lakeview Avenue,Building D,,Pensacola,FL,32501,(850)469-3580 Intake: (850)469-3568 Hotline: (850)438-1617,,,SA/TX/RL/CO/WN/MN/SF/
Lakeview Center Inc,Outpatient Counseling,,1221 West Lakeview Avenue,Building H,,Pensacola,FL,32501,(850)469-3730 Hotline: (850)438-1617,www.elakeviewcenter.org,,SA/TX/DT/MM/DM/OP/PH/AD/CO/WN/DU/CJ/SF/MD/MC/SI/PI/MI/SS/PA/SP/AH/
Lakeview Center Inc,Pathway,,1020 North New Warrington Road,,,Pensacola,FL,32506,(850)453-7722,www.ebaptisthealthcare.org,,SA/TX/OP/DU/CJ/SF/MD/PI/SS/
Lakeview Center Inc,Primary Care,,1221 West Lakeview Avenue,Building D,,Pensacola,FL,32501,(850)469-3822 Intake: (850)469-3568 Hotlines: (850)438-1617 (850)433-7273,,,SA/DT/RS/SF/MD/PI/MI/SS/PA/AH/
Metro Treatment of Florida LP,DBA Pensacola Metro Treatment,,6990 Pine Forest Road,,,Pensacola,FL,32526,(850)941-4776 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Substance Abuse Rehabilitation Program,Naval Hospital Pensacola,NTTC Corey Station,640 Roberts Avenue,,,Pensacola,FL,32511,(850)452-6776x126 Intake: (850)452-6776,,,SA/TX/OP/PH/MI/
Bay Area Treatment Center,,,6328 Park Boulevard North,Suite 4,,Pinellas Park,FL,33781,(727)544-0044 Intake: (407)351-7080,www.methadonetreatment.com,Methadone Clients Only,SA/TX/DT/MM/DM/OP/SF/
Drug Abuse Comprehensive Coord Office,(DACCO)/Plant City Outpatient,,106 North Evers Street,,,Plant City,FL,33566,(813)752-6960 Intake: (813)984-1818x2221,,,SA/TX/OP/SF/SP/AH/
Challenges,,,5100 Coconut Creek Parkway,,,Pompano Beach,FL,33063,(954)917-3334 Intakes: (888)755-3334 (954)675-6458,www.challenges-program.com,,MH-SA/TX/RS/RL/OP/PH/CO/HV/DU/SF/PI/
Parents Information and Resource Center Inc,,,2850 North Federal Highway,4th Floor,,Pompano Beach,FL,33064,(954)785-8285 Intake: (954)784-9194 Hotline: (954)785-8285,www.pircinc.org,,MH/TX/OP/PH/AD/CO/SF/MD/MC/SI/PI/SP/
Spectrum Programs Inc,Adult Residential Services Broward,,450 East Atlantic Boulevard,,,Pompano Beach,FL,33060,(954)580-0770 Intake: (954)777-2977 Hotline: (954)467-6333,www.mbhc.org/index.html,,MH-SA/TX/RL/WN/SF/MD/SI/PI/SP/
Spectrum Programs Inc,Broward Outpatient North,,450 East Atlantic Boulevard,,,Pompano Beach,FL,33060,(954)781-4405 Intake: (954)781-4406 Hotline: (954)467-6333,www.spectrumprograms.com,,MH/TX/OP/AD/DU/SF/MD/SI/PI/SP/F20/
Turning Point Bridge,Bridges of America,,400 SW 2nd Street,,,Pompano Beach,FL,33060,(954)781-1400,www.bridgesofamerica.org,,SA/TX/RL/OP/HV/WN/MN/CJ/SF/SP/
Counseling Associates of,Port Orange Inc,,3959 South Nova Road,Suite 5,,Port Orange,FL,32127,(386)761-2390,,,SA/TX/OP/CJ/SF/
Alpha Counseling Services,,,10730 U.S. Highway 19,Suite 4,,Port Richey,FL,34668,(727)862-0111,,,SA/TX/OP/CJ/SF/
Operation Par Inc,NATC/Pasco,,6446 Ridge Road,,,Port Richey,FL,34668,(727)816-1200,,Methadone Clients Only,SA/TX/DT/MM/DM/OP/CO/HV/WN/SF/MD/PI/SP/AH/
Recovery Associates Inc,,,8241 South U.S. Highway 1,,,Port Saint Lucie,FL,34952,(772)878-9368,www.recoveryassociates.com,,SA/TX/DT/OP/AD/WN/MN/DU/CJ/SF/MC/PI/MI/SP/
Charlotte Community MH Services Inc,,,1700 Education Avenue,,,Punta Gorda,FL,33950,(941)639-8300,www.charlotte-florida.com,,MH/TX/OP/GL/SF/MD/MC/SI/PI/MI/SS/
DISC Village Inc,Gadsden Adult Outpatient,,518 West Jefferson Street,,,Quincy,FL,32351,(850)875-8230 Hotline: (850)224-6333,www.discvillage.com (Invalid),,SA/TX/OP/AD/PW/SF/SS/PA/
Tampa Bay Academy,Youth and Family Centered Services Inc,,12012 Boyette Road,,,Riverview,FL,33569,(813)677-6700,www.tampabay-academy.com,,MH/TX/RS/RL/PH/AD/CO/BC/SF/MD/SI/PI/SP/AH/
Family Counseling Ctr of Brevard Inc,,,220 Coral Sands Drive,,,Rockledge,FL,32955,(321)632-5792 Intake: (321)636-2273 Hotlines: (321)632-5792 (321)636-2273,,,MH/TX/OP/AD/DU/CJ/SF/MD/MC/PI/SS/SP/AH/
Saint Johns County,Mental Health and Recovery Department,,1955 U.S. 1 South,Suite C-2,,Saint Augustine,FL,32086,(904)825-5048 Hotline: (904)825-5048,www.co.st-johns.fl.us,,MH-SA/TX/OP/AD/CO/PW/WN/MN/DU/CJ/SF/MD/MC/SI/PI/SS/PA/SP/AH/F20/F22/
Turning Point Counseling/Consulting,Outpatient Services,,3104 17th Street,,,Saint Cloud,FL,34769,(407)957-4176,,,MH-SA/TX/OP/DU/CJ/SF/MD/SI/PI/MI/
Boley Centers for Behav Healthcare Inc,Dave Miller,,840 34th Avenue South,,,Saint Petersburg,FL,33705,(727)895-5553,www.boleycenters.org,,HH/
Boley Centers for Behav Healthcare Inc,Konig Center/Day Program,,647 34th Avenue,,,Saint Petersburg,FL,33705,(727)824-5745x5765 Intake: (727)824-5757x5745,www.boleycenters.org,,MH-SA/TX/OP/PH/CO/SF/MD/MC/SI/PI/MI/
Goodwill Industries Suncoast Inc,,,10596 Gandy Boulevard,,,Saint Petersburg,FL,33702,(727)523-1512x420 Intakes: (727)523-1423x414 (727)523- 1423x406,www.goodwill-suncoast.org,,SA/TX/RL/CJ/SF/
Operation Par Inc,Children of Substance Abusers (COSA),,2000 4th Street South,,,Saint Petersburg,FL,33705,(727)893-5444 Intakes: (888)727-6398 (888)PARNEXT Hotlines: (888)727-6398 (888)PARNEXT,www.operationpar.org,,SA/TX/OP/PH/AD/SF/MD/PI/SS/AH/
Operation Par Inc,Shirley Coletti Acad for Behav Chg,,6720 54th Avenue North,,,Saint Petersburg,FL,33709,(727)547-4508 Intakes: (888)727-6398 (888)PARNEXT Hotlines: (888)727-6398 (888)PARNEXT,www.operationpar.org,,SA/TX/RL/OP/AD/SF/MD/SI/PI/SS/AH/
Stepping Stone of Tampa Inc,Dolphin Village,,4615 Gulf Boulevard Suite 213,,,Saint Petersburg,FL,33706,(727)367-3800 Intake: (727)647-8733,,,SA/TX/PH/SF/
Suncoast Ctrs for Community Health Inc,HOST/HUD Programs,,21-C Martin Luther King Street,,,Saint Petersburg,FL,33705,(727)894-3533,www.suncoastcenter.com,,MH-SA/TX/OP/CO/SF/SS/PA/SP/AH/
WestCare Florida,Mustard Seed Inn,,2510 Central Avenue,,,Saint Petersburg,FL,33712,(727)328-1752x201,www.westcare.com/slflorida.htm,,HH/
Crossroads of Sanford,,,300 South Bay Avenue,,,Sanford,FL,32771,(407)323-2036 Intake: (407)321HELP Hotlines: (407)321-4357 (407)321.HELP,,,SA/TX/DT/RS/RL/CO/HV/GL/SE/WN/MN/SF/PI/SS/PA/SP/AH/F13/F20/F72/
Grove Counseling Center Inc,GOALS Program,,401 Pecan Avenue,,,Sanford,FL,32772,(407)327-1765x1400,www.thegrove.org,,MH-SA/TX/RL/AD/CO/CJ/MD/AH/
Grove Counseling Center Inc,Outpatient Services,,1550 South French Avenue,,,Sanford,FL,32771,(407)327-1765 Intakes: (407)327-1765x1300 (800)919-1765,www.thegrove.org,,SA/TX/OP/AD/CJ/SF/MD/PI/SS/SP/AH/
Another Level of Recovery,,,310 South Osprey Avenue,,,Sarasota,FL,34236,(941)954-5057,,,MH-SA/TX/OP/SF/PI/
Coastal Behavioral Healthcare Inc,,,2750 Bahia Vista,Suite 275,,Sarasota,FL,34232,(941)952-1147,,,MH-SA/TX/RL/OP/AD/CO/SE/WN/DU/CJ/SF/MD/MC/SS/PA/
First Step of Sarasota Inc,Detox Program,,1726 18th Street,,,Sarasota,FL,34234,(941)366-5333x217 Intake: (941)366-5333,www.firststepofsarasota.org,,SA/TX/DT/RS/CJ/SF/PI/MI/AH/
First Step of Sarasota Inc,Outpatient Program/Youth and Adult,,1970 Main Street,3rd Floor,,Sarasota,FL,34236,(941)366-5333 Intake: (941)552-2078x1051,www.fsos.org,,SA/TX/OP/AD/WN/DU/CJ/SF/SI/PI/MI/SS/SP/
First Step of Sarasota Inc,Residential Center,,4613 North Washington Boulevard,,,Sarasota,FL,34234,(941)366-5333x1113 Intake: (941)366-5333x1007,www.fsos.org,,SA/TX/HH/RS/RL/CO/WN/MN/CJ/SF/SI/PI/SS/PA/
Pregnant Substance Abusing Women,,,1726 18th Street,,,Sarasota,FL,34234,(941)366-5333x1013 Intakes: (941)552-2065 (941)552-2067,www.firststepofsarasota.org,,SA/TX/DT/RS/RL/PW/WN/PA/
Sarasota Drug Court,,,1991 Main Street,Suite 210,,Sarasota,FL,34236,(941)861-8120,,,SA/TX/OP/CO/PW/SF/
Breakthrough Recovery Services Inc,,,1627 U.S. Highway 1,Suite 12-A,,Sebastian,FL,32958,(772)581-0610 Intake: (877)930-7772,,,SA/TX/OP/SF/
Social Solutions Inc,,,906 SE Lakeview Drive,Suite 110,,Sebring,FL,33870,(863)402-1088,,,SA/TX/OP/AD/WN/MN/DU/CJ/SF/
Tri County Human Services,,,5606 U.S. Highway 27 North,,,Sebring,FL,33870,(863)385-2662,www.tchsonline.com,,SA/TX/OP/AD/CO/PW/WN/DU/CJ/SF/MD/SI/PI/MI/SS/SP/AH/
Meridian Behavioral Healthcare Inc,Bradford Guidance Clinic,,945 Grand Street,,,Starke,FL,32091,(904)964-8382 Intakes: (352)374-5600xPRESS (800)330- 5615xPRESS Hotlines: (352)374-5600xPRESS (800)330- 5615xPRESS,www.meridian-healthcare.org,,MH-SA/TX/OP/DU/SF/MD/PI/SS/AH/
Counseling and Evaluation,Ryan Moore PhD FAACS,,10 Central Parkway,Suite 325,,Stuart,FL,34994,(772)220-0611,,,MH-SA/TX/OP/AD/CO/WN/MN/CJ/SF/SI/PI/MI/
New Horizons of the Treasure Coast Inc,,,1111 SE Federal Highway,Suite 230,,Stuart,FL,34994,(772)221-4088,www.nhtcinc.org,,MH-SA/TX/OP/SF/MC/PI/
Next Step Center Inc,,,,,,Stuart,FL,34995,(772)463-3133 Hotline: (772)463-3133,www.thenextstepcenter.com,,SA/TX/HH/RL/OP/SF/
A Life Recovery Center,,,449 West Georgia Street,,,Tallahassee,FL,32301,(850)224-9991,,,SA/TX/HH/RL/OP/PH/SF/PA/
Addiction Recovery Center,,,1931 Buford Boulevard,,,Tallahassee,FL,32308,(850)656-5112 Hotline: (850)656-5112,www.tfn.net/arc,,MH-SA/TX/DT/OP/CO/DU/CJ/SF/
DISC Village Inc,Adolescent Outpatient,,3333 West Pensacola Street,,,Tallahassee,FL,32304,(850)574-6695,www.discvillage.com,,SA/TX/OP/AD/PA/
